Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-10-24,8.66,9.7,8.66,9.5,6601,EUR,ARM,spain
2018-10-29,9.3,9.3,9.3,9.5,200,EUR,ARM,spain
2018-10-30,9.5,9.5,9.5,9.5,101400,EUR,ARM,spain
2018-10-31,9.5,9.5,9.3,9.4,54904,EUR,ARM,spain
2018-11-02,9.3,9.5,9.2,9.2,46290,EUR,ARM,spain
2018-11-05,9.5,9.5,9.5,9.2,200,EUR,ARM,spain
2018-11-07,9.5,9.5,9.5,9.2,300,EUR,ARM,spain
2018-11-12,9.5,9.5,9.5,9.5,39500,EUR,ARM,spain
2018-11-14,9.5,9.5,9.44,9.5,1655,EUR,ARM,spain
2018-11-15,9.4,9.4,9.4,9.5,208,EUR,ARM,spain
2018-11-16,9.4,9.4,9.4,9.5,196,EUR,ARM,spain
2018-11-19,9.42,9.42,9.42,9.5,186,EUR,ARM,spain
2018-11-20,9.42,9.42,9.3,9.4,21954,EUR,ARM,spain
2018-11-21,9.3,9.3,9.3,9.4,177,EUR,ARM,spain
2018-11-22,9.4,9.4,9.4,9.4,171,EUR,ARM,spain
2018-11-23,9.3,9.3,9.3,9.4,171,EUR,ARM,spain
2018-11-26,9.3,9.3,9.3,9.4,167,EUR,ARM,spain
2018-11-27,9.3,9.3,9.3,9.4,167,EUR,ARM,spain
2018-11-28,9.3,9.4,9.3,9.3,28056,EUR,ARM,spain
2018-11-29,9.3,9.3,9.3,9.3,165,EUR,ARM,spain
2018-11-30,9.3,9.3,9.3,9.3,298,EUR,ARM,spain
2018-12-05,9.3,9.3,9.3,9.3,15000,EUR,ARM,spain
2018-12-06,9.3,9.3,9.0,9.3,10056,EUR,ARM,spain
2018-12-12,9.24,9.24,9.2,9.24,10032,EUR,ARM,spain
2018-12-13,9.2,9.2,9.2,9.2,1428,EUR,ARM,spain
2018-12-14,9.4,9.4,9.4,9.4,4000,EUR,ARM,spain
2018-12-18,9.2,9.2,9.1,9.2,13293,EUR,ARM,spain
2018-12-19,9.1,9.1,9.1,9.1,2504,EUR,ARM,spain
2018-12-20,9.1,9.1,9.1,9.1,12320,EUR,ARM,spain
2018-12-21,9.2,9.2,9.2,9.2,15500,EUR,ARM,spain
2018-12-28,9.2,9.2,9.2,9.2,3215,EUR,ARM,spain
2018-12-31,9.1,9.1,9.0,9.0,32967,EUR,ARM,spain
2019-01-08,9.1,9.1,9.1,9.1,0,EUR,ARM,spain
2019-01-09,8.8,9.1,8.8,9.04,66363,EUR,ARM,spain
2019-01-10,9.04,9.04,9.04,9.04,9000,EUR,ARM,spain
2019-01-11,9.14,9.14,9.14,9.14,7500,EUR,ARM,spain
2019-01-15,9.2,9.2,9.2,9.2,1605,EUR,ARM,spain
2019-01-17,9.04,9.04,9.04,9.04,30165,EUR,ARM,spain
2019-01-23,9.28,9.28,9.28,9.28,3300,EUR,ARM,spain
2019-01-24,9.2,9.2,9.1,9.1,60000,EUR,ARM,spain
2019-01-25,9.1,9.4,9.1,9.4,120400,EUR,ARM,spain
2019-01-28,9.36,9.36,9.36,9.4,211,EUR,ARM,spain
2019-01-29,9.38,9.38,9.38,9.4,261,EUR,ARM,spain
2019-01-30,9.34,9.34,9.34,9.4,111,EUR,ARM,spain
2019-01-31,8.9,9.16,8.9,9.16,10700,EUR,ARM,spain
2019-02-04,8.94,9.32,8.94,9.32,1600,EUR,ARM,spain
2019-02-05,9.4,9.4,9.4,9.4,20000,EUR,ARM,spain
2019-02-07,9.5,9.5,9.5,9.5,33790,EUR,ARM,spain
2019-02-08,9.5,9.5,9.5,9.5,100,EUR,ARM,spain
2019-02-12,8.62,9.48,8.62,9.14,36843,EUR,ARM,spain
2019-02-13,9.14,9.14,9.14,9.14,5,EUR,ARM,spain
2019-02-15,9.3,9.6,9.0,9.0,39509,EUR,ARM,spain
2019-02-18,9.6,9.6,9.02,9.5,510,EUR,ARM,spain
2019-02-20,9.1,9.44,9.04,9.1,5231,EUR,ARM,spain
