Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-22,2.29,2.38,2.11,2.17,11067,EUR,AZK,spain
2010-11-23,2.18,2.18,2.06,2.08,11995,EUR,AZK,spain
2010-11-24,2.17,2.17,2.1,2.1,7822,EUR,AZK,spain
2010-11-25,2.13,2.13,2.09,2.12,17840,EUR,AZK,spain
2010-11-26,2.15,2.19,2.06,2.17,6050,EUR,AZK,spain
2010-11-29,2.19,2.19,2.04,2.04,12771,EUR,AZK,spain
2010-11-30,2.04,2.04,1.85,1.85,53396,EUR,AZK,spain
2010-12-01,1.95,1.95,1.78,1.8,67829,EUR,AZK,spain
2010-12-02,1.89,1.92,1.81,1.89,24746,EUR,AZK,spain
2010-12-03,1.89,1.92,1.86,1.92,22929,EUR,AZK,spain
2010-12-06,1.84,2.17,1.84,2.15,11410,EUR,AZK,spain
2010-12-07,2.14,2.14,2.01,2.13,4398,EUR,AZK,spain
2010-12-08,2.13,2.19,2.0,2.13,23847,EUR,AZK,spain
2010-12-09,2.19,2.23,2.02,2.05,14268,EUR,AZK,spain
2010-12-10,2.08,2.12,1.97,1.97,19918,EUR,AZK,spain
2010-12-13,1.97,2.08,1.97,2.06,16764,EUR,AZK,spain
2010-12-14,2.08,2.08,2.0,2.06,8636,EUR,AZK,spain
2010-12-15,1.99,2.08,1.99,2.08,8998,EUR,AZK,spain
2010-12-16,2.02,2.1,2.02,2.06,30671,EUR,AZK,spain
2010-12-17,2.0,2.1,2.0,2.06,1546,EUR,AZK,spain
2010-12-20,2.01,2.09,2.0,2.04,19151,EUR,AZK,spain
2010-12-21,2.02,2.09,2.02,2.05,2425,EUR,AZK,spain
2010-12-22,2.04,2.1,2.0,2.06,30245,EUR,AZK,spain
2010-12-23,2.07,2.07,2.0,2.02,12525,EUR,AZK,spain
2010-12-27,2.02,2.02,1.98,1.98,45092,EUR,AZK,spain
2010-12-28,1.93,2.0,1.88,1.93,28086,EUR,AZK,spain
2010-12-29,1.93,2.08,1.89,1.96,92693,EUR,AZK,spain
2010-12-30,1.95,2.06,1.95,2.06,69382,EUR,AZK,spain
2011-01-03,2.02,2.08,2.02,2.08,11921,EUR,AZK,spain
2011-01-04,1.99,2.06,1.98,1.98,4986,EUR,AZK,spain
2011-01-05,1.98,2.0,1.98,2.0,1999,EUR,AZK,spain
2011-01-06,2.04,2.04,2.04,2.0,30,EUR,AZK,spain
2011-01-07,1.94,2.0,1.94,1.98,2918,EUR,AZK,spain
2011-01-10,2.0,2.0,1.98,1.98,4798,EUR,AZK,spain
2011-01-11,1.98,1.98,1.98,1.98,12188,EUR,AZK,spain
2011-01-12,1.99,2.0,1.98,1.99,16486,EUR,AZK,spain
2011-01-13,1.98,2.04,1.98,2.03,2898,EUR,AZK,spain
2011-01-14,1.96,2.0,1.96,1.98,32266,EUR,AZK,spain
2011-01-17,1.99,2.03,1.99,2.01,3348,EUR,AZK,spain
2011-01-18,2.02,2.05,2.0,2.0,13243,EUR,AZK,spain
2011-01-19,2.0,2.0,2.0,2.0,1750,EUR,AZK,spain
2011-01-20,2.0,2.04,1.97,2.0,24817,EUR,AZK,spain
2011-01-21,1.94,2.0,1.94,2.0,21093,EUR,AZK,spain
2011-01-24,1.97,2.0,1.97,2.0,4906,EUR,AZK,spain
2011-01-25,2.0,2.0,1.95,2.0,11304,EUR,AZK,spain
2011-01-26,2.0,2.0,1.96,1.98,3923,EUR,AZK,spain
2011-01-27,1.98,2.02,1.96,2.02,15851,EUR,AZK,spain
2011-01-28,2.03,2.03,1.97,1.97,10329,EUR,AZK,spain
2011-01-31,1.97,2.01,1.96,1.96,5177,EUR,AZK,spain
2011-02-01,2.0,2.0,1.95,2.0,11403,EUR,AZK,spain
2011-02-02,2.01,2.02,1.94,1.95,40603,EUR,AZK,spain
2011-02-03,1.96,1.99,1.94,1.94,29195,EUR,AZK,spain
2011-02-04,2.0,2.0,1.95,1.95,1229,EUR,AZK,spain
2011-02-07,1.99,2.08,1.96,2.04,69754,EUR,AZK,spain
2011-02-08,2.06,2.17,2.02,2.14,67071,EUR,AZK,spain
2011-02-09,2.17,2.25,2.11,2.23,66329,EUR,AZK,spain
2011-02-10,2.23,2.23,2.1,2.12,32830,EUR,AZK,spain
2011-02-11,2.12,2.19,2.08,2.17,22103,EUR,AZK,spain
2011-02-14,2.19,2.19,2.12,2.17,5865,EUR,AZK,spain
2011-02-15,2.12,2.15,2.08,2.13,16067,EUR,AZK,spain
2011-02-16,2.16,2.22,2.1,2.15,30395,EUR,AZK,spain
2011-02-17,2.16,2.19,2.15,2.19,6016,EUR,AZK,spain
2011-02-18,2.19,2.21,2.15,2.17,18113,EUR,AZK,spain
2011-02-21,2.2,2.21,2.11,2.17,4162,EUR,AZK,spain
2011-02-22,2.17,2.17,2.0,2.1,23027,EUR,AZK,spain
2011-02-23,2.09,2.15,2.09,2.15,7294,EUR,AZK,spain
2011-02-24,2.09,2.11,2.01,2.05,22617,EUR,AZK,spain
2011-02-25,2.06,2.27,2.02,2.12,73420,EUR,AZK,spain
2011-02-28,2.14,2.18,2.12,2.17,7686,EUR,AZK,spain
2011-03-01,2.15,2.16,2.12,2.16,10820,EUR,AZK,spain
2011-03-02,2.15,2.15,2.08,2.1,2142,EUR,AZK,spain
2011-03-03,2.14,2.15,2.06,2.08,9146,EUR,AZK,spain
2011-03-04,2.07,2.08,2.07,2.08,2944,EUR,AZK,spain
2011-03-07,2.06,2.1,2.06,2.07,3004,EUR,AZK,spain
2011-03-08,2.12,2.12,2.07,2.1,4337,EUR,AZK,spain
2011-03-09,2.06,2.15,2.06,2.13,11865,EUR,AZK,spain
2011-03-10,2.07,2.12,2.07,2.07,6044,EUR,AZK,spain
2011-03-11,2.04,2.12,2.03,2.04,8650,EUR,AZK,spain
2011-03-14,2.06,2.13,2.03,2.09,17149,EUR,AZK,spain
2011-03-15,2.06,2.1,2.03,2.06,9436,EUR,AZK,spain
2011-03-16,2.04,2.1,2.03,2.09,26732,EUR,AZK,spain
2011-03-17,2.02,2.09,2.0,2.08,15393,EUR,AZK,spain
2011-03-18,2.08,2.1,2.05,2.08,3490,EUR,AZK,spain
2011-03-21,2.06,2.08,2.02,2.04,4300,EUR,AZK,spain
2011-03-22,2.1,2.1,2.06,2.1,2584,EUR,AZK,spain
2011-03-23,2.08,2.08,2.04,2.06,2300,EUR,AZK,spain
2011-03-24,2.05,2.08,2.04,2.06,5197,EUR,AZK,spain
2011-03-25,2.07,2.08,2.03,2.03,10626,EUR,AZK,spain
2011-03-28,2.03,2.07,2.02,2.04,2756,EUR,AZK,spain
2011-03-29,2.03,2.08,2.02,2.08,7513,EUR,AZK,spain
2011-03-30,2.04,2.12,2.04,2.1,24797,EUR,AZK,spain
2011-03-31,2.06,2.09,2.05,2.07,7286,EUR,AZK,spain
2011-04-01,2.07,2.24,2.04,2.22,40687,EUR,AZK,spain
2011-04-04,2.25,2.26,2.17,2.21,26060,EUR,AZK,spain
2011-04-05,2.26,2.26,2.18,2.18,15724,EUR,AZK,spain
2011-04-06,2.23,2.33,2.16,2.27,36407,EUR,AZK,spain
2011-04-07,2.33,2.34,2.25,2.26,21162,EUR,AZK,spain
2011-04-08,2.25,2.35,2.25,2.35,11591,EUR,AZK,spain
2011-04-11,2.43,2.55,2.29,2.53,69092,EUR,AZK,spain
2011-04-12,2.52,2.55,2.44,2.48,23428,EUR,AZK,spain
2011-04-13,2.46,2.46,2.45,2.46,3550,EUR,AZK,spain
2011-04-14,2.5,2.53,2.25,2.48,47471,EUR,AZK,spain
2011-04-15,2.46,2.5,2.35,2.42,22481,EUR,AZK,spain
2011-04-18,2.45,2.45,2.26,2.26,50577,EUR,AZK,spain
2011-04-19,2.31,2.31,2.23,2.23,1509,EUR,AZK,spain
2011-04-20,2.25,2.25,2.23,2.24,11075,EUR,AZK,spain
2011-04-21,2.24,2.24,2.24,2.24,0,EUR,AZK,spain
2011-04-26,2.16,2.2,2.16,2.18,29993,EUR,AZK,spain
2011-04-27,2.13,2.33,2.13,2.3,25578,EUR,AZK,spain
2011-04-28,2.22,2.3,2.22,2.28,4808,EUR,AZK,spain
2011-04-29,2.32,2.33,2.28,2.29,4916,EUR,AZK,spain
2011-05-02,2.3,2.39,2.3,2.33,7172,EUR,AZK,spain
2011-05-03,2.31,2.35,2.31,2.31,4293,EUR,AZK,spain
2011-05-04,2.3,2.3,2.19,2.3,20464,EUR,AZK,spain
