Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-07-09,15.75,15.75,15.75,15.75,53,EUR,BAINS,spain
2015-07-16,15.75,15.75,14.18,15.75,263,EUR,BAINS,spain
2015-07-28,15.75,15.75,15.75,15.75,53,EUR,BAINS,spain
2015-08-06,16.0,16.0,16.0,15.75,9,EUR,BAINS,spain
2015-10-01,14.18,14.18,14.18,15.75,27,EUR,BAINS,spain
2015-10-02,15.5,15.5,15.5,15.75,84,EUR,BAINS,spain
2015-11-10,16.0,16.0,16.0,15.75,95,EUR,BAINS,spain
2016-01-12,16.0,16.0,16.0,15.75,2,EUR,BAINS,spain
2016-02-03,16.5,16.5,16.5,16.5,1000,EUR,BAINS,spain
2016-02-04,18.15,18.15,18.15,18.15,200,EUR,BAINS,spain
2016-02-25,19.96,21.0,19.96,21.0,449,EUR,BAINS,spain
2016-03-11,21.0,21.0,21.0,20.97,30,EUR,BAINS,spain
2016-03-15,21.0,21.0,21.0,20.97,17,EUR,BAINS,spain
2016-03-17,18.88,18.88,18.88,20.97,150,EUR,BAINS,spain
2016-07-29,20.3,20.3,20.3,20.3,200,EUR,BAINS,spain
2016-08-26,20.3,20.3,20.3,20.3,150,EUR,BAINS,spain
2017-01-16,19.3,19.3,19.3,20.3,50,EUR,BAINS,spain
2017-03-03,19.3,19.3,19.3,20.3,60,EUR,BAINS,spain
2017-04-10,20.0,20.0,20.0,20.0,300,EUR,BAINS,spain
2017-04-11,20.0,20.0,20.0,20.0,100,EUR,BAINS,spain
2017-04-12,19.5,19.5,18.5,18.5,301,EUR,BAINS,spain
2017-04-13,17.5,17.5,15.85,18.5,132,EUR,BAINS,spain
2017-04-18,16.65,16.65,16.65,16.65,252,EUR,BAINS,spain
2017-04-24,17.5,17.5,17.5,16.65,53,EUR,BAINS,spain
2017-05-23,16.65,16.65,16.65,16.65,95,EUR,BAINS,spain
2017-06-21,16.75,16.75,16.75,16.65,94,EUR,BAINS,spain
2017-07-06,15.0,15.0,15.0,16.65,42,EUR,BAINS,spain
2017-07-24,2.57,2.57,2.57,2.38,343,EUR,BAINS,spain
2017-07-25,2.57,2.57,2.57,2.38,336,EUR,BAINS,spain
2017-07-26,2.62,2.62,2.62,2.38,322,EUR,BAINS,spain
2017-07-27,2.62,2.86,2.62,2.62,2674,EUR,BAINS,spain
2017-07-28,2.86,3.14,2.86,3.14,2919,EUR,BAINS,spain
2017-07-31,3.46,3.8,3.46,3.8,3500,EUR,BAINS,spain
2017-08-01,4.18,4.6,4.18,4.6,37478,EUR,BAINS,spain
2017-08-02,5.06,5.57,5.06,5.57,23058,EUR,BAINS,spain
2017-08-03,6.12,6.71,6.12,6.71,84378,EUR,BAINS,spain
