Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-09-26,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2011-09-27,1.47,1.47,1.47,1.53,323,EUR,BBAR,spain
2011-09-28,1.55,1.55,1.55,1.65,300,EUR,BBAR,spain
2011-09-29,1.74,1.74,1.51,1.62,15228,EUR,BBAR,spain
2011-09-30,1.5,1.71,1.5,1.55,7031,EUR,BBAR,spain
2011-10-03,1.45,1.45,1.45,1.49,1298,EUR,BBAR,spain
2011-10-04,1.49,1.49,1.49,1.49,0,EUR,BBAR,spain
2011-10-05,1.5,1.5,1.5,1.4,700,EUR,BBAR,spain
2011-10-06,1.5,1.5,1.5,1.42,500,EUR,BBAR,spain
2011-10-07,1.48,1.48,1.48,1.48,0,EUR,BBAR,spain
2011-10-10,1.43,1.43,1.43,1.47,500,EUR,BBAR,spain
2011-10-11,1.48,1.48,1.48,1.48,0,EUR,BBAR,spain
2011-10-12,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-10-13,1.52,1.52,1.52,1.52,0,EUR,BBAR,spain
2011-10-14,1.56,1.56,1.56,1.56,0,EUR,BBAR,spain
2011-10-17,1.56,1.56,1.56,1.56,0,EUR,BBAR,spain
2011-10-18,1.56,1.56,1.56,1.56,0,EUR,BBAR,spain
2011-10-19,1.56,1.56,1.56,1.56,0,EUR,BBAR,spain
2011-10-20,1.55,1.55,1.55,1.57,1525,EUR,BBAR,spain
2011-10-21,1.62,1.71,1.62,1.67,687,EUR,BBAR,spain
2011-10-24,1.67,1.67,1.67,1.67,0,EUR,BBAR,spain
2011-10-25,1.67,1.67,1.67,1.67,0,EUR,BBAR,spain
2011-10-26,1.71,1.71,1.71,1.74,1096,EUR,BBAR,spain
2011-10-27,1.8,1.8,1.8,1.79,457,EUR,BBAR,spain
2011-10-28,1.9,1.9,1.9,1.81,550,EUR,BBAR,spain
2011-10-31,1.7,1.7,1.7,1.7,750,EUR,BBAR,spain
2011-11-01,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2011-11-02,1.68,1.68,1.68,1.68,0,EUR,BBAR,spain
2011-11-03,1.65,1.65,1.65,1.65,0,EUR,BBAR,spain
2011-11-04,1.74,1.74,1.74,1.63,25,EUR,BBAR,spain
2011-11-07,1.65,1.65,1.65,1.65,0,EUR,BBAR,spain
2011-11-08,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2011-11-09,1.79,1.79,1.56,1.62,3276,EUR,BBAR,spain
2011-11-10,1.62,1.62,1.62,1.57,1000,EUR,BBAR,spain
2011-11-11,1.59,1.59,1.59,1.59,0,EUR,BBAR,spain
2011-11-14,1.56,1.56,1.56,1.56,0,EUR,BBAR,spain
2011-11-15,1.52,1.52,1.52,1.52,0,EUR,BBAR,spain
2011-11-16,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-11-17,1.54,1.6,1.53,1.53,4251,EUR,BBAR,spain
2011-11-18,1.53,1.53,1.53,1.53,0,EUR,BBAR,spain
2011-11-21,1.53,1.53,1.53,1.53,0,EUR,BBAR,spain
2011-11-22,1.53,1.53,1.53,1.53,0,EUR,BBAR,spain
2011-11-23,1.4,1.4,1.4,1.35,1500,EUR,BBAR,spain
2011-11-24,1.33,1.33,1.33,1.33,0,EUR,BBAR,spain
2011-11-25,1.36,1.36,1.36,1.36,0,EUR,BBAR,spain
2011-11-28,1.4,1.4,1.4,1.42,573,EUR,BBAR,spain
2011-11-29,1.4,1.4,1.4,1.4,0,EUR,BBAR,spain
2011-11-30,1.5,1.5,1.5,1.41,750,EUR,BBAR,spain
2011-12-01,1.42,1.42,1.42,1.42,1500,EUR,BBAR,spain
2011-12-02,1.5,1.5,1.5,1.5,573,EUR,BBAR,spain
2011-12-05,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-12-06,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-12-07,1.45,1.45,1.45,1.49,1800,EUR,BBAR,spain
2011-12-08,1.6,1.6,1.6,1.6,0,EUR,BBAR,spain
2011-12-09,1.6,1.6,1.6,1.6,0,EUR,BBAR,spain
2011-12-12,1.45,1.45,1.45,1.45,0,EUR,BBAR,spain
2011-12-13,1.4,1.4,1.4,1.4,0,EUR,BBAR,spain
2011-12-14,1.4,1.4,1.4,1.4,0,EUR,BBAR,spain
2011-12-15,1.4,1.43,1.4,1.4,2051,EUR,BBAR,spain
2011-12-16,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-12-19,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-12-20,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-12-21,1.5,1.5,1.5,1.5,0,EUR,BBAR,spain
2011-12-22,1.36,1.36,1.36,1.36,0,EUR,BBAR,spain
2011-12-23,1.36,1.36,1.36,1.36,0,EUR,BBAR,spain
2011-12-27,1.36,1.36,1.36,1.36,0,EUR,BBAR,spain
2011-12-28,1.36,1.36,1.36,1.36,1010,EUR,BBAR,spain
2011-12-29,1.47,1.47,1.47,1.47,0,EUR,BBAR,spain
2011-12-30,1.47,1.47,1.47,1.47,0,EUR,BBAR,spain
2012-01-02,1.47,1.47,1.47,1.47,0,EUR,BBAR,spain
2012-01-03,1.47,1.47,1.47,1.47,0,EUR,BBAR,spain
2012-01-04,1.47,1.47,1.47,1.47,0,EUR,BBAR,spain
2012-01-05,1.66,1.66,1.66,1.66,0,EUR,BBAR,spain
2012-01-06,1.66,1.66,1.66,1.66,0,EUR,BBAR,spain
2012-01-09,1.66,1.66,1.66,1.66,0,EUR,BBAR,spain
2012-01-10,1.66,1.66,1.66,1.66,0,EUR,BBAR,spain
2012-01-11,1.66,1.66,1.66,1.66,0,EUR,BBAR,spain
2012-01-12,1.7,1.7,1.7,1.72,569,EUR,BBAR,spain
2012-01-13,1.6,1.6,1.6,1.6,646,EUR,BBAR,spain
2012-01-16,1.6,1.6,1.48,1.54,2015,EUR,BBAR,spain
2012-01-17,1.54,1.54,1.54,1.54,0,EUR,BBAR,spain
2012-01-18,1.74,1.74,1.6,1.55,1646,EUR,BBAR,spain
2012-01-19,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-20,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-23,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-24,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-25,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-26,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-27,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-30,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-01-31,1.46,1.46,1.46,1.46,0,EUR,BBAR,spain
2012-02-01,1.46,1.46,1.46,1.46,0,EUR,BBAR,spain
2012-02-02,1.46,1.46,1.46,1.46,0,EUR,BBAR,spain
2012-02-03,1.55,1.55,1.55,1.55,1115,EUR,BBAR,spain
2012-02-06,1.55,1.55,1.55,1.55,0,EUR,BBAR,spain
2012-02-07,1.85,1.85,1.85,1.85,900,EUR,BBAR,spain
2012-02-08,1.8,1.8,1.8,1.68,2000,EUR,BBAR,spain
2012-02-09,1.67,1.67,1.67,1.71,30,EUR,BBAR,spain
2012-02-10,1.71,1.71,1.71,1.71,0,EUR,BBAR,spain
2012-02-13,1.71,1.71,1.71,1.69,380,EUR,BBAR,spain
2012-02-14,1.69,1.69,1.69,1.69,0,EUR,BBAR,spain
2012-02-15,1.71,1.71,1.71,1.82,3220,EUR,BBAR,spain
2012-02-16,1.94,1.94,1.94,1.82,6550,EUR,BBAR,spain
2012-02-17,1.71,1.84,1.71,1.82,1480,EUR,BBAR,spain
2012-02-20,1.82,1.82,1.82,1.82,0,EUR,BBAR,spain
2012-02-21,1.75,1.75,1.71,1.75,2861,EUR,BBAR,spain
2012-02-22,1.75,1.75,1.75,1.75,0,EUR,BBAR,spain
2012-02-23,1.75,1.75,1.75,1.75,0,EUR,BBAR,spain
2012-02-24,1.75,1.75,1.75,1.75,0,EUR,BBAR,spain
2012-02-27,1.71,1.71,1.71,1.8,34,EUR,BBAR,spain
2012-02-28,1.78,1.78,1.78,1.78,0,EUR,BBAR,spain
2012-02-29,1.75,1.75,1.75,1.75,0,EUR,BBAR,spain
2012-03-01,1.75,1.75,1.75,1.75,0,EUR,BBAR,spain
2012-03-02,1.75,1.75,1.75,1.75,0,EUR,BBAR,spain
2012-03-05,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2012-03-06,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2012-03-07,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2012-03-08,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2012-03-09,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2012-03-12,1.7,1.7,1.7,1.7,0,EUR,BBAR,spain
2012-03-13,1.59,1.59,1.59,1.59,0,EUR,BBAR,spain
2012-03-14,1.59,1.59,1.59,1.59,0,EUR,BBAR,spain
2012-03-15,1.72,1.72,1.72,1.72,0,EUR,BBAR,spain
2012-03-16,1.72,1.72,1.72,1.72,0,EUR,BBAR,spain
2012-03-19,1.72,1.72,1.72,1.72,0,EUR,BBAR,spain
2012-03-20,1.72,1.72,1.72,1.72,0,EUR,BBAR,spain
2012-03-21,1.69,1.69,1.69,1.69,0,EUR,BBAR,spain
2012-03-22,1.69,1.69,1.69,1.69,0,EUR,BBAR,spain
2012-03-23,1.7,1.7,1.7,1.71,660,EUR,BBAR,spain
2012-03-26,1.7,1.8,1.7,1.725,1380,EUR,BBAR,spain
2012-03-27,1.73,1.73,1.73,1.73,0,EUR,BBAR,spain
2012-03-28,1.73,1.73,1.73,1.73,0,EUR,BBAR,spain
2012-03-29,1.656,1.656,1.656,1.653,2,EUR,BBAR,spain
2012-03-30,1.622,1.622,1.622,1.622,1666,EUR,BBAR,spain
2012-04-02,1.521,1.521,1.521,1.585,7608,EUR,BBAR,spain
2012-04-03,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2012-04-04,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2012-04-05,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2012-04-10,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2012-04-11,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2012-04-12,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2012-04-13,1.58,1.58,1.58,1.58,0,EUR,BBAR,spain
2012-04-16,1.46,1.59,1.46,1.59,600,EUR,BBAR,spain
2012-04-17,1.59,1.59,1.59,1.59,0,EUR,BBAR,spain
2012-04-18,1.71,1.71,1.71,1.71,0,EUR,BBAR,spain
2012-04-19,1.71,1.71,1.71,1.71,0,EUR,BBAR,spain
2012-04-20,1.51,1.51,1.51,1.51,2500,EUR,BBAR,spain
2012-04-23,1.51,1.51,1.51,1.51,0,EUR,BBAR,spain
2012-04-24,1.51,1.51,1.51,1.51,0,EUR,BBAR,spain
2012-04-25,1.5,1.5,1.5,1.5,800,EUR,BBAR,spain
2012-04-26,1.6,1.6,1.6,1.6,2500,EUR,BBAR,spain
2012-04-27,1.5,1.5,1.5,1.543,1068,EUR,BBAR,spain
2012-04-30,1.47,1.47,1.47,1.47,0,EUR,BBAR,spain
2012-05-02,1.5,1.5,1.5,1.54,900,EUR,BBAR,spain
2012-05-03,1.54,1.54,1.54,1.54,0,EUR,BBAR,spain
2012-05-04,1.54,1.54,1.54,1.54,0,EUR,BBAR,spain
2012-05-07,1.54,1.54,1.54,1.54,0,EUR,BBAR,spain
2012-05-08,1.51,1.51,1.51,1.51,0,EUR,BBAR,spain
2012-05-09,1.51,1.51,1.51,1.51,0,EUR,BBAR,spain
2012-05-10,1.51,1.51,1.51,1.51,0,EUR,BBAR,spain
2012-05-11,1.51,1.51,1.51,1.51,0,EUR,BBAR,spain
2012-05-14,1.51,1.51,1.51,1.51,0,EUR,BBAR,spain
2012-05-15,1.35,1.35,1.35,1.43,380,EUR,BBAR,spain
2012-05-16,1.43,1.43,1.43,1.43,0,EUR,BBAR,spain
2012-05-17,1.43,1.43,1.43,1.43,0,EUR,BBAR,spain
2012-05-18,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-21,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-22,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-23,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-24,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-25,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-28,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-29,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-30,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-05-31,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-01,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-04,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-05,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-06,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-07,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-08,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-11,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-12,1.37,1.37,1.37,1.37,0,EUR,BBAR,spain
2012-06-13,1.282,1.282,1.282,1.282,780,EUR,BBAR,spain
2012-06-14,1.28,1.28,1.28,1.28,0,EUR,BBAR,spain
2012-06-15,1.28,1.28,1.28,1.28,0,EUR,BBAR,spain
2012-06-18,1.28,1.28,1.28,1.28,0,EUR,BBAR,spain
2012-06-19,1.28,1.28,1.28,1.28,0,EUR,BBAR,spain
2012-06-20,1.086,1.086,1.05,1.05,5500,EUR,BBAR,spain
2012-06-21,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-06-22,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-06-25,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-06-26,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-06-27,1.29,1.29,1.25,1.25,600,EUR,BBAR,spain
2012-06-28,1.2,1.2,1.2,1.2,80,EUR,BBAR,spain
2012-06-29,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-02,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-03,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-04,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-05,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-06,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-09,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-10,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-11,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-12,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-13,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-16,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-17,1.2,1.2,1.2,1.2,0,EUR,BBAR,spain
2012-07-18,1.05,1.05,1.05,1.05,598,EUR,BBAR,spain
2012-07-19,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-07-20,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-07-23,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-07-24,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-07-25,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-07-26,1.05,1.05,1.05,1.05,0,EUR,BBAR,spain
2012-07-27,1.06,1.06,1.06,1.06,2102,EUR,BBAR,spain
2012-07-30,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-07-31,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-01,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-02,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-03,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-06,1.06,1.06,1.06,1.06,1000,EUR,BBAR,spain
2012-08-07,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-08,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-09,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-10,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-13,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-14,1.06,1.06,1.06,1.06,0,EUR,BBAR,spain
2012-08-15,1.06,1.06,1.06,1.06,2089,EUR,BBAR,spain
2012-08-16,1.32,1.32,1.32,1.32,3000,EUR,BBAR,spain
2012-08-17,1.32,1.32,1.32,1.32,0,EUR,BBAR,spain
2012-08-20,1.32,1.32,1.32,1.32,0,EUR,BBAR,spain
2012-08-21,1.32,1.32,1.32,1.32,0,EUR,BBAR,spain
2012-08-22,1.31,1.31,1.31,1.31,0,EUR,BBAR,spain
2012-08-23,1.31,1.31,1.31,1.31,0,EUR,BBAR,spain
2012-08-24,1.31,1.31,1.31,1.31,0,EUR,BBAR,spain
2012-08-27,1.3,1.3,1.3,1.3,5,EUR,BBAR,spain
2012-08-28,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-08-29,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-08-30,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-08-31,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-03,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-04,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-05,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-06,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-07,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-10,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-11,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-12,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-13,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-14,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-17,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-18,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-19,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-20,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-21,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-24,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-25,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-26,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-27,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-09-28,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-01,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-02,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-03,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-04,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-05,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-08,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-09,1.3,1.3,1.3,1.3,0,EUR,BBAR,spain
2012-10-10,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-11,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-12,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-15,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-16,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-17,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-18,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-19,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-22,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-23,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-24,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-25,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
2012-10-26,1.44,1.44,1.44,1.44,0,EUR,BBAR,spain
