Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-22,44.2,44.92,44.2,44.91,2134,EUR,BDL,spain
2010-11-23,44.2,44.2,44.2,44.91,148,EUR,BDL,spain
2010-11-24,44.2,45.12,44.2,45.12,3224,EUR,BDL,spain
2010-11-25,44.71,45.67,44.2,44.81,2062,EUR,BDL,spain
2010-11-26,44.71,45.68,44.71,45.68,548,EUR,BDL,spain
2010-11-29,45.58,45.58,44.2,45.57,2967,EUR,BDL,spain
2010-11-30,45.01,45.01,44.2,44.2,1171,EUR,BDL,spain
2010-12-01,42.91,45.47,42.69,45.47,649,EUR,BDL,spain
2010-12-02,42.7,45.4,42.68,43.69,3217,EUR,BDL,spain
2010-12-03,43.7,44.68,43.7,43.8,1091,EUR,BDL,spain
2010-12-06,43.79,44.71,43.51,44.61,3220,EUR,BDL,spain
2010-12-07,42.4,43.7,42.4,44.61,110,EUR,BDL,spain
2010-12-08,42.19,44.2,42.07,44.61,219,EUR,BDL,spain
2010-12-09,44.59,44.59,44.58,44.61,86,EUR,BDL,spain
2010-12-10,44.57,44.57,42.7,44.28,1983,EUR,BDL,spain
2010-12-13,44.2,44.2,42.07,43.11,1650,EUR,BDL,spain
2010-12-14,43.68,43.7,42.37,43.68,1761,EUR,BDL,spain
2010-12-15,43.7,43.7,42.46,43.64,1232,EUR,BDL,spain
2010-12-16,43.64,44.53,42.68,43.44,2064,EUR,BDL,spain
2010-12-17,43.56,43.7,43.19,43.56,1353,EUR,BDL,spain
2010-12-20,43.48,43.48,42.08,42.48,610,EUR,BDL,spain
2010-12-21,42.07,43.46,41.56,43.0,4153,EUR,BDL,spain
2010-12-22,42.35,43.47,42.35,43.45,1339,EUR,BDL,spain
2010-12-23,43.43,43.43,42.07,43.33,1154,EUR,BDL,spain
2010-12-27,42.07,43.36,41.97,42.67,1822,EUR,BDL,spain
2010-12-28,43.36,43.37,41.93,43.36,2450,EUR,BDL,spain
2010-12-29,42.68,43.09,42.43,43.09,1871,EUR,BDL,spain
2010-12-30,43.09,45.72,42.68,45.72,4263,EUR,BDL,spain
2011-01-03,45.72,45.72,45.72,45.72,0,EUR,BDL,spain
2011-01-04,43.09,45.52,43.09,45.72,351,EUR,BDL,spain
