Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,7.04,7.14,7.02,7.14,0,EUR,BKT,spain
2009-02-12,7.15,7.29,7.08,7.08,0,EUR,BKT,spain
2009-02-13,7.25,7.54,7.23,7.23,0,EUR,BKT,spain
2009-02-16,7.17,7.24,7.03,7.03,0,EUR,BKT,spain
2009-02-17,7.02,7.08,6.71,7.08,0,EUR,BKT,spain
2009-02-18,7.0,7.08,6.83,7.08,0,EUR,BKT,spain
2009-02-19,7.04,7.13,6.93,6.93,0,EUR,BKT,spain
2009-02-20,6.82,6.87,6.6,6.6,0,EUR,BKT,spain
2009-02-25,6.65,6.78,6.42,6.42,0,EUR,BKT,spain
2009-02-26,6.48,6.84,6.46,6.84,0,EUR,BKT,spain
2009-02-27,6.72,6.84,6.51,6.51,0,EUR,BKT,spain
2009-03-06,6.23,6.34,6.15,6.15,0,EUR,BKT,spain
2009-03-09,6.49,6.59,6.45,6.59,0,EUR,BKT,spain
2009-03-10,6.51,6.92,6.51,6.92,0,EUR,BKT,spain
2009-03-11,6.82,7.15,6.8,6.8,0,EUR,BKT,spain
2009-03-12,6.85,6.97,6.6,6.97,0,EUR,BKT,spain
2009-03-13,7.02,7.12,6.54,6.54,0,EUR,BKT,spain
2009-03-16,6.76,6.76,6.52,6.52,0,EUR,BKT,spain
2009-03-17,6.66,6.74,6.52,6.74,0,EUR,BKT,spain
2009-03-18,6.81,6.98,6.73,6.73,0,EUR,BKT,spain
2009-03-19,6.94,7.12,6.87,7.12,0,EUR,BKT,spain
2009-03-20,7.07,7.29,6.84,7.29,0,EUR,BKT,spain
2009-04-01,7.84,7.97,7.78,7.78,0,EUR,BKT,spain
2009-04-02,7.93,8.6,7.9,8.6,0,EUR,BKT,spain
2009-04-03,8.58,8.69,8.31,8.69,0,EUR,BKT,spain
2009-04-06,8.77,8.84,8.47,8.47,0,EUR,BKT,spain
2009-04-07,8.78,8.95,8.51,8.95,0,EUR,BKT,spain
2009-04-08,8.65,8.99,8.65,8.99,0,EUR,BKT,spain
2009-04-09,9.01,9.13,8.88,9.13,0,EUR,BKT,spain
2009-04-16,9.17,9.39,9.16,9.39,0,EUR,BKT,spain
2009-04-17,9.27,9.44,9.12,9.12,0,EUR,BKT,spain
