Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,16.64,16.77,16.64,16.77,0,EUR,BME,spain
2009-02-12,16.85,16.87,16.5,16.87,0,EUR,BME,spain
2009-02-13,16.95,17.27,16.5,16.5,0,EUR,BME,spain
2009-02-16,16.36,16.65,16.23,16.23,0,EUR,BME,spain
2009-02-17,16.15,16.16,15.56,15.56,0,EUR,BME,spain
2009-02-18,15.67,15.78,14.93,14.93,0,EUR,BME,spain
2009-02-19,15.47,15.82,15.35,15.82,0,EUR,BME,spain
2009-02-20,15.45,16.15,15.45,16.15,0,EUR,BME,spain
2009-02-25,15.35,15.78,15.21,15.21,0,EUR,BME,spain
2009-02-26,15.34,15.77,15.3,15.77,0,EUR,BME,spain
2009-02-27,15.21,15.27,14.8,14.8,0,EUR,BME,spain
2009-03-06,13.37,13.68,13.25,13.68,0,EUR,BME,spain
2009-03-09,13.36,13.4,13.17,13.17,0,EUR,BME,spain
2009-03-10,13.13,14.49,13.11,14.49,0,EUR,BME,spain
2009-03-11,14.3,15.01,13.82,15.01,0,EUR,BME,spain
2009-03-12,14.2,14.68,14.02,14.68,0,EUR,BME,spain
2009-03-13,15.1,15.45,15.1,15.45,0,EUR,BME,spain
2009-03-16,15.57,15.62,15.25,15.25,0,EUR,BME,spain
2009-03-17,15.15,15.54,15.0,15.54,0,EUR,BME,spain
2009-03-18,15.21,15.71,15.21,15.71,0,EUR,BME,spain
2009-03-19,15.7,16.58,15.61,16.58,0,EUR,BME,spain
2009-03-20,16.4,16.89,16.15,16.89,0,EUR,BME,spain
2009-04-01,18.33,18.53,18.33,18.53,0,EUR,BME,spain
2009-04-02,18.53,19.45,18.53,19.45,0,EUR,BME,spain
2009-04-03,19.3,19.97,18.08,19.97,0,EUR,BME,spain
2009-04-06,19.86,20.29,19.31,19.31,0,EUR,BME,spain
2009-04-07,19.55,19.97,19.01,19.01,0,EUR,BME,spain
2009-04-08,18.71,19.34,18.6,19.34,0,EUR,BME,spain
2009-04-09,19.31,19.87,19.14,19.87,0,EUR,BME,spain
2009-04-16,20.21,20.5,19.9,19.9,0,EUR,BME,spain
2009-04-17,20.1,20.36,19.93,20.36,0,EUR,BME,spain
2009-04-20,20.31,20.31,19.82,19.82,0,EUR,BME,spain
2009-04-21,19.71,20.15,19.1,19.1,0,EUR,BME,spain
2009-04-22,19.77,20.38,19.65,20.38,0,EUR,BME,spain
2009-04-23,20.19,21.41,19.91,21.41,0,EUR,BME,spain
2009-04-24,21.18,21.56,21.12,21.56,0,EUR,BME,spain
2009-04-27,20.76,21.17,20.7,21.17,0,EUR,BME,spain
2009-04-28,20.86,21.44,20.21,21.44,0,EUR,BME,spain
2009-04-29,20.91,21.58,20.91,21.58,0,EUR,BME,spain
2009-04-30,21.4,21.52,20.76,21.52,0,EUR,BME,spain
2009-05-05,22.2,23.0,22.2,23.0,0,EUR,BME,spain
2009-05-06,23.04,23.49,23.04,23.49,0,EUR,BME,spain
2009-05-07,22.75,22.91,21.3,21.3,0,EUR,BME,spain
2009-05-08,21.63,22.39,21.52,22.39,0,EUR,BME,spain
2009-05-14,21.13,21.72,21.05,21.72,0,EUR,BME,spain
2009-05-15,21.73,22.11,21.0,22.11,0,EUR,BME,spain
2009-05-18,21.54,22.28,21.49,22.28,0,EUR,BME,spain
2009-05-19,22.51,22.97,22.32,22.97,0,EUR,BME,spain
2009-05-20,22.8,23.39,22.66,22.66,0,EUR,BME,spain
2009-05-21,22.86,23.1,22.47,23.1,0,EUR,BME,spain
2009-05-22,22.53,23.01,22.33,22.33,0,EUR,BME,spain
2009-05-25,22.5,22.57,22.31,22.57,0,EUR,BME,spain
2009-05-26,22.42,22.64,22.15,22.64,0,EUR,BME,spain
2009-05-27,22.63,22.98,22.6,22.98,0,EUR,BME,spain
2009-05-28,22.85,23.06,22.75,22.75,0,EUR,BME,spain
2009-05-29,22.77,23.05,22.5,22.5,0,EUR,BME,spain
2009-06-02,23.31,23.79,23.31,23.79,0,EUR,BME,spain
2009-06-03,23.7,23.98,23.46,23.46,0,EUR,BME,spain
2009-06-04,23.7,24.14,23.31,23.31,0,EUR,BME,spain
2009-06-05,23.51,24.14,23.51,24.14,0,EUR,BME,spain
2009-06-11,23.57,23.64,23.41,23.41,0,EUR,BME,spain
2009-06-12,23.55,23.72,23.53,23.53,0,EUR,BME,spain
2009-06-15,22.8,22.8,22.39,22.39,0,EUR,BME,spain
2009-06-16,22.21,22.31,21.66,21.66,0,EUR,BME,spain
2009-06-17,20.71,20.73,20.08,20.08,0,EUR,BME,spain
2009-06-18,20.64,20.81,20.3,20.3,0,EUR,BME,spain
2009-06-19,20.53,21.04,20.51,21.04,0,EUR,BME,spain
2009-06-24,20.99,21.25,20.82,21.25,0,EUR,BME,spain
2009-06-25,21.2,21.26,20.81,20.81,0,EUR,BME,spain
2009-06-26,21.29,21.35,21.06,21.06,0,EUR,BME,spain
2009-07-02,21.6,21.7,21.01,21.01,0,EUR,BME,spain
2009-07-03,21.06,21.19,20.32,20.32,0,EUR,BME,spain
2009-07-06,20.39,20.57,20.18,20.57,0,EUR,BME,spain
2009-07-07,20.2,20.8,20.14,20.8,0,EUR,BME,spain
2009-07-08,20.2,20.59,20.15,20.59,0,EUR,BME,spain
2009-07-09,20.39,20.62,20.25,20.37,0,EUR,BME,spain
2009-07-10,20.31,20.58,20.1,20.22,0,EUR,BME,spain
2009-07-13,20.14,20.67,20.1,20.65,0,EUR,BME,spain
2009-07-14,20.65,21.43,20.51,21.43,0,EUR,BME,spain
2009-07-15,21.47,21.68,21.16,21.47,0,EUR,BME,spain
2009-07-16,21.5,22.07,21.4,21.98,0,EUR,BME,spain
2009-07-17,22.1,22.46,22.0,22.12,0,EUR,BME,spain
2009-07-20,22.22,22.32,22.17,22.24,0,EUR,BME,spain
2009-07-21,22.15,22.58,22.01,22.19,0,EUR,BME,spain
2009-07-22,22.2,22.45,22.11,22.42,0,EUR,BME,spain
2009-07-23,22.43,22.49,22.12,22.49,0,EUR,BME,spain
2009-07-24,22.4,22.77,22.4,22.5,0,EUR,BME,spain
2009-07-28,22.98,23.23,22.65,22.65,0,EUR,BME,spain
2009-07-29,22.63,23.07,22.47,22.52,0,EUR,BME,spain
2009-07-30,22.76,22.86,22.36,22.53,0,EUR,BME,spain
2009-07-31,22.52,22.95,22.44,22.78,0,EUR,BME,spain
2009-08-03,22.89,23.68,22.89,23.32,0,EUR,BME,spain
2009-08-04,23.56,23.57,22.74,23.24,0,EUR,BME,spain
2009-08-05,23.28,23.55,23.02,23.12,0,EUR,BME,spain
2009-08-06,23.28,23.54,23.05,23.19,0,EUR,BME,spain
2009-08-07,23.15,23.3,23.02,23.19,0,EUR,BME,spain
2009-08-10,23.14,23.56,23.08,23.31,0,EUR,BME,spain
2009-08-11,23.4,23.72,23.2,23.38,0,EUR,BME,spain
2009-08-12,23.26,23.49,22.83,23.39,0,EUR,BME,spain
2009-08-13,23.47,23.57,23.16,23.29,0,EUR,BME,spain
2009-08-14,23.38,23.52,23.06,23.15,0,EUR,BME,spain
2009-08-17,23.02,23.05,22.36,22.37,0,EUR,BME,spain
2009-08-18,22.44,22.86,22.43,22.79,0,EUR,BME,spain
2009-08-19,22.78,23.19,22.4,23.03,0,EUR,BME,spain
2009-08-20,23.24,23.65,23.16,23.43,0,EUR,BME,spain
2009-08-21,23.41,23.98,23.35,23.93,0,EUR,BME,spain
2009-08-24,23.98,24.07,23.79,23.81,0,EUR,BME,spain
2009-08-25,23.72,23.89,23.67,23.89,0,EUR,BME,spain
2009-08-26,23.82,23.99,23.7,23.82,0,EUR,BME,spain
2009-08-27,23.85,24.24,23.85,24.1,0,EUR,BME,spain
2009-08-28,24.26,24.66,24.14,24.55,0,EUR,BME,spain
2009-08-31,24.64,24.96,24.47,24.59,0,EUR,BME,spain
2009-09-01,24.81,25.07,24.36,24.39,0,EUR,BME,spain
2009-09-02,24.49,24.7,24.03,24.64,0,EUR,BME,spain
2009-09-03,24.63,24.81,24.34,24.64,0,EUR,BME,spain
2009-09-04,24.8,24.91,24.73,24.84,0,EUR,BME,spain
2009-09-07,25.02,25.49,25.02,25.33,0,EUR,BME,spain
2009-09-08,25.37,25.73,25.37,25.67,0,EUR,BME,spain
2009-09-09,25.64,25.8,25.62,25.76,0,EUR,BME,spain
2009-09-10,25.35,25.47,24.33,24.84,0,EUR,BME,spain
2009-09-11,24.99,25.19,24.97,25.02,0,EUR,BME,spain
2009-09-14,24.79,24.98,24.26,24.98,0,EUR,BME,spain
