Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-23,7.12,7.12,6.6,7.1,30,EUR,BRIO,spain
2010-11-24,7.12,7.12,6.82,7.1,316,EUR,BRIO,spain
2010-11-25,6.78,7.0,6.78,7.1,48,EUR,BRIO,spain
2010-11-26,6.78,6.95,6.72,7.1,80,EUR,BRIO,spain
2010-11-29,6.95,6.99,6.71,6.99,870,EUR,BRIO,spain
2010-11-30,6.78,6.78,6.78,6.99,32,EUR,BRIO,spain
2010-12-01,7.09,7.09,6.72,6.99,203,EUR,BRIO,spain
2010-12-02,6.78,7.08,6.63,7.05,809,EUR,BRIO,spain
2010-12-03,6.75,7.07,6.75,6.76,655,EUR,BRIO,spain
2010-12-06,6.77,6.99,6.77,6.76,254,EUR,BRIO,spain
2010-12-07,6.77,7.07,6.76,7.06,820,EUR,BRIO,spain
2010-12-08,6.78,7.09,6.77,7.05,847,EUR,BRIO,spain
2010-12-09,6.83,6.83,6.82,7.05,102,EUR,BRIO,spain
2010-12-10,6.83,7.0,6.83,7.05,101,EUR,BRIO,spain
2010-12-13,7.1,7.1,7.0,7.0,600,EUR,BRIO,spain
2010-12-14,6.84,6.84,6.84,6.84,500,EUR,BRIO,spain
2010-12-15,6.83,7.07,6.77,7.06,2313,EUR,BRIO,spain
2010-12-16,6.85,6.85,6.84,6.84,765,EUR,BRIO,spain
2010-12-17,6.84,6.84,6.84,6.84,100,EUR,BRIO,spain
2010-12-20,6.77,6.78,6.76,6.76,818,EUR,BRIO,spain
2010-12-21,6.78,7.1,6.78,7.1,6275,EUR,BRIO,spain
2010-12-22,7.1,7.1,6.74,7.09,1434,EUR,BRIO,spain
2010-12-23,6.74,6.9,6.74,7.09,147,EUR,BRIO,spain
2010-12-27,7.09,7.09,7.09,7.09,31,EUR,BRIO,spain
2010-12-28,7.1,7.1,6.91,7.1,775,EUR,BRIO,spain
2010-12-29,6.9,7.1,6.9,7.1,1007,EUR,BRIO,spain
2010-12-30,6.9,6.9,6.9,7.1,48,EUR,BRIO,spain
2011-01-03,6.8,7.29,6.8,7.26,840,EUR,BRIO,spain
2011-01-04,6.68,7.2,6.68,7.26,12,EUR,BRIO,spain
2011-01-05,6.72,6.99,6.6,6.86,3001,EUR,BRIO,spain
2011-01-06,6.7,6.7,6.7,6.86,300,EUR,BRIO,spain
2011-01-07,6.7,6.7,6.7,6.7,594,EUR,BRIO,spain
2011-01-10,6.52,6.8,6.52,6.73,987,EUR,BRIO,spain
2011-01-11,6.54,6.73,6.54,6.73,132,EUR,BRIO,spain
2011-01-12,6.53,6.8,6.53,6.67,923,EUR,BRIO,spain
2011-01-13,6.75,7.03,6.52,6.97,804,EUR,BRIO,spain
2011-01-14,6.66,6.66,6.66,6.97,100,EUR,BRIO,spain
2011-01-17,6.71,7.18,6.71,7.17,727,EUR,BRIO,spain
