Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-11-25,5.17,5.17,5.17,5.11,2000,EUR,BRKM3,spain
2011-11-28,5.26,5.26,5.26,5.35,2000,EUR,BRKM3,spain
2011-11-29,5.54,5.54,5.54,5.42,2000,EUR,BRKM3,spain
2011-11-30,5.5,5.5,5.5,5.67,2000,EUR,BRKM3,spain
2011-12-01,5.92,5.92,5.65,5.67,2500,EUR,BRKM3,spain
2011-12-02,5.76,5.76,5.76,5.59,2000,EUR,BRKM3,spain
2011-12-05,5.45,5.45,5.45,5.65,1500,EUR,BRKM3,spain
2011-12-06,5.86,5.86,5.86,5.66,2000,EUR,BRKM3,spain
2011-12-07,5.98,5.98,5.98,5.76,1000,EUR,BRKM3,spain
2011-12-08,5.73,5.91,5.73,5.44,3170,EUR,BRKM3,spain
2011-12-09,5.33,5.33,5.33,5.42,3000,EUR,BRKM3,spain
2011-12-12,5.78,5.78,5.78,5.36,1500,EUR,BRKM3,spain
2011-12-13,5.53,5.53,5.53,5.45,500,EUR,BRKM3,spain
2011-12-14,5.6,5.6,5.6,5.4,500,EUR,BRKM3,spain
2011-12-15,5.49,5.49,5.49,5.45,500,EUR,BRKM3,spain
2011-12-16,5.48,5.48,5.48,5.37,500,EUR,BRKM3,spain
2011-12-19,5.47,5.47,5.47,5.23,500,EUR,BRKM3,spain
2011-12-20,5.51,5.51,5.51,5.4,500,EUR,BRKM3,spain
2011-12-21,5.66,5.66,5.3,5.29,1250,EUR,BRKM3,spain
2011-12-22,5.48,5.48,5.48,5.4,500,EUR,BRKM3,spain
2011-12-23,5.6,5.6,5.28,5.44,777,EUR,BRKM3,spain
2011-12-27,5.63,5.63,5.37,5.51,674,EUR,BRKM3,spain
2011-12-28,5.65,5.65,5.65,5.34,500,EUR,BRKM3,spain
2011-12-29,5.51,5.51,5.51,5.32,500,EUR,BRKM3,spain
2011-12-30,5.28,5.28,5.28,5.32,1380,EUR,BRKM3,spain
2012-01-02,5.39,5.39,5.39,5.35,2588,EUR,BRKM3,spain
2012-01-03,5.44,5.44,5.44,5.51,2000,EUR,BRKM3,spain
2012-01-04,5.73,5.73,5.38,5.55,1750,EUR,BRKM3,spain
2012-01-05,5.59,5.59,5.59,5.31,2000,EUR,BRKM3,spain
2012-01-06,5.44,5.44,5.44,5.41,2000,EUR,BRKM3,spain
2012-01-09,5.39,5.39,5.39,5.45,2000,EUR,BRKM3,spain
2012-01-10,5.26,5.26,5.26,5.45,2000,EUR,BRKM3,spain
2012-01-11,5.32,5.32,5.32,5.48,1000,EUR,BRKM3,spain
2012-01-12,5.66,5.66,5.66,5.46,500,EUR,BRKM3,spain
2012-01-13,5.68,5.68,5.68,5.62,500,EUR,BRKM3,spain
2012-01-16,5.75,5.75,5.71,5.57,1700,EUR,BRKM3,spain
2012-01-17,5.73,5.73,5.54,5.6,1028,EUR,BRKM3,spain
2012-01-18,5.51,5.51,5.51,5.79,500,EUR,BRKM3,spain
2012-01-19,6.21,6.21,5.76,6.06,1195,EUR,BRKM3,spain
2012-01-20,5.99,5.99,5.98,5.97,1040,EUR,BRKM3,spain
2012-01-23,6.16,6.16,6.16,6.01,500,EUR,BRKM3,spain
2012-01-24,5.92,6.15,5.92,6.05,519,EUR,BRKM3,spain
2012-01-25,6.04,6.04,6.04,6.19,1000,EUR,BRKM3,spain
2012-01-26,5.92,6.59,5.92,6.55,2351,EUR,BRKM3,spain
2012-01-27,6.66,6.71,6.66,6.58,630,EUR,BRKM3,spain
2012-01-30,6.67,6.67,6.47,6.62,1700,EUR,BRKM3,spain
2012-01-31,6.73,6.73,6.73,6.62,500,EUR,BRKM3,spain
2012-02-01,6.5,6.76,6.5,6.64,1432,EUR,BRKM3,spain
2012-02-02,6.52,6.52,6.52,6.62,500,EUR,BRKM3,spain
2012-02-03,6.52,6.52,6.52,6.72,500,EUR,BRKM3,spain
2012-02-06,6.61,6.61,6.61,6.7,500,EUR,BRKM3,spain
2012-02-07,6.52,6.52,6.52,6.83,500,EUR,BRKM3,spain
2012-02-08,6.93,6.93,6.93,6.94,790,EUR,BRKM3,spain
2012-02-09,7.05,7.05,7.05,6.63,500,EUR,BRKM3,spain
2012-02-10,6.81,6.81,6.49,6.49,900,EUR,BRKM3,spain
2012-02-13,6.65,6.65,6.65,6.47,500,EUR,BRKM3,spain
2012-02-14,6.61,6.61,6.61,6.38,500,EUR,BRKM3,spain
2012-02-15,6.23,6.23,6.18,6.32,620,EUR,BRKM3,spain
2012-02-16,6.48,6.48,6.45,6.32,700,EUR,BRKM3,spain
2012-02-17,6.69,6.69,6.69,6.57,500,EUR,BRKM3,spain
2012-02-20,6.75,6.75,6.75,6.75,0,EUR,BRKM3,spain
2012-02-21,6.39,6.39,6.39,6.5,500,EUR,BRKM3,spain
2012-02-22,6.71,6.71,6.71,6.58,500,EUR,BRKM3,spain
