Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,2.48,2.49,2.48,2.49,0,EUR,CABK,spain
2009-02-12,2.48,2.49,2.46,2.49,0,EUR,CABK,spain
2009-02-13,2.49,2.54,2.49,2.54,0,EUR,CABK,spain
2009-02-16,2.48,2.49,2.44,2.44,0,EUR,CABK,spain
2009-02-17,2.41,2.43,2.38,2.38,0,EUR,CABK,spain
2009-02-18,2.4,2.41,2.32,2.32,0,EUR,CABK,spain
2009-02-19,2.38,2.4,2.33,2.33,0,EUR,CABK,spain
2009-02-20,2.36,2.36,2.25,2.25,0,EUR,CABK,spain
2009-02-25,2.24,2.28,2.2,2.2,0,EUR,CABK,spain
2009-02-26,2.21,2.31,2.21,2.31,0,EUR,CABK,spain
2009-02-27,2.23,2.27,2.18,2.18,0,EUR,CABK,spain
2009-03-06,2.06,2.12,2.01,2.12,0,EUR,CABK,spain
2009-03-09,2.07,2.07,2.05,2.05,0,EUR,CABK,spain
2009-03-10,2.04,2.08,1.95,1.95,0,EUR,CABK,spain
2009-03-11,2.06,2.15,2.04,2.15,0,EUR,CABK,spain
2009-03-12,2.06,2.06,1.99,1.99,0,EUR,CABK,spain
2009-03-13,2.09,2.13,2.06,2.06,0,EUR,CABK,spain
2009-03-16,2.15,2.16,2.14,2.16,0,EUR,CABK,spain
2009-03-17,2.15,2.17,2.11,2.11,0,EUR,CABK,spain
2009-03-18,2.14,2.22,2.14,2.22,0,EUR,CABK,spain
2009-03-19,2.24,2.26,2.2,2.2,0,EUR,CABK,spain
2009-03-20,2.22,2.28,2.18,2.28,0,EUR,CABK,spain
2009-04-01,2.32,2.36,2.32,2.32,0,EUR,CABK,spain
2009-04-02,2.38,2.43,2.36,2.43,0,EUR,CABK,spain
2009-04-03,2.4,2.44,2.37,2.37,0,EUR,CABK,spain
2009-04-06,2.5,2.53,2.45,2.45,0,EUR,CABK,spain
2009-04-07,2.47,2.58,2.46,2.58,0,EUR,CABK,spain
2009-04-08,2.49,2.56,2.47,2.56,0,EUR,CABK,spain
2009-04-09,2.57,2.64,2.55,2.64,0,EUR,CABK,spain
2009-04-16,2.8,2.86,2.79,2.79,0,EUR,CABK,spain
2009-04-17,2.81,2.81,2.72,2.72,0,EUR,CABK,spain
2009-04-20,2.77,2.8,2.73,2.73,0,EUR,CABK,spain
2009-04-21,2.72,2.77,2.69,2.69,0,EUR,CABK,spain
2009-04-22,2.72,2.87,2.72,2.87,0,EUR,CABK,spain
2009-04-23,2.81,2.94,2.71,2.94,0,EUR,CABK,spain
2009-04-24,2.85,2.89,2.84,2.89,0,EUR,CABK,spain
2009-04-27,2.76,2.88,2.75,2.88,0,EUR,CABK,spain
2009-04-28,2.78,2.81,2.71,2.71,0,EUR,CABK,spain
2009-04-29,2.77,2.84,2.74,2.84,0,EUR,CABK,spain
2009-04-30,2.85,2.88,2.83,2.88,0,EUR,CABK,spain
2009-05-05,2.9,2.91,2.81,2.81,0,EUR,CABK,spain
2009-05-06,2.83,2.91,2.83,2.91,0,EUR,CABK,spain
2009-05-07,2.97,3.02,2.95,2.95,0,EUR,CABK,spain
2009-05-08,3.0,3.0,2.96,2.96,0,EUR,CABK,spain
2009-05-14,2.87,2.88,2.83,2.88,0,EUR,CABK,spain
2009-05-15,2.88,2.94,2.86,2.94,0,EUR,CABK,spain
2009-05-18,2.86,2.95,2.86,2.95,0,EUR,CABK,spain
2009-05-19,2.96,3.0,2.96,3.0,0,EUR,CABK,spain
2009-05-20,3.0,3.05,2.98,3.05,0,EUR,CABK,spain
2009-05-21,3.03,3.03,2.98,2.98,0,EUR,CABK,spain
2009-05-22,3.01,3.07,3.0,3.07,0,EUR,CABK,spain
2009-05-25,3.05,3.06,3.04,3.04,0,EUR,CABK,spain
2009-05-26,3.05,3.07,3.03,3.07,0,EUR,CABK,spain
2009-05-27,3.0,3.06,3.0,3.06,0,EUR,CABK,spain
2009-05-28,3.01,3.04,3.01,3.01,0,EUR,CABK,spain
2009-05-29,3.03,3.06,3.01,3.01,0,EUR,CABK,spain
2009-06-02,3.09,3.11,3.08,3.08,0,EUR,CABK,spain
2009-06-03,3.09,3.17,3.07,3.07,0,EUR,CABK,spain
2009-06-04,3.09,3.14,3.05,3.05,0,EUR,CABK,spain
2009-06-05,3.16,3.17,3.09,3.09,0,EUR,CABK,spain
2009-06-11,3.13,3.13,3.1,3.13,0,EUR,CABK,spain
2009-06-12,3.15,3.15,3.1,3.15,0,EUR,CABK,spain
2009-06-15,3.12,3.14,3.11,3.11,0,EUR,CABK,spain
2009-06-16,3.11,3.16,3.11,3.16,0,EUR,CABK,spain
2009-06-17,3.08,3.09,3.06,3.06,0,EUR,CABK,spain
2009-06-18,3.05,3.13,3.04,3.13,0,EUR,CABK,spain
2009-06-19,3.11,3.15,3.11,3.15,0,EUR,CABK,spain
2009-06-24,3.14,3.21,3.09,3.21,0,EUR,CABK,spain
2009-06-25,3.19,3.21,3.13,3.13,0,EUR,CABK,spain
2009-06-26,3.26,3.36,3.21,3.36,0,EUR,CABK,spain
2009-07-02,3.31,3.32,3.26,3.26,0,EUR,CABK,spain
2009-07-03,3.27,3.27,3.24,3.24,0,EUR,CABK,spain
2009-07-06,3.22,3.28,3.17,3.28,0,EUR,CABK,spain
2009-07-07,3.3,3.3,3.22,3.22,0,EUR,CABK,spain
2009-07-08,3.22,3.23,3.13,3.13,0,EUR,CABK,spain
2009-07-09,3.14,3.19,3.14,3.15,0,EUR,CABK,spain
2009-07-10,3.13,3.14,3.07,3.07,0,EUR,CABK,spain
2009-07-13,3.05,3.21,3.05,3.2,0,EUR,CABK,spain
2009-07-14,3.19,3.22,3.14,3.18,0,EUR,CABK,spain
2009-07-15,3.21,3.24,3.19,3.24,0,EUR,CABK,spain
2009-07-16,3.23,3.28,3.22,3.25,0,EUR,CABK,spain
2009-07-17,3.27,3.27,3.22,3.24,0,EUR,CABK,spain
2009-07-20,3.26,3.26,3.21,3.23,0,EUR,CABK,spain
2009-07-21,3.24,3.25,3.16,3.18,0,EUR,CABK,spain
2009-07-22,3.19,3.24,3.18,3.2,0,EUR,CABK,spain
2009-07-23,3.23,3.26,3.2,3.26,0,EUR,CABK,spain
2009-07-24,3.26,3.29,3.23,3.26,0,EUR,CABK,spain
2009-07-28,3.28,3.31,3.27,3.28,0,EUR,CABK,spain
2009-07-29,3.28,3.29,3.26,3.27,0,EUR,CABK,spain
2009-07-30,3.3,3.39,3.28,3.38,0,EUR,CABK,spain
2009-07-31,3.38,3.43,3.34,3.36,0,EUR,CABK,spain
2009-08-03,3.39,3.43,3.29,3.39,0,EUR,CABK,spain
2009-08-04,3.42,3.42,3.36,3.4,0,EUR,CABK,spain
2009-08-05,3.43,3.45,3.38,3.39,0,EUR,CABK,spain
2009-08-06,3.41,3.45,3.39,3.41,0,EUR,CABK,spain
2009-08-07,3.41,3.42,3.39,3.4,0,EUR,CABK,spain
2009-08-10,3.4,3.42,3.38,3.41,0,EUR,CABK,spain
2009-08-11,3.41,3.42,3.33,3.35,0,EUR,CABK,spain
2009-08-12,3.33,3.39,3.31,3.38,0,EUR,CABK,spain
2009-08-13,3.39,3.45,3.36,3.45,0,EUR,CABK,spain
2009-08-14,3.44,3.47,3.4,3.41,0,EUR,CABK,spain
2009-08-17,3.42,3.42,3.33,3.34,0,EUR,CABK,spain
2009-08-18,3.37,3.39,3.34,3.38,0,EUR,CABK,spain
2009-08-19,3.38,3.41,3.34,3.39,0,EUR,CABK,spain
2009-08-20,3.41,3.47,3.41,3.47,0,EUR,CABK,spain
2009-08-21,3.47,3.54,3.45,3.5,0,EUR,CABK,spain
2009-08-24,3.54,3.55,3.51,3.53,0,EUR,CABK,spain
2009-08-25,3.52,3.54,3.51,3.54,0,EUR,CABK,spain
2009-08-26,3.53,3.53,3.5,3.5,0,EUR,CABK,spain
2009-08-27,3.5,3.51,3.46,3.46,0,EUR,CABK,spain
2009-08-28,3.48,3.51,3.47,3.48,0,EUR,CABK,spain
2009-08-31,3.48,3.51,3.46,3.51,0,EUR,CABK,spain
2009-09-01,3.51,3.51,3.43,3.43,0,EUR,CABK,spain
2009-09-02,3.41,3.42,3.36,3.41,0,EUR,CABK,spain
2009-09-03,3.43,3.43,3.36,3.37,0,EUR,CABK,spain
2009-09-04,3.38,3.4,3.36,3.36,0,EUR,CABK,spain
2009-09-07,3.38,3.43,3.36,3.42,0,EUR,CABK,spain
2009-09-08,3.44,3.44,3.41,3.42,0,EUR,CABK,spain
2009-09-09,3.45,3.5,3.45,3.49,0,EUR,CABK,spain
2009-09-10,3.49,3.5,3.41,3.47,0,EUR,CABK,spain
2009-09-11,3.48,3.51,3.48,3.49,0,EUR,CABK,spain
2009-09-14,3.47,3.48,3.42,3.48,0,EUR,CABK,spain
2009-09-15,3.47,3.49,3.46,3.47,0,EUR,CABK,spain
2009-09-16,3.49,3.51,3.48,3.5,0,EUR,CABK,spain
2009-09-17,3.51,3.51,3.49,3.51,0,EUR,CABK,spain
2009-09-18,3.49,3.51,3.49,3.5,0,EUR,CABK,spain
2009-09-21,3.49,3.49,3.45,3.48,0,EUR,CABK,spain
2009-09-22,3.49,3.53,3.48,3.53,0,EUR,CABK,spain
2009-09-23,3.51,3.54,3.51,3.51,0,EUR,CABK,spain
2009-09-24,3.51,3.53,3.47,3.49,0,EUR,CABK,spain
2009-09-25,3.49,3.5,3.46,3.48,0,EUR,CABK,spain
