Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-22,387.15,390.0,380.4,385.0,2235,EUR,CAF,spain
2010-11-23,383.0,383.0,372.2,372.7,3162,EUR,CAF,spain
2010-11-24,372.0,378.0,372.0,376.85,5665,EUR,CAF,spain
2010-11-25,374.1,378.0,371.1,377.05,2058,EUR,CAF,spain
2010-11-26,373.1,376.0,368.5,374.0,3850,EUR,CAF,spain
2010-11-29,377.0,377.0,370.6,371.6,1717,EUR,CAF,spain
2010-11-30,370.0,370.0,355.0,359.65,6840,EUR,CAF,spain
2010-12-01,357.0,367.7,351.0,365.5,8604,EUR,CAF,spain
2010-12-02,367.0,374.6,361.05,370.7,5118,EUR,CAF,spain
2010-12-03,368.1,379.25,368.1,379.2,2856,EUR,CAF,spain
2010-12-06,379.0,383.9,375.6,383.9,4188,EUR,CAF,spain
2010-12-07,383.9,386.1,377.1,380.6,5388,EUR,CAF,spain
2010-12-08,380.6,381.1,377.0,377.5,4462,EUR,CAF,spain
2010-12-09,380.0,380.0,375.75,378.85,3997,EUR,CAF,spain
2010-12-10,375.1,379.55,367.0,374.5,5455,EUR,CAF,spain
2010-12-13,372.0,384.3,372.0,383.65,3444,EUR,CAF,spain
2010-12-14,384.85,394.25,383.0,394.0,6489,EUR,CAF,spain
2010-12-15,393.9,393.9,387.05,391.0,3984,EUR,CAF,spain
2010-12-16,393.5,404.5,393.0,400.0,8319,EUR,CAF,spain
2010-12-17,400.0,400.0,391.05,391.05,3721,EUR,CAF,spain
2010-12-20,398.8,398.8,390.0,392.5,3614,EUR,CAF,spain
2010-12-21,395.5,396.0,390.5,393.75,2637,EUR,CAF,spain
2010-12-22,391.35,394.5,388.0,392.0,3393,EUR,CAF,spain
2010-12-23,388.05,395.0,386.1,388.35,1201,EUR,CAF,spain
2010-12-27,393.95,393.95,376.65,380.75,2755,EUR,CAF,spain
2010-12-28,377.0,391.6,377.0,390.5,4929,EUR,CAF,spain
2010-12-29,390.0,390.0,386.05,388.25,1193,EUR,CAF,spain
2010-12-30,389.0,390.0,385.25,390.0,2927,EUR,CAF,spain
2011-01-03,390.05,394.3,388.8,392.9,2226,EUR,CAF,spain
2011-01-04,391.1,398.9,391.1,396.75,6545,EUR,CAF,spain
2011-01-05,392.45,396.0,386.0,391.35,4735,EUR,CAF,spain
2011-01-06,393.0,393.0,386.45,387.5,1250,EUR,CAF,spain
2011-01-07,388.0,388.0,383.0,383.9,2026,EUR,CAF,spain
2011-01-10,380.5,389.8,375.0,385.4,4609,EUR,CAF,spain
2011-01-11,385.0,392.0,384.05,387.4,7712,EUR,CAF,spain
2011-01-12,385.0,391.35,385.0,389.1,4670,EUR,CAF,spain
2011-01-13,385.7,390.9,385.7,389.4,4301,EUR,CAF,spain
2011-01-14,388.1,389.6,384.0,387.0,5467,EUR,CAF,spain
2011-01-17,389.0,389.0,384.5,385.0,3090,EUR,CAF,spain
2011-01-18,387.0,390.5,386.0,386.0,10204,EUR,CAF,spain
2011-01-19,387.2,389.45,384.05,386.0,5389,EUR,CAF,spain
2011-01-20,387.0,388.0,380.8,382.7,4362,EUR,CAF,spain
2011-01-21,381.5,384.9,372.5,379.8,10640,EUR,CAF,spain
2011-01-24,379.9,380.0,373.0,377.0,9890,EUR,CAF,spain
2011-01-25,379.95,389.45,379.2,389.4,9260,EUR,CAF,spain
2011-01-26,390.0,394.55,387.7,391.5,8325,EUR,CAF,spain
2011-01-27,391.0,393.0,385.25,385.35,12776,EUR,CAF,spain
2011-01-28,388.3,392.95,385.5,392.8,7226,EUR,CAF,spain
2011-01-31,391.0,397.0,387.1,396.35,7544,EUR,CAF,spain
2011-02-01,397.0,397.95,386.0,386.0,10110,EUR,CAF,spain
2011-02-02,392.0,397.4,388.4,397.0,6736,EUR,CAF,spain
2011-02-03,397.0,397.0,391.2,396.05,5298,EUR,CAF,spain
2011-02-04,397.4,400.95,395.25,400.45,4080,EUR,CAF,spain
2011-02-07,401.0,405.6,400.0,405.6,7645,EUR,CAF,spain
2011-02-08,406.9,414.0,405.0,409.95,7322,EUR,CAF,spain
2011-02-09,413.0,413.0,408.05,410.3,8506,EUR,CAF,spain
2011-02-10,412.8,412.8,397.15,400.55,8578,EUR,CAF,spain
2011-02-11,404.7,407.9,398.05,406.65,3320,EUR,CAF,spain
2011-02-14,408.0,411.85,403.1,411.0,5268,EUR,CAF,spain
2011-02-15,411.85,412.0,407.7,409.65,3522,EUR,CAF,spain
2011-02-16,410.0,410.95,407.6,408.75,3332,EUR,CAF,spain
2011-02-17,412.5,412.5,406.0,407.1,3276,EUR,CAF,spain
2011-02-18,410.0,410.45,403.5,405.8,2321,EUR,CAF,spain
2011-02-21,405.0,405.8,396.75,396.75,4615,EUR,CAF,spain
2011-02-22,392.0,402.4,388.0,395.65,2455,EUR,CAF,spain
2011-02-23,395.0,398.6,377.2,385.1,11762,EUR,CAF,spain
2011-02-24,385.0,394.0,382.15,393.35,4058,EUR,CAF,spain
2011-02-25,399.9,399.9,393.0,394.15,3605,EUR,CAF,spain
2011-02-28,396.85,399.35,391.5,398.9,4563,EUR,CAF,spain
2011-03-01,399.55,399.55,393.1,398.15,3701,EUR,CAF,spain
2011-03-02,394.0,394.0,386.45,388.95,7281,EUR,CAF,spain
2011-03-03,390.0,396.4,390.0,390.9,4012,EUR,CAF,spain
2011-03-04,390.8,395.95,390.0,395.6,5373,EUR,CAF,spain
