Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-03-20,2.097,2.2,2.065,2.2,9725791,EUR,CASHP,spain
2017-03-21,2.23,2.25,2.181,2.19,15039043,EUR,CASHP,spain
2017-03-22,2.21,2.21,2.13,2.155,4428978,EUR,CASHP,spain
2017-03-23,2.195,2.196,2.15,2.151,670531,EUR,CASHP,spain
2017-03-24,2.169,2.169,2.09,2.102,877286,EUR,CASHP,spain
2017-03-27,2.085,2.095,2.05,2.05,947272,EUR,CASHP,spain
2017-03-28,2.06,2.09,2.0,2.09,1206327,EUR,CASHP,spain
2017-03-29,2.1,2.12,2.09,2.105,563767,EUR,CASHP,spain
2017-03-30,2.1,2.15,2.1,2.14,1033859,EUR,CASHP,spain
2017-03-31,2.12,2.149,2.107,2.14,524202,EUR,CASHP,spain
2017-04-03,2.159,2.165,2.1,2.125,475869,EUR,CASHP,spain
2017-04-04,2.11,2.16,2.11,2.13,503285,EUR,CASHP,spain
2017-04-05,2.11,2.15,2.101,2.13,750796,EUR,CASHP,spain
2017-04-06,2.11,2.17,2.101,2.17,4852902,EUR,CASHP,spain
2017-04-07,2.12,2.197,2.111,2.18,960816,EUR,CASHP,spain
2017-04-10,2.15,2.195,2.15,2.195,213204,EUR,CASHP,spain
2017-04-11,2.16,2.197,2.157,2.171,581919,EUR,CASHP,spain
2017-04-12,2.18,2.19,2.161,2.178,156147,EUR,CASHP,spain
2017-04-13,2.155,2.197,2.12,2.197,443598,EUR,CASHP,spain
2017-04-18,2.197,2.197,2.145,2.145,105302,EUR,CASHP,spain
2017-04-19,2.15,2.165,2.134,2.16,135852,EUR,CASHP,spain
2017-04-20,2.14,2.16,2.13,2.16,170560,EUR,CASHP,spain
2017-04-21,2.13,2.157,2.13,2.144,787484,EUR,CASHP,spain
2017-04-24,2.158,2.19,2.128,2.17,3061529,EUR,CASHP,spain
2017-04-25,2.186,2.35,2.181,2.33,3944189,EUR,CASHP,spain
2017-04-26,2.35,2.37,2.253,2.33,3639455,EUR,CASHP,spain
2017-04-27,2.34,2.34,2.281,2.33,1304255,EUR,CASHP,spain
2017-04-28,2.33,2.394,2.33,2.34,2713447,EUR,CASHP,spain
2017-05-02,2.325,2.41,2.314,2.39,1026033,EUR,CASHP,spain
2017-05-03,2.406,2.45,2.388,2.39,1280528,EUR,CASHP,spain
2017-05-04,2.4,2.4,2.364,2.364,444960,EUR,CASHP,spain
2017-05-05,2.38,2.463,2.34,2.34,2270122,EUR,CASHP,spain
2017-05-08,2.354,2.389,2.32,2.35,3080531,EUR,CASHP,spain
2017-05-09,2.385,2.398,2.338,2.338,1582339,EUR,CASHP,spain
2017-05-10,2.366,2.37,2.352,2.36,3429949,EUR,CASHP,spain
2017-05-11,2.385,2.385,2.33,2.34,690264,EUR,CASHP,spain
2017-05-12,2.33,2.36,2.32,2.36,997156,EUR,CASHP,spain
2017-05-15,2.35,2.387,2.27,2.35,1484223,EUR,CASHP,spain
2017-05-16,2.375,2.4,2.335,2.4,1792854,EUR,CASHP,spain
2017-05-17,2.347,2.415,2.347,2.37,1346637,EUR,CASHP,spain
2017-05-18,2.37,2.37,2.242,2.242,2280964,EUR,CASHP,spain
2017-05-19,2.24,2.324,2.24,2.304,3344884,EUR,CASHP,spain
2017-05-22,2.32,2.325,2.281,2.281,1883812,EUR,CASHP,spain
2017-05-23,2.28,2.32,2.28,2.31,193079,EUR,CASHP,spain
2017-05-24,2.319,2.378,2.311,2.36,541434,EUR,CASHP,spain
2017-05-25,2.368,2.368,2.319,2.319,886773,EUR,CASHP,spain
2017-05-26,2.3,2.365,2.28,2.35,482089,EUR,CASHP,spain
2017-05-29,2.348,2.35,2.28,2.28,206754,EUR,CASHP,spain
2017-05-30,2.297,2.325,2.29,2.325,238842,EUR,CASHP,spain
2017-05-31,2.348,2.363,2.297,2.35,934217,EUR,CASHP,spain
2017-06-01,2.36,2.39,2.321,2.39,597179,EUR,CASHP,spain
2017-06-02,2.375,2.39,2.361,2.379,365081,EUR,CASHP,spain
2017-06-05,2.364,2.39,2.315,2.315,125285,EUR,CASHP,spain
2017-06-06,2.338,2.338,2.282,2.3,195708,EUR,CASHP,spain
2017-06-07,2.29,2.339,2.29,2.291,219647,EUR,CASHP,spain
2017-06-08,2.285,2.325,2.273,2.3,705896,EUR,CASHP,spain
2017-06-09,2.311,2.328,2.282,2.3,286783,EUR,CASHP,spain
2017-06-12,2.3,2.327,2.262,2.29,252853,EUR,CASHP,spain
2017-06-13,2.284,2.31,2.284,2.292,1348429,EUR,CASHP,spain
2017-06-14,2.29,2.321,2.284,2.313,137090,EUR,CASHP,spain
2017-06-15,2.32,2.32,2.291,2.291,234319,EUR,CASHP,spain
2017-06-16,2.29,2.333,2.29,2.296,311679,EUR,CASHP,spain
2017-06-19,2.32,2.32,2.29,2.29,222965,EUR,CASHP,spain
2017-06-20,2.294,2.309,2.28,2.28,184121,EUR,CASHP,spain
2017-06-21,2.25,2.296,2.13,2.29,2563805,EUR,CASHP,spain
2017-06-22,2.27,2.291,2.198,2.198,566771,EUR,CASHP,spain
