Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-02-02,2.19,2.19,2.19,2.19,2345,EUR,CATN,spain
2012-02-07,2.08,2.08,2.08,2.08,5074,EUR,CATN,spain
2012-02-08,2.08,2.08,2.08,2.08,2612,EUR,CATN,spain
2012-02-13,1.98,1.98,1.98,1.98,330,EUR,CATN,spain
2012-02-14,1.98,1.98,1.98,1.98,2558,EUR,CATN,spain
2012-02-15,1.97,1.97,1.97,1.97,3198,EUR,CATN,spain
2012-02-20,1.92,1.92,1.92,1.92,8315,EUR,CATN,spain
2012-02-21,1.9,1.92,1.9,1.92,7782,EUR,CATN,spain
2012-02-22,1.92,1.92,1.92,1.92,213,EUR,CATN,spain
2012-02-24,1.92,1.92,1.92,1.92,650,EUR,CATN,spain
2012-02-27,1.92,1.92,1.92,1.92,213,EUR,CATN,spain
2012-03-01,1.88,1.88,1.88,1.88,3145,EUR,CATN,spain
2012-03-07,1.88,1.88,1.83,1.83,14551,EUR,CATN,spain
2012-03-14,1.74,1.74,1.74,1.74,2772,EUR,CATN,spain
2012-03-16,1.74,1.74,1.74,1.74,4264,EUR,CATN,spain
2012-03-22,1.74,1.74,1.74,1.74,346,EUR,CATN,spain
2012-03-27,1.66,1.74,1.66,1.74,1186,EUR,CATN,spain
2012-03-28,1.66,1.66,1.66,1.66,6023,EUR,CATN,spain
2012-04-24,1.59,1.59,1.59,1.59,6291,EUR,CATN,spain
2012-04-25,1.59,1.59,1.59,1.59,157,EUR,CATN,spain
2012-05-03,1.51,1.51,1.51,1.51,3311,EUR,CATN,spain
2012-05-04,1.44,1.44,1.43,1.43,6970,EUR,CATN,spain
2012-05-08,1.36,1.36,1.36,1.36,3337,EUR,CATN,spain
2012-05-10,1.23,1.23,1.23,1.23,320,EUR,CATN,spain
2012-05-11,1.15,1.15,1.11,1.11,2854,EUR,CATN,spain
2012-05-15,1.0,1.0,1.0,1.0,320,EUR,CATN,spain
2012-05-16,0.96,0.96,0.96,0.96,1279,EUR,CATN,spain
2012-05-18,0.96,0.96,0.96,0.96,1066,EUR,CATN,spain
2012-06-05,0.92,0.92,0.92,0.92,586,EUR,CATN,spain
2012-06-06,0.92,0.92,0.92,0.92,5549,EUR,CATN,spain
2012-06-07,0.88,0.88,0.88,0.88,5671,EUR,CATN,spain
2012-06-20,0.87,0.87,0.87,0.87,800,EUR,CATN,spain
2012-06-22,0.94,0.94,0.94,0.94,10660,EUR,CATN,spain
2012-06-25,0.94,0.94,0.94,0.94,6396,EUR,CATN,spain
2012-06-29,0.89,0.89,0.89,0.89,400,EUR,CATN,spain
2012-07-02,0.89,0.89,0.89,0.89,2809,EUR,CATN,spain
2012-07-06,0.92,0.92,0.92,0.92,2345,EUR,CATN,spain
2012-07-09,0.92,0.92,0.92,0.92,533,EUR,CATN,spain
2012-07-11,0.89,0.89,0.87,0.87,3209,EUR,CATN,spain
2012-07-12,0.9,0.9,0.9,0.9,213,EUR,CATN,spain
2012-07-17,0.9,0.9,0.9,0.9,213,EUR,CATN,spain
2012-07-18,0.86,0.86,0.86,0.86,2878,EUR,CATN,spain
