Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-26,7.39,7.39,7.0,7.35,368,EUR,CBAV,spain
2010-11-29,7.0,7.0,6.73,6.99,3668,EUR,CBAV,spain
2010-11-30,6.9,7.31,5.87,6.36,52553,EUR,CBAV,spain
2010-12-01,6.85,7.05,6.4,7.05,12313,EUR,CBAV,spain
2010-12-02,7.0,7.34,7.0,7.01,14242,EUR,CBAV,spain
2010-12-03,7.0,7.28,7.0,7.0,3701,EUR,CBAV,spain
2010-12-06,7.15,7.35,7.15,7.2,2916,EUR,CBAV,spain
2010-12-07,7.0,7.2,7.0,7.0,586,EUR,CBAV,spain
2010-12-08,7.0,7.0,7.0,7.0,0,EUR,CBAV,spain
2010-12-09,7.0,7.0,7.0,7.0,2100,EUR,CBAV,spain
2010-12-10,7.0,7.0,7.0,7.0,0,EUR,CBAV,spain
2010-12-13,7.09,7.35,7.09,7.2,12594,EUR,CBAV,spain
2010-12-14,7.3,7.35,7.19,7.2,6145,EUR,CBAV,spain
2010-12-15,7.01,7.25,7.01,7.2,1100,EUR,CBAV,spain
2010-12-16,7.05,7.34,7.05,7.2,1555,EUR,CBAV,spain
2010-12-17,7.25,7.32,7.07,7.32,3728,EUR,CBAV,spain
2010-12-20,7.01,7.29,7.01,7.03,916,EUR,CBAV,spain
2010-12-21,7.29,7.29,7.19,7.19,1261,EUR,CBAV,spain
2010-12-22,7.29,7.4,7.03,7.03,20039,EUR,CBAV,spain
2010-12-23,7.04,7.44,7.04,7.44,1134,EUR,CBAV,spain
2010-12-27,7.03,7.24,7.03,7.04,2836,EUR,CBAV,spain
2010-12-28,7.01,7.29,7.01,7.04,351,EUR,CBAV,spain
2010-12-29,7.1,7.15,7.1,7.1,530,EUR,CBAV,spain
2010-12-30,7.4,7.4,7.2,7.2,5600,EUR,CBAV,spain
2011-01-03,7.2,7.2,7.2,7.2,3700,EUR,CBAV,spain
2011-01-04,7.2,7.2,7.2,7.2,0,EUR,CBAV,spain
2011-01-05,7.21,7.21,7.21,7.21,3000,EUR,CBAV,spain
2011-01-06,7.21,7.21,7.21,7.21,0,EUR,CBAV,spain
2011-01-07,7.21,7.21,7.21,7.21,0,EUR,CBAV,spain
2011-01-10,7.39,7.39,7.0,7.0,1740,EUR,CBAV,spain
2011-01-11,7.38,7.5,7.38,7.5,3190,EUR,CBAV,spain
2011-01-12,7.15,7.5,7.15,7.5,2450,EUR,CBAV,spain
2011-01-13,7.16,7.5,7.16,7.5,7141,EUR,CBAV,spain
2011-01-14,7.5,7.5,7.5,7.5,0,EUR,CBAV,spain
2011-01-17,7.5,7.5,7.5,7.5,0,EUR,CBAV,spain
2011-01-18,7.45,7.45,7.17,7.43,7708,EUR,CBAV,spain
2011-01-19,7.19,7.5,7.19,7.5,16230,EUR,CBAV,spain
2011-01-20,7.7,7.7,7.7,7.7,500,EUR,CBAV,spain
2011-01-21,7.5,7.7,7.25,7.7,4388,EUR,CBAV,spain
2011-01-24,7.7,7.82,7.7,7.82,8138,EUR,CBAV,spain
2011-01-25,7.71,7.71,7.71,7.82,135,EUR,CBAV,spain
2011-01-26,7.71,7.71,7.35,7.35,515,EUR,CBAV,spain
2011-01-27,7.81,7.81,7.4,7.79,1143,EUR,CBAV,spain
2011-01-28,7.38,8.21,7.38,8.0,9161,EUR,CBAV,spain
2011-01-31,7.9,7.99,7.65,7.65,1993,EUR,CBAV,spain
2011-02-01,7.65,7.9,7.27,7.9,8561,EUR,CBAV,spain
2011-02-02,7.37,7.79,7.37,7.6,8038,EUR,CBAV,spain
2011-02-03,7.6,7.6,7.45,7.5,1074,EUR,CBAV,spain
2011-02-04,7.36,7.89,7.36,7.38,1324,EUR,CBAV,spain
2011-02-07,7.56,7.88,7.38,7.48,11799,EUR,CBAV,spain
2011-02-08,7.38,7.86,7.38,7.85,3282,EUR,CBAV,spain
2011-02-09,7.89,7.89,7.7,7.89,915,EUR,CBAV,spain
2011-02-10,7.69,8.0,7.69,8.0,4657,EUR,CBAV,spain
2011-02-11,8.0,8.0,7.69,8.0,11661,EUR,CBAV,spain
2011-02-14,8.4,8.4,8.0,8.2,10923,EUR,CBAV,spain
2011-02-15,8.2,8.74,8.2,8.45,3380,EUR,CBAV,spain
2011-02-16,8.49,8.49,8.25,8.45,8891,EUR,CBAV,spain
2011-02-17,8.27,8.45,8.25,8.25,3255,EUR,CBAV,spain
2011-02-18,8.24,8.24,8.24,8.24,6568,EUR,CBAV,spain
2011-02-21,8.24,8.24,8.24,8.24,5847,EUR,CBAV,spain
2011-02-22,8.25,8.43,8.2,8.2,4522,EUR,CBAV,spain
2011-02-23,8.3,8.3,8.21,8.3,2422,EUR,CBAV,spain
2011-02-24,8.21,8.21,8.21,8.21,1522,EUR,CBAV,spain
2011-02-25,8.3,8.4,8.21,8.25,32724,EUR,CBAV,spain
2011-02-28,8.4,8.45,8.4,8.25,134,EUR,CBAV,spain
2011-03-01,8.3,8.44,7.92,8.25,1318,EUR,CBAV,spain
2011-03-02,8.26,8.43,8.01,8.06,3618,EUR,CBAV,spain
2011-03-03,8.41,8.41,8.4,8.4,500,EUR,CBAV,spain
2011-03-04,8.4,8.4,8.01,8.26,1899,EUR,CBAV,spain
2011-03-07,8.25,8.25,8.2,8.25,1013,EUR,CBAV,spain
2011-03-08,8.2,8.2,8.2,8.25,237,EUR,CBAV,spain
2011-03-09,8.2,8.2,8.02,8.2,1602,EUR,CBAV,spain
2011-03-10,8.2,8.27,8.0,8.21,18601,EUR,CBAV,spain
2011-03-11,8.0,8.19,7.9,8.0,5075,EUR,CBAV,spain
2011-03-14,8.04,8.05,7.71,7.95,17341,EUR,CBAV,spain
2011-03-15,7.95,7.95,7.35,7.7,2306,EUR,CBAV,spain
2011-03-16,7.7,7.7,7.7,7.7,127,EUR,CBAV,spain
2011-03-17,7.7,7.7,7.7,7.7,0,EUR,CBAV,spain
2011-03-18,7.8,7.8,7.75,7.75,677,EUR,CBAV,spain
2011-03-21,7.77,7.99,7.7,7.7,9019,EUR,CBAV,spain
2011-03-22,7.7,7.85,7.63,7.85,2445,EUR,CBAV,spain
2011-03-23,7.87,7.87,7.87,7.87,6663,EUR,CBAV,spain
2011-03-24,7.88,8.14,7.76,8.14,702,EUR,CBAV,spain
2011-03-25,7.83,8.15,7.83,8.14,476,EUR,CBAV,spain
2011-03-28,8.01,8.09,7.92,8.05,802,EUR,CBAV,spain
2011-03-29,7.99,8.1,7.91,8.0,3278,EUR,CBAV,spain
2011-03-30,8.0,8.0,8.0,8.0,682,EUR,CBAV,spain
2011-03-31,8.1,8.1,8.1,8.0,200,EUR,CBAV,spain
2011-04-01,7.95,7.95,7.93,8.0,201,EUR,CBAV,spain
2011-04-04,7.96,7.99,7.96,7.97,652,EUR,CBAV,spain
2011-04-05,8.1,8.1,8.1,7.97,1,EUR,CBAV,spain
2011-04-06,7.95,7.96,7.95,7.95,713,EUR,CBAV,spain
2011-04-07,7.96,7.96,7.96,7.95,250,EUR,CBAV,spain
2011-04-08,7.97,7.97,7.9,7.91,1624,EUR,CBAV,spain
2011-04-11,8.0,8.0,7.95,8.0,2069,EUR,CBAV,spain
2011-04-12,7.9,7.93,7.9,8.0,115,EUR,CBAV,spain
2011-04-13,7.9,8.1,7.9,8.1,2241,EUR,CBAV,spain
2011-04-14,8.14,8.14,7.94,8.1,475,EUR,CBAV,spain
2011-04-15,8.0,8.0,8.0,8.1,250,EUR,CBAV,spain
2011-04-18,8.1,8.18,8.1,8.14,6956,EUR,CBAV,spain
2011-04-19,7.93,8.15,7.93,8.15,611,EUR,CBAV,spain
2011-04-20,8.25,8.25,7.91,8.15,16,EUR,CBAV,spain
2011-04-21,7.93,7.93,7.93,8.15,1,EUR,CBAV,spain
2011-04-26,7.9,8.1,7.9,8.1,955,EUR,CBAV,spain
2011-04-27,8.1,8.1,7.94,8.1,2684,EUR,CBAV,spain
2011-04-28,8.1,8.25,7.97,8.15,6120,EUR,CBAV,spain
