Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-06-03,36.9,40.5,35.3,35.5,321132,EUR,CCEP,spain
2016-06-06,36.23,36.93,35.24,35.24,78768,EUR,CCEP,spain
2016-06-07,35.5,35.5,34.06,34.84,26596,EUR,CCEP,spain
2016-06-08,34.9,35.38,34.77,34.82,14413,EUR,CCEP,spain
2016-06-09,35.2,35.46,34.85,35.46,32768,EUR,CCEP,spain
2016-06-10,35.36,35.49,33.12,34.69,29518,EUR,CCEP,spain
2016-06-13,34.3,34.5,33.86,33.96,11480,EUR,CCEP,spain
2016-06-14,33.7,33.96,33.3,33.39,7150,EUR,CCEP,spain
2016-06-15,33.4,33.59,33.12,33.33,6792,EUR,CCEP,spain
2016-06-16,33.0,33.43,32.61,33.43,15802,EUR,CCEP,spain
2016-06-17,33.21,33.29,32.99,33.04,20813,EUR,CCEP,spain
2016-06-20,33.1,34.14,33.1,33.5,2857,EUR,CCEP,spain
2016-06-21,34.58,34.58,33.45,33.7,5663,EUR,CCEP,spain
2016-06-22,33.5,33.67,33.1,33.35,4983,EUR,CCEP,spain
2016-06-23,33.11,33.43,32.77,32.86,3448,EUR,CCEP,spain
2016-06-24,29.84,32.61,29.29,32.09,100488,EUR,CCEP,spain
2016-06-27,32.5,32.5,31.13,31.34,11390,EUR,CCEP,spain
2016-06-28,30.51,32.45,30.51,30.74,12373,EUR,CCEP,spain
2016-06-29,30.8,31.62,30.21,31.58,11031,EUR,CCEP,spain
2016-06-30,30.92,32.1,30.92,32.0,6977,EUR,CCEP,spain
2016-07-01,32.5,32.5,31.72,31.75,13240,EUR,CCEP,spain
2016-07-04,32.5,32.51,31.8,32.5,935,EUR,CCEP,spain
2016-07-05,32.5,32.5,31.62,31.64,4988,EUR,CCEP,spain
2016-07-06,31.59,31.64,31.0,31.0,7298,EUR,CCEP,spain
2016-07-07,31.65,31.96,31.53,31.9,3725,EUR,CCEP,spain
2016-07-08,32.33,32.5,32.28,32.28,2639,EUR,CCEP,spain
2016-07-11,32.53,32.72,32.35,32.6,2055,EUR,CCEP,spain
2016-07-12,32.69,32.69,32.26,32.59,4682,EUR,CCEP,spain
2016-07-13,33.0,33.0,32.23,32.46,801,EUR,CCEP,spain
2016-07-14,32.83,33.0,32.62,32.96,1240,EUR,CCEP,spain
2016-07-15,33.0,33.07,33.0,33.06,2739,EUR,CCEP,spain
2016-07-18,33.4,33.9,33.2,33.6,1519,EUR,CCEP,spain
2016-07-19,33.5,34.0,32.02,33.94,4432,EUR,CCEP,spain
2016-07-20,35.0,35.0,34.14,34.17,3350,EUR,CCEP,spain
2016-07-21,34.5,34.58,34.12,34.2,720,EUR,CCEP,spain
2016-07-22,34.89,34.89,34.52,34.65,2248,EUR,CCEP,spain
2016-07-25,34.7,35.0,34.6,34.88,1147,EUR,CCEP,spain
2016-07-26,35.2,35.2,34.79,34.88,185,EUR,CCEP,spain
2016-07-27,34.01,34.95,34.01,34.13,4613,EUR,CCEP,spain
2016-07-28,34.0,34.0,31.58,31.58,5327,EUR,CCEP,spain
2016-07-29,33.4,34.0,33.0,33.8,2972,EUR,CCEP,spain
2016-08-01,34.0,34.2,32.53,34.14,9136,EUR,CCEP,spain
2016-08-02,34.13,34.49,33.15,34.07,1517,EUR,CCEP,spain
2016-08-03,32.86,32.86,32.77,32.86,1010,EUR,CCEP,spain
2016-08-04,33.97,33.97,32.59,32.91,983,EUR,CCEP,spain
2016-08-05,33.84,33.84,32.56,33.37,3289,EUR,CCEP,spain
2016-08-08,32.93,33.12,32.9,33.37,314,EUR,CCEP,spain
2016-08-09,32.64,33.79,32.64,33.37,435,EUR,CCEP,spain
2016-08-10,33.5,33.84,33.49,33.6,1000,EUR,CCEP,spain
2016-08-11,33.7,34.38,32.92,33.89,1028,EUR,CCEP,spain
2016-08-12,34.5,34.5,33.8,34.5,1232,EUR,CCEP,spain
2016-08-15,34.5,34.5,34.5,34.5,200,EUR,CCEP,spain
2016-08-17,33.2,34.94,33.2,33.51,1906,EUR,CCEP,spain
2016-08-18,33.88,33.88,33.76,33.88,776,EUR,CCEP,spain
2016-08-19,33.23,33.23,33.23,33.88,22,EUR,CCEP,spain
2016-08-22,34.45,34.45,33.0,33.73,1343,EUR,CCEP,spain
2016-08-23,34.0,34.0,34.0,33.73,150,EUR,CCEP,spain
2016-08-24,34.04,34.23,34.0,34.05,530,EUR,CCEP,spain
2016-08-25,34.04,34.04,34.04,34.05,11,EUR,CCEP,spain
2016-08-26,33.8,34.66,33.8,34.32,944,EUR,CCEP,spain
2016-08-29,34.8,34.9,34.65,34.75,10799,EUR,CCEP,spain
2016-08-30,34.54,34.89,34.4,34.45,1204,EUR,CCEP,spain
2016-08-31,34.25,34.27,33.91,34.45,172,EUR,CCEP,spain
2016-09-01,34.25,34.44,34.18,34.45,485,EUR,CCEP,spain
2016-09-02,34.69,34.73,33.75,34.72,2087,EUR,CCEP,spain
2016-09-05,34.75,35.0,34.5,34.85,1289,EUR,CCEP,spain
2016-09-06,34.99,35.0,34.28,34.32,6667,EUR,CCEP,spain
2016-09-07,34.05,35.81,34.05,35.81,9904,EUR,CCEP,spain
2016-09-08,35.81,36.42,35.15,36.37,10144,EUR,CCEP,spain
2016-09-09,36.49,36.49,35.85,36.3,7771,EUR,CCEP,spain
2016-09-12,36.0,36.05,35.77,36.0,1773,EUR,CCEP,spain
2016-09-13,35.9,36.25,35.8,36.0,366,EUR,CCEP,spain
2016-09-14,36.15,36.15,35.41,35.45,694,EUR,CCEP,spain
2016-09-15,35.1,35.18,34.56,35.09,1566,EUR,CCEP,spain
2016-09-16,35.5,35.5,35.1,35.1,600,EUR,CCEP,spain
2016-09-19,35.0,35.29,35.0,35.1,38,EUR,CCEP,spain
2016-09-21,34.55,35.64,34.55,35.48,879,EUR,CCEP,spain
2016-09-22,35.06,36.3,35.06,36.05,5046,EUR,CCEP,spain
2016-09-23,36.2,36.2,35.26,35.56,2286,EUR,CCEP,spain
2016-09-26,35.61,36.07,35.3,35.74,801,EUR,CCEP,spain
2016-09-27,35.75,36.04,34.86,35.0,4264,EUR,CCEP,spain
2016-09-28,35.6,35.89,35.0,35.36,1918,EUR,CCEP,spain
2016-09-29,35.99,35.99,35.0,35.08,32217,EUR,CCEP,spain
2016-09-30,35.0,35.2,34.93,35.1,516,EUR,CCEP,spain
2016-10-03,36.2,36.2,34.9,34.92,2523,EUR,CCEP,spain
2016-10-04,35.79,35.79,34.66,34.7,2373,EUR,CCEP,spain
2016-10-05,34.4,35.26,33.96,34.68,3203,EUR,CCEP,spain
2016-10-06,35.85,35.85,34.42,34.53,616,EUR,CCEP,spain
2016-10-07,34.71,34.75,34.7,34.75,1465,EUR,CCEP,spain
2016-10-10,34.3,34.38,33.82,34.33,2494,EUR,CCEP,spain
2016-10-11,35.0,35.0,33.89,33.93,2043,EUR,CCEP,spain
2016-10-12,34.0,34.3,34.0,34.3,657,EUR,CCEP,spain
2016-10-13,34.94,34.94,34.02,34.02,5348,EUR,CCEP,spain
2016-10-14,34.92,34.92,34.45,34.58,604,EUR,CCEP,spain
2016-10-17,34.1,35.17,34.1,34.47,1529,EUR,CCEP,spain
