Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-06,4.0,4.0,4.0,4.0,1663,EUR,CCMC,spain
2010-10-07,4.0,4.0,4.0,4.0,3130,EUR,CCMC,spain
2010-10-08,4.0,4.0,4.0,4.0,30,EUR,CCMC,spain
2010-10-11,4.0,4.03,4.0,4.01,3988,EUR,CCMC,spain
2010-10-12,4.01,4.01,4.01,4.01,0,EUR,CCMC,spain
2010-10-13,4.0,4.0,4.0,4.0,3964,EUR,CCMC,spain
2010-10-14,4.0,4.0,4.0,4.0,210,EUR,CCMC,spain
2010-10-15,4.0,4.0,3.98,3.98,34529,EUR,CCMC,spain
2010-10-18,3.98,3.98,3.98,3.98,911,EUR,CCMC,spain
2010-10-19,3.98,3.98,3.98,3.98,3267,EUR,CCMC,spain
2010-10-20,3.98,3.98,3.98,3.98,874,EUR,CCMC,spain
2010-10-21,3.98,3.98,3.98,3.98,1614,EUR,CCMC,spain
2010-10-22,3.98,3.98,3.98,3.98,1459,EUR,CCMC,spain
2010-10-25,3.98,4.02,3.98,3.98,6445,EUR,CCMC,spain
2010-10-26,3.98,3.98,3.98,3.98,2048,EUR,CCMC,spain
2010-10-27,3.98,3.98,3.98,3.98,10932,EUR,CCMC,spain
2010-10-28,3.98,3.98,3.97,3.97,4270,EUR,CCMC,spain
2010-10-29,3.97,3.97,3.94,3.94,8230,EUR,CCMC,spain
2010-11-01,3.94,3.94,3.94,3.94,0,EUR,CCMC,spain
2010-11-02,3.93,3.93,3.9,3.9,14664,EUR,CCMC,spain
2010-11-03,3.9,3.9,3.9,3.9,1818,EUR,CCMC,spain
2010-11-04,3.9,3.9,3.9,3.9,5533,EUR,CCMC,spain
2010-11-05,3.9,3.9,3.9,3.9,1725,EUR,CCMC,spain
2010-11-08,3.9,3.9,3.88,3.88,24478,EUR,CCMC,spain
2010-11-09,3.88,3.88,3.85,3.85,9902,EUR,CCMC,spain
2010-11-10,3.85,3.85,3.85,3.85,34798,EUR,CCMC,spain
2010-11-11,3.85,3.85,3.85,3.85,6880,EUR,CCMC,spain
2010-11-12,3.85,3.85,3.83,3.83,9269,EUR,CCMC,spain
2010-11-15,3.83,3.83,3.81,3.81,3096,EUR,CCMC,spain
2010-11-16,3.81,3.81,3.8,3.8,35347,EUR,CCMC,spain
2010-11-17,3.79,3.79,3.75,3.75,17049,EUR,CCMC,spain
2010-11-18,3.75,3.75,3.75,3.75,7529,EUR,CCMC,spain
2010-11-19,3.75,3.75,3.75,3.75,2000,EUR,CCMC,spain
2010-11-22,3.75,3.81,3.73,3.73,8583,EUR,CCMC,spain
2010-11-23,3.73,3.73,3.73,3.73,2000,EUR,CCMC,spain
2010-11-24,3.73,3.73,3.71,3.71,6745,EUR,CCMC,spain
2010-11-25,3.7,3.7,3.69,3.69,56866,EUR,CCMC,spain
2010-11-26,3.68,3.68,3.64,3.64,11431,EUR,CCMC,spain
2010-11-29,3.63,3.63,3.6,3.6,12334,EUR,CCMC,spain
2010-11-30,3.59,3.59,3.57,3.57,5521,EUR,CCMC,spain
2010-12-01,3.57,3.57,3.55,3.55,27353,EUR,CCMC,spain
2010-12-02,3.55,3.55,3.55,3.55,37118,EUR,CCMC,spain
2010-12-03,3.55,3.55,3.55,3.55,1949,EUR,CCMC,spain
2010-12-06,3.55,3.55,3.55,3.55,0,EUR,CCMC,spain
2010-12-07,3.55,3.55,3.55,3.55,1766,EUR,CCMC,spain
2010-12-08,3.55,3.55,3.55,3.55,0,EUR,CCMC,spain
2010-12-09,3.55,3.55,3.55,3.55,2958,EUR,CCMC,spain
2010-12-10,3.55,3.55,3.55,3.55,25500,EUR,CCMC,spain
2010-12-13,3.56,3.56,3.55,3.55,1099,EUR,CCMC,spain
2010-12-14,3.55,3.55,3.55,3.55,4915,EUR,CCMC,spain
2010-12-15,3.54,3.54,3.5,3.5,11751,EUR,CCMC,spain
2010-12-16,3.5,3.5,3.5,3.5,4267,EUR,CCMC,spain
2010-12-17,3.5,3.58,3.5,3.5,1368,EUR,CCMC,spain
2010-12-20,3.5,3.5,3.5,3.5,3390,EUR,CCMC,spain
2010-12-21,3.5,3.5,3.5,3.5,2887,EUR,CCMC,spain
2010-12-22,3.5,3.5,3.5,3.5,2387,EUR,CCMC,spain
2010-12-23,3.5,3.5,3.5,3.5,3045,EUR,CCMC,spain
2010-12-27,3.5,3.5,3.5,3.5,1701,EUR,CCMC,spain
2010-12-28,3.5,3.5,3.5,3.5,1673,EUR,CCMC,spain
2010-12-29,3.5,3.5,3.5,3.5,2793,EUR,CCMC,spain
2010-12-30,3.5,3.58,3.5,3.5,1840,EUR,CCMC,spain
2011-01-03,3.5,3.5,3.5,3.5,2799,EUR,CCMC,spain
2011-01-04,3.5,3.58,3.5,3.5,1549,EUR,CCMC,spain
2011-01-05,3.5,3.5,3.5,3.5,1800,EUR,CCMC,spain
2011-01-06,3.5,3.5,3.5,3.5,0,EUR,CCMC,spain
2011-01-07,3.5,3.5,3.5,3.5,2305,EUR,CCMC,spain
2011-01-10,3.5,3.5,3.49,3.49,3457,EUR,CCMC,spain
2011-01-11,3.49,3.49,3.48,3.48,2332,EUR,CCMC,spain
2011-01-12,3.48,3.48,3.45,3.48,10757,EUR,CCMC,spain
2011-01-13,3.45,3.45,3.45,3.45,1612,EUR,CCMC,spain
2011-01-14,3.45,3.45,3.45,3.45,4248,EUR,CCMC,spain
2011-01-17,3.45,3.45,3.45,3.45,1715,EUR,CCMC,spain
2011-01-18,3.45,3.45,3.45,3.45,1092,EUR,CCMC,spain
2011-01-19,3.45,3.45,3.45,3.45,3038,EUR,CCMC,spain
2011-01-20,3.45,3.45,3.45,3.45,3572,EUR,CCMC,spain
2011-01-21,3.45,3.45,3.45,3.45,6374,EUR,CCMC,spain
2011-01-24,3.45,3.45,3.45,3.45,187,EUR,CCMC,spain
2011-01-25,3.45,3.45,3.45,3.45,6848,EUR,CCMC,spain
2011-01-26,3.45,3.45,3.45,3.45,825,EUR,CCMC,spain
2011-01-27,3.45,3.45,3.43,3.44,22313,EUR,CCMC,spain
2011-01-28,3.41,3.41,3.4,3.4,14275,EUR,CCMC,spain
2011-01-31,3.4,3.4,3.4,3.4,11088,EUR,CCMC,spain
2011-02-01,3.4,3.4,3.4,3.4,24899,EUR,CCMC,spain
2011-02-02,3.4,3.4,3.4,3.4,1051,EUR,CCMC,spain
2011-02-03,3.4,3.4,3.4,3.4,1709,EUR,CCMC,spain
2011-02-04,3.4,3.4,3.4,3.4,3923,EUR,CCMC,spain
2011-02-07,3.4,3.4,3.4,3.4,5455,EUR,CCMC,spain
2011-02-08,3.4,3.41,3.4,3.4,24358,EUR,CCMC,spain
2011-02-09,3.4,3.4,3.4,3.4,5000,EUR,CCMC,spain
2011-02-10,3.4,3.4,3.4,3.4,200,EUR,CCMC,spain
2011-02-11,3.4,3.4,3.4,3.4,2050,EUR,CCMC,spain
2011-02-14,3.4,3.4,3.4,3.4,5431,EUR,CCMC,spain
2011-02-15,3.4,3.4,3.4,3.4,5643,EUR,CCMC,spain
