Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-08,7.86,7.92,7.83,7.88,3846,EUR,CDRE,spain
2010-11-09,7.92,7.92,7.87,7.87,1809,EUR,CDRE,spain
2010-11-10,7.85,7.92,7.85,7.85,4286,EUR,CDRE,spain
2010-11-11,7.8,7.82,7.77,7.77,4118,EUR,CDRE,spain
2010-11-12,7.83,7.85,7.66,7.76,18455,EUR,CDRE,spain
2010-11-15,7.7,7.92,7.7,7.92,7246,EUR,CDRE,spain
2010-11-16,7.92,8.0,7.92,8.0,10520,EUR,CDRE,spain
2010-11-17,7.98,8.0,7.9,7.98,8338,EUR,CDRE,spain
2010-11-18,8.0,8.1,7.95,7.95,25873,EUR,CDRE,spain
2010-11-19,7.97,7.99,7.95,7.99,1717,EUR,CDRE,spain
2010-11-22,8.05,8.2,7.92,8.19,157021,EUR,CDRE,spain
2010-11-23,8.25,8.3,8.0,8.0,40337,EUR,CDRE,spain
2010-11-24,7.94,8.16,7.94,8.05,24003,EUR,CDRE,spain
2010-11-25,8.05,8.05,7.95,8.04,843,EUR,CDRE,spain
2010-11-26,8.04,8.04,7.95,8.0,6697,EUR,CDRE,spain
2010-11-29,8.04,8.05,7.79,8.0,18376,EUR,CDRE,spain
2010-11-30,7.8,8.0,7.7,8.0,21252,EUR,CDRE,spain
2010-12-01,7.99,8.19,7.7,8.19,24266,EUR,CDRE,spain
2010-12-02,8.2,8.25,8.01,8.07,15103,EUR,CDRE,spain
2010-12-03,8.1,8.18,8.1,8.13,16617,EUR,CDRE,spain
2010-12-06,8.13,8.19,8.13,8.19,13480,EUR,CDRE,spain
2010-12-07,8.19,8.19,8.02,8.12,11213,EUR,CDRE,spain
2010-12-08,8.15,8.2,8.04,8.2,10718,EUR,CDRE,spain
2010-12-09,8.18,8.35,8.18,8.35,11471,EUR,CDRE,spain
2010-12-10,8.35,8.35,8.2,8.33,9964,EUR,CDRE,spain
2010-12-13,8.25,8.6,8.25,8.54,23402,EUR,CDRE,spain
2010-12-14,8.64,8.75,8.5,8.58,37540,EUR,CDRE,spain
2010-12-15,8.78,8.78,8.55,8.55,35713,EUR,CDRE,spain
2010-12-16,8.79,8.79,8.55,8.6,12884,EUR,CDRE,spain
2010-12-17,8.6,8.69,8.52,8.52,11506,EUR,CDRE,spain
2010-12-20,8.75,8.75,8.4,8.69,25388,EUR,CDRE,spain
2010-12-21,8.74,8.78,8.51,8.51,15302,EUR,CDRE,spain
2010-12-22,8.52,8.54,8.46,8.51,76380,EUR,CDRE,spain
2010-12-23,8.4,8.69,8.4,8.69,8390,EUR,CDRE,spain
2010-12-27,8.68,8.68,8.36,8.44,48161,EUR,CDRE,spain
2010-12-28,8.41,8.55,8.31,8.47,14530,EUR,CDRE,spain
2010-12-29,8.57,8.63,8.4,8.53,14476,EUR,CDRE,spain
2010-12-30,8.66,8.67,8.51,8.66,24276,EUR,CDRE,spain
2011-01-03,8.31,8.69,8.01,8.69,23492,EUR,CDRE,spain
2011-01-04,8.71,9.15,8.7,9.01,83850,EUR,CDRE,spain
2011-01-05,9.1,9.1,8.82,8.82,9850,EUR,CDRE,spain
2011-01-06,8.82,8.93,8.7,8.93,12444,EUR,CDRE,spain
2011-01-07,8.94,8.94,8.65,8.65,8672,EUR,CDRE,spain
2011-01-10,8.6,8.82,8.55,8.71,18785,EUR,CDRE,spain
2011-01-11,8.85,8.85,8.7,8.75,16480,EUR,CDRE,spain
2011-01-12,8.7,8.89,8.7,8.89,38721,EUR,CDRE,spain
2011-01-13,8.91,8.91,8.82,8.82,261081,EUR,CDRE,spain
2011-01-14,8.9,8.94,8.8,8.94,33242,EUR,CDRE,spain
2011-01-17,8.99,9.0,8.8,8.94,7008,EUR,CDRE,spain
2011-01-18,8.99,9.0,8.82,8.98,9330,EUR,CDRE,spain
2011-01-19,9.0,9.0,8.89,8.95,2714,EUR,CDRE,spain
2011-01-20,8.81,9.0,8.81,9.0,8032,EUR,CDRE,spain
2011-01-21,8.9,8.94,8.88,8.94,4370,EUR,CDRE,spain
2011-01-24,9.0,9.4,8.92,8.94,38338,EUR,CDRE,spain
2011-01-25,9.0,9.0,8.8,8.95,5873,EUR,CDRE,spain
2011-01-26,8.98,9.07,8.87,8.97,127033,EUR,CDRE,spain
2011-01-27,9.1,9.15,8.9,8.92,8373,EUR,CDRE,spain
2011-01-28,9.2,9.2,8.8,8.99,6428,EUR,CDRE,spain
2011-01-31,8.9,9.1,8.75,9.1,51999,EUR,CDRE,spain
2011-02-01,9.36,9.36,8.78,9.01,31270,EUR,CDRE,spain
2011-02-02,9.02,9.07,8.84,9.0,11470,EUR,CDRE,spain
2011-02-03,8.84,9.02,8.81,8.95,14505,EUR,CDRE,spain
2011-02-04,9.0,9.0,8.84,8.85,8245,EUR,CDRE,spain
2011-02-07,8.8,8.98,8.8,8.92,28399,EUR,CDRE,spain
2011-02-08,8.92,8.98,8.76,8.76,7330,EUR,CDRE,spain
2011-02-09,8.78,8.81,8.6,8.65,22273,EUR,CDRE,spain
2011-02-10,8.72,8.8,8.65,8.7,13004,EUR,CDRE,spain
2011-02-11,8.65,8.9,8.56,8.7,17665,EUR,CDRE,spain
2011-02-14,8.88,8.88,8.58,8.58,21834,EUR,CDRE,spain
2011-02-15,8.73,8.73,8.68,8.7,15726,EUR,CDRE,spain
2011-02-16,8.7,8.8,8.6,8.61,12015,EUR,CDRE,spain
2011-02-17,8.7,8.7,8.56,8.56,5148,EUR,CDRE,spain
2011-02-18,8.54,8.7,8.17,8.59,24983,EUR,CDRE,spain
2011-02-21,8.5,8.51,8.23,8.31,20064,EUR,CDRE,spain
2011-02-22,8.21,8.4,8.1,8.26,15468,EUR,CDRE,spain
2011-02-23,8.46,8.46,8.2,8.46,9185,EUR,CDRE,spain
2011-02-24,8.5,8.5,8.12,8.27,15605,EUR,CDRE,spain
2011-02-25,8.55,9.06,8.52,9.06,64596,EUR,CDRE,spain
2011-02-28,9.14,9.14,8.84,8.95,264351,EUR,CDRE,spain
2011-03-01,9.14,9.14,8.88,8.92,80162,EUR,CDRE,spain
2011-03-02,8.9,8.91,8.7,8.8,46007,EUR,CDRE,spain
2011-03-03,8.8,8.92,8.8,8.84,86603,EUR,CDRE,spain
2011-03-04,8.85,9.54,8.81,9.23,232995,EUR,CDRE,spain
2011-03-07,9.45,9.64,9.31,9.47,25999,EUR,CDRE,spain
2011-03-08,9.5,9.55,9.31,9.52,24377,EUR,CDRE,spain
2011-03-09,9.63,9.63,9.45,9.45,54500,EUR,CDRE,spain
2011-03-10,9.4,9.54,9.3,9.49,10539,EUR,CDRE,spain
2011-03-11,9.53,9.58,9.38,9.45,23772,EUR,CDRE,spain
2011-03-14,9.5,9.64,9.42,9.42,30251,EUR,CDRE,spain
2011-03-15,9.5,9.6,9.05,9.14,46196,EUR,CDRE,spain
2011-03-16,9.2,9.3,9.1,9.1,21327,EUR,CDRE,spain
2011-03-17,9.15,9.4,9.15,9.3,35988,EUR,CDRE,spain
2011-03-18,9.3,9.58,9.3,9.4,46686,EUR,CDRE,spain
2011-03-21,9.5,9.63,9.49,9.52,21515,EUR,CDRE,spain
2011-03-22,9.6,9.74,9.6,9.66,19244,EUR,CDRE,spain
2011-03-23,9.67,9.92,9.67,9.87,29493,EUR,CDRE,spain
2011-03-24,9.99,10.1,9.81,9.85,51124,EUR,CDRE,spain
2011-03-25,9.85,9.91,9.7,9.7,8420,EUR,CDRE,spain
2011-03-28,9.7,10.0,9.7,10.0,13822,EUR,CDRE,spain
2011-03-29,9.95,10.24,9.95,9.96,76731,EUR,CDRE,spain
2011-03-30,10.01,10.51,10.01,10.25,69362,EUR,CDRE,spain
2011-03-31,10.55,10.68,10.21,10.5,68579,EUR,CDRE,spain
2011-04-01,10.45,10.78,10.45,10.55,10129,EUR,CDRE,spain
2011-04-04,10.63,10.64,10.16,10.3,51763,EUR,CDRE,spain
2011-04-05,10.11,10.4,10.11,10.3,2746,EUR,CDRE,spain
2011-04-06,10.31,10.4,10.21,10.3,12929,EUR,CDRE,spain
2011-04-07,10.34,10.34,10.13,10.13,7308,EUR,CDRE,spain
2011-04-08,10.2,10.35,10.2,10.2,9662,EUR,CDRE,spain
2011-04-11,10.2,10.7,10.16,10.64,26881,EUR,CDRE,spain
2011-04-12,10.45,11.29,10.45,10.98,50663,EUR,CDRE,spain
2011-04-13,11.0,11.2,10.82,10.95,35543,EUR,CDRE,spain
2011-04-14,11.03,11.1,10.85,11.1,12001,EUR,CDRE,spain
2011-04-15,11.09,11.09,10.95,11.0,21302,EUR,CDRE,spain
2011-04-18,11.1,11.1,10.51,10.51,22020,EUR,CDRE,spain
2011-04-19,10.51,10.9,10.51,10.72,15488,EUR,CDRE,spain
2011-04-20,10.85,10.94,10.7,10.94,14970,EUR,CDRE,spain
2011-04-21,10.94,10.94,10.75,10.75,1930,EUR,CDRE,spain
2011-04-26,10.75,10.76,10.55,10.58,13149,EUR,CDRE,spain
2011-04-27,10.74,10.98,10.72,10.95,50037,EUR,CDRE,spain
2011-04-28,10.95,10.96,10.77,10.96,15263,EUR,CDRE,spain
2011-04-29,10.97,10.97,10.8,10.94,6220,EUR,CDRE,spain
2011-05-02,10.8,11.12,10.8,11.12,8027,EUR,CDRE,spain
2011-05-03,11.15,11.15,10.81,10.81,43343,EUR,CDRE,spain
2011-05-04,10.95,11.0,10.92,10.92,7510,EUR,CDRE,spain
2011-05-05,11.05,11.05,10.66,10.83,32302,EUR,CDRE,spain
2011-05-06,10.83,10.9,10.7,10.7,18398,EUR,CDRE,spain
2011-05-09,10.71,11.0,10.71,10.92,8117,EUR,CDRE,spain
2011-05-10,10.98,11.0,10.82,10.86,6558,EUR,CDRE,spain
2011-05-11,11.06,11.06,10.85,10.92,3055,EUR,CDRE,spain
2011-05-12,10.9,10.97,10.8,10.8,12835,EUR,CDRE,spain
2011-05-13,10.8,10.9,10.6,10.63,25719,EUR,CDRE,spain
2011-05-16,10.67,10.67,9.96,10.16,64506,EUR,CDRE,spain
2011-05-17,10.23,10.4,10.1,10.3,26264,EUR,CDRE,spain
2011-05-18,10.3,10.5,10.3,10.37,2362,EUR,CDRE,spain
2011-05-19,10.33,10.33,10.07,10.1,54935,EUR,CDRE,spain
2011-05-20,10.1,10.35,10.1,10.28,12230,EUR,CDRE,spain
2011-05-23,10.33,10.5,10.1,10.5,7392,EUR,CDRE,spain
2011-05-24,10.5,10.5,10.1,10.29,19630,EUR,CDRE,spain
2011-05-25,10.25,10.32,10.16,10.2,15165,EUR,CDRE,spain
2011-05-26,10.35,10.35,10.1,10.28,4526,EUR,CDRE,spain
2011-05-27,10.28,10.6,10.05,10.26,21668,EUR,CDRE,spain
2011-05-30,10.26,10.4,10.23,10.26,6917,EUR,CDRE,spain
2011-05-31,10.2,10.37,10.2,10.3,28386,EUR,CDRE,spain
2011-06-01,10.4,10.4,9.94,9.98,53564,EUR,CDRE,spain
2011-06-02,9.9,10.0,9.56,9.56,54219,EUR,CDRE,spain
2011-06-03,9.67,9.97,8.83,9.25,54616,EUR,CDRE,spain
2011-06-06,9.3,9.3,8.85,9.05,48471,EUR,CDRE,spain
2011-06-07,9.05,9.51,8.9,9.23,6918,EUR,CDRE,spain
2011-06-08,9.29,9.29,8.96,9.21,3707,EUR,CDRE,spain
2011-06-09,9.19,9.25,8.95,9.25,5423,EUR,CDRE,spain
2011-06-10,9.19,9.19,8.99,9.15,6553,EUR,CDRE,spain
2011-06-13,9.35,9.35,8.96,9.3,7655,EUR,CDRE,spain
2011-06-14,9.3,9.36,9.14,9.3,5998,EUR,CDRE,spain
2011-06-15,9.36,9.36,9.16,9.3,1903,EUR,CDRE,spain
2011-06-16,9.3,9.3,9.1,9.2,3373,EUR,CDRE,spain
2011-06-17,9.1,9.37,9.01,9.37,7977,EUR,CDRE,spain
2011-06-20,9.37,9.37,9.05,9.05,3673,EUR,CDRE,spain
2011-06-21,9.2,9.39,9.2,9.35,3678,EUR,CDRE,spain
2011-06-22,9.3,9.49,9.13,9.49,5767,EUR,CDRE,spain
2011-06-23,9.5,9.5,9.24,9.27,897,EUR,CDRE,spain
2011-06-24,9.4,9.4,9.11,9.12,2051,EUR,CDRE,spain
2011-06-27,9.11,9.23,9.11,9.2,1980,EUR,CDRE,spain
2011-06-28,9.2,9.4,9.15,9.4,4118,EUR,CDRE,spain
2011-06-29,9.39,9.44,9.2,9.39,5291,EUR,CDRE,spain
2011-06-30,9.3,9.45,9.3,9.4,14926,EUR,CDRE,spain
2011-07-01,9.35,9.44,9.25,9.25,8910,EUR,CDRE,spain
2011-07-04,9.41,9.65,9.32,9.59,9113,EUR,CDRE,spain
2011-07-05,9.51,9.6,9.35,9.35,8232,EUR,CDRE,spain
2011-07-06,9.35,9.68,9.35,9.5,7455,EUR,CDRE,spain
2011-07-07,9.59,9.59,9.35,9.4,4339,EUR,CDRE,spain
2011-07-08,9.4,9.41,9.3,9.36,728,EUR,CDRE,spain
2011-07-11,9.3,9.3,9.05,9.2,29327,EUR,CDRE,spain
2011-07-12,9.1,9.17,8.65,9.17,14780,EUR,CDRE,spain
2011-07-13,8.91,9.02,8.75,8.91,13310,EUR,CDRE,spain
2011-07-14,8.75,9.05,8.65,8.8,11774,EUR,CDRE,spain
2011-07-15,8.8,8.8,8.57,8.67,8365,EUR,CDRE,spain
2011-07-18,8.8,8.9,8.6,8.61,2173,EUR,CDRE,spain
2011-07-19,8.6,8.6,8.6,8.61,154,EUR,CDRE,spain
2011-07-20,8.65,8.79,8.65,8.75,14315,EUR,CDRE,spain
2011-07-21,8.78,8.8,8.65,8.78,3337,EUR,CDRE,spain
2011-07-22,8.8,8.8,8.4,8.66,16908,EUR,CDRE,spain
2011-07-25,8.9,8.9,8.41,8.63,6543,EUR,CDRE,spain
2011-07-26,8.84,8.91,8.8,8.9,16776,EUR,CDRE,spain
2011-07-27,8.99,9.12,8.9,8.9,8466,EUR,CDRE,spain
2011-07-28,9.13,9.13,8.82,8.82,1282,EUR,CDRE,spain
2011-07-29,8.87,9.2,8.87,9.2,2950,EUR,CDRE,spain
2011-08-01,9.26,9.26,8.92,8.93,21137,EUR,CDRE,spain
2011-08-02,9.34,9.34,8.86,8.99,15225,EUR,CDRE,spain
2011-08-03,8.98,8.98,8.7,8.94,13394,EUR,CDRE,spain
2011-08-04,8.96,9.34,8.7,8.8,31569,EUR,CDRE,spain
2011-08-05,8.8,8.8,8.4,8.5,25781,EUR,CDRE,spain
2011-08-08,8.51,8.7,8.2,8.26,21156,EUR,CDRE,spain
2011-08-09,8.2,8.35,7.8,7.95,24382,EUR,CDRE,spain
2011-08-10,8.1,8.1,7.48,7.7,23002,EUR,CDRE,spain
2011-08-11,7.99,7.99,7.6,7.99,6244,EUR,CDRE,spain
2011-08-12,7.99,8.15,7.8,8.15,11418,EUR,CDRE,spain
2011-08-15,8.05,8.3,8.05,8.3,1010,EUR,CDRE,spain
2011-08-16,8.1,8.49,7.71,8.49,3057,EUR,CDRE,spain
2011-08-17,8.1,8.58,8.1,8.5,6399,EUR,CDRE,spain
2011-08-18,8.5,8.5,8.3,8.3,2488,EUR,CDRE,spain
2011-08-19,8.5,8.5,7.98,8.29,7166,EUR,CDRE,spain
2011-08-22,8.26,8.26,7.92,8.11,15715,EUR,CDRE,spain
2011-08-23,8.1,8.1,7.9,7.91,11323,EUR,CDRE,spain
2011-08-24,7.8,8.03,7.8,7.9,18874,EUR,CDRE,spain
2011-08-25,8.0,8.19,7.8,7.84,2698,EUR,CDRE,spain
2011-08-26,7.85,7.89,7.51,7.89,14584,EUR,CDRE,spain
2011-08-29,7.89,7.89,7.75,7.76,1125,EUR,CDRE,spain
2011-08-30,7.79,7.79,7.71,7.71,3317,EUR,CDRE,spain
2011-08-31,7.86,7.86,7.61,7.82,38955,EUR,CDRE,spain
2011-09-01,7.8,7.8,7.5,7.5,16784,EUR,CDRE,spain
2011-09-02,7.78,7.78,7.28,7.4,13381,EUR,CDRE,spain
2011-09-05,7.63,7.63,7.25,7.25,10172,EUR,CDRE,spain
2011-09-06,7.3,7.3,6.9,6.9,8546,EUR,CDRE,spain
2011-09-07,7.1,7.2,6.83,7.18,8020,EUR,CDRE,spain
2011-09-08,7.15,7.17,6.93,7.17,21586,EUR,CDRE,spain
2011-09-09,7.16,7.16,6.8,6.97,9407,EUR,CDRE,spain
2011-09-12,7.0,7.0,6.65,6.8,3041,EUR,CDRE,spain
2011-09-13,7.1,7.1,6.27,6.8,24919,EUR,CDRE,spain
2011-09-14,6.99,6.99,6.71,6.99,2209,EUR,CDRE,spain
2011-09-15,7.2,7.2,7.0,7.06,2417,EUR,CDRE,spain
2011-09-16,7.1,7.15,6.88,7.05,13215,EUR,CDRE,spain
2011-09-19,6.98,7.0,6.95,6.95,4441,EUR,CDRE,spain
2011-09-20,6.89,7.04,6.89,6.97,6853,EUR,CDRE,spain
2011-09-21,7.09,7.09,6.9,7.09,3795,EUR,CDRE,spain
2011-09-22,7.0,7.05,6.65,7.05,5795,EUR,CDRE,spain
2011-09-23,7.05,7.05,6.7,6.92,3508,EUR,CDRE,spain
2011-09-26,6.95,6.95,6.89,6.94,634,EUR,CDRE,spain
2011-09-27,7.05,7.05,6.9,6.98,2830,EUR,CDRE,spain
2011-09-28,6.95,7.0,6.81,6.96,2186,EUR,CDRE,spain
2011-09-29,6.97,7.06,6.97,7.06,2718,EUR,CDRE,spain
2011-09-30,6.99,7.1,6.8,7.1,12934,EUR,CDRE,spain
2011-10-03,7.01,7.1,7.01,7.1,6807,EUR,CDRE,spain
2011-10-04,7.01,7.15,7.01,7.14,71734,EUR,CDRE,spain
2011-10-05,7.23,7.23,7.18,7.18,1307,EUR,CDRE,spain
2011-10-06,7.2,7.38,7.2,7.35,7615,EUR,CDRE,spain
2011-10-07,7.3,7.48,7.23,7.48,14566,EUR,CDRE,spain
2011-10-10,7.49,7.59,7.33,7.59,5737,EUR,CDRE,spain
2011-10-11,7.61,7.72,7.35,7.69,19620,EUR,CDRE,spain
2011-10-12,7.72,7.86,7.3,7.86,4890,EUR,CDRE,spain
2011-10-13,7.79,7.87,7.58,7.79,8884,EUR,CDRE,spain
2011-10-14,7.79,8.04,7.65,8.04,11449,EUR,CDRE,spain
2011-10-17,8.09,8.12,7.85,7.94,3956,EUR,CDRE,spain
2011-10-18,7.83,8.09,7.81,8.07,16696,EUR,CDRE,spain
2011-10-19,8.07,8.12,7.85,8.12,7774,EUR,CDRE,spain
2011-10-20,8.02,8.05,7.8,8.0,2755,EUR,CDRE,spain
2011-10-21,8.01,8.12,7.87,8.1,5934,EUR,CDRE,spain
2011-10-24,8.11,8.36,8.0,8.36,7907,EUR,CDRE,spain
2011-10-25,8.3,8.3,8.29,8.3,1273,EUR,CDRE,spain
2011-10-26,8.26,8.26,8.09,8.24,25475,EUR,CDRE,spain
2011-10-27,8.39,8.4,8.17,8.4,21712,EUR,CDRE,spain
2011-10-28,8.39,8.39,8.13,8.3,9334,EUR,CDRE,spain
2011-10-31,8.22,8.3,8.07,8.3,15736,EUR,CDRE,spain
2011-11-01,8.12,8.12,7.83,7.91,6682,EUR,CDRE,spain
2011-11-02,8.0,8.0,7.7,7.7,6783,EUR,CDRE,spain
2011-11-03,7.62,7.99,7.62,7.75,6565,EUR,CDRE,spain
2011-11-04,7.89,7.97,7.7,7.75,3403,EUR,CDRE,spain
2011-11-07,7.79,7.88,7.56,7.8,17462,EUR,CDRE,spain
2011-11-08,7.98,8.08,7.56,7.56,29189,EUR,CDRE,spain
2011-11-09,7.88,7.88,7.42,7.65,12821,EUR,CDRE,spain
2011-11-10,7.52,7.55,7.3,7.48,10618,EUR,CDRE,spain
2011-11-11,7.53,7.88,7.53,7.86,5135,EUR,CDRE,spain
2011-11-14,7.86,7.86,7.31,7.45,19956,EUR,CDRE,spain
2011-11-15,7.7,7.7,7.33,7.42,5951,EUR,CDRE,spain
2011-11-16,7.36,7.6,7.28,7.53,9614,EUR,CDRE,spain
2011-11-17,7.48,7.49,7.45,7.48,2139,EUR,CDRE,spain
2011-11-18,7.47,7.47,7.3,7.44,38039,EUR,CDRE,spain
2011-11-21,7.38,7.38,7.16,7.3,2284,EUR,CDRE,spain
2011-11-22,7.32,7.32,6.88,6.99,21916,EUR,CDRE,spain
2011-11-23,6.92,6.97,6.4,6.4,16752,EUR,CDRE,spain
2011-11-24,6.79,6.79,6.28,6.43,39108,EUR,CDRE,spain
2011-11-25,6.45,6.69,6.03,6.2,20299,EUR,CDRE,spain
2011-11-28,6.28,6.32,5.85,6.06,46620,EUR,CDRE,spain
2011-11-29,6.07,6.2,5.73,5.91,70814,EUR,CDRE,spain
2011-11-30,5.89,6.18,5.8,6.18,44646,EUR,CDRE,spain
2011-12-01,6.1,6.15,5.86,5.86,34584,EUR,CDRE,spain
2011-12-02,5.9,6.35,5.87,6.15,58611,EUR,CDRE,spain
2011-12-05,6.16,6.16,5.86,5.94,67949,EUR,CDRE,spain
2011-12-06,5.93,5.94,5.8,5.85,24358,EUR,CDRE,spain
2011-12-07,5.88,5.99,5.62,5.8,55229,EUR,CDRE,spain
2011-12-08,5.86,6.12,5.71,5.99,27023,EUR,CDRE,spain
2011-12-09,5.97,5.97,5.88,5.96,13675,EUR,CDRE,spain
2011-12-12,5.96,6.0,5.86,5.99,7365,EUR,CDRE,spain
2011-12-13,5.97,6.0,5.8,5.99,9861,EUR,CDRE,spain
2011-12-14,6.0,6.08,5.98,6.01,19445,EUR,CDRE,spain
2011-12-15,6.06,6.49,6.06,6.15,37307,EUR,CDRE,spain
2011-12-16,6.18,6.23,6.06,6.06,18515,EUR,CDRE,spain
2011-12-19,6.0,6.3,6.0,6.15,30011,EUR,CDRE,spain
2011-12-20,6.16,6.29,6.02,6.17,16743,EUR,CDRE,spain
2011-12-21,6.14,6.24,6.06,6.11,9319,EUR,CDRE,spain
2011-12-22,6.16,6.16,6.01,6.16,25457,EUR,CDRE,spain
2011-12-23,6.2,6.2,6.04,6.1,13370,EUR,CDRE,spain
2011-12-27,6.07,6.07,6.0,6.06,16595,EUR,CDRE,spain
2011-12-28,6.03,6.18,5.9,6.09,52080,EUR,CDRE,spain
2011-12-29,6.09,6.16,5.97,6.1,6490,EUR,CDRE,spain
2011-12-30,6.09,6.14,5.9,6.1,12399,EUR,CDRE,spain
2012-01-02,6.09,6.1,6.0,6.1,6300,EUR,CDRE,spain
2012-01-03,6.14,6.14,6.0,6.04,3794,EUR,CDRE,spain
2012-01-04,6.06,6.06,5.96,6.0,6195,EUR,CDRE,spain
2012-01-05,5.99,6.05,5.99,6.05,2194,EUR,CDRE,spain
2012-01-06,6.04,6.09,6.0,6.04,12390,EUR,CDRE,spain
2012-01-09,6.03,6.03,6.0,6.0,1982,EUR,CDRE,spain
2012-01-10,6.0,6.3,5.95,6.17,30675,EUR,CDRE,spain
2012-01-11,6.19,6.49,6.19,6.33,20675,EUR,CDRE,spain
2012-01-12,6.31,6.31,6.2,6.25,8500,EUR,CDRE,spain
2012-01-13,6.2,6.26,6.15,6.2,7511,EUR,CDRE,spain
2012-01-16,6.11,6.3,6.11,6.27,65642,EUR,CDRE,spain
2012-01-17,6.29,6.3,6.11,6.28,69195,EUR,CDRE,spain
2012-01-18,6.27,6.43,6.27,6.36,9133,EUR,CDRE,spain
2012-01-19,6.39,6.39,6.25,6.25,2170,EUR,CDRE,spain
2012-01-20,6.22,6.3,6.15,6.21,36705,EUR,CDRE,spain
2012-01-23,6.17,6.34,6.15,6.25,62275,EUR,CDRE,spain
2012-01-24,6.19,6.25,6.1,6.2,9160,EUR,CDRE,spain
2012-01-25,6.25,6.29,6.2,6.28,20360,EUR,CDRE,spain
2012-01-26,6.27,6.49,6.26,6.36,96693,EUR,CDRE,spain
2012-01-27,6.31,6.41,6.3,6.37,74217,EUR,CDRE,spain
2012-01-30,6.45,6.5,6.45,6.5,15317,EUR,CDRE,spain
