Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2019-05-07,9.5,9.5,9.5,9.5,0,EUR,CEV,spain
2019-05-08,8.9,8.9,8.9,8.9,0,EUR,CEV,spain
2019-05-09,8.8,8.8,8.5,8.5,1074,EUR,CEV,spain
2019-05-13,8.3,8.3,8.3,8.5,150,EUR,CEV,spain
2019-05-15,9.15,9.15,8.8,8.8,2123,EUR,CEV,spain
2019-05-28,8.3,8.3,8.3,8.3,0,EUR,CEV,spain
2019-05-29,8.7,8.7,8.7,8.3,100,EUR,CEV,spain
2019-05-30,8.35,8.35,8.35,8.35,0,EUR,CEV,spain
2019-06-03,8.35,8.35,8.35,8.35,0,EUR,CEV,spain
2019-06-05,8.4,8.4,8.4,8.4,0,EUR,CEV,spain
2019-06-06,8.8,8.8,8.8,8.8,0,EUR,CEV,spain
2019-06-17,8.0,8.75,8.0,8.75,3400,EUR,CEV,spain
2019-06-21,8.15,8.15,8.15,8.15,200,EUR,CEV,spain
2019-06-24,8.65,8.65,8.3,8.3,203,EUR,CEV,spain
2019-06-26,8.2,8.2,8.2,8.2,388,EUR,CEV,spain
2019-06-27,8.55,8.55,8.55,8.55,500,EUR,CEV,spain
2019-07-15,7.7,7.8,7.7,7.8,9289,EUR,CEV,spain
2019-07-16,7.75,7.75,7.75,7.75,2514,EUR,CEV,spain
2019-07-22,7.75,7.75,7.75,7.75,160,EUR,CEV,spain
2019-07-24,7.65,7.65,7.65,7.65,2665,EUR,CEV,spain
2019-07-30,7.7,7.7,7.7,7.7,786,EUR,CEV,spain
2019-08-02,7.8,7.8,7.8,7.8,211,EUR,CEV,spain
2019-08-07,8.0,8.0,8.0,8.0,1250,EUR,CEV,spain
2019-08-08,7.95,7.95,7.95,7.95,791,EUR,CEV,spain
2019-08-13,7.75,7.75,7.75,7.75,200,EUR,CEV,spain
2019-08-15,7.65,7.65,7.65,7.65,400,EUR,CEV,spain
2019-08-23,7.8,7.8,7.8,7.8,548,EUR,CEV,spain
2019-08-26,7.8,7.8,7.8,7.8,150,EUR,CEV,spain
2019-09-04,7.75,7.75,7.75,7.75,1040,EUR,CEV,spain
2019-09-06,7.8,7.8,7.8,7.8,513,EUR,CEV,spain
2019-09-11,7.9,7.9,7.9,7.9,226,EUR,CEV,spain
2019-09-23,7.75,7.75,7.75,7.75,5680,EUR,CEV,spain
2019-09-26,7.75,7.75,7.75,7.75,7370,EUR,CEV,spain
2019-10-10,7.9,7.9,7.9,7.75,100,EUR,CEV,spain
2019-10-14,7.8,7.8,7.8,7.8,220,EUR,CEV,spain
2019-10-15,7.7,7.7,7.1,7.1,20820,EUR,CEV,spain
2019-10-16,7.1,7.15,7.1,7.15,1807,EUR,CEV,spain
2019-10-17,6.8,6.8,6.8,6.8,440,EUR,CEV,spain
2019-10-18,7.2,7.2,7.2,6.8,3,EUR,CEV,spain
2019-10-21,7.2,7.2,7.2,7.2,200,EUR,CEV,spain
2019-10-22,7.4,7.4,7.4,7.4,228,EUR,CEV,spain
