Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-05,4.05,4.05,3.95,4.0,77314,EUR,CIEA,spain
2010-11-08,3.98,4.0,3.96,3.99,49083,EUR,CIEA,spain
2010-11-09,4.0,4.08,3.97,4.05,151250,EUR,CIEA,spain
2010-11-10,4.08,4.33,4.05,4.17,307282,EUR,CIEA,spain
2010-11-11,4.24,4.24,4.09,4.1,86223,EUR,CIEA,spain
2010-11-12,4.05,4.15,4.05,4.08,66052,EUR,CIEA,spain
2010-11-15,4.15,4.15,4.05,4.12,54675,EUR,CIEA,spain
2010-11-16,4.1,4.14,4.01,4.1,117891,EUR,CIEA,spain
2010-11-17,4.13,4.2,4.09,4.18,65859,EUR,CIEA,spain
2010-11-18,4.19,4.21,4.15,4.19,34288,EUR,CIEA,spain
2010-11-19,4.2,4.24,4.18,4.23,72674,EUR,CIEA,spain
2010-11-22,4.19,4.25,4.18,4.18,42321,EUR,CIEA,spain
2010-11-23,4.07,4.15,4.05,4.09,88792,EUR,CIEA,spain
2010-11-24,3.97,4.02,3.95,4.0,109350,EUR,CIEA,spain
2010-11-25,3.9,4.0,3.9,4.0,91565,EUR,CIEA,spain
2010-11-26,3.95,4.09,3.94,4.07,35634,EUR,CIEA,spain
2010-11-29,4.0,4.1,3.97,4.0,99510,EUR,CIEA,spain
2010-11-30,4.0,4.0,3.9,3.92,35637,EUR,CIEA,spain
2010-12-01,4.0,4.0,3.93,4.0,168213,EUR,CIEA,spain
2010-12-02,4.03,4.1,4.03,4.08,97460,EUR,CIEA,spain
2010-12-03,4.08,4.09,4.04,4.07,60369,EUR,CIEA,spain
2010-12-06,4.13,4.13,4.08,4.08,21795,EUR,CIEA,spain
2010-12-07,4.06,4.1,4.04,4.08,61109,EUR,CIEA,spain
2010-12-08,4.09,4.13,4.08,4.12,18048,EUR,CIEA,spain
2010-12-09,4.13,4.17,4.1,4.17,54846,EUR,CIEA,spain
2010-12-10,4.17,4.37,4.16,4.32,100766,EUR,CIEA,spain
2010-12-13,4.39,4.45,4.36,4.45,66834,EUR,CIEA,spain
2010-12-14,4.45,4.52,4.36,4.41,50437,EUR,CIEA,spain
2010-12-15,4.38,4.42,4.35,4.42,26624,EUR,CIEA,spain
2010-12-16,4.36,4.5,4.35,4.48,27594,EUR,CIEA,spain
2010-12-17,4.5,4.5,4.35,4.4,55292,EUR,CIEA,spain
2010-12-20,4.26,4.42,4.26,4.36,39245,EUR,CIEA,spain
2010-12-21,4.31,4.4,4.31,4.39,58956,EUR,CIEA,spain
2010-12-22,4.4,4.5,4.39,4.42,66579,EUR,CIEA,spain
2010-12-23,4.45,4.48,4.4,4.45,103767,EUR,CIEA,spain
2010-12-27,4.5,4.5,4.4,4.43,83150,EUR,CIEA,spain
2010-12-28,4.42,4.45,4.42,4.45,91603,EUR,CIEA,spain
2010-12-29,4.45,4.56,4.4,4.55,77862,EUR,CIEA,spain
2010-12-30,4.52,4.79,4.5,4.79,172037,EUR,CIEA,spain
2011-01-03,4.87,4.87,4.75,4.75,85714,EUR,CIEA,spain
2011-01-04,4.67,4.79,4.67,4.79,37466,EUR,CIEA,spain
2011-01-05,4.75,4.79,4.63,4.79,49490,EUR,CIEA,spain
2011-01-06,4.72,4.78,4.72,4.72,4128,EUR,CIEA,spain
2011-01-07,4.72,4.73,4.67,4.72,39735,EUR,CIEA,spain
2011-01-10,4.83,4.83,4.71,4.73,132680,EUR,CIEA,spain
2011-01-11,4.72,4.8,4.51,4.78,140024,EUR,CIEA,spain
2011-01-12,4.75,4.79,4.71,4.75,116904,EUR,CIEA,spain
2011-01-13,4.73,4.91,4.73,4.85,75874,EUR,CIEA,spain
2011-01-14,4.76,4.99,4.76,4.99,114504,EUR,CIEA,spain
2011-01-17,5.0,5.01,4.92,4.97,98970,EUR,CIEA,spain
2011-01-18,4.95,5.15,4.95,5.11,117532,EUR,CIEA,spain
2011-01-19,5.1,5.39,5.0,5.35,697064,EUR,CIEA,spain
2011-01-20,5.35,5.45,5.28,5.38,223461,EUR,CIEA,spain
2011-01-21,5.4,5.81,5.4,5.81,399622,EUR,CIEA,spain
2011-01-24,5.7,5.87,5.46,5.75,217738,EUR,CIEA,spain
2011-01-25,5.83,5.83,5.55,5.68,74973,EUR,CIEA,spain
2011-01-26,5.58,5.72,5.58,5.64,36958,EUR,CIEA,spain
2011-01-27,5.75,5.9,5.6,5.71,246300,EUR,CIEA,spain
2011-01-28,5.96,5.97,5.63,5.63,80450,EUR,CIEA,spain
2011-01-31,5.6,5.67,5.3,5.46,212475,EUR,CIEA,spain
2011-02-01,5.45,5.55,5.33,5.48,125520,EUR,CIEA,spain
2011-02-02,5.65,5.65,5.5,5.6,108011,EUR,CIEA,spain
2011-02-03,5.66,5.66,5.39,5.4,130380,EUR,CIEA,spain
2011-02-04,5.4,5.42,5.12,5.2,269663,EUR,CIEA,spain
2011-02-07,5.5,5.5,5.2,5.24,118720,EUR,CIEA,spain
2011-02-08,5.28,5.3,5.24,5.26,55324,EUR,CIEA,spain
2011-02-09,5.25,5.45,5.21,5.33,105693,EUR,CIEA,spain
2011-02-10,5.4,5.43,5.27,5.32,98334,EUR,CIEA,spain
2011-02-11,5.37,5.37,5.26,5.3,39251,EUR,CIEA,spain
2011-02-14,5.3,5.3,5.24,5.29,22779,EUR,CIEA,spain
2011-02-15,5.22,5.3,5.2,5.21,68322,EUR,CIEA,spain
2011-02-16,5.25,5.36,5.25,5.36,91500,EUR,CIEA,spain
2011-02-17,5.33,5.33,5.25,5.3,46891,EUR,CIEA,spain
2011-02-18,5.3,5.3,5.2,5.2,51810,EUR,CIEA,spain
2011-02-21,5.21,5.25,5.17,5.17,33170,EUR,CIEA,spain
2011-02-22,5.14,5.14,5.07,5.1,74354,EUR,CIEA,spain
2011-02-23,5.07,5.07,5.0,5.0,59322,EUR,CIEA,spain
2011-02-24,5.0,5.05,4.87,4.87,113687,EUR,CIEA,spain
2011-02-25,4.89,5.03,4.87,4.99,119666,EUR,CIEA,spain
2011-02-28,5.17,5.3,5.0,5.0,163924,EUR,CIEA,spain
2011-03-01,5.07,5.13,4.82,4.87,98853,EUR,CIEA,spain
2011-03-02,4.87,4.91,4.74,4.78,89774,EUR,CIEA,spain
2011-03-03,4.88,5.0,4.79,4.84,56759,EUR,CIEA,spain
2011-03-04,5.04,5.04,4.86,4.87,38370,EUR,CIEA,spain
2011-03-07,4.87,4.98,4.87,4.91,17256,EUR,CIEA,spain
2011-03-08,4.99,4.99,4.91,4.91,44519,EUR,CIEA,spain
2011-03-09,4.94,4.99,4.85,4.91,126496,EUR,CIEA,spain
2011-03-10,4.87,5.1,4.87,4.93,144075,EUR,CIEA,spain
2011-03-11,4.88,4.97,4.88,4.9,14154,EUR,CIEA,spain
2011-03-14,4.85,5.0,4.85,4.87,47733,EUR,CIEA,spain
2011-03-15,4.85,4.85,4.6,4.79,93917,EUR,CIEA,spain
2011-03-16,4.82,4.92,4.74,4.74,86898,EUR,CIEA,spain
2011-03-17,4.87,4.87,4.7,4.71,106196,EUR,CIEA,spain
2011-03-18,4.8,5.07,4.8,4.95,77658,EUR,CIEA,spain
2011-03-21,5.08,5.33,4.99,5.2,172399,EUR,CIEA,spain
2011-03-22,5.29,5.34,5.25,5.27,84991,EUR,CIEA,spain
2011-03-23,5.27,5.29,5.17,5.22,37042,EUR,CIEA,spain
2011-03-24,5.3,5.3,5.17,5.29,102440,EUR,CIEA,spain
2011-03-25,5.32,5.6,5.31,5.58,199550,EUR,CIEA,spain
2011-03-28,5.41,5.72,5.41,5.63,60873,EUR,CIEA,spain
2011-03-29,5.63,5.66,5.5,5.62,69182,EUR,CIEA,spain
2011-03-30,5.6,5.68,5.53,5.58,55717,EUR,CIEA,spain
2011-03-31,5.53,5.63,5.52,5.55,75397,EUR,CIEA,spain
