Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-12-23,0.85,0.85,0.85,0.85,2272,EUR,CLE,spain
2016-12-27,0.83,0.83,0.83,0.83,5823,EUR,CLE,spain
2016-12-28,0.83,0.83,0.83,0.83,28000,EUR,CLE,spain
2016-12-29,0.86,0.88,0.86,0.88,15814,EUR,CLE,spain
2016-12-30,0.9,0.9,0.9,0.9,50239,EUR,CLE,spain
2017-01-02,0.9,0.9,0.9,0.9,1643,EUR,CLE,spain
2017-01-04,0.9,0.9,0.9,0.9,500,EUR,CLE,spain
2017-01-06,0.88,0.88,0.87,0.87,10050,EUR,CLE,spain
2017-01-17,0.87,0.87,0.87,0.87,1500,EUR,CLE,spain
2017-01-20,0.87,0.87,0.87,0.87,3900,EUR,CLE,spain
2017-01-23,0.87,0.87,0.87,0.87,5358,EUR,CLE,spain
2017-01-24,0.87,0.87,0.87,0.87,1200,EUR,CLE,spain
2017-01-26,0.87,0.87,0.87,0.87,10000,EUR,CLE,spain
2017-01-30,0.89,0.89,0.89,0.89,3000,EUR,CLE,spain
2017-02-28,0.91,0.91,0.91,0.91,626,EUR,CLE,spain
2017-03-02,0.89,0.89,0.89,0.89,2000,EUR,CLE,spain
2017-04-06,0.87,0.87,0.87,0.87,4000,EUR,CLE,spain
2017-04-07,0.86,0.86,0.84,0.84,8000,EUR,CLE,spain
2017-04-26,0.84,0.84,0.84,0.84,250,EUR,CLE,spain
2017-05-11,0.82,0.82,0.82,0.82,7333,EUR,CLE,spain
2017-05-25,0.86,0.86,0.86,0.86,5814,EUR,CLE,spain
2017-05-31,0.88,0.88,0.88,0.88,2000,EUR,CLE,spain
2017-06-22,0.88,0.88,0.88,0.88,1000,EUR,CLE,spain
2017-06-29,0.88,0.88,0.88,0.88,4000,EUR,CLE,spain
2017-06-30,0.9,0.9,0.9,0.9,2000,EUR,CLE,spain
2017-07-10,0.9,0.9,0.9,0.9,500,EUR,CLE,spain
2017-07-13,0.88,0.88,0.88,0.88,1000,EUR,CLE,spain
2017-07-17,0.89,0.89,0.89,0.89,24856,EUR,CLE,spain
2017-07-27,0.88,0.88,0.88,0.88,3000,EUR,CLE,spain
2017-08-02,0.88,0.88,0.88,0.88,600,EUR,CLE,spain
2017-08-14,0.9,0.91,0.9,0.91,50000,EUR,CLE,spain
2017-08-15,0.91,0.91,0.91,0.91,2000,EUR,CLE,spain
2017-08-29,0.88,0.88,0.88,0.88,1000,EUR,CLE,spain
2017-09-29,0.91,0.91,0.91,0.91,7500,EUR,CLE,spain
2017-10-31,0.91,0.91,0.91,0.91,10000,EUR,CLE,spain
2017-11-13,0.91,0.91,0.91,0.91,219,EUR,CLE,spain
2017-12-21,0.91,0.91,0.91,0.91,10000,EUR,CLE,spain
2017-12-22,0.91,0.91,0.91,0.91,5400,EUR,CLE,spain
2017-12-27,0.91,0.93,0.91,0.93,101108,EUR,CLE,spain
2017-12-28,0.94,0.94,0.94,0.94,1300,EUR,CLE,spain
2017-12-29,0.96,0.98,0.96,0.98,2300,EUR,CLE,spain
2018-01-11,0.995,0.995,0.995,0.995,1892,EUR,CLE,spain
2018-01-17,1.0,1.0,1.0,1.0,2000,EUR,CLE,spain
2018-01-25,1.04,1.04,1.04,1.04,5000,EUR,CLE,spain
2018-01-30,1.04,1.04,1.02,1.02,7000,EUR,CLE,spain
2018-01-31,1.0,1.03,1.0,1.03,8000,EUR,CLE,spain
2018-02-02,1.03,1.03,1.03,1.03,5200,EUR,CLE,spain
2018-02-05,0.98,1.0,0.98,1.0,6000,EUR,CLE,spain
2018-02-07,0.96,0.96,0.96,0.96,4000,EUR,CLE,spain
2018-02-08,0.95,0.95,0.95,0.95,5264,EUR,CLE,spain
2018-02-12,0.95,0.95,0.95,0.95,5000,EUR,CLE,spain
