Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-05-08,15.7,15.7,15.12,15.25,4259772,EUR,CLNX,spain
2015-05-11,15.21,15.35,15.0,15.0,2269021,EUR,CLNX,spain
2015-05-12,15.03,15.12,15.0,15.1,1886844,EUR,CLNX,spain
2015-05-13,15.11,15.65,15.11,15.5,1624077,EUR,CLNX,spain
2015-05-14,15.6,15.95,15.41,15.8,1497868,EUR,CLNX,spain
2015-05-15,15.95,15.99,15.23,15.4,441373,EUR,CLNX,spain
2015-05-18,15.55,15.6,15.2,15.28,743076,EUR,CLNX,spain
2015-05-19,15.45,15.73,15.35,15.7,593751,EUR,CLNX,spain
2015-05-20,15.7,15.8,15.52,15.75,504813,EUR,CLNX,spain
2015-05-21,15.87,15.93,15.6,15.67,663863,EUR,CLNX,spain
2015-05-22,15.85,15.86,15.28,15.28,605998,EUR,CLNX,spain
2015-05-25,15.3,15.31,15.05,15.2,272562,EUR,CLNX,spain
2015-05-26,15.3,15.3,15.0,15.0,1134744,EUR,CLNX,spain
2015-05-27,15.06,15.44,15.02,15.25,668599,EUR,CLNX,spain
2015-05-28,15.25,15.37,15.13,15.25,526245,EUR,CLNX,spain
2015-05-29,15.25,15.4,15.2,15.34,147188,EUR,CLNX,spain
2015-06-01,15.5,15.85,15.27,15.8,422031,EUR,CLNX,spain
2015-06-02,15.83,16.25,15.7,16.1,916668,EUR,CLNX,spain
2015-06-03,16.19,16.6,16.19,16.58,1398216,EUR,CLNX,spain
2015-06-04,16.58,16.68,16.37,16.53,572892,EUR,CLNX,spain
2015-06-05,16.31,16.48,15.76,16.0,531926,EUR,CLNX,spain
2015-06-08,16.18,16.18,15.4,15.86,746424,EUR,CLNX,spain
2015-06-09,16.0,16.0,15.47,15.52,494300,EUR,CLNX,spain
2015-06-10,15.45,15.94,15.45,15.65,468790,EUR,CLNX,spain
2015-06-11,15.99,15.99,15.4,15.54,333795,EUR,CLNX,spain
2015-06-12,15.42,15.65,15.21,15.27,805934,EUR,CLNX,spain
2015-06-15,15.35,15.99,15.28,15.52,354816,EUR,CLNX,spain
2015-06-16,15.6,15.6,15.21,15.25,480997,EUR,CLNX,spain
2015-06-17,15.39,15.39,15.1,15.1,559131,EUR,CLNX,spain
2015-06-18,15.1,15.34,15.1,15.3,387685,EUR,CLNX,spain
2015-06-19,15.44,15.72,15.24,15.5,158446,EUR,CLNX,spain
2015-06-22,15.68,15.85,15.38,15.38,412021,EUR,CLNX,spain
2015-06-23,15.39,15.5,15.25,15.31,283879,EUR,CLNX,spain
2015-06-24,15.32,15.35,15.1,15.1,914957,EUR,CLNX,spain
2015-06-25,15.07,15.24,15.04,15.1,633564,EUR,CLNX,spain
2015-06-26,15.18,15.43,15.1,15.43,1171949,EUR,CLNX,spain
2015-06-29,14.75,15.17,14.53,15.05,818244,EUR,CLNX,spain
2015-06-30,15.07,15.39,14.89,15.18,625527,EUR,CLNX,spain
2015-07-01,15.31,15.8,15.2,15.65,323862,EUR,CLNX,spain
2015-07-02,15.8,15.8,15.1,15.1,2776423,EUR,CLNX,spain
2015-07-03,15.13,15.51,15.13,15.15,307775,EUR,CLNX,spain
2015-07-06,15.0,15.32,14.95,15.1,296708,EUR,CLNX,spain
2015-07-07,15.05,15.45,15.05,15.1,438812,EUR,CLNX,spain
2015-07-08,15.2,15.32,15.1,15.1,460354,EUR,CLNX,spain
2015-07-09,15.0,15.12,14.96,15.0,930498,EUR,CLNX,spain
2015-07-10,15.14,15.29,15.05,15.14,1954443,EUR,CLNX,spain
2015-07-13,15.24,15.45,15.13,15.33,487817,EUR,CLNX,spain
2015-07-14,15.38,15.38,15.11,15.16,1514722,EUR,CLNX,spain
2015-07-15,15.3,15.47,15.1,15.29,1108586,EUR,CLNX,spain
2015-07-16,15.5,15.5,15.23,15.4,384388,EUR,CLNX,spain
2015-07-17,15.45,15.53,15.17,15.4,692036,EUR,CLNX,spain
2015-07-20,15.39,15.5,15.21,15.4,1037660,EUR,CLNX,spain
2015-07-21,15.45,15.47,15.22,15.25,406424,EUR,CLNX,spain
2015-07-22,15.31,15.38,15.16,15.2,472999,EUR,CLNX,spain
2015-07-23,15.2,15.35,15.06,15.08,849329,EUR,CLNX,spain
2015-07-24,15.19,15.23,14.95,15.1,222323,EUR,CLNX,spain
2015-07-27,15.05,15.3,15.01,15.08,350576,EUR,CLNX,spain
2015-07-28,15.13,15.34,15.06,15.1,393618,EUR,CLNX,spain
2015-07-29,15.14,15.3,15.03,15.15,235959,EUR,CLNX,spain
2015-07-30,15.3,15.35,15.13,15.15,204219,EUR,CLNX,spain
2015-07-31,15.25,15.25,15.03,15.09,190105,EUR,CLNX,spain
2015-08-03,15.11,15.14,14.95,15.1,907784,EUR,CLNX,spain
2015-08-04,15.4,16.55,15.04,15.75,1555954,EUR,CLNX,spain
2015-08-05,15.83,16.47,15.6,16.34,889095,EUR,CLNX,spain
2015-08-06,16.27,16.4,16.07,16.25,1453033,EUR,CLNX,spain
2015-08-07,16.4,16.58,16.03,16.39,1340617,EUR,CLNX,spain
2015-08-10,16.4,16.49,16.08,16.3,883653,EUR,CLNX,spain
2015-08-11,16.29,16.35,16.14,16.25,501775,EUR,CLNX,spain
2015-08-12,16.16,16.38,16.0,16.08,797563,EUR,CLNX,spain
2015-08-13,16.24,16.34,16.01,16.01,620479,EUR,CLNX,spain
2015-08-14,16.03,16.29,15.9,16.12,794837,EUR,CLNX,spain
2015-08-17,16.17,16.22,15.9,16.0,543173,EUR,CLNX,spain
2015-08-18,16.0,16.18,15.81,16.03,470526,EUR,CLNX,spain
2015-08-19,16.0,16.19,15.89,16.09,276062,EUR,CLNX,spain
2015-08-20,16.02,16.13,15.62,15.88,686487,EUR,CLNX,spain
2015-08-21,15.68,15.85,15.44,15.44,365924,EUR,CLNX,spain
