Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-03-11,1.46,1.46,1.46,1.46,5629,EUR,CLRE,spain
2016-03-14,1.46,1.46,1.46,1.46,3800,EUR,CLRE,spain
2016-03-15,1.46,1.46,1.46,1.46,3400,EUR,CLRE,spain
2016-03-18,1.46,1.46,1.46,1.46,500,EUR,CLRE,spain
2016-03-21,1.46,1.46,1.46,1.46,500,EUR,CLRE,spain
2016-03-22,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-03-23,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-03-24,1.46,1.46,1.46,1.46,500,EUR,CLRE,spain
2016-03-31,1.46,1.46,1.46,1.46,885,EUR,CLRE,spain
2016-04-01,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-04-04,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-04-05,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-04-12,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-04-15,1.46,1.46,1.46,1.46,500,EUR,CLRE,spain
2016-04-26,1.46,1.46,1.46,1.46,500,EUR,CLRE,spain
2016-04-28,1.46,1.46,1.46,1.46,450,EUR,CLRE,spain
2016-05-10,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-05-16,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-06-02,1.46,1.46,1.46,1.46,400,EUR,CLRE,spain
2016-06-06,1.46,1.46,1.46,1.46,480,EUR,CLRE,spain
2016-06-07,1.46,1.46,1.46,1.46,3600,EUR,CLRE,spain
2016-06-08,1.46,1.46,1.46,1.46,3600,EUR,CLRE,spain
2016-06-16,1.41,1.41,1.41,1.41,30000,EUR,CLRE,spain
2016-07-21,1.48,1.48,1.48,1.48,1000,EUR,CLRE,spain
2016-09-08,1.41,1.41,1.41,1.41,2702,EUR,CLRE,spain
2016-11-07,1.37,1.37,1.37,1.37,1850,EUR,CLRE,spain
2016-11-16,1.37,1.37,1.37,1.37,3800,EUR,CLRE,spain
2016-11-22,1.41,1.41,1.41,1.41,1850,EUR,CLRE,spain
2016-12-30,1.48,1.48,1.48,1.48,580,EUR,CLRE,spain
2017-01-12,1.47,1.47,1.47,1.47,600,EUR,CLRE,spain
2017-01-20,1.54,1.54,1.54,1.54,3051,EUR,CLRE,spain
2017-01-23,1.54,1.54,1.54,1.54,1900,EUR,CLRE,spain
