Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-12-02,4.97,4.97,4.83,4.9,11817,EUR,CMIG4,spain
2011-12-05,4.77,4.88,4.77,4.88,13701,EUR,CMIG4,spain
2011-12-06,4.95,4.98,4.95,4.99,10666,EUR,CMIG4,spain
2011-12-07,5.04,5.05,4.91,5.05,10624,EUR,CMIG4,spain
2011-12-08,5.0,5.0,4.97,4.97,10522,EUR,CMIG4,spain
2011-12-09,4.97,5.08,4.97,5.08,10434,EUR,CMIG4,spain
2011-12-12,5.3,5.3,5.04,5.09,28089,EUR,CMIG4,spain
2011-12-13,5.14,5.24,5.14,5.24,10413,EUR,CMIG4,spain
2011-12-14,5.27,5.27,5.18,5.21,10456,EUR,CMIG4,spain
2011-12-15,5.29,5.39,5.29,5.39,10039,EUR,CMIG4,spain
2011-12-16,5.37,5.39,5.23,5.3,19893,EUR,CMIG4,spain
2011-12-19,5.28,5.29,5.16,5.3,12474,EUR,CMIG4,spain
2011-12-20,5.23,5.51,5.23,5.44,19242,EUR,CMIG4,spain
2011-12-21,5.41,5.41,5.4,5.41,10089,EUR,CMIG4,spain
2011-12-22,5.48,5.53,5.48,5.5,9893,EUR,CMIG4,spain
2011-12-23,5.45,5.61,5.45,5.61,12500,EUR,CMIG4,spain
2011-12-27,5.56,5.6,5.55,5.6,12323,EUR,CMIG4,spain
2011-12-28,5.61,5.61,5.51,5.51,9871,EUR,CMIG4,spain
2011-12-29,5.55,5.6,5.55,5.61,9803,EUR,CMIG4,spain
2011-12-30,5.44,5.44,5.44,5.44,0,EUR,CMIG4,spain
2012-01-02,5.62,5.62,5.57,5.59,9675,EUR,CMIG4,spain
2012-01-03,5.49,5.61,5.45,5.53,13977,EUR,CMIG4,spain
2012-01-04,5.49,5.65,5.45,5.65,25942,EUR,CMIG4,spain
2012-01-05,5.62,5.63,5.62,5.63,9591,EUR,CMIG4,spain
2012-01-06,5.64,5.64,5.64,5.64,3315,EUR,CMIG4,spain
2012-01-09,5.64,5.69,5.64,5.65,9567,EUR,CMIG4,spain
2012-01-10,5.66,5.87,5.66,5.76,22144,EUR,CMIG4,spain
2012-01-11,5.78,5.84,5.78,5.85,9460,EUR,CMIG4,spain
2012-01-12,5.88,5.88,5.84,5.84,12315,EUR,CMIG4,spain
2012-01-13,5.92,5.92,5.83,5.84,9936,EUR,CMIG4,spain
2012-01-16,5.91,5.94,5.76,5.94,7353,EUR,CMIG4,spain
2012-01-17,5.84,5.96,5.84,5.93,10137,EUR,CMIG4,spain
2012-01-18,5.89,5.98,5.89,5.98,9000,EUR,CMIG4,spain
2012-01-19,6.02,6.1,6.02,6.0,14084,EUR,CMIG4,spain
2012-01-20,5.93,6.09,5.93,6.09,10637,EUR,CMIG4,spain
2012-01-23,6.07,6.12,6.07,6.12,12179,EUR,CMIG4,spain
2012-01-24,6.15,6.15,6.04,6.03,13381,EUR,CMIG4,spain
2012-01-25,5.55,5.94,5.55,5.94,11280,EUR,CMIG4,spain
2012-01-26,6.07,6.11,6.07,6.06,9840,EUR,CMIG4,spain
2012-01-27,6.05,6.1,6.05,6.08,19279,EUR,CMIG4,spain
2012-01-30,6.16,6.19,6.07,6.11,14525,EUR,CMIG4,spain
2012-01-31,6.12,6.19,6.12,6.13,9146,EUR,CMIG4,spain
2012-02-01,6.29,6.34,6.22,6.27,9679,EUR,CMIG4,spain
2012-02-02,6.35,6.36,6.35,6.35,10902,EUR,CMIG4,spain
2012-02-03,6.36,6.4,6.31,6.36,13092,EUR,CMIG4,spain
2012-02-06,6.4,6.4,6.33,6.4,9000,EUR,CMIG4,spain
2012-02-07,6.4,6.4,6.35,6.37,8903,EUR,CMIG4,spain
2012-02-08,6.33,6.43,6.33,6.4,8818,EUR,CMIG4,spain
2012-02-09,6.39,6.41,6.37,6.39,8936,EUR,CMIG4,spain
2012-02-10,6.47,6.69,6.47,6.71,10428,EUR,CMIG4,spain
2012-02-13,6.8,6.8,6.66,6.71,10790,EUR,CMIG4,spain
2012-02-14,6.78,6.8,6.73,6.8,14276,EUR,CMIG4,spain
2012-02-15,6.78,6.97,6.78,6.96,12271,EUR,CMIG4,spain
2012-02-16,6.98,7.0,6.94,6.94,20860,EUR,CMIG4,spain
2012-02-17,6.98,7.0,6.94,7.01,9627,EUR,CMIG4,spain
2012-02-20,7.3,7.3,6.76,7.12,799,EUR,CMIG4,spain
2012-02-21,6.97,6.97,6.97,6.97,0,EUR,CMIG4,spain
2012-02-22,6.91,6.91,6.89,6.92,7796,EUR,CMIG4,spain
2012-02-23,6.99,7.09,6.93,7.08,22649,EUR,CMIG4,spain
2012-02-24,7.1,7.1,6.9,6.91,8504,EUR,CMIG4,spain
2012-02-27,6.77,6.96,6.77,6.91,8072,EUR,CMIG4,spain
2012-02-28,6.87,7.0,6.87,7.01,7759,EUR,CMIG4,spain
2012-02-29,7.07,7.07,7.0,6.99,7796,EUR,CMIG4,spain
2012-03-01,7.01,7.08,6.99,7.05,7973,EUR,CMIG4,spain
2012-03-02,7.21,7.22,7.13,7.12,8629,EUR,CMIG4,spain
2012-03-05,7.14,7.2,6.97,7.0,8034,EUR,CMIG4,spain
2012-03-06,7.18,7.25,6.96,6.95,10118,EUR,CMIG4,spain
2012-03-07,7.1,7.1,6.86,6.92,10954,EUR,CMIG4,spain
2012-03-08,6.85,6.93,6.85,6.94,8377,EUR,CMIG4,spain
2012-03-09,7.0,7.11,6.9,7.12,11476,EUR,CMIG4,spain
2012-03-12,7.31,7.31,7.02,7.0,10858,EUR,CMIG4,spain
2012-03-13,7.15,7.28,7.15,7.25,7569,EUR,CMIG4,spain
2012-03-14,7.35,7.42,7.34,7.36,14232,EUR,CMIG4,spain
2012-03-15,7.4,7.51,7.37,7.4,9961,EUR,CMIG4,spain
2012-03-16,7.35,7.35,7.25,7.24,7414,EUR,CMIG4,spain
2012-03-19,7.18,7.18,7.15,7.2,9312,EUR,CMIG4,spain
2012-03-20,7.2,7.2,7.11,7.16,8580,EUR,CMIG4,spain
2012-03-21,7.36,7.36,7.15,7.19,9430,EUR,CMIG4,spain
2012-03-22,7.25,7.25,7.12,7.13,7506,EUR,CMIG4,spain
2012-03-23,7.09,7.09,7.05,7.03,7707,EUR,CMIG4,spain
2012-03-26,7.08,7.13,7.05,7.13,9932,EUR,CMIG4,spain
2012-03-27,7.26,7.54,7.26,7.5,9002,EUR,CMIG4,spain
2012-03-28,7.4,7.41,7.4,7.4,7359,EUR,CMIG4,spain
2012-03-29,7.39,7.39,7.23,7.3,8019,EUR,CMIG4,spain
2012-03-30,7.34,7.34,7.32,7.31,7489,EUR,CMIG4,spain
2012-04-02,7.29,7.39,7.29,7.4,7436,EUR,CMIG4,spain
2012-04-03,7.55,7.6,7.55,7.54,7108,EUR,CMIG4,spain
2012-04-04,7.65,7.7,7.58,7.6,7434,EUR,CMIG4,spain
2012-04-05,7.241,7.297,7.241,7.314,7109,EUR,CMIG4,spain
2012-04-10,7.297,7.297,7.262,7.328,8026,EUR,CMIG4,spain
2012-04-11,7.251,7.519,7.251,7.523,13701,EUR,CMIG4,spain
2012-04-12,7.475,7.614,7.475,7.543,7032,EUR,CMIG4,spain
2012-04-13,7.359,7.506,7.359,7.44,7229,EUR,CMIG4,spain
2012-04-16,7.403,7.411,7.403,7.45,4739,EUR,CMIG4,spain
2012-04-17,7.314,7.349,7.314,7.343,7032,EUR,CMIG4,spain
2012-04-18,7.278,7.363,7.278,7.376,7115,EUR,CMIG4,spain
2012-04-19,7.407,7.473,7.396,7.454,7004,EUR,CMIG4,spain
2012-04-20,7.579,7.579,7.427,7.535,7211,EUR,CMIG4,spain
2012-04-23,7.496,7.496,7.454,7.446,6966,EUR,CMIG4,spain
2012-04-24,7.473,7.573,7.473,7.564,6907,EUR,CMIG4,spain
2012-04-25,7.657,7.709,7.614,7.765,11432,EUR,CMIG4,spain
2012-04-26,7.676,7.676,7.566,7.57,6696,EUR,CMIG4,spain
2012-04-27,7.552,7.568,7.541,7.546,8570,EUR,CMIG4,spain
2012-04-30,8.184,8.184,7.554,7.595,12721,EUR,CMIG4,spain
2012-05-02,7.529,7.636,7.427,7.468,8326,EUR,CMIG4,spain
2012-05-03,7.311,7.493,7.311,7.397,6043,EUR,CMIG4,spain
2012-05-04,7.158,7.321,7.158,7.298,5410,EUR,CMIG4,spain
2012-05-07,7.077,7.189,7.036,7.204,6231,EUR,CMIG4,spain
2012-05-08,7.422,7.422,7.331,7.336,4888,EUR,CMIG4,spain
2012-05-09,7.313,7.313,7.283,7.293,4941,EUR,CMIG4,spain
2012-05-10,7.265,7.29,7.252,7.293,6548,EUR,CMIG4,spain
2012-05-11,7.318,7.486,7.318,7.476,8114,EUR,CMIG4,spain
2012-05-14,7.316,7.41,7.135,7.128,7824,EUR,CMIG4,spain
2012-05-15,7.041,7.041,6.894,6.978,12988,EUR,CMIG4,spain
2012-05-16,6.929,7.001,6.886,6.886,13263,EUR,CMIG4,spain
2012-05-17,6.866,6.919,6.792,6.785,13146,EUR,CMIG4,spain
2012-05-18,6.764,6.894,6.764,6.79,13664,EUR,CMIG4,spain
2012-05-21,6.785,6.785,6.711,6.696,8148,EUR,CMIG4,spain
2012-05-22,6.645,6.815,6.645,6.83,12749,EUR,CMIG4,spain
2012-05-23,6.754,6.825,6.754,6.83,11614,EUR,CMIG4,spain
2012-05-24,6.947,6.947,6.848,6.932,7829,EUR,CMIG4,spain
2012-05-25,6.945,7.056,6.945,7.003,9923,EUR,CMIG4,spain
2012-05-28,6.957,7.044,6.957,7.044,7670,EUR,CMIG4,spain
2012-05-29,7.049,7.097,7.046,7.034,7659,EUR,CMIG4,spain
2012-05-30,6.884,7.084,6.884,7.079,11729,EUR,CMIG4,spain
2012-05-31,7.018,7.067,7.018,7.084,7737,EUR,CMIG4,spain
2012-06-01,7.166,7.166,6.945,7.008,9105,EUR,CMIG4,spain
2012-06-04,6.973,6.983,6.957,6.96,8270,EUR,CMIG4,spain
2012-06-05,6.899,7.351,6.899,6.973,10205,EUR,CMIG4,spain
2012-06-06,7.026,7.031,6.894,6.968,9442,EUR,CMIG4,spain
2012-06-07,6.96,6.96,6.874,7.161,1058,EUR,CMIG4,spain
2012-06-08,7.046,7.056,7.021,7.069,8930,EUR,CMIG4,spain
2012-06-11,7.417,7.417,6.975,7.095,11549,EUR,CMIG4,spain
2012-06-12,7.046,7.148,7.046,7.143,7727,EUR,CMIG4,spain
2012-06-13,7.1,7.214,7.1,7.189,8385,EUR,CMIG4,spain
2012-06-14,7.112,7.135,7.095,7.125,10445,EUR,CMIG4,spain
