Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-09-30,1.97,1.97,1.93,1.93,2500,EUR,CMM,spain
2014-10-03,1.97,1.97,1.97,1.97,1001,EUR,CMM,spain
2014-10-06,1.92,1.92,1.92,1.92,1034,EUR,CMM,spain
2014-10-08,1.88,1.88,1.88,1.88,1500,EUR,CMM,spain
2014-10-16,1.84,1.84,1.82,1.82,3000,EUR,CMM,spain
2014-10-30,1.78,1.78,1.78,1.78,1500,EUR,CMM,spain
2014-10-31,1.74,1.74,1.74,1.74,559,EUR,CMM,spain
2014-11-06,1.75,1.75,1.75,1.75,700,EUR,CMM,spain
2014-11-12,1.71,1.71,1.71,1.71,1000,EUR,CMM,spain
2014-11-13,1.68,1.68,1.68,1.68,253,EUR,CMM,spain
2014-11-14,1.67,1.67,1.67,1.67,1700,EUR,CMM,spain
2014-11-26,1.64,1.64,1.64,1.64,1600,EUR,CMM,spain
2014-11-28,1.64,1.64,1.64,1.64,101081,EUR,CMM,spain
2014-12-05,1.61,1.61,1.61,1.61,700,EUR,CMM,spain
2014-12-19,1.58,1.58,1.58,1.58,250,EUR,CMM,spain
2014-12-30,1.55,1.55,1.55,1.55,600,EUR,CMM,spain
2015-01-08,1.53,1.53,1.53,1.53,300,EUR,CMM,spain
2015-01-23,1.5,1.5,1.5,1.5,420,EUR,CMM,spain
2015-02-24,1.47,1.47,1.47,1.47,1800,EUR,CMM,spain
2015-03-05,1.47,1.47,1.47,1.47,369,EUR,CMM,spain
2015-03-12,1.44,1.44,1.44,1.44,500,EUR,CMM,spain
2015-03-13,1.41,1.41,1.41,1.44,1,EUR,CMM,spain
2015-03-31,1.41,1.41,1.41,1.44,102,EUR,CMM,spain
2015-04-15,1.47,1.47,1.45,1.45,2866,EUR,CMM,spain
2015-04-16,1.46,1.46,1.43,1.43,1904,EUR,CMM,spain
2015-04-17,1.46,1.48,1.46,1.48,3398,EUR,CMM,spain
2015-04-21,1.45,1.45,1.45,1.45,211,EUR,CMM,spain
2015-04-23,1.42,1.42,1.42,1.42,200,EUR,CMM,spain
2015-04-27,1.39,1.39,1.39,1.39,235,EUR,CMM,spain
2015-04-28,1.36,1.36,1.36,1.36,250,EUR,CMM,spain
2015-04-29,1.39,1.39,1.36,1.36,3314,EUR,CMM,spain
2015-04-30,1.39,1.42,1.39,1.42,3913,EUR,CMM,spain
2015-05-04,1.39,1.39,1.39,1.39,225,EUR,CMM,spain
2015-05-06,1.42,1.45,1.42,1.45,3600,EUR,CMM,spain
2015-05-07,1.42,1.42,1.42,1.42,200,EUR,CMM,spain
2015-05-08,1.45,1.45,1.42,1.42,1935,EUR,CMM,spain
2015-05-11,1.45,1.48,1.45,1.48,1916,EUR,CMM,spain
2015-05-14,1.51,1.51,1.51,1.51,210,EUR,CMM,spain
2015-05-15,1.54,1.54,1.54,1.54,220,EUR,CMM,spain
2015-05-18,1.57,1.57,1.57,1.57,212,EUR,CMM,spain
2015-05-22,1.6,1.6,1.6,1.6,216,EUR,CMM,spain
2015-05-26,1.63,1.63,1.63,1.63,220,EUR,CMM,spain
2015-05-27,1.67,1.67,1.67,1.67,220,EUR,CMM,spain
2015-06-03,1.71,1.74,1.71,1.74,372,EUR,CMM,spain
2015-06-05,1.78,1.78,1.74,1.74,2399,EUR,CMM,spain
2015-06-09,1.7,1.74,1.7,1.74,1950,EUR,CMM,spain
2015-06-17,1.78,1.78,1.78,1.78,200,EUR,CMM,spain
2015-06-24,1.81,1.82,1.81,1.82,254,EUR,CMM,spain
2015-06-30,1.75,1.79,1.75,1.79,1614,EUR,CMM,spain
2015-07-01,1.83,1.83,1.83,1.83,225,EUR,CMM,spain
2015-07-06,1.79,1.83,1.79,1.83,1929,EUR,CMM,spain
2015-07-08,1.79,1.79,1.77,1.77,3585,EUR,CMM,spain
2015-07-16,1.81,1.81,1.81,1.81,225,EUR,CMM,spain
2015-07-21,1.81,1.85,1.81,1.85,370,EUR,CMM,spain
2015-07-23,1.81,1.85,1.81,1.85,1909,EUR,CMM,spain
2015-08-03,1.81,1.81,1.81,1.85,197,EUR,CMM,spain
2015-08-04,1.81,1.81,1.81,1.81,2900,EUR,CMM,spain
2015-08-05,1.77,1.77,1.77,1.81,195,EUR,CMM,spain
2015-08-06,1.77,1.77,1.77,1.77,3004,EUR,CMM,spain
2015-08-07,1.73,1.73,1.73,1.73,3050,EUR,CMM,spain
2015-08-10,1.73,1.73,1.73,1.73,841,EUR,CMM,spain
2015-08-24,1.69,1.69,1.69,1.69,874,EUR,CMM,spain
2015-10-23,1.65,1.65,1.65,1.65,1100,EUR,CMM,spain
2016-03-11,1.61,1.61,1.61,1.61,1284,EUR,CMM,spain
2016-06-27,1.49,1.49,1.49,1.53,100,EUR,CMM,spain
2016-09-30,1.5,1.5,1.5,1.53,100,EUR,CMM,spain
2016-10-21,1.5,1.5,1.5,1.53,150,EUR,CMM,spain
2016-11-03,1.5,1.5,1.5,1.5,700,EUR,CMM,spain
2016-12-16,1.53,1.53,1.53,1.5,197,EUR,CMM,spain
2017-01-13,1.47,1.47,1.47,1.5,100,EUR,CMM,spain
2017-01-18,1.47,1.47,1.47,1.47,3800,EUR,CMM,spain
2017-01-30,1.44,1.44,1.44,1.44,1900,EUR,CMM,spain
2017-01-31,1.41,1.41,1.41,1.41,900,EUR,CMM,spain
2017-03-07,1.38,1.38,1.38,1.38,250,EUR,CMM,spain
2017-05-29,1.35,1.35,1.35,1.38,197,EUR,CMM,spain
2017-05-31,1.35,1.35,1.35,1.35,2000,EUR,CMM,spain
2017-09-25,1.32,1.32,1.32,1.35,150,EUR,CMM,spain
2017-11-24,1.32,1.32,1.32,1.32,1800,EUR,CMM,spain
2018-03-20,1.29,1.29,1.29,1.29,2000,EUR,CMM,spain
2018-03-21,1.26,1.26,1.26,1.26,1000,EUR,CMM,spain
2018-04-09,1.2,1.23,1.2,1.23,2700,EUR,CMM,spain
2018-04-26,1.26,1.26,1.26,1.26,6101,EUR,CMM,spain
2018-05-17,1.23,1.23,1.23,1.23,4100,EUR,CMM,spain
2018-05-18,1.2,1.2,1.2,1.2,1257,EUR,CMM,spain
2018-12-05,1.18,1.18,1.18,1.18,2000,EUR,CMM,spain
2018-12-18,1.16,1.16,1.16,1.16,2207,EUR,CMM,spain
2018-12-19,1.14,1.14,1.14,1.14,3894,EUR,CMM,spain
2019-01-04,1.12,1.12,1.12,1.12,2286,EUR,CMM,spain
2019-01-08,1.1,1.1,1.1,1.1,2327,EUR,CMM,spain
2019-01-09,1.08,1.08,1.08,1.08,2370,EUR,CMM,spain
2019-01-11,1.06,1.06,1.06,1.06,4830,EUR,CMM,spain
2019-01-14,1.04,1.04,1.04,1.04,4924,EUR,CMM,spain
2019-01-15,1.02,1.02,1.02,1.02,3445,EUR,CMM,spain
2019-02-12,1.0,1.0,1.0,1.0,850,EUR,CMM,spain
2019-06-13,0.96,0.96,0.96,0.96,2612,EUR,CMM,spain
2019-08-14,0.94,0.94,0.94,0.94,1600,EUR,CMM,spain
2019-12-05,0.92,0.92,0.92,0.92,600,EUR,CMM,spain
2020-03-09,0.94,0.94,0.94,0.92,48,EUR,CMM,spain
2020-08-07,0.94,0.94,0.94,0.92,100,EUR,CMM,spain
2020-08-13,0.86,0.86,0.86,0.86,3023,EUR,CMM,spain
2020-08-14,0.88,0.88,0.86,0.86,3083,EUR,CMM,spain
2020-08-17,0.88,0.9,0.88,0.9,3057,EUR,CMM,spain
2020-08-18,0.92,0.94,0.92,0.94,423,EUR,CMM,spain
2020-08-19,0.96,0.98,0.96,0.98,345,EUR,CMM,spain
2020-08-20,1.0,1.02,1.0,1.02,245,EUR,CMM,spain
2020-08-21,1.04,1.04,1.02,1.02,2665,EUR,CMM,spain
2020-08-24,1.04,1.06,1.04,1.06,255,EUR,CMM,spain
2020-08-25,1.04,1.04,1.02,1.02,4930,EUR,CMM,spain
2020-08-26,1.0,1.0,1.0,1.0,2595,EUR,CMM,spain
2020-09-30,0.98,0.98,0.98,0.98,235,EUR,CMM,spain
2020-11-03,0.96,0.96,0.96,0.96,2700,EUR,CMM,spain
2020-11-05,0.94,0.94,0.94,0.94,2766,EUR,CMM,spain
2020-11-06,0.92,0.92,0.92,0.92,2826,EUR,CMM,spain
2020-11-09,0.9,0.9,0.9,0.9,2900,EUR,CMM,spain
2020-11-10,0.88,0.9,0.88,0.9,3622,EUR,CMM,spain
2020-11-11,0.88,0.88,0.86,0.86,5978,EUR,CMM,spain
2020-11-12,0.84,0.84,0.82,0.82,6266,EUR,CMM,spain
2020-11-13,0.8,0.8,0.76,0.76,6541,EUR,CMM,spain
2020-11-16,0.75,0.75,0.75,0.75,2782,EUR,CMM,spain
2020-11-17,0.76,0.76,0.76,0.76,3419,EUR,CMM,spain
2020-11-18,0.75,0.75,0.74,0.74,219,EUR,CMM,spain
2020-11-19,0.73,0.74,0.73,0.74,3610,EUR,CMM,spain
2020-11-20,0.73,0.74,0.73,0.74,3555,EUR,CMM,spain
2020-11-23,0.75,0.75,0.75,0.75,3465,EUR,CMM,spain
2020-11-24,0.74,0.75,0.74,0.75,3495,EUR,CMM,spain
2020-11-25,0.76,0.76,0.76,0.76,3300,EUR,CMM,spain
2020-11-27,0.75,0.75,0.74,0.74,220,EUR,CMM,spain
2020-11-30,0.75,0.76,0.75,0.76,6820,EUR,CMM,spain
2020-12-01,0.77,0.78,0.77,0.78,6675,EUR,CMM,spain
2020-12-04,0.79,0.79,0.79,0.79,225,EUR,CMM,spain
2020-12-07,0.8,0.82,0.8,0.82,265,EUR,CMM,spain
2020-12-08,0.86,0.88,0.86,0.88,7261,EUR,CMM,spain
2020-12-09,0.9,0.92,0.9,0.92,220,EUR,CMM,spain
2020-12-14,0.94,0.96,0.94,0.96,230,EUR,CMM,spain
2020-12-17,0.98,0.98,0.98,0.98,615,EUR,CMM,spain
2020-12-21,1.0,1.02,1.0,1.02,255,EUR,CMM,spain
2020-12-22,1.04,1.06,1.04,1.06,1125,EUR,CMM,spain
2020-12-23,1.04,1.06,1.04,1.06,2110,EUR,CMM,spain
2020-12-24,1.04,1.06,1.04,1.06,2635,EUR,CMM,spain
2020-12-28,1.08,1.1,1.08,1.1,250,EUR,CMM,spain
2020-12-31,1.12,1.12,1.1,1.1,2480,EUR,CMM,spain
2021-01-04,1.12,1.12,1.1,1.1,2510,EUR,CMM,spain
2021-01-05,1.12,1.14,1.12,1.14,260,EUR,CMM,spain
2021-01-06,1.12,1.12,1.1,1.1,4610,EUR,CMM,spain
2021-01-07,1.08,1.1,1.08,1.1,2493,EUR,CMM,spain
2021-01-08,1.12,1.14,1.12,1.14,440,EUR,CMM,spain
2021-01-11,1.12,1.12,1.1,1.1,6250,EUR,CMM,spain
2021-01-13,1.12,1.14,1.12,1.14,300,EUR,CMM,spain
2021-01-14,1.16,1.16,1.16,1.16,200,EUR,CMM,spain
2021-01-15,1.14,1.14,1.12,1.12,4550,EUR,CMM,spain
2021-01-18,1.1,1.1,1.08,1.08,4950,EUR,CMM,spain
2021-01-19,1.1,1.1,1.08,1.08,2475,EUR,CMM,spain
2021-01-21,1.06,1.06,1.06,1.06,1750,EUR,CMM,spain
2021-02-03,1.04,1.04,1.04,1.04,2500,EUR,CMM,spain
2021-02-05,1.02,1.02,1.02,1.02,800,EUR,CMM,spain
