Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-11-02,13.04,13.04,13.04,13.04,0,EUR,CPLE6,spain
2011-11-03,13.2,13.2,13.05,13.05,990,EUR,CPLE6,spain
2011-11-04,12.96,12.96,12.75,12.76,1044,EUR,CPLE6,spain
2011-11-07,12.89,13.12,12.89,13.13,985,EUR,CPLE6,spain
2011-11-08,13.2,13.2,13.03,13.01,961,EUR,CPLE6,spain
2011-11-09,13.25,13.25,12.94,12.9,1004,EUR,CPLE6,spain
2011-11-10,12.82,13.04,12.82,12.97,995,EUR,CPLE6,spain
2011-11-11,12.95,13.1,12.95,13.09,997,EUR,CPLE6,spain
2011-11-14,13.19,13.19,12.87,12.89,988,EUR,CPLE6,spain
2011-11-15,12.89,12.89,12.89,12.89,0,EUR,CPLE6,spain
2011-11-16,12.91,13.06,12.91,13.07,996,EUR,CPLE6,spain
2011-11-17,13.23,13.23,13.07,13.12,1010,EUR,CPLE6,spain
2011-11-18,12.92,12.92,12.65,12.69,1020,EUR,CPLE6,spain
2011-11-21,12.81,12.81,12.41,12.41,992,EUR,CPLE6,spain
2011-11-22,12.63,12.73,12.48,12.43,1065,EUR,CPLE6,spain
2011-11-23,12.73,12.73,12.53,12.52,1016,EUR,CPLE6,spain
2011-11-24,12.51,12.51,12.23,12.26,1045,EUR,CPLE6,spain
2011-11-25,12.42,12.58,12.41,12.58,1088,EUR,CPLE6,spain
2011-11-28,12.68,12.94,12.68,12.93,656,EUR,CPLE6,spain
2011-11-29,13.04,13.27,13.04,13.24,959,EUR,CPLE6,spain
2011-11-30,13.22,13.86,13.22,13.63,1018,EUR,CPLE6,spain
2011-12-01,13.75,14.54,13.55,13.71,2836,EUR,CPLE6,spain
2011-12-02,13.76,13.86,13.4,13.66,1151,EUR,CPLE6,spain
2011-12-05,13.57,13.74,13.49,13.74,1143,EUR,CPLE6,spain
2011-12-06,13.93,13.95,13.68,13.92,943,EUR,CPLE6,spain
2011-12-07,14.12,14.12,13.93,13.94,914,EUR,CPLE6,spain
2011-12-08,13.76,13.77,13.76,13.77,958,EUR,CPLE6,spain
2011-12-09,13.8,14.05,13.8,14.06,958,EUR,CPLE6,spain
2011-12-12,14.43,14.43,14.13,14.15,879,EUR,CPLE6,spain
2011-12-13,14.27,14.35,14.27,14.31,884,EUR,CPLE6,spain
2011-12-14,14.44,14.44,14.38,14.39,906,EUR,CPLE6,spain
2011-12-15,14.44,14.44,14.35,14.36,901,EUR,CPLE6,spain
2011-12-16,14.31,14.32,14.05,14.26,1108,EUR,CPLE6,spain
2011-12-19,14.26,14.43,14.26,14.38,875,EUR,CPLE6,spain
2011-12-20,14.54,15.0,14.54,14.72,957,EUR,CPLE6,spain
2011-12-21,14.62,14.7,14.62,14.71,891,EUR,CPLE6,spain
2011-12-22,14.65,14.72,14.59,14.72,903,EUR,CPLE6,spain
2011-12-23,14.75,15.07,14.38,15.07,880,EUR,CPLE6,spain
2011-12-27,15.1,15.52,15.1,15.09,918,EUR,CPLE6,spain
2011-12-28,15.14,15.14,14.87,14.84,857,EUR,CPLE6,spain
2011-12-29,14.81,14.95,14.71,14.87,911,EUR,CPLE6,spain
2011-12-30,14.87,14.87,14.87,14.87,0,EUR,CPLE6,spain
2012-01-02,14.84,14.84,14.35,14.51,956,EUR,CPLE6,spain
2012-01-03,14.36,14.53,14.36,14.5,897,EUR,CPLE6,spain
2012-01-04,14.39,14.68,14.39,14.67,902,EUR,CPLE6,spain
2012-01-05,14.69,14.71,14.68,14.7,901,EUR,CPLE6,spain
2012-01-06,14.72,14.72,14.72,15.0,290,EUR,CPLE6,spain
2012-01-09,14.79,14.95,14.79,14.82,865,EUR,CPLE6,spain
2012-01-10,14.89,15.23,14.89,15.21,843,EUR,CPLE6,spain
2012-01-11,15.19,15.27,15.19,15.28,861,EUR,CPLE6,spain
2012-01-12,15.19,15.2,15.14,15.11,875,EUR,CPLE6,spain
2012-01-13,15.14,15.2,15.02,15.03,1365,EUR,CPLE6,spain
2012-01-16,15.16,15.16,15.16,15.5,269,EUR,CPLE6,spain
2012-01-17,15.22,15.41,15.08,15.05,862,EUR,CPLE6,spain
2012-01-18,14.97,14.97,14.83,14.94,856,EUR,CPLE6,spain
2012-01-19,15.02,15.02,14.96,14.88,862,EUR,CPLE6,spain
2012-01-20,15.12,15.16,15.06,15.16,848,EUR,CPLE6,spain
2012-01-23,15.42,15.42,15.0,15.02,848,EUR,CPLE6,spain
2012-01-24,15.12,15.16,14.99,15.02,1447,EUR,CPLE6,spain
2012-01-25,15.3,15.3,15.3,15.3,0,EUR,CPLE6,spain
2012-01-26,14.94,15.33,14.94,15.34,853,EUR,CPLE6,spain
2012-01-27,15.3,15.31,15.27,15.24,855,EUR,CPLE6,spain
2012-01-30,15.62,15.62,15.42,15.61,2726,EUR,CPLE6,spain
2012-01-31,15.92,16.04,15.92,15.96,792,EUR,CPLE6,spain
2012-02-01,16.23,16.27,16.02,16.19,10438,EUR,CPLE6,spain
2012-02-02,16.12,16.15,16.1,16.16,827,EUR,CPLE6,spain
2012-02-03,16.14,16.42,16.14,16.19,805,EUR,CPLE6,spain
2012-02-06,16.37,16.37,16.11,16.21,773,EUR,CPLE6,spain
2012-02-07,16.24,16.36,16.18,16.38,782,EUR,CPLE6,spain
2012-02-08,16.34,16.34,16.34,16.7,274,EUR,CPLE6,spain
2012-02-09,16.37,16.43,16.35,16.45,791,EUR,CPLE6,spain
2012-02-10,16.55,16.67,16.55,16.67,788,EUR,CPLE6,spain
2012-02-13,16.48,16.62,16.48,16.52,760,EUR,CPLE6,spain
2012-02-14,16.49,16.55,16.39,16.38,771,EUR,CPLE6,spain
2012-02-15,16.48,16.79,16.48,16.82,770,EUR,CPLE6,spain
2012-02-16,16.81,16.84,16.77,16.81,772,EUR,CPLE6,spain
2012-02-17,16.73,16.98,16.73,17.01,778,EUR,CPLE6,spain
2012-02-20,17.14,17.14,17.14,17.14,0,EUR,CPLE6,spain
2012-02-21,17.13,17.13,17.13,17.13,0,EUR,CPLE6,spain
2012-02-22,16.86,16.87,16.86,16.89,802,EUR,CPLE6,spain
2012-02-23,16.96,16.96,16.84,16.85,786,EUR,CPLE6,spain
2012-02-24,16.87,16.87,16.83,16.84,793,EUR,CPLE6,spain
2012-02-27,16.93,16.93,16.83,16.9,739,EUR,CPLE6,spain
2012-02-28,17.05,17.11,17.05,17.09,746,EUR,CPLE6,spain
2012-02-29,17.8,17.8,17.2,17.11,1285,EUR,CPLE6,spain
2012-03-01,17.31,17.62,17.31,17.55,952,EUR,CPLE6,spain
2012-03-02,18.05,18.27,18.05,18.24,738,EUR,CPLE6,spain
2012-03-05,18.29,18.29,17.48,17.77,1225,EUR,CPLE6,spain
2012-03-06,17.81,17.81,17.35,17.33,723,EUR,CPLE6,spain
2012-03-07,17.39,17.39,17.27,17.28,758,EUR,CPLE6,spain
2012-03-08,17.21,17.41,17.19,17.18,770,EUR,CPLE6,spain
2012-03-09,17.38,17.38,16.51,16.85,781,EUR,CPLE6,spain
2012-03-12,17.12,17.12,16.6,16.59,766,EUR,CPLE6,spain
2012-03-13,16.79,16.99,16.79,16.99,771,EUR,CPLE6,spain
2012-03-14,17.44,17.49,17.4,17.42,1040,EUR,CPLE6,spain
2012-03-15,17.39,17.39,17.14,17.14,770,EUR,CPLE6,spain
2012-03-16,17.27,17.27,16.91,17.03,751,EUR,CPLE6,spain
2012-03-19,16.99,16.99,16.64,16.88,1068,EUR,CPLE6,spain
2012-03-20,16.81,16.81,16.51,16.51,783,EUR,CPLE6,spain
2012-03-21,16.98,16.98,16.26,16.61,2543,EUR,CPLE6,spain
2012-03-22,16.69,16.69,16.58,16.6,801,EUR,CPLE6,spain
2012-03-23,16.66,16.66,16.43,16.63,1831,EUR,CPLE6,spain
2012-03-26,16.92,16.92,16.62,16.69,783,EUR,CPLE6,spain
2012-03-27,16.9,16.9,16.49,16.49,776,EUR,CPLE6,spain
2012-03-28,16.29,16.31,16.01,16.23,1181,EUR,CPLE6,spain
2012-03-29,15.476,15.476,15.177,15.212,811,EUR,CPLE6,spain
2012-03-30,15.284,15.386,15.132,15.458,785,EUR,CPLE6,spain
2012-04-02,15.645,16.091,15.645,16.109,783,EUR,CPLE6,spain
2012-04-03,16.181,16.181,16.082,16.1,773,EUR,CPLE6,spain
2012-04-04,16.096,16.154,15.944,16.158,804,EUR,CPLE6,spain
2012-04-05,16.31,16.444,16.306,16.457,783,EUR,CPLE6,spain
2012-04-10,16.109,16.109,15.891,15.984,787,EUR,CPLE6,spain
2012-04-11,16.074,16.319,16.074,16.105,799,EUR,CPLE6,spain
2012-04-12,16.114,16.279,16.114,16.297,771,EUR,CPLE6,spain
2012-04-13,16.301,16.373,16.288,16.408,759,EUR,CPLE6,spain
2012-04-16,16.489,16.489,16.377,16.377,245,EUR,CPLE6,spain
2012-04-17,16.082,16.27,16.082,16.176,792,EUR,CPLE6,spain
2012-04-18,16.091,16.395,16.091,16.431,783,EUR,CPLE6,spain
2012-04-19,16.27,16.315,16.27,16.23,766,EUR,CPLE6,spain
2012-04-20,16.27,16.341,16.27,16.27,740,EUR,CPLE6,spain
2012-04-23,16.435,16.435,16.172,16.185,767,EUR,CPLE6,spain
2012-04-24,16.399,16.462,16.368,16.453,781,EUR,CPLE6,spain
2012-04-25,16.676,16.948,16.676,17.136,772,EUR,CPLE6,spain
2012-04-26,17.131,17.131,16.738,16.747,738,EUR,CPLE6,spain
