Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-07-29,2.07,2.07,2.07,2.07,174897,EUR,CRBHO,spain
2014-07-30,2.06,2.06,2.06,2.06,33840,EUR,CRBHO,spain
2014-07-31,2.0,2.0,2.0,2.0,8000,EUR,CRBHO,spain
2014-08-01,2.0,2.0,2.0,2.0,4800,EUR,CRBHO,spain
2014-08-04,2.0,2.02,2.0,2.02,10043,EUR,CRBHO,spain
2014-08-05,2.0,2.0,2.0,2.0,630,EUR,CRBHO,spain
2014-08-06,2.0,2.0,2.0,2.0,1100,EUR,CRBHO,spain
2014-08-07,2.0,2.0,2.0,2.0,650,EUR,CRBHO,spain
2014-08-08,2.0,2.0,2.0,2.0,1110,EUR,CRBHO,spain
2014-08-11,2.0,2.0,2.0,2.0,4347,EUR,CRBHO,spain
2014-08-12,2.0,2.0,2.0,2.0,1300,EUR,CRBHO,spain
2014-08-13,2.0,2.0,2.0,2.0,20000,EUR,CRBHO,spain
2014-08-15,2.0,2.0,2.0,2.0,3000,EUR,CRBHO,spain
2014-08-18,2.07,2.07,2.07,2.07,117000,EUR,CRBHO,spain
2014-08-19,2.07,2.07,2.07,2.07,53345,EUR,CRBHO,spain
2014-08-20,2.01,2.07,2.01,2.07,49997,EUR,CRBHO,spain
2014-08-21,2.07,2.12,2.07,2.12,32227,EUR,CRBHO,spain
2014-08-22,2.12,2.12,2.05,2.05,5050,EUR,CRBHO,spain
2014-08-25,2.03,2.03,2.03,2.03,1125,EUR,CRBHO,spain
2014-08-26,2.05,2.05,2.05,2.05,6300,EUR,CRBHO,spain
2014-08-27,2.05,2.05,2.05,2.05,4523,EUR,CRBHO,spain
2014-08-28,2.05,2.05,2.05,2.05,7100,EUR,CRBHO,spain
2014-08-29,2.05,2.05,2.05,2.05,7100,EUR,CRBHO,spain
2014-09-01,2.06,2.06,2.06,2.06,8025,EUR,CRBHO,spain
2014-09-02,2.06,2.06,2.06,2.06,10453,EUR,CRBHO,spain
2014-09-03,2.06,2.06,2.06,2.06,8013,EUR,CRBHO,spain
2014-09-04,2.06,2.06,2.06,2.06,8000,EUR,CRBHO,spain
2014-09-05,2.06,2.06,2.06,2.06,6647,EUR,CRBHO,spain
2014-09-08,2.06,2.06,2.06,2.06,4500,EUR,CRBHO,spain
2014-09-09,2.07,2.07,2.07,2.07,11100,EUR,CRBHO,spain
2014-09-10,2.07,2.07,2.07,2.07,9000,EUR,CRBHO,spain
2014-09-11,2.07,2.07,2.07,2.07,640,EUR,CRBHO,spain
2014-09-12,2.07,2.07,2.07,2.07,10500,EUR,CRBHO,spain
2014-09-15,2.07,2.07,2.07,2.07,5560,EUR,CRBHO,spain
2014-09-16,2.07,2.07,2.07,2.07,5000,EUR,CRBHO,spain
2014-09-17,2.07,2.07,2.07,2.07,6500,EUR,CRBHO,spain
2014-09-18,2.07,2.07,2.07,2.07,10000,EUR,CRBHO,spain
2014-09-19,2.07,2.07,2.07,2.07,10000,EUR,CRBHO,spain
2014-09-22,2.07,2.07,2.07,2.07,9500,EUR,CRBHO,spain
2014-09-23,2.07,2.07,2.07,2.07,9415,EUR,CRBHO,spain
2014-09-24,2.07,2.07,2.07,2.07,585,EUR,CRBHO,spain
2014-09-25,2.07,2.07,2.07,2.07,1500,EUR,CRBHO,spain
2014-09-26,2.07,2.07,2.07,2.07,2029,EUR,CRBHO,spain
2014-09-29,2.07,2.07,2.07,2.07,5000,EUR,CRBHO,spain
2014-09-30,2.07,2.07,2.07,2.07,7000,EUR,CRBHO,spain
2014-10-01,2.07,2.07,2.07,2.07,5300,EUR,CRBHO,spain
2014-10-02,2.07,2.07,2.07,2.07,5600,EUR,CRBHO,spain
2014-10-03,2.07,2.07,2.07,2.07,5400,EUR,CRBHO,spain
2014-10-06,2.07,2.07,2.07,2.07,8800,EUR,CRBHO,spain
2014-10-07,2.07,2.07,2.07,2.07,4750,EUR,CRBHO,spain
2014-10-08,2.07,2.07,2.07,2.07,4505,EUR,CRBHO,spain
2014-10-09,2.07,2.07,2.07,2.07,5445,EUR,CRBHO,spain
2014-10-10,2.07,2.07,2.07,2.07,1025,EUR,CRBHO,spain
2014-10-14,2.07,2.07,2.07,2.07,5000,EUR,CRBHO,spain
2014-10-15,2.07,2.07,2.07,2.07,400,EUR,CRBHO,spain
2014-10-16,2.07,2.07,2.07,2.07,7000,EUR,CRBHO,spain
2014-10-17,2.07,2.07,2.07,2.07,5000,EUR,CRBHO,spain
2014-10-20,2.07,2.07,2.07,2.07,4105,EUR,CRBHO,spain
2014-10-21,2.07,2.07,2.07,2.07,4600,EUR,CRBHO,spain
2014-10-22,2.07,2.07,2.07,2.07,4000,EUR,CRBHO,spain
2014-10-23,2.07,2.07,2.07,2.07,5000,EUR,CRBHO,spain
2014-10-27,2.07,2.07,2.07,2.07,2700,EUR,CRBHO,spain
2014-10-28,2.07,2.07,2.07,2.07,100,EUR,CRBHO,spain
2014-10-29,2.07,2.07,2.07,2.07,700,EUR,CRBHO,spain
2014-10-30,2.07,2.07,2.07,2.07,80,EUR,CRBHO,spain
2014-10-31,2.07,2.07,2.07,2.07,10115,EUR,CRBHO,spain
2014-11-05,2.07,2.07,2.07,2.07,6650,EUR,CRBHO,spain
2014-11-06,2.07,2.07,2.07,2.07,5500,EUR,CRBHO,spain
2014-11-07,2.07,2.07,2.07,2.07,7500,EUR,CRBHO,spain
2014-11-10,2.07,2.07,2.07,2.07,2271,EUR,CRBHO,spain
2014-11-12,2.07,2.07,2.07,2.07,11679,EUR,CRBHO,spain
2014-11-13,2.07,2.07,2.07,2.07,9821,EUR,CRBHO,spain
2014-11-14,2.07,2.07,2.07,2.07,10000,EUR,CRBHO,spain
2014-11-17,2.07,2.07,2.07,2.07,14179,EUR,CRBHO,spain
2014-11-19,2.07,2.07,2.07,2.07,10000,EUR,CRBHO,spain
