Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-08-23,2.64,2.641,2.58,2.613,2557385,EUR,DIDA,spain
2011-08-24,2.632,2.683,2.604,2.65,3520393,EUR,DIDA,spain
2011-08-25,2.686,2.7,2.62,2.68,4985886,EUR,DIDA,spain
2011-08-26,2.671,2.674,2.58,2.625,3404426,EUR,DIDA,spain
2011-08-29,2.641,2.699,2.595,2.645,2002573,EUR,DIDA,spain
2011-08-30,2.69,2.869,2.69,2.81,14981407,EUR,DIDA,spain
2011-08-31,2.815,3.06,2.813,3.0,10080339,EUR,DIDA,spain
2011-09-01,2.988,3.004,2.885,2.96,10938992,EUR,DIDA,spain
2011-09-02,2.935,2.967,2.871,2.942,6001550,EUR,DIDA,spain
2011-09-05,2.9,2.94,2.865,2.912,7374459,EUR,DIDA,spain
2011-09-06,2.9,2.97,2.861,2.932,6927537,EUR,DIDA,spain
2011-09-07,2.993,3.041,2.966,2.997,7474170,EUR,DIDA,spain
2011-09-08,3.0,3.104,2.961,2.983,7463983,EUR,DIDA,spain
2011-09-09,2.961,3.05,2.911,2.963,4425932,EUR,DIDA,spain
2011-09-12,2.898,2.96,2.869,2.909,5082090,EUR,DIDA,spain
2011-09-13,2.95,2.96,2.771,2.803,7119859,EUR,DIDA,spain
2011-09-14,2.782,2.889,2.761,2.88,6994243,EUR,DIDA,spain
2011-09-15,2.896,2.971,2.875,2.936,5083074,EUR,DIDA,spain
2011-09-16,2.98,3.038,2.931,2.991,8879185,EUR,DIDA,spain
2011-09-19,2.964,3.02,2.932,2.95,3994486,EUR,DIDA,spain
2011-09-20,2.94,2.973,2.9,2.951,5369774,EUR,DIDA,spain
2011-09-21,2.945,2.961,2.901,2.938,4358721,EUR,DIDA,spain
2011-09-22,2.874,2.91,2.82,2.82,10575789,EUR,DIDA,spain
2011-09-23,2.849,2.849,2.729,2.788,6059701,EUR,DIDA,spain
2011-09-26,2.75,2.83,2.722,2.766,17717188,EUR,DIDA,spain
2011-09-27,2.814,2.949,2.77,2.932,8635556,EUR,DIDA,spain
2011-09-28,2.908,2.99,2.898,2.951,7389077,EUR,DIDA,spain
2011-09-29,2.951,3.094,2.91,3.073,7203785,EUR,DIDA,spain
2011-09-30,3.058,3.14,2.949,2.972,8993917,EUR,DIDA,spain
2011-10-03,2.917,2.945,2.895,2.922,4303521,EUR,DIDA,spain
2011-10-04,2.907,3.03,2.854,2.984,7363679,EUR,DIDA,spain
2011-10-05,3.031,3.038,2.98,3.036,3576593,EUR,DIDA,spain
2011-10-06,3.045,3.15,3.005,3.145,7096772,EUR,DIDA,spain
2011-10-07,3.149,3.253,3.108,3.216,6588526,EUR,DIDA,spain
2011-10-10,3.211,3.294,3.146,3.294,4508855,EUR,DIDA,spain
2011-10-11,3.284,3.34,3.19,3.2,5591401,EUR,DIDA,spain
2011-10-12,3.222,3.295,3.19,3.24,4174405,EUR,DIDA,spain
2011-10-13,3.219,3.275,3.219,3.246,3639622,EUR,DIDA,spain
2011-10-14,3.246,3.334,3.246,3.289,4432158,EUR,DIDA,spain
2011-10-17,3.3,3.35,3.3,3.318,3265029,EUR,DIDA,spain
2011-10-18,3.3,3.306,3.221,3.25,4081332,EUR,DIDA,spain
2011-10-19,3.247,3.276,3.205,3.237,2961571,EUR,DIDA,spain
2011-10-20,3.211,3.336,3.211,3.232,4525848,EUR,DIDA,spain
2011-10-21,3.24,3.35,3.216,3.331,2947801,EUR,DIDA,spain
2011-10-24,3.346,3.36,3.301,3.31,2411334,EUR,DIDA,spain
2011-10-25,3.3,3.35,3.255,3.34,2756320,EUR,DIDA,spain
2011-10-26,3.34,3.37,3.31,3.36,3296421,EUR,DIDA,spain
2011-10-27,3.4,3.4,3.276,3.34,5309209,EUR,DIDA,spain
2011-10-28,3.366,3.379,3.31,3.33,5554140,EUR,DIDA,spain
2011-10-31,3.31,3.378,3.281,3.305,3432477,EUR,DIDA,spain
2011-11-01,3.256,3.3,3.16,3.199,5692175,EUR,DIDA,spain
2011-11-02,3.246,3.331,3.181,3.255,4918191,EUR,DIDA,spain
2011-11-03,3.21,3.324,3.201,3.25,5476631,EUR,DIDA,spain
2011-11-04,3.251,3.299,3.19,3.218,4622677,EUR,DIDA,spain
2011-11-07,3.181,3.204,3.105,3.2,3979246,EUR,DIDA,spain
2011-11-08,3.216,3.29,3.202,3.218,4950427,EUR,DIDA,spain
2011-11-09,3.211,3.25,3.114,3.133,2140109,EUR,DIDA,spain
2011-11-10,3.104,3.18,3.08,3.113,1981609,EUR,DIDA,spain
2011-11-11,3.11,3.195,3.098,3.185,1846656,EUR,DIDA,spain
2011-11-14,3.191,3.2,3.07,3.073,2618782,EUR,DIDA,spain
2011-11-15,3.001,3.249,3.001,3.166,8936283,EUR,DIDA,spain
2011-11-16,3.168,3.32,3.161,3.28,5284220,EUR,DIDA,spain
2011-11-17,3.3,3.328,3.224,3.243,3378909,EUR,DIDA,spain
2011-11-18,3.249,3.261,3.196,3.24,1593854,EUR,DIDA,spain
2011-11-21,3.22,3.3,3.16,3.232,2167147,EUR,DIDA,spain
2011-11-22,3.23,3.288,3.061,3.095,4244967,EUR,DIDA,spain
2011-11-23,3.076,3.22,3.076,3.124,2844266,EUR,DIDA,spain
2011-11-24,3.131,3.179,3.09,3.103,2361137,EUR,DIDA,spain
2011-11-25,3.095,3.125,2.941,2.99,3613589,EUR,DIDA,spain
2011-11-28,3.013,3.189,3.0,3.153,3247859,EUR,DIDA,spain
2011-11-29,3.15,3.2,3.134,3.16,1844259,EUR,DIDA,spain
2011-11-30,3.17,3.349,3.139,3.349,14351195,EUR,DIDA,spain
2011-12-01,3.355,3.499,3.32,3.438,6553886,EUR,DIDA,spain
2011-12-02,3.44,3.47,3.367,3.386,4017161,EUR,DIDA,spain
2011-12-05,3.4,3.43,3.33,3.354,2970836,EUR,DIDA,spain
2011-12-06,3.34,3.393,3.265,3.273,2305095,EUR,DIDA,spain
2011-12-07,3.33,3.37,3.23,3.337,4196765,EUR,DIDA,spain
2011-12-08,3.369,3.4,3.175,3.217,3159459,EUR,DIDA,spain
2011-12-09,3.27,3.33,3.235,3.275,3729939,EUR,DIDA,spain
2011-12-12,3.3,3.337,3.261,3.306,1860145,EUR,DIDA,spain
2011-12-13,3.336,3.338,3.223,3.235,3125546,EUR,DIDA,spain
2011-12-14,3.258,3.333,3.204,3.223,3038236,EUR,DIDA,spain
