Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-04-28,2.599,2.839,2.512,2.83,2048420,EUR,DOMI,spain
2016-04-29,2.8,2.88,2.68,2.75,1164145,EUR,DOMI,spain
2016-05-02,2.851,2.851,2.74,2.74,162555,EUR,DOMI,spain
2016-05-03,2.75,2.779,2.698,2.703,245250,EUR,DOMI,spain
2016-05-04,2.71,2.728,2.66,2.713,194098,EUR,DOMI,spain
2016-05-05,2.72,2.74,2.677,2.7,339478,EUR,DOMI,spain
2016-05-06,2.719,2.719,2.677,2.7,125674,EUR,DOMI,spain
2016-05-09,2.72,2.72,2.686,2.686,235626,EUR,DOMI,spain
2016-05-10,2.705,2.74,2.686,2.74,146134,EUR,DOMI,spain
2016-05-11,2.715,2.75,2.705,2.75,121323,EUR,DOMI,spain
2016-05-12,2.75,2.75,2.68,2.71,460396,EUR,DOMI,spain
2016-05-13,2.72,2.72,2.66,2.66,483258,EUR,DOMI,spain
2016-05-16,2.68,2.68,2.65,2.66,30924,EUR,DOMI,spain
2016-05-17,2.685,2.69,2.66,2.67,56398,EUR,DOMI,spain
2016-05-18,2.65,2.72,2.65,2.72,167498,EUR,DOMI,spain
2016-05-19,2.72,2.72,2.68,2.7,112835,EUR,DOMI,spain
2016-05-20,2.7,2.7,2.671,2.673,33918,EUR,DOMI,spain
2016-05-23,2.7,2.754,2.699,2.702,156014,EUR,DOMI,spain
2016-05-24,2.701,2.74,2.7,2.7,421577,EUR,DOMI,spain
2016-05-25,2.703,2.745,2.703,2.73,211360,EUR,DOMI,spain
2016-05-26,2.735,2.74,2.7,2.74,377295,EUR,DOMI,spain
2016-05-27,2.744,2.745,2.702,2.702,139870,EUR,DOMI,spain
2016-05-30,2.73,2.79,2.71,2.74,189079,EUR,DOMI,spain
2016-05-31,2.739,2.778,2.69,2.69,197587,EUR,DOMI,spain
2016-06-01,2.695,2.733,2.66,2.698,20681,EUR,DOMI,spain
2016-06-02,2.68,2.71,2.68,2.7,29661,EUR,DOMI,spain
2016-06-03,2.7,2.8,2.7,2.76,179651,EUR,DOMI,spain
2016-06-06,2.78,2.82,2.76,2.792,197522,EUR,DOMI,spain
2016-06-07,2.8,2.85,2.8,2.82,220496,EUR,DOMI,spain
2016-06-08,2.81,2.85,2.76,2.76,252610,EUR,DOMI,spain
2016-06-09,2.82,2.82,2.731,2.731,180946,EUR,DOMI,spain
2016-06-10,2.74,2.75,2.71,2.73,91148,EUR,DOMI,spain
2016-06-13,2.749,2.75,2.67,2.705,48594,EUR,DOMI,spain
2016-06-14,2.68,2.75,2.601,2.601,105185,EUR,DOMI,spain
2016-06-15,2.61,2.7,2.6,2.64,112517,EUR,DOMI,spain
2016-06-16,2.639,2.639,2.52,2.565,112651,EUR,DOMI,spain
2016-06-17,2.552,2.725,2.552,2.63,111467,EUR,DOMI,spain
2016-06-20,2.687,2.7,2.603,2.655,39463,EUR,DOMI,spain
2016-06-21,2.65,2.65,2.542,2.62,230214,EUR,DOMI,spain
2016-06-22,2.591,2.62,2.591,2.591,23325,EUR,DOMI,spain
2016-06-23,2.57,2.61,2.534,2.534,121631,EUR,DOMI,spain
2016-06-24,2.427,2.479,2.187,2.3,128590,EUR,DOMI,spain
2016-06-27,2.4,2.4,2.18,2.19,79459,EUR,DOMI,spain
2016-06-28,2.21,2.299,2.18,2.219,177724,EUR,DOMI,spain
2016-06-29,2.346,2.346,2.152,2.27,329763,EUR,DOMI,spain
2016-06-30,2.27,2.33,2.26,2.33,88148,EUR,DOMI,spain
2016-07-01,2.33,2.469,2.265,2.46,31892,EUR,DOMI,spain
2016-07-04,2.469,2.56,2.469,2.5,56116,EUR,DOMI,spain
2016-07-05,2.55,2.55,2.4,2.44,29602,EUR,DOMI,spain
2016-07-06,2.357,2.41,2.324,2.41,26121,EUR,DOMI,spain
2016-07-07,2.363,2.445,2.35,2.35,219509,EUR,DOMI,spain
2016-07-08,2.445,2.445,2.3,2.41,126276,EUR,DOMI,spain
2016-07-11,2.514,2.514,2.361,2.451,24460,EUR,DOMI,spain
2016-07-12,2.46,2.52,2.46,2.52,16134,EUR,DOMI,spain
2016-07-13,2.5,2.55,2.5,2.5,34373,EUR,DOMI,spain
2016-07-14,2.52,2.54,2.496,2.54,58708,EUR,DOMI,spain
2016-07-15,2.5,2.515,2.499,2.515,46929,EUR,DOMI,spain
2016-07-18,2.5,2.52,2.471,2.471,46626,EUR,DOMI,spain
2016-07-19,2.471,2.501,2.471,2.475,140560,EUR,DOMI,spain
2016-07-20,2.499,2.682,2.499,2.57,195110,EUR,DOMI,spain
2016-07-21,2.599,2.645,2.57,2.599,67971,EUR,DOMI,spain
2016-07-22,2.57,2.71,2.57,2.649,62177,EUR,DOMI,spain
2016-07-25,2.59,2.69,2.59,2.61,34585,EUR,DOMI,spain
2016-07-26,2.597,2.666,2.597,2.61,20691,EUR,DOMI,spain
2016-07-27,2.686,2.688,2.62,2.64,18166,EUR,DOMI,spain
2016-07-28,2.61,2.679,2.6,2.65,60392,EUR,DOMI,spain
2016-07-29,2.66,2.68,2.62,2.65,66156,EUR,DOMI,spain
2016-08-01,2.62,2.621,2.57,2.57,74717,EUR,DOMI,spain
2016-08-02,2.571,2.62,2.5,2.5,114394,EUR,DOMI,spain
2016-08-03,2.55,2.635,2.54,2.54,12664,EUR,DOMI,spain
2016-08-04,2.55,2.62,2.55,2.619,3914,EUR,DOMI,spain
2016-08-05,2.57,2.635,2.56,2.62,61975,EUR,DOMI,spain
2016-08-08,2.6,2.675,2.57,2.6,74445,EUR,DOMI,spain
2016-08-09,2.58,2.614,2.58,2.614,4139,EUR,DOMI,spain
2016-08-10,2.591,2.69,2.591,2.68,58969,EUR,DOMI,spain
2016-08-11,2.678,2.68,2.62,2.68,22935,EUR,DOMI,spain
2016-08-12,2.68,2.68,2.61,2.67,17280,EUR,DOMI,spain
2016-08-15,2.67,2.67,2.611,2.631,10248,EUR,DOMI,spain
2016-08-16,2.665,2.665,2.586,2.62,15482,EUR,DOMI,spain
2016-08-17,2.637,2.639,2.56,2.57,114464,EUR,DOMI,spain
2016-08-18,2.57,2.57,2.55,2.57,69086,EUR,DOMI,spain
2016-08-19,2.55,2.62,2.542,2.61,5377,EUR,DOMI,spain
2016-08-22,2.551,2.609,2.522,2.6,137647,EUR,DOMI,spain
2016-08-23,2.649,2.67,2.57,2.654,194187,EUR,DOMI,spain
2016-08-24,2.65,2.8,2.65,2.78,138336,EUR,DOMI,spain
2016-08-25,2.79,2.8,2.7,2.753,85537,EUR,DOMI,spain
2016-08-26,2.75,2.78,2.706,2.755,55782,EUR,DOMI,spain
2016-08-29,2.79,2.79,2.573,2.775,83159,EUR,DOMI,spain
2016-08-30,2.79,2.8,2.634,2.8,54851,EUR,DOMI,spain
2016-08-31,2.75,2.799,2.717,2.799,49701,EUR,DOMI,spain
2016-09-01,2.725,2.85,2.725,2.75,54410,EUR,DOMI,spain
2016-09-02,2.751,2.819,2.725,2.819,15460,EUR,DOMI,spain
2016-09-05,2.819,2.819,2.74,2.819,15821,EUR,DOMI,spain
2016-09-06,2.82,2.84,2.801,2.825,69384,EUR,DOMI,spain
2016-09-07,2.83,2.835,2.81,2.829,25446,EUR,DOMI,spain
2016-09-08,2.81,2.81,2.755,2.81,26598,EUR,DOMI,spain
2016-09-09,2.79,2.82,2.763,2.763,27120,EUR,DOMI,spain
2016-09-12,2.75,2.77,2.74,2.741,29603,EUR,DOMI,spain
2016-09-13,2.75,2.825,2.75,2.75,23449,EUR,DOMI,spain
2016-09-14,2.8,2.8,2.743,2.78,57734,EUR,DOMI,spain
2016-09-15,2.78,2.8,2.74,2.751,62322,EUR,DOMI,spain
2016-09-16,2.751,2.77,2.75,2.75,30583,EUR,DOMI,spain
2016-09-19,2.751,2.79,2.75,2.75,81419,EUR,DOMI,spain
2016-09-20,2.76,2.769,2.7,2.7,73327,EUR,DOMI,spain
2016-09-21,2.715,2.74,2.7,2.715,38791,EUR,DOMI,spain
2016-09-22,2.739,2.749,2.705,2.749,12670,EUR,DOMI,spain
2016-09-23,2.702,2.78,2.702,2.731,15312,EUR,DOMI,spain
2016-09-26,2.75,2.75,2.715,2.74,52734,EUR,DOMI,spain
