Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-11-23,9.99,9.99,9.01,9.01,6579,EUR,EATP,spain
2018-11-26,9.7,9.7,9.01,9.15,3722,EUR,EATP,spain
2018-11-27,9.4,9.4,8.71,8.75,3264,EUR,EATP,spain
2018-11-28,8.71,8.79,8.02,8.11,3561,EUR,EATP,spain
2018-11-29,8.13,8.13,8.13,8.11,30,EUR,EATP,spain
2018-12-03,8.11,8.57,8.11,8.11,1050,EUR,EATP,spain
2018-12-04,8.58,8.9,8.58,8.11,418,EUR,EATP,spain
2018-12-05,8.9,9.49,8.8,9.36,2597,EUR,EATP,spain
2018-12-06,9.26,9.26,9.26,9.36,18,EUR,EATP,spain
2018-12-07,8.43,9.09,8.43,9.36,168,EUR,EATP,spain
2018-12-10,9.24,10.0,9.24,9.3,575,EUR,EATP,spain
2018-12-11,9.2,9.2,9.2,9.3,100,EUR,EATP,spain
2018-12-12,9.7,9.98,8.87,8.87,2221,EUR,EATP,spain
2018-12-13,9.28,10.36,9.28,9.54,1338,EUR,EATP,spain
2018-12-14,9.01,9.98,9.01,9.97,518,EUR,EATP,spain
2018-12-17,9.96,9.96,9.12,9.97,345,EUR,EATP,spain
2018-12-19,9.6,9.78,9.6,9.97,250,EUR,EATP,spain
2018-12-21,8.99,9.69,8.99,9.97,216,EUR,EATP,spain
2018-12-24,9.66,9.67,9.66,9.97,237,EUR,EATP,spain
2018-12-27,9.0,9.59,9.0,9.97,192,EUR,EATP,spain
2019-01-02,9.92,9.92,9.92,9.92,1033,EUR,EATP,spain
2019-01-03,9.92,9.97,9.92,9.97,1247,EUR,EATP,spain
2019-01-04,9.92,9.92,9.92,9.92,3520,EUR,EATP,spain
2019-01-07,9.95,9.95,9.9,9.92,20,EUR,EATP,spain
2019-01-08,9.9,9.92,9.9,9.92,11,EUR,EATP,spain
2019-01-11,9.92,9.92,9.9,9.92,127,EUR,EATP,spain
2019-01-14,8.94,9.92,8.94,9.92,1344,EUR,EATP,spain
2019-01-15,9.1,9.12,9.1,9.1,1300,EUR,EATP,spain
2019-01-16,10.0,10.0,8.77,9.29,1618,EUR,EATP,spain
