Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2013-07-08,4.45,4.45,4.45,4.45,5400,EUR,EBI,spain
2013-07-09,4.42,4.42,4.38,4.38,3940,EUR,EBI,spain
2013-07-10,4.37,4.37,4.37,4.37,1898,EUR,EBI,spain
2013-07-11,4.38,4.38,4.38,4.38,1000,EUR,EBI,spain
2013-07-12,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-07-15,4.15,4.35,4.15,4.35,800,EUR,EBI,spain
2013-07-16,4.3,4.36,4.3,4.36,2276,EUR,EBI,spain
2013-07-17,4.36,4.36,4.36,4.36,1000,EUR,EBI,spain
2013-07-18,4.36,4.36,4.36,4.36,2900,EUR,EBI,spain
2013-07-19,4.36,4.36,4.36,4.36,1100,EUR,EBI,spain
2013-07-22,4.4,4.4,4.4,4.4,2000,EUR,EBI,spain
2013-07-23,4.36,4.38,4.36,4.38,2000,EUR,EBI,spain
2013-07-24,4.36,4.36,4.0,4.0,3400,EUR,EBI,spain
2013-07-25,4.36,4.36,4.36,4.36,722,EUR,EBI,spain
2013-07-26,4.36,4.36,4.36,4.36,344,EUR,EBI,spain
2013-07-29,4.36,4.36,4.36,4.36,170,EUR,EBI,spain
2013-07-30,4.36,4.36,4.36,4.36,170,EUR,EBI,spain
2013-07-31,4.38,4.38,4.38,4.36,60,EUR,EBI,spain
2013-08-01,4.36,4.36,4.36,4.36,0,EUR,EBI,spain
2013-08-02,4.36,4.36,4.36,4.36,100,EUR,EBI,spain
2013-08-05,4.36,4.36,4.36,4.36,0,EUR,EBI,spain
2013-08-06,4.37,4.37,4.37,4.37,500,EUR,EBI,spain
2013-08-07,4.37,4.37,4.37,4.37,0,EUR,EBI,spain
2013-08-08,4.37,4.37,4.37,4.37,0,EUR,EBI,spain
2013-08-09,4.37,4.37,4.37,4.37,0,EUR,EBI,spain
2013-08-12,4.35,4.35,4.35,4.35,576,EUR,EBI,spain
2013-08-13,4.37,4.37,4.37,4.35,124,EUR,EBI,spain
2013-08-14,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-15,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-16,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-19,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-20,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-21,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-22,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-23,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-26,4.35,4.35,4.35,4.35,576,EUR,EBI,spain
2013-08-27,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-28,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-29,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-08-30,4.35,4.35,4.35,4.35,576,EUR,EBI,spain
2013-09-02,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-09-03,4.35,4.35,4.35,4.35,520,EUR,EBI,spain
2013-09-04,4.35,4.35,4.34,4.34,1060,EUR,EBI,spain
2013-09-05,4.34,4.34,4.34,4.34,0,EUR,EBI,spain
2013-09-06,4.35,4.35,4.35,4.35,1910,EUR,EBI,spain
2013-09-09,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-09-10,4.35,4.35,4.35,4.35,480,EUR,EBI,spain
2013-09-11,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-09-12,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-09-13,4.35,4.35,4.35,4.35,0,EUR,EBI,spain
2013-09-16,4.34,4.34,4.34,4.34,480,EUR,EBI,spain
2013-09-17,4.3,4.38,4.3,4.38,1080,EUR,EBI,spain
2013-09-18,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-19,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-20,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-23,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-24,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-25,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-26,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-27,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-09-30,4.38,4.38,4.38,4.38,0,EUR,EBI,spain
2013-10-01,4.41,4.41,4.41,4.41,2500,EUR,EBI,spain
2013-10-02,4.41,4.41,4.41,4.41,0,EUR,EBI,spain
2013-10-03,4.41,4.41,4.41,4.41,0,EUR,EBI,spain
2013-10-04,4.37,4.38,4.37,4.38,2030,EUR,EBI,spain
2013-10-07,4.37,4.37,4.37,4.37,1200,EUR,EBI,spain
2013-10-08,4.37,4.37,4.37,4.37,660,EUR,EBI,spain
2013-10-09,4.37,4.37,4.37,4.37,0,EUR,EBI,spain
2013-10-10,4.37,4.37,4.37,4.37,0,EUR,EBI,spain
2013-10-11,4.37,4.5,4.37,4.5,5774,EUR,EBI,spain
2013-10-14,4.5,4.5,4.5,4.5,2020,EUR,EBI,spain
2013-10-15,4.5,4.65,4.5,4.5,490,EUR,EBI,spain
2013-10-16,4.05,4.46,4.05,4.46,3884,EUR,EBI,spain
2013-10-17,4.65,4.65,4.65,4.65,1100,EUR,EBI,spain
2013-10-18,4.65,4.65,4.65,4.65,400,EUR,EBI,spain
2013-10-21,4.75,4.8,4.75,4.8,6498,EUR,EBI,spain
2013-10-22,4.9,5.0,4.9,5.0,1154,EUR,EBI,spain
2013-10-23,5.08,5.15,5.08,5.15,4180,EUR,EBI,spain
2013-10-24,5.29,5.29,5.29,5.29,900,EUR,EBI,spain
2013-10-25,5.29,5.29,5.29,5.29,130,EUR,EBI,spain
2013-10-28,5.33,5.42,5.33,5.42,1012,EUR,EBI,spain
2013-10-29,5.58,5.58,5.58,5.58,5188,EUR,EBI,spain
2013-10-30,5.58,5.58,5.58,5.58,400,EUR,EBI,spain
2013-10-31,5.65,5.65,5.5,5.5,4478,EUR,EBI,spain
2013-11-01,5.63,5.63,5.63,5.63,200,EUR,EBI,spain
