Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-06-24,15.63,15.69,15.38,15.43,505388,EUR,EBRO,spain
2011-06-27,15.4,15.62,15.32,15.52,554446,EUR,EBRO,spain
2011-06-28,15.52,15.67,15.38,15.535,434244,EUR,EBRO,spain
2011-06-29,15.62,16.09,15.58,15.81,688496,EUR,EBRO,spain
2011-06-30,15.88,16.04,15.64,15.93,705138,EUR,EBRO,spain
2011-07-01,15.97,16.0,15.7,15.915,486277,EUR,EBRO,spain
2011-07-04,15.69,15.82,15.66,15.775,372248,EUR,EBRO,spain
2011-07-05,15.81,15.85,15.45,15.45,730254,EUR,EBRO,spain
2011-07-06,15.42,15.42,14.86,15.07,1435643,EUR,EBRO,spain
2011-07-07,15.04,15.04,14.68,14.75,1505599,EUR,EBRO,spain
2011-07-08,14.76,14.99,14.47,14.47,1255247,EUR,EBRO,spain
2011-07-11,14.37,14.39,13.86,13.91,1335517,EUR,EBRO,spain
2011-07-12,13.82,13.88,13.52,13.72,1625140,EUR,EBRO,spain
2011-07-13,13.66,14.35,13.64,14.24,1542663,EUR,EBRO,spain
2011-07-14,14.18,14.3,13.93,13.99,950616,EUR,EBRO,spain
2011-07-15,13.94,14.04,13.72,13.735,795740,EUR,EBRO,spain
2011-07-18,13.71,13.84,13.68,13.735,666174,EUR,EBRO,spain
2011-07-19,13.7,13.83,13.5,13.74,922940,EUR,EBRO,spain
2011-07-20,13.77,13.84,13.52,13.6,933692,EUR,EBRO,spain
2011-07-21,13.67,13.93,13.45,13.9,1074593,EUR,EBRO,spain
2011-07-22,14.02,14.25,13.99,14.25,1048459,EUR,EBRO,spain
2011-07-25,14.18,14.32,14.03,14.11,443435,EUR,EBRO,spain
2011-07-26,14.2,14.28,14.07,14.17,638772,EUR,EBRO,spain
2011-07-27,14.16,14.16,13.45,13.62,1091649,EUR,EBRO,spain
2011-07-28,13.52,13.67,13.29,13.52,595089,EUR,EBRO,spain
2011-07-29,13.36,13.68,13.33,13.53,833825,EUR,EBRO,spain
2011-08-01,13.58,13.66,13.08,13.12,1016292,EUR,EBRO,spain
2011-08-02,12.9,13.05,12.84,12.94,1714904,EUR,EBRO,spain
2011-08-03,12.84,13.13,12.77,12.855,932065,EUR,EBRO,spain
2011-08-04,13.08,13.08,12.56,12.56,1528914,EUR,EBRO,spain
