Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-04-09,9.8,10.53,9.8,10.53,2472122,EUR,EDRE,spain
2014-04-10,10.65,11.69,10.64,11.4,4587606,EUR,EDRE,spain
2014-04-11,11.67,11.67,10.6,10.98,2039856,EUR,EDRE,spain
2014-04-14,11.18,11.18,10.45,11.0,1847677,EUR,EDRE,spain
2014-04-15,10.67,11.05,10.53,10.7,539042,EUR,EDRE,spain
2014-04-16,10.7,10.88,10.35,10.5,366108,EUR,EDRE,spain
2014-04-17,10.83,11.05,10.48,10.6,156195,EUR,EDRE,spain
2014-04-22,10.85,10.98,10.45,10.7,94172,EUR,EDRE,spain
2014-04-23,10.82,10.82,10.6,10.7,158595,EUR,EDRE,spain
2014-04-24,10.82,11.0,10.8,11.0,659360,EUR,EDRE,spain
2014-04-25,10.85,11.04,10.7,10.8,917118,EUR,EDRE,spain
2014-04-28,10.62,10.8,10.55,10.8,96898,EUR,EDRE,spain
2014-04-29,10.55,10.85,10.55,10.65,253879,EUR,EDRE,spain
2014-04-30,10.65,10.85,10.35,10.35,2823096,EUR,EDRE,spain
2014-05-02,10.46,10.79,10.42,10.62,285677,EUR,EDRE,spain
2014-05-05,10.55,10.79,10.36,10.6,157439,EUR,EDRE,spain
2014-05-06,10.59,10.64,10.35,10.43,104285,EUR,EDRE,spain
2014-05-07,10.35,10.54,10.3,10.5,50185,EUR,EDRE,spain
2014-05-08,10.54,10.54,10.31,10.35,160848,EUR,EDRE,spain
2014-05-09,10.41,10.86,10.36,10.6,153365,EUR,EDRE,spain
2014-05-12,10.6,10.95,10.6,10.9,285197,EUR,EDRE,spain
2014-05-13,10.9,11.9,10.86,11.23,241930,EUR,EDRE,spain
2014-05-14,11.39,11.39,10.77,11.0,674718,EUR,EDRE,spain
2014-05-15,11.14,11.3,10.89,11.3,204103,EUR,EDRE,spain
2014-05-16,11.22,11.29,10.86,11.04,28691,EUR,EDRE,spain
2014-05-19,11.19,11.19,10.63,10.89,22717,EUR,EDRE,spain
2014-05-20,10.98,11.0,10.71,10.71,18141,EUR,EDRE,spain
2014-05-21,10.62,10.9,10.39,10.55,53970,EUR,EDRE,spain
2014-05-22,10.4,10.56,10.37,10.37,44755,EUR,EDRE,spain
2014-05-23,10.38,10.68,10.38,10.41,85771,EUR,EDRE,spain
2014-05-26,10.53,10.55,10.41,10.55,36162,EUR,EDRE,spain
2014-05-27,10.43,10.53,10.33,10.5,70031,EUR,EDRE,spain
2014-05-28,10.5,10.5,10.33,10.4,74291,EUR,EDRE,spain
2014-05-29,10.37,10.48,10.34,10.48,6055,EUR,EDRE,spain
2014-05-30,10.39,10.63,10.05,10.39,111325,EUR,EDRE,spain
2014-06-02,10.12,10.3,10.03,10.08,186504,EUR,EDRE,spain
2014-06-03,10.09,10.2,9.96,10.02,69804,EUR,EDRE,spain
2014-06-04,10.1,10.1,9.86,9.94,169756,EUR,EDRE,spain
2014-06-05,9.96,10.0,9.8,10.0,41657,EUR,EDRE,spain
2014-06-06,10.0,10.05,9.84,10.0,138668,EUR,EDRE,spain
2014-06-09,9.94,10.32,9.89,9.98,163296,EUR,EDRE,spain
