Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-02-16,2.18,2.18,1.97,1.97,14760,EUR,EESP,spain
2012-02-17,2.0,2.0,2.0,2.0,3000,EUR,EESP,spain
2012-03-05,1.9,1.9,1.9,1.9,3000,EUR,EESP,spain
2012-03-08,1.8,1.8,1.8,1.8,4000,EUR,EESP,spain
2012-03-09,1.73,1.73,1.73,1.73,2895,EUR,EESP,spain
2012-03-14,1.6,1.6,1.6,1.6,6050,EUR,EESP,spain
2012-03-21,1.44,1.44,1.44,1.44,8000,EUR,EESP,spain
2012-03-22,1.45,1.45,1.45,1.45,2999,EUR,EESP,spain
2012-04-10,1.31,1.31,1.25,1.25,8676,EUR,EESP,spain
2012-04-20,1.26,1.26,1.25,1.25,21,EUR,EESP,spain
2012-04-26,1.27,1.27,1.27,1.27,3979,EUR,EESP,spain
2012-06-04,1.32,1.32,1.32,1.32,3750,EUR,EESP,spain
2012-06-06,1.34,1.34,1.34,1.34,3750,EUR,EESP,spain
2012-06-11,1.22,1.22,1.22,1.22,3900,EUR,EESP,spain
2012-07-05,1.16,1.16,1.16,1.16,500,EUR,EESP,spain
2012-07-17,1.05,1.05,1.05,1.05,5500,EUR,EESP,spain
2012-07-20,1.02,1.02,1.02,1.02,2500,EUR,EESP,spain
2012-07-23,0.97,0.97,0.97,0.97,1500,EUR,EESP,spain
2012-08-02,1.0,1.0,1.0,1.0,1000,EUR,EESP,spain
2012-10-30,1.0,1.0,1.0,1.0,2500,EUR,EESP,spain
2012-11-30,1.0,1.0,1.0,1.0,2600,EUR,EESP,spain
2012-12-28,1.0,1.0,1.0,1.0,2650,EUR,EESP,spain
2013-01-18,1.03,1.03,1.03,1.03,1000,EUR,EESP,spain
2013-01-22,1.08,1.08,1.08,1.08,5100,EUR,EESP,spain
2013-01-30,1.11,1.11,1.11,1.11,1100,EUR,EESP,spain
2013-01-31,1.13,1.18,1.13,1.18,3075,EUR,EESP,spain
2013-02-01,1.26,1.26,1.26,1.26,500,EUR,EESP,spain
