Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-07-02,10.2,10.41,10.07,10.25,1884585,EUR,EKTL,spain
2015-07-03,10.42,10.42,10.1,10.1,300175,EUR,EKTL,spain
2015-07-06,10.0,10.29,10.0,10.15,310736,EUR,EKTL,spain
2015-07-07,10.29,10.3,9.96,9.96,590516,EUR,EKTL,spain
2015-07-08,10.05,10.18,9.95,9.97,721798,EUR,EKTL,spain
2015-07-09,10.06,10.07,9.92,9.92,290746,EUR,EKTL,spain
2015-07-10,10.05,10.1,9.88,10.0,326092,EUR,EKTL,spain
2015-07-13,10.01,10.15,9.97,10.0,672357,EUR,EKTL,spain
2015-07-14,10.01,10.13,9.97,10.0,250060,EUR,EKTL,spain
2015-07-15,9.93,10.04,9.93,9.99,361580,EUR,EKTL,spain
2015-07-16,10.05,10.14,9.88,9.95,157065,EUR,EKTL,spain
2015-07-17,9.89,10.13,9.89,10.1,316633,EUR,EKTL,spain
2015-07-20,9.91,10.13,9.91,10.06,449184,EUR,EKTL,spain
2015-07-21,10.04,10.12,10.0,10.04,119535,EUR,EKTL,spain
2015-07-22,10.04,10.1,10.0,10.1,191253,EUR,EKTL,spain
2015-07-23,10.2,10.25,9.99,10.25,1393657,EUR,EKTL,spain
2015-07-24,10.35,11.7,10.35,11.52,2083740,EUR,EKTL,spain
2015-07-27,11.75,11.75,10.7,11.42,1655382,EUR,EKTL,spain
2015-07-28,11.15,11.6,11.09,11.35,230955,EUR,EKTL,spain
2015-07-29,11.35,11.5,11.21,11.4,495419,EUR,EKTL,spain
2015-07-30,11.26,11.6,11.25,11.48,197204,EUR,EKTL,spain
2015-07-31,11.31,11.75,11.3,11.42,171992,EUR,EKTL,spain
2015-08-03,11.31,12.0,11.2,11.61,139720,EUR,EKTL,spain
2015-08-04,11.59,11.75,11.31,11.5,120452,EUR,EKTL,spain
2015-08-05,11.6,11.68,11.5,11.68,114230,EUR,EKTL,spain
2015-08-06,11.7,11.78,11.43,11.6,65938,EUR,EKTL,spain
2015-08-07,11.58,11.58,11.29,11.4,75224,EUR,EKTL,spain
2015-08-10,11.5,11.62,11.3,11.45,140824,EUR,EKTL,spain
2015-08-11,11.32,11.57,11.27,11.35,82450,EUR,EKTL,spain
2015-08-12,11.27,11.41,11.22,11.3,114842,EUR,EKTL,spain
2015-08-13,11.59,11.59,10.78,11.3,235121,EUR,EKTL,spain
2015-08-14,11.28,11.52,11.1,11.35,20229,EUR,EKTL,spain
2015-08-17,11.47,11.47,10.95,11.11,512359,EUR,EKTL,spain
2015-08-18,11.29,11.5,11.0,11.3,32638,EUR,EKTL,spain
2015-08-19,11.2,11.2,11.0,11.0,105780,EUR,EKTL,spain
2015-08-20,10.93,11.38,10.91,11.0,11080,EUR,EKTL,spain
2015-08-21,10.86,11.03,10.57,10.64,39917,EUR,EKTL,spain
2015-08-24,10.26,10.8,10.0,10.8,118738,EUR,EKTL,spain
2015-08-25,10.31,11.29,10.31,11.1,192477,EUR,EKTL,spain
2015-08-26,11.19,11.25,10.38,10.58,217170,EUR,EKTL,spain
2015-08-27,10.79,11.1,10.63,10.8,88384,EUR,EKTL,spain
2015-08-28,10.9,11.2,10.64,10.74,13913,EUR,EKTL,spain
2015-08-31,10.78,10.78,10.3,10.51,28386,EUR,EKTL,spain
2015-09-01,10.4,10.55,9.99,10.05,152726,EUR,EKTL,spain
2015-09-02,10.23,10.7,10.05,10.1,151295,EUR,EKTL,spain
