Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-06-24,22.23,22.46,21.76,21.91,387125,EUR,ELE,spain
2011-06-27,21.87,22.05,21.76,21.94,317396,EUR,ELE,spain
2011-06-28,21.97,22.22,21.81,22.11,313827,EUR,ELE,spain
2011-06-29,22.23,22.63,22.23,22.605,256291,EUR,ELE,spain
2011-06-30,22.63,23.09,22.54,22.96,852366,EUR,ELE,spain
2011-07-01,22.77,23.03,22.43,22.65,630530,EUR,ELE,spain
2011-07-04,22.71,22.96,22.47,22.575,347971,EUR,ELE,spain
2011-07-05,22.72,22.79,22.3,22.42,452138,EUR,ELE,spain
2011-07-06,22.38,22.73,22.12,22.55,683900,EUR,ELE,spain
2011-07-07,22.7,22.72,22.32,22.42,456545,EUR,ELE,spain
2011-07-08,22.49,22.65,22.12,22.335,586071,EUR,ELE,spain
2011-07-11,22.05,22.16,21.21,21.405,603381,EUR,ELE,spain
2011-07-12,21.08,21.16,20.49,20.73,1035960,EUR,ELE,spain
2011-07-13,20.58,21.22,20.58,21.075,594164,EUR,ELE,spain
2011-07-14,20.94,21.1,20.78,20.865,507499,EUR,ELE,spain
2011-07-15,20.84,20.91,20.41,20.52,594652,EUR,ELE,spain
2011-07-18,20.42,20.52,20.08,20.13,564316,EUR,ELE,spain
2011-07-19,20.16,20.47,20.15,20.255,549016,EUR,ELE,spain
2011-07-20,20.58,21.14,20.47,20.965,531227,EUR,ELE,spain
2011-07-21,21.06,21.49,20.75,21.335,486532,EUR,ELE,spain
2011-07-22,21.56,21.87,21.41,21.595,357393,EUR,ELE,spain
2011-07-25,21.49,21.66,21.28,21.47,283169,EUR,ELE,spain
2011-07-26,21.5,21.59,21.1,21.305,327575,EUR,ELE,spain
2011-07-27,21.21,21.33,20.75,20.87,265473,EUR,ELE,spain
2011-07-28,20.79,20.96,20.61,20.75,362009,EUR,ELE,spain
2011-07-29,20.59,20.86,20.13,20.455,716273,EUR,ELE,spain
2011-08-01,20.64,20.92,20.07,20.12,616934,EUR,ELE,spain
2011-08-02,19.99,20.29,19.715,19.715,657754,EUR,ELE,spain
2011-08-03,19.63,20.19,19.54,19.8,438109,EUR,ELE,spain
2011-08-04,20.14,20.2,19.26,19.26,419238,EUR,ELE,spain
2011-08-05,18.8,19.24,18.76,18.915,895319,EUR,ELE,spain
2011-08-08,18.8,19.46,18.33,18.5,767307,EUR,ELE,spain
2011-08-09,18.51,18.78,17.67,18.17,707624,EUR,ELE,spain
2011-08-10,18.63,18.74,17.44,17.455,676026,EUR,ELE,spain
2011-08-11,17.94,18.155,17.15,17.98,831044,EUR,ELE,spain
2011-08-12,17.935,18.835,17.54,18.775,376394,EUR,ELE,spain
2011-08-15,18.87,19.235,18.565,18.81,189144,EUR,ELE,spain
2011-08-16,18.61,18.685,18.2,18.35,419517,EUR,ELE,spain
2011-08-17,18.39,18.7,18.2,18.575,332794,EUR,ELE,spain
2011-08-18,18.275,18.36,17.39,17.64,384471,EUR,ELE,spain
2011-08-19,17.6,17.615,17.02,17.395,397948,EUR,ELE,spain
2011-08-22,17.36,18.18,17.325,17.975,446621,EUR,ELE,spain
2011-08-23,18.16,18.29,17.585,17.855,528124,EUR,ELE,spain
2011-08-24,17.9,18.3,17.85,18.125,186954,EUR,ELE,spain
2011-08-25,18.31,18.44,17.605,17.745,359627,EUR,ELE,spain
2011-08-26,17.86,17.86,16.96,17.32,486952,EUR,ELE,spain
2011-08-29,17.495,17.825,17.47,17.75,150507,EUR,ELE,spain
2011-08-30,17.825,18.07,17.62,17.73,246636,EUR,ELE,spain
2011-08-31,17.925,18.185,17.815,17.965,440832,EUR,ELE,spain
2011-09-01,17.96,18.2,17.73,17.89,315439,EUR,ELE,spain
2011-09-02,17.8,17.8,17.455,17.675,352038,EUR,ELE,spain
2011-09-05,17.45,17.45,17.01,17.055,427176,EUR,ELE,spain
2011-09-06,17.0,17.27,16.81,16.98,497491,EUR,ELE,spain
2011-09-07,17.42,17.6,17.28,17.415,335117,EUR,ELE,spain
2011-09-08,17.485,17.765,17.28,17.64,314981,EUR,ELE,spain
2011-09-09,17.45,17.565,16.58,16.58,490861,EUR,ELE,spain
2011-09-12,16.46,16.535,16.08,16.26,565363,EUR,ELE,spain
2011-09-13,16.555,16.555,15.745,16.225,511067,EUR,ELE,spain
2011-09-14,16.1,16.88,16.02,16.77,430211,EUR,ELE,spain
2011-09-15,16.825,17.3,16.79,17.18,501203,EUR,ELE,spain
2011-09-16,17.31,17.48,17.125,17.405,596150,EUR,ELE,spain
2011-09-19,17.075,17.26,16.895,17.03,267140,EUR,ELE,spain
2011-09-20,16.92,17.35,16.85,17.285,309455,EUR,ELE,spain
2011-09-21,17.35,17.65,17.1,17.125,331644,EUR,ELE,spain
2011-09-22,16.72,16.79,16.265,16.335,309257,EUR,ELE,spain
2011-09-23,16.47,16.71,15.75,16.17,515150,EUR,ELE,spain
2011-09-26,15.935,16.775,15.935,16.54,356338,EUR,ELE,spain
2011-09-27,16.945,17.42,16.915,17.335,484263,EUR,ELE,spain
2011-09-28,17.11,17.71,17.11,17.55,406886,EUR,ELE,spain
2011-09-29,17.535,17.95,17.42,17.825,350287,EUR,ELE,spain
2011-09-30,17.66,17.85,17.355,17.43,398696,EUR,ELE,spain
2011-10-03,17.105,17.39,16.93,17.175,416710,EUR,ELE,spain
2011-10-04,17.0,17.0,16.435,16.665,364275,EUR,ELE,spain
2011-10-05,16.99,17.245,16.83,17.175,416244,EUR,ELE,spain
2011-10-06,17.27,17.72,17.175,17.6,405011,EUR,ELE,spain
2011-10-07,17.61,18.0,17.515,17.91,384940,EUR,ELE,spain
2011-10-10,18.08,18.08,17.665,17.695,403876,EUR,ELE,spain
2011-10-11,17.695,17.745,17.275,17.45,375319,EUR,ELE,spain
2011-10-12,17.34,17.95,17.265,17.76,441815,EUR,ELE,spain
2011-10-13,17.715,17.9,17.525,17.72,507868,EUR,ELE,spain
2011-10-14,17.715,17.955,17.515,17.9,389768,EUR,ELE,spain
2011-10-17,18.035,18.2,17.39,17.415,475606,EUR,ELE,spain
2011-10-18,17.3,17.33,16.905,17.05,553220,EUR,ELE,spain
2011-10-19,17.115,17.53,17.115,17.34,349064,EUR,ELE,spain
2011-10-20,17.225,17.38,16.91,17.0,672230,EUR,ELE,spain
2011-10-21,17.06,17.705,16.95,17.56,404382,EUR,ELE,spain
2011-10-24,17.7,17.735,17.345,17.72,354705,EUR,ELE,spain
2011-10-25,17.66,17.71,17.245,17.33,326494,EUR,ELE,spain
2011-10-26,17.42,17.49,17.07,17.175,277856,EUR,ELE,spain
2011-10-27,17.6,17.925,17.48,17.775,412286,EUR,ELE,spain
2011-10-28,17.805,17.91,17.46,17.515,320317,EUR,ELE,spain
2011-10-31,17.425,17.58,17.26,17.26,297845,EUR,ELE,spain
2011-11-01,17.01,17.01,16.405,16.58,379502,EUR,ELE,spain
2011-11-02,16.745,16.86,16.34,16.5,566103,EUR,ELE,spain
2011-11-03,16.3,17.4,16.3,17.13,599678,EUR,ELE,spain
2011-11-04,17.195,17.375,16.645,16.75,319940,EUR,ELE,spain
2011-11-07,16.69,17.11,16.4,16.91,440809,EUR,ELE,spain
2011-11-08,16.655,17.125,16.655,16.86,377298,EUR,ELE,spain
2011-11-09,17.11,17.11,16.04,16.2,587734,EUR,ELE,spain
2011-11-10,16.045,16.55,16.045,16.24,282562,EUR,ELE,spain
2011-11-11,16.235,16.78,16.2,16.645,244296,EUR,ELE,spain
2011-11-14,16.89,16.98,16.245,16.295,206653,EUR,ELE,spain
2011-11-15,16.21,16.35,16.005,16.14,221399,EUR,ELE,spain
2011-11-16,16.12,16.585,16.09,16.245,327650,EUR,ELE,spain
2011-11-17,16.28,16.315,16.025,16.08,308666,EUR,ELE,spain
2011-11-18,16.05,16.4,16.03,16.325,506666,EUR,ELE,spain
2011-11-21,16.185,16.295,15.585,15.595,280629,EUR,ELE,spain
2011-11-22,15.73,15.78,15.415,15.465,254727,EUR,ELE,spain
2011-11-23,15.445,15.605,15.25,15.3,295508,EUR,ELE,spain
2011-11-24,15.445,15.48,14.935,15.115,267252,EUR,ELE,spain
2011-11-25,15.2,15.275,14.855,15.245,157155,EUR,ELE,spain
2011-11-28,15.36,15.92,15.36,15.855,305926,EUR,ELE,spain
2011-11-29,15.865,16.015,15.675,15.87,354679,EUR,ELE,spain
2011-11-30,15.7,16.31,15.63,16.155,547394,EUR,ELE,spain
2011-12-01,16.14,16.155,15.715,15.84,608442,EUR,ELE,spain
2011-12-02,16.095,16.23,15.9,16.005,523167,EUR,ELE,spain
2011-12-05,16.17,16.435,16.07,16.395,238651,EUR,ELE,spain
2011-12-06,16.23,16.435,16.12,16.32,366323,EUR,ELE,spain
2011-12-07,16.48,16.705,16.155,16.47,502574,EUR,ELE,spain
2011-12-08,16.405,16.575,15.9,15.98,214087,EUR,ELE,spain
2011-12-09,15.915,16.355,15.75,16.285,471031,EUR,ELE,spain
2011-12-12,16.2,16.27,15.885,15.92,307445,EUR,ELE,spain
2011-12-13,16.1,16.1,15.59,15.68,386026,EUR,ELE,spain
2011-12-14,15.745,15.78,15.435,15.48,462037,EUR,ELE,spain
2011-12-15,15.575,15.705,15.475,15.605,412273,EUR,ELE,spain
2011-12-16,15.68,15.75,15.37,15.395,511934,EUR,ELE,spain
2011-12-19,15.365,15.72,15.35,15.495,420908,EUR,ELE,spain
2011-12-20,15.49,15.49,15.075,15.345,734855,EUR,ELE,spain
2011-12-21,15.5,15.585,15.12,15.215,631724,EUR,ELE,spain
2011-12-22,15.355,15.505,15.275,15.47,831769,EUR,ELE,spain
2011-12-23,15.52,15.87,15.52,15.87,404931,EUR,ELE,spain
2011-12-27,15.88,15.965,15.585,15.585,192585,EUR,ELE,spain
2011-12-28,15.645,15.935,15.43,15.495,285408,EUR,ELE,spain
2011-12-29,15.45,15.585,15.4,15.585,607751,EUR,ELE,spain
2011-12-30,15.685,16.0,15.615,15.85,341976,EUR,ELE,spain
2012-01-02,15.86,16.32,15.86,16.32,258608,EUR,ELE,spain
2012-01-03,16.44,16.44,16.06,16.265,223736,EUR,ELE,spain
2012-01-04,16.305,16.35,16.0,16.06,229914,EUR,ELE,spain
2012-01-05,16.135,16.16,15.565,15.565,490413,EUR,ELE,spain
2012-01-06,15.61,15.77,15.46,15.6,382322,EUR,ELE,spain
2012-01-09,15.7,15.82,15.485,15.64,373656,EUR,ELE,spain
2012-01-10,15.735,15.945,15.665,15.77,422933,EUR,ELE,spain
2012-01-11,15.69,15.855,15.535,15.675,659083,EUR,ELE,spain
2012-01-12,15.675,15.98,15.53,15.68,506779,EUR,ELE,spain
2012-01-13,15.765,15.885,15.315,15.39,559453,EUR,ELE,spain
2012-01-16,15.315,15.6,15.315,15.515,212972,EUR,ELE,spain
2012-01-17,15.725,15.885,15.61,15.77,348745,EUR,ELE,spain
2012-01-18,15.88,15.9,15.375,15.375,475603,EUR,ELE,spain
2012-01-19,15.4,15.5,15.25,15.43,599301,EUR,ELE,spain
2012-01-20,15.495,15.495,15.3,15.36,448107,EUR,ELE,spain
2012-01-23,15.395,15.4,15.165,15.33,345660,EUR,ELE,spain
2012-01-24,15.3,15.57,15.215,15.25,470414,EUR,ELE,spain
2012-01-25,15.295,15.4,14.925,14.95,655724,EUR,ELE,spain
2012-01-26,15.05,15.23,15.0,15.23,261239,EUR,ELE,spain
2012-01-27,15.34,15.69,15.28,15.35,665451,EUR,ELE,spain
2012-01-30,15.315,15.425,14.63,14.78,820287,EUR,ELE,spain
2012-01-31,14.9,15.16,14.825,15.0,628981,EUR,ELE,spain
2012-02-01,15.005,15.28,15.005,15.16,834178,EUR,ELE,spain
2012-02-02,15.165,15.335,14.95,15.03,661122,EUR,ELE,spain
2012-02-03,15.03,15.285,14.97,15.265,449848,EUR,ELE,spain
2012-02-06,15.28,15.33,15.12,15.285,379570,EUR,ELE,spain
2012-02-07,15.285,15.415,15.225,15.385,588154,EUR,ELE,spain
2012-02-08,15.4,15.625,15.4,15.48,412312,EUR,ELE,spain
2012-02-09,15.49,15.735,15.355,15.54,641123,EUR,ELE,spain
2012-02-10,15.435,15.845,15.405,15.615,824894,EUR,ELE,spain
2012-02-13,15.75,15.915,15.67,15.7,382174,EUR,ELE,spain
2012-02-14,15.51,15.95,15.48,15.9,722282,EUR,ELE,spain
2012-02-15,15.95,16.05,15.67,15.735,531156,EUR,ELE,spain
2012-02-16,15.665,15.665,15.365,15.42,960564,EUR,ELE,spain
2012-02-17,15.57,15.755,15.345,15.72,719552,EUR,ELE,spain
2012-02-20,15.93,15.93,15.63,15.865,403197,EUR,ELE,spain
2012-02-21,15.825,15.91,15.675,15.88,316069,EUR,ELE,spain
2012-02-22,15.85,15.905,15.765,15.82,431293,EUR,ELE,spain
2012-02-23,15.83,15.9,15.345,15.465,456748,EUR,ELE,spain
2012-02-24,15.43,15.56,15.3,15.46,499748,EUR,ELE,spain
2012-02-27,15.415,15.56,15.27,15.5,344226,EUR,ELE,spain
2012-02-28,15.525,15.68,15.41,15.66,307424,EUR,ELE,spain
2012-02-29,15.835,15.835,15.35,15.415,549526,EUR,ELE,spain
