Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-10-24,51.8,51.8,51.8,53.4,500,EUR,ELEKTRA,spain
2011-10-25,53.8,53.8,53.23,53.55,1014,EUR,ELEKTRA,spain
2011-10-26,53.2,53.2,53.2,53.53,500,EUR,ELEKTRA,spain
2011-10-27,53.4,53.9,53.4,53.7,675,EUR,ELEKTRA,spain
2011-10-28,54.84,54.84,54.84,54.98,81,EUR,ELEKTRA,spain
2011-10-31,55.79,56.19,55.79,56.42,600,EUR,ELEKTRA,spain
2011-11-01,55.35,55.35,54.1,55.11,1120,EUR,ELEKTRA,spain
2011-11-02,55.2,55.2,55.2,55.0,500,EUR,ELEKTRA,spain
2011-11-03,55.15,57.39,55.15,57.75,1220,EUR,ELEKTRA,spain
2011-11-04,59.1,60.47,59.1,60.43,1150,EUR,ELEKTRA,spain
2011-11-07,61.0,61.0,61.0,60.91,500,EUR,ELEKTRA,spain
2011-11-08,64.0,64.0,64.0,65.08,500,EUR,ELEKTRA,spain
2011-11-09,66.04,66.04,63.5,65.94,40,EUR,ELEKTRA,spain
2011-11-10,66.0,67.87,66.0,69.66,1180,EUR,ELEKTRA,spain
2011-11-11,70.45,73.9,70.45,75.08,1065,EUR,ELEKTRA,spain
2011-11-14,70.75,70.75,70.75,69.27,500,EUR,ELEKTRA,spain
2011-11-15,68.3,68.3,67.03,67.61,1110,EUR,ELEKTRA,spain
2011-11-16,68.3,68.3,67.49,66.9,510,EUR,ELEKTRA,spain
2011-11-17,65.5,66.47,65.5,66.77,805,EUR,ELEKTRA,spain
2011-11-18,64.42,66.83,64.42,67.76,805,EUR,ELEKTRA,spain
2011-11-21,67.2,67.2,67.2,66.79,500,EUR,ELEKTRA,spain
2011-11-22,65.96,65.96,65.96,67.3,500,EUR,ELEKTRA,spain
2011-11-23,68.02,68.02,68.02,68.41,500,EUR,ELEKTRA,spain
2011-11-24,66.5,66.5,66.5,67.6,500,EUR,ELEKTRA,spain
2011-11-25,65.9,65.9,65.9,67.41,500,EUR,ELEKTRA,spain
2011-11-28,64.5,64.5,64.5,69.01,500,EUR,ELEKTRA,spain
2011-11-29,66.47,66.47,66.47,67.3,500,EUR,ELEKTRA,spain
2011-11-30,67.8,72.57,67.8,72.04,835,EUR,ELEKTRA,spain
