Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-10-24,7.42,7.6,7.42,7.64,1912,EUR,ELTB,spain
2011-10-25,7.6,7.6,7.35,7.35,1910,EUR,ELTB,spain
2011-10-26,7.37,7.47,7.37,7.41,1959,EUR,ELTB,spain
2011-10-27,7.37,7.63,7.37,7.53,2383,EUR,ELTB,spain
2011-10-28,7.54,7.85,7.54,7.83,2145,EUR,ELTB,spain
2011-10-31,7.88,7.88,7.75,7.74,1228,EUR,ELTB,spain
2011-11-01,7.73,7.73,7.57,7.58,1869,EUR,ELTB,spain
2011-11-02,7.72,7.72,7.72,7.72,0,EUR,ELTB,spain
2011-11-03,7.49,7.79,7.49,7.73,2080,EUR,ELTB,spain
2011-11-04,7.67,7.95,7.57,7.93,2158,EUR,ELTB,spain
2011-11-07,8.01,8.14,8.01,8.18,1241,EUR,ELTB,spain
2011-11-08,8.32,8.32,8.01,8.0,2055,EUR,ELTB,spain
2011-11-09,8.09,8.09,7.93,7.96,1803,EUR,ELTB,spain
2011-11-10,7.83,8.0,7.83,7.98,1832,EUR,ELTB,spain
2011-11-11,7.84,8.12,7.84,8.09,1731,EUR,ELTB,spain
2011-11-14,7.91,7.91,7.78,7.77,1813,EUR,ELTB,spain
2011-11-15,8.24,8.24,8.24,8.24,0,EUR,ELTB,spain
2011-11-16,7.84,7.95,7.77,7.96,1915,EUR,ELTB,spain
2011-11-17,8.26,8.26,7.87,7.89,1934,EUR,ELTB,spain
2011-11-18,7.62,7.62,7.6,7.61,1822,EUR,ELTB,spain
2011-11-21,7.61,7.61,7.37,7.37,1887,EUR,ELTB,spain
2011-11-22,7.35,7.54,7.32,7.3,2133,EUR,ELTB,spain
2011-11-23,7.36,7.36,7.04,7.02,2013,EUR,ELTB,spain
2011-11-24,7.08,7.08,6.95,6.95,2067,EUR,ELTB,spain
2011-11-25,7.02,7.09,7.02,7.09,1965,EUR,ELTB,spain
2011-11-28,6.95,7.34,6.95,7.33,1344,EUR,ELTB,spain
2011-11-29,7.4,7.49,7.4,7.48,1918,EUR,ELTB,spain
2011-11-30,7.38,7.86,7.38,7.71,2036,EUR,ELTB,spain
2011-12-01,7.51,7.71,7.51,7.72,1901,EUR,ELTB,spain
2011-12-02,7.76,7.93,7.76,7.91,1820,EUR,ELTB,spain
2011-12-05,7.87,8.09,7.87,8.08,1785,EUR,ELTB,spain
2011-12-06,8.09,8.1,8.02,8.02,1802,EUR,ELTB,spain
2011-12-07,8.23,8.25,8.18,8.24,1755,EUR,ELTB,spain
2011-12-08,8.01,8.22,7.88,7.87,1926,EUR,ELTB,spain
2011-12-09,7.96,8.1,7.95,8.13,1730,EUR,ELTB,spain
2011-12-12,8.26,8.26,8.0,8.02,1750,EUR,ELTB,spain
2011-12-13,8.09,8.26,8.09,8.25,1751,EUR,ELTB,spain
2011-12-14,8.24,8.24,8.22,8.22,1749,EUR,ELTB,spain
2011-12-15,8.28,8.49,8.28,8.5,1738,EUR,ELTB,spain
2011-12-16,8.4,8.41,8.27,8.38,2012,EUR,ELTB,spain
2011-12-19,8.38,8.41,8.29,8.32,1902,EUR,ELTB,spain
2011-12-20,8.22,8.5,8.22,8.5,1715,EUR,ELTB,spain
2011-12-21,8.42,8.48,8.42,8.49,1706,EUR,ELTB,spain
2011-12-22,8.38,8.68,8.38,8.67,3234,EUR,ELTB,spain
2011-12-23,8.62,8.7,8.62,8.7,1609,EUR,ELTB,spain
2011-12-27,8.6,8.82,8.6,8.64,1890,EUR,ELTB,spain
2011-12-28,8.63,8.63,8.46,8.42,2190,EUR,ELTB,spain
2011-12-29,8.45,8.54,8.45,8.54,1710,EUR,ELTB,spain
2011-12-30,8.54,8.54,8.54,8.54,0,EUR,ELTB,spain
2012-01-02,8.67,8.78,8.61,8.6,1790,EUR,ELTB,spain
2012-01-03,8.47,8.7,8.47,8.67,1663,EUR,ELTB,spain
2012-01-04,8.6,8.98,8.6,8.98,1644,EUR,ELTB,spain
2012-01-05,9.09,9.09,8.95,9.0,1614,EUR,ELTB,spain
2012-01-06,8.99,8.99,8.99,9.08,540,EUR,ELTB,spain
2012-01-09,8.85,9.1,8.85,8.98,1645,EUR,ELTB,spain
2012-01-10,9.01,9.12,9.01,9.05,1587,EUR,ELTB,spain
2012-01-11,9.02,9.13,9.02,9.09,1583,EUR,ELTB,spain
2012-01-12,8.91,8.93,8.87,8.91,1637,EUR,ELTB,spain
2012-01-13,8.95,8.98,8.89,8.92,2105,EUR,ELTB,spain
