Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-10-24,6.0,6.0,5.99,6.09,1747,EUR,ELTO,spain
2011-10-25,6.1,6.1,6.02,5.85,1788,EUR,ELTO,spain
2011-10-26,5.82,5.94,5.82,5.94,1761,EUR,ELTO,spain
2011-10-27,5.85,6.02,5.85,6.02,1800,EUR,ELTO,spain
2011-10-28,6.22,6.22,6.21,6.27,1639,EUR,ELTO,spain
2011-10-31,6.44,6.44,6.16,6.16,1951,EUR,ELTO,spain
2011-11-01,6.25,6.25,6.13,6.09,1735,EUR,ELTO,spain
2011-11-02,6.09,6.09,6.09,6.09,0,EUR,ELTO,spain
2011-11-03,5.76,6.16,5.76,6.06,1708,EUR,ELTO,spain
2011-11-04,6.02,6.02,5.97,6.29,1692,EUR,ELTO,spain
2011-11-07,6.3,6.3,6.3,6.32,657,EUR,ELTO,spain
2011-11-08,6.3,6.3,6.3,6.39,160,EUR,ELTO,spain
2011-11-09,6.3,6.47,6.3,6.37,1601,EUR,ELTO,spain
2011-11-10,6.19,6.29,6.19,6.29,1702,EUR,ELTO,spain
2011-11-11,6.21,6.33,6.21,6.36,1748,EUR,ELTO,spain
2011-11-14,6.2,6.2,5.89,6.02,1997,EUR,ELTO,spain
2011-11-15,6.01,6.01,6.01,6.01,0,EUR,ELTO,spain
2011-11-16,6.0,6.0,5.97,6.12,1830,EUR,ELTO,spain
2011-11-17,6.17,6.17,6.06,6.06,1742,EUR,ELTO,spain
2011-11-18,5.8,5.82,5.8,5.82,1749,EUR,ELTO,spain
2011-11-21,5.85,5.85,5.74,5.64,1784,EUR,ELTO,spain
2011-11-22,5.79,5.79,5.71,5.61,1874,EUR,ELTO,spain
2011-11-23,5.66,5.66,5.52,5.42,1840,EUR,ELTO,spain
2011-11-24,5.41,5.41,5.41,5.38,1963,EUR,ELTO,spain
2011-11-25,5.45,5.45,5.41,5.43,1861,EUR,ELTO,spain
2011-11-28,5.45,5.45,5.45,5.63,988,EUR,ELTO,spain
2011-11-29,5.69,5.76,5.69,5.71,2757,EUR,ELTO,spain
2011-11-30,5.79,5.99,5.64,5.91,3532,EUR,ELTO,spain
2011-12-01,5.79,5.91,5.79,5.9,2738,EUR,ELTO,spain
2011-12-02,5.92,6.05,5.92,6.02,2555,EUR,ELTO,spain
2011-12-05,6.0,6.11,6.0,6.11,2592,EUR,ELTO,spain
2011-12-06,6.15,6.15,6.09,6.08,2633,EUR,ELTO,spain
2011-12-07,6.23,6.23,6.12,6.15,2581,EUR,ELTO,spain
2011-12-08,6.11,6.11,5.96,5.98,2654,EUR,ELTO,spain
2011-12-09,5.99,6.1,5.98,6.12,2681,EUR,ELTO,spain
2011-12-12,6.17,6.17,6.03,6.04,2570,EUR,ELTO,spain
2011-12-13,6.06,6.17,6.06,6.14,2581,EUR,ELTO,spain
2011-12-14,6.14,6.14,6.1,6.09,2594,EUR,ELTO,spain
2011-12-15,6.09,6.09,6.03,6.06,2652,EUR,ELTO,spain
2011-12-16,6.08,6.17,6.08,6.16,2495,EUR,ELTO,spain
2011-12-19,6.14,6.14,6.03,6.04,2579,EUR,ELTO,spain
2011-12-20,6.01,6.17,6.01,6.17,2597,EUR,ELTO,spain
2011-12-21,6.11,6.15,6.09,6.17,2597,EUR,ELTO,spain
