Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-06-20,2.0,2.0,1.95,1.95,62233,EUR,ELZZ,spain
2017-06-21,1.94,1.94,1.9,1.9,71400,EUR,ELZZ,spain
2017-06-22,1.85,1.85,1.8,1.8,62750,EUR,ELZZ,spain
2017-06-23,1.8,1.8,1.8,1.8,94805,EUR,ELZZ,spain
2017-06-26,1.8,1.8,1.8,1.8,32800,EUR,ELZZ,spain
2017-06-27,1.8,1.8,1.75,1.75,148350,EUR,ELZZ,spain
2017-06-28,1.75,1.75,1.75,1.75,90990,EUR,ELZZ,spain
2017-06-29,1.8,1.8,1.8,1.8,95940,EUR,ELZZ,spain
2017-06-30,1.8,1.85,1.8,1.85,111420,EUR,ELZZ,spain
2017-07-03,1.85,1.9,1.85,1.9,52000,EUR,ELZZ,spain
2017-07-04,1.9,1.9,1.9,1.9,8000,EUR,ELZZ,spain
2017-07-05,1.9,1.9,1.9,1.9,16000,EUR,ELZZ,spain
2017-07-06,1.82,1.82,1.82,1.82,11000,EUR,ELZZ,spain
2017-07-07,1.75,1.75,1.75,1.75,30500,EUR,ELZZ,spain
2017-07-10,1.79,1.79,1.79,1.79,120900,EUR,ELZZ,spain
2017-07-11,1.79,1.8,1.79,1.8,21000,EUR,ELZZ,spain
2017-07-12,1.8,1.83,1.8,1.83,13700,EUR,ELZZ,spain
2017-07-13,1.85,1.85,1.85,1.85,10000,EUR,ELZZ,spain
2017-07-17,1.9,1.9,1.9,1.9,8800,EUR,ELZZ,spain
2017-07-18,1.9,1.9,1.9,1.9,16500,EUR,ELZZ,spain
2017-07-19,1.9,1.9,1.9,1.9,9750,EUR,ELZZ,spain
2017-07-20,1.86,1.95,1.86,1.95,22900,EUR,ELZZ,spain
2017-07-21,1.95,1.95,1.93,1.93,116000,EUR,ELZZ,spain
2017-07-24,1.9,1.9,1.9,1.9,2000,EUR,ELZZ,spain
2017-07-25,1.9,1.95,1.9,1.95,29750,EUR,ELZZ,spain
2017-07-26,1.9,1.95,1.9,1.95,10018,EUR,ELZZ,spain
2017-07-31,1.94,1.94,1.94,1.94,6614,EUR,ELZZ,spain
2017-08-01,1.94,1.94,1.94,1.94,2200,EUR,ELZZ,spain
