Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,13.65,13.71,13.65,13.71,0,EUR,ENAG,spain
2009-02-12,13.6,13.81,13.55,13.81,0,EUR,ENAG,spain
2009-02-13,13.67,13.73,13.06,13.06,0,EUR,ENAG,spain
2009-02-16,13.05,13.12,12.38,12.38,0,EUR,ENAG,spain
2009-02-17,12.58,13.02,12.47,13.02,0,EUR,ENAG,spain
2009-02-18,12.84,12.96,12.73,12.96,0,EUR,ENAG,spain
2009-02-19,12.89,13.26,12.87,13.26,0,EUR,ENAG,spain
2009-02-20,12.6,13.28,12.6,13.28,0,EUR,ENAG,spain
2009-02-25,13.14,13.27,12.74,12.74,0,EUR,ENAG,spain
2009-02-26,12.83,13.1,12.76,13.1,0,EUR,ENAG,spain
2009-02-27,12.83,12.94,12.7,12.7,0,EUR,ENAG,spain
2009-03-06,11.8,11.99,11.65,11.65,0,EUR,ENAG,spain
2009-03-09,11.68,11.72,11.62,11.72,0,EUR,ENAG,spain
2009-03-10,11.62,11.8,11.31,11.31,0,EUR,ENAG,spain
2009-03-11,11.46,11.48,11.05,11.05,0,EUR,ENAG,spain
2009-03-12,11.16,11.25,10.9,11.25,0,EUR,ENAG,spain
2009-03-13,11.21,11.47,11.21,11.47,0,EUR,ENAG,spain
2009-03-16,11.33,11.33,10.97,10.97,0,EUR,ENAG,spain
2009-03-17,11.17,11.22,11.05,11.22,0,EUR,ENAG,spain
2009-03-18,11.22,11.39,11.16,11.39,0,EUR,ENAG,spain
2009-03-19,11.28,11.47,11.25,11.47,0,EUR,ENAG,spain
2009-03-20,11.33,12.0,11.33,12.0,0,EUR,ENAG,spain
2009-04-01,11.02,11.11,11.0,11.0,0,EUR,ENAG,spain
2009-04-02,11.06,11.24,11.06,11.24,0,EUR,ENAG,spain
2009-04-03,11.14,11.17,11.06,11.06,0,EUR,ENAG,spain
2009-04-06,11.27,11.34,10.89,10.89,0,EUR,ENAG,spain
2009-04-07,11.11,11.32,11.05,11.05,0,EUR,ENAG,spain
2009-04-08,10.9,11.2,10.9,11.2,0,EUR,ENAG,spain
2009-04-09,11.07,11.4,11.0,11.4,0,EUR,ENAG,spain
2009-04-16,11.74,12.16,11.68,12.16,0,EUR,ENAG,spain
2009-04-17,12.14,12.25,12.0,12.25,0,EUR,ENAG,spain
2009-04-20,12.16,12.32,11.99,11.99,0,EUR,ENAG,spain
2009-04-21,12.03,12.16,11.88,11.88,0,EUR,ENAG,spain
2009-04-22,12.05,12.42,12.0,12.42,0,EUR,ENAG,spain
2009-04-23,12.43,12.55,12.32,12.55,0,EUR,ENAG,spain
2009-04-24,12.42,12.7,12.39,12.7,0,EUR,ENAG,spain
2009-04-27,12.48,12.51,12.37,12.51,0,EUR,ENAG,spain
2009-04-28,12.44,12.82,12.07,12.82,0,EUR,ENAG,spain
2009-04-29,12.75,13.04,12.75,13.04,0,EUR,ENAG,spain
2009-04-30,12.96,13.34,12.9,13.34,0,EUR,ENAG,spain
2009-05-05,12.91,13.01,12.66,12.66,0,EUR,ENAG,spain
2009-05-06,12.7,12.77,12.47,12.47,0,EUR,ENAG,spain
2009-05-07,12.62,12.94,12.5,12.94,0,EUR,ENAG,spain
2009-05-08,12.98,13.25,12.85,13.25,0,EUR,ENAG,spain
2009-05-14,12.75,12.91,12.71,12.91,0,EUR,ENAG,spain
