Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-28,2.38,2.51,2.38,2.47,1427896,EUR,ENC,spain
2010-10-29,2.46,2.5,2.45,2.45,599741,EUR,ENC,spain
2010-11-01,2.45,2.51,2.43,2.44,443856,EUR,ENC,spain
2010-11-02,2.5,2.57,2.45,2.51,1157812,EUR,ENC,spain
2010-11-03,2.54,2.56,2.5,2.53,1117698,EUR,ENC,spain
2010-11-04,2.55,2.62,2.45,2.51,1439431,EUR,ENC,spain
2010-11-05,2.53,2.54,2.44,2.47,532216,EUR,ENC,spain
2010-11-08,2.46,2.48,2.4,2.45,401340,EUR,ENC,spain
2010-11-09,2.46,2.48,2.42,2.48,261595,EUR,ENC,spain
2010-11-10,2.48,2.48,2.42,2.43,443953,EUR,ENC,spain
2010-11-11,2.43,2.44,2.31,2.39,1149508,EUR,ENC,spain
2010-11-12,2.34,2.39,2.31,2.39,433724,EUR,ENC,spain
2010-11-15,2.39,2.45,2.37,2.44,258021,EUR,ENC,spain
2010-11-16,2.42,2.43,2.36,2.38,276439,EUR,ENC,spain
2010-11-17,2.35,2.38,2.31,2.38,269729,EUR,ENC,spain
2010-11-18,2.39,2.42,2.38,2.4,276122,EUR,ENC,spain
2010-11-19,2.43,2.43,2.38,2.4,120339,EUR,ENC,spain
2010-11-22,2.4,2.43,2.29,2.31,705841,EUR,ENC,spain
2010-11-23,2.3,2.31,2.2,2.24,806817,EUR,ENC,spain
2010-11-24,2.25,2.26,2.18,2.24,797279,EUR,ENC,spain
2010-11-25,2.25,2.25,2.18,2.24,464328,EUR,ENC,spain
2010-11-26,2.24,2.25,2.19,2.23,316372,EUR,ENC,spain
2010-11-29,2.22,2.25,2.17,2.2,531276,EUR,ENC,spain
2010-11-30,2.19,2.2,2.11,2.11,555318,EUR,ENC,spain
2010-12-01,2.12,2.23,2.12,2.18,601909,EUR,ENC,spain
2010-12-02,2.19,2.24,2.14,2.2,605533,EUR,ENC,spain
2010-12-03,2.24,2.28,2.21,2.27,357914,EUR,ENC,spain
2010-12-06,2.25,2.27,2.21,2.26,147178,EUR,ENC,spain
2010-12-07,2.27,2.29,2.22,2.24,294050,EUR,ENC,spain
2010-12-08,2.25,2.25,2.22,2.24,230253,EUR,ENC,spain
2010-12-09,2.25,2.29,2.23,2.24,637548,EUR,ENC,spain
2010-12-10,2.24,2.25,2.23,2.24,135859,EUR,ENC,spain
2010-12-13,2.25,2.25,2.21,2.24,301530,EUR,ENC,spain
2010-12-14,2.25,2.25,2.21,2.24,346945,EUR,ENC,spain
2010-12-15,2.21,2.24,2.16,2.23,694184,EUR,ENC,spain
2010-12-16,2.21,2.23,2.21,2.22,206006,EUR,ENC,spain
2010-12-17,2.22,2.24,2.18,2.23,294026,EUR,ENC,spain
2010-12-20,2.23,2.26,2.2,2.26,393562,EUR,ENC,spain
2010-12-21,2.24,2.29,2.24,2.29,263108,EUR,ENC,spain
2010-12-22,2.28,2.3,2.25,2.3,169753,EUR,ENC,spain
2010-12-23,2.27,2.32,2.27,2.31,356578,EUR,ENC,spain
2010-12-27,2.28,2.29,2.22,2.23,291244,EUR,ENC,spain
2010-12-28,2.25,2.25,2.19,2.21,238233,EUR,ENC,spain
2010-12-29,2.21,2.25,2.2,2.25,365310,EUR,ENC,spain
2010-12-30,2.25,2.27,2.21,2.23,308474,EUR,ENC,spain
2011-01-03,2.26,2.27,2.24,2.24,222493,EUR,ENC,spain
2011-01-04,2.29,2.29,2.25,2.25,198340,EUR,ENC,spain
2011-01-05,2.27,2.27,2.21,2.26,183335,EUR,ENC,spain
2011-01-06,2.29,2.29,2.24,2.25,292938,EUR,ENC,spain
2011-01-07,2.23,2.24,2.2,2.2,184895,EUR,ENC,spain
2011-01-10,2.17,2.18,2.11,2.13,384897,EUR,ENC,spain
2011-01-11,2.15,2.16,2.12,2.15,492617,EUR,ENC,spain
2011-01-12,2.17,2.21,2.07,2.17,900297,EUR,ENC,spain
2011-01-13,2.18,2.21,2.16,2.18,1041012,EUR,ENC,spain
2011-01-14,2.18,2.2,2.14,2.14,815394,EUR,ENC,spain
2011-01-17,2.16,2.2,2.15,2.2,1004410,EUR,ENC,spain
2011-01-18,2.21,2.25,2.21,2.21,447381,EUR,ENC,spain
2011-01-19,2.24,2.24,2.15,2.15,616083,EUR,ENC,spain
2011-01-20,2.15,2.19,2.15,2.16,515943,EUR,ENC,spain
2011-01-21,2.17,2.21,2.15,2.18,1245828,EUR,ENC,spain
2011-01-24,2.21,2.3,2.19,2.28,1456343,EUR,ENC,spain
2011-01-25,2.28,2.31,2.23,2.25,393677,EUR,ENC,spain
2011-01-26,2.29,2.39,2.28,2.39,1746204,EUR,ENC,spain
2011-01-27,2.38,2.39,2.33,2.35,795073,EUR,ENC,spain
2011-01-28,2.35,2.37,2.26,2.31,762576,EUR,ENC,spain
2011-01-31,2.3,2.3,2.25,2.27,1122278,EUR,ENC,spain
2011-02-01,2.29,2.36,2.28,2.35,1105545,EUR,ENC,spain
2011-02-02,2.38,2.4,2.33,2.34,1108558,EUR,ENC,spain
2011-02-03,2.36,2.36,2.31,2.32,485441,EUR,ENC,spain
2011-02-04,2.31,2.34,2.3,2.32,453347,EUR,ENC,spain
2011-02-07,2.33,2.45,2.33,2.43,1842798,EUR,ENC,spain
2011-02-08,2.46,2.46,2.4,2.4,671543,EUR,ENC,spain
2011-02-09,2.42,2.43,2.4,2.4,637366,EUR,ENC,spain
2011-02-10,2.41,2.41,2.31,2.33,858755,EUR,ENC,spain
2011-02-11,2.34,2.34,2.3,2.33,442600,EUR,ENC,spain
2011-02-14,2.34,2.37,2.33,2.33,264931,EUR,ENC,spain
