Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-01-18,1.52,1.52,1.52,1.52,60578,EUR,EUWT,spain
2012-01-19,1.52,1.52,1.52,1.52,15421,EUR,EUWT,spain
2012-01-20,1.52,1.52,1.52,1.52,64490,EUR,EUWT,spain
2012-01-23,1.52,1.52,1.52,1.52,4104,EUR,EUWT,spain
2012-01-24,1.52,1.52,1.52,1.52,7557,EUR,EUWT,spain
2012-01-25,1.52,1.52,1.52,1.52,1041,EUR,EUWT,spain
2012-01-26,1.52,1.52,1.52,1.52,7932,EUR,EUWT,spain
2012-01-27,1.52,1.52,1.52,1.52,3025,EUR,EUWT,spain
2012-01-31,1.52,1.52,1.52,1.52,23125,EUR,EUWT,spain
2012-02-02,1.52,1.52,1.52,1.52,1702,EUR,EUWT,spain
2012-02-03,1.52,1.52,1.52,1.52,1215,EUR,EUWT,spain
2012-02-06,1.57,1.57,1.57,1.57,7905,EUR,EUWT,spain
2012-02-07,1.55,1.55,1.55,1.55,3539,EUR,EUWT,spain
2012-02-08,1.55,1.55,1.55,1.55,8650,EUR,EUWT,spain
2012-02-09,1.55,1.55,1.55,1.55,1577,EUR,EUWT,spain
2012-02-10,1.55,1.55,1.55,1.55,16629,EUR,EUWT,spain
2012-02-13,1.55,1.55,1.55,1.55,5,EUR,EUWT,spain
2012-02-14,1.55,1.57,1.55,1.57,11128,EUR,EUWT,spain
2012-02-15,1.57,1.57,1.57,1.57,6246,EUR,EUWT,spain
2012-02-16,1.57,1.57,1.57,1.57,4924,EUR,EUWT,spain
2012-02-17,1.57,1.57,1.57,1.57,5725,EUR,EUWT,spain
2012-02-20,1.57,1.57,1.57,1.57,6246,EUR,EUWT,spain
2012-02-21,1.57,1.57,1.57,1.57,16728,EUR,EUWT,spain
2012-02-22,1.57,1.57,1.57,1.57,6246,EUR,EUWT,spain
2012-02-23,1.57,1.57,1.57,1.57,2082,EUR,EUWT,spain
2012-02-24,1.57,1.57,1.57,1.57,16655,EUR,EUWT,spain
2012-02-27,1.57,1.57,1.57,1.57,22838,EUR,EUWT,spain
2012-02-28,1.57,1.57,1.57,1.57,5579,EUR,EUWT,spain
2012-02-29,1.57,1.57,1.57,1.57,6246,EUR,EUWT,spain
2012-03-01,1.57,1.57,1.57,1.57,8307,EUR,EUWT,spain
2012-03-02,1.57,1.57,1.57,1.57,5998,EUR,EUWT,spain
2012-03-05,1.57,1.57,1.57,1.57,5735,EUR,EUWT,spain
2012-03-06,1.57,1.57,1.57,1.57,8327,EUR,EUWT,spain
2012-03-07,1.57,1.57,1.57,1.57,6246,EUR,EUWT,spain
2012-03-08,1.57,1.57,1.57,1.57,6562,EUR,EUWT,spain
2012-03-09,1.57,1.57,1.57,1.57,2545,EUR,EUWT,spain
2012-03-13,1.57,1.57,1.57,1.57,2000,EUR,EUWT,spain
