Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-24,0.58,0.59,0.57,0.58,329362,EUR,EZEN,spain
2010-09-27,0.59,0.6,0.58,0.59,747392,EUR,EZEN,spain
2010-09-28,0.59,0.59,0.58,0.59,830655,EUR,EZEN,spain
2010-09-29,0.59,0.6,0.58,0.58,1119342,EUR,EZEN,spain
2010-09-30,0.58,0.59,0.57,0.59,678342,EUR,EZEN,spain
2010-10-01,0.59,0.6,0.58,0.58,317843,EUR,EZEN,spain
2010-10-04,0.58,0.59,0.58,0.58,449650,EUR,EZEN,spain
2010-10-05,0.57,0.58,0.56,0.57,683458,EUR,EZEN,spain
2010-10-06,0.57,0.59,0.57,0.59,1661719,EUR,EZEN,spain
2010-10-07,0.58,0.59,0.58,0.59,699020,EUR,EZEN,spain
2010-10-08,0.59,0.59,0.57,0.59,517268,EUR,EZEN,spain
2010-10-11,0.58,0.6,0.58,0.6,574520,EUR,EZEN,spain
2010-10-12,0.59,0.6,0.58,0.59,306241,EUR,EZEN,spain
2010-10-13,0.6,0.61,0.6,0.61,2292852,EUR,EZEN,spain
2010-10-14,0.62,0.62,0.6,0.61,1349033,EUR,EZEN,spain
2010-10-15,0.61,0.61,0.6,0.6,782037,EUR,EZEN,spain
2010-10-18,0.61,0.61,0.6,0.61,725895,EUR,EZEN,spain
2010-10-19,0.61,0.62,0.61,0.62,2302712,EUR,EZEN,spain
2010-10-20,0.62,0.63,0.62,0.63,1479341,EUR,EZEN,spain
2010-10-21,0.63,0.65,0.63,0.64,2566599,EUR,EZEN,spain
2010-10-22,0.65,0.65,0.64,0.64,994293,EUR,EZEN,spain
2010-10-25,0.64,0.64,0.59,0.6,1473390,EUR,EZEN,spain
2010-10-26,0.6,0.61,0.58,0.6,1459692,EUR,EZEN,spain
2010-10-27,0.6,0.6,0.58,0.59,703061,EUR,EZEN,spain
2010-10-28,0.6,0.61,0.58,0.58,1137430,EUR,EZEN,spain
2010-10-29,0.58,0.59,0.58,0.58,311798,EUR,EZEN,spain
2010-11-01,0.59,0.59,0.58,0.58,259907,EUR,EZEN,spain
2010-11-02,0.57,0.58,0.56,0.57,524779,EUR,EZEN,spain
2010-11-03,0.57,0.57,0.54,0.54,896360,EUR,EZEN,spain
2010-11-04,0.54,0.56,0.51,0.52,1570384,EUR,EZEN,spain
2010-11-05,0.52,0.53,0.51,0.52,962380,EUR,EZEN,spain
2010-11-08,0.53,0.55,0.53,0.54,1121301,EUR,EZEN,spain
2010-11-09,0.55,0.55,0.53,0.54,305089,EUR,EZEN,spain
2010-11-10,0.54,0.54,0.52,0.52,788224,EUR,EZEN,spain
2010-11-11,0.52,0.53,0.51,0.52,606450,EUR,EZEN,spain
2010-11-12,0.51,0.52,0.5,0.51,921268,EUR,EZEN,spain
2010-11-15,0.51,0.51,0.49,0.5,1314635,EUR,EZEN,spain
2010-11-16,0.49,0.49,0.48,0.48,487695,EUR,EZEN,spain
2010-11-17,0.47,0.5,0.47,0.48,300736,EUR,EZEN,spain
2010-11-18,0.5,0.5,0.47,0.49,700035,EUR,EZEN,spain
2010-11-19,0.49,0.49,0.48,0.48,320896,EUR,EZEN,spain
2010-11-22,0.49,0.49,0.46,0.47,636531,EUR,EZEN,spain
