Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-07-02,2.7,2.83,2.7,2.83,125105,EUR,FACE,spain
2014-07-03,2.97,2.97,2.97,2.97,725502,EUR,FACE,spain
2014-07-04,3.1,3.25,3.1,3.25,168204,EUR,FACE,spain
2014-07-07,3.09,3.09,2.94,2.94,114954,EUR,FACE,spain
2014-07-08,2.8,2.8,2.66,2.66,100374,EUR,FACE,spain
2014-07-09,2.79,2.92,2.79,2.92,164064,EUR,FACE,spain
2014-07-10,3.06,3.21,3.06,3.21,152708,EUR,FACE,spain
2014-07-11,3.05,3.05,2.93,2.93,62947,EUR,FACE,spain
2014-07-14,3.03,3.03,2.92,2.92,57324,EUR,FACE,spain
2014-07-15,2.92,2.96,2.92,2.96,20051,EUR,FACE,spain
2014-07-16,2.95,2.95,2.9,2.9,35304,EUR,FACE,spain
2014-07-17,2.95,3.04,2.95,3.04,69082,EUR,FACE,spain
2014-07-18,2.93,3.04,2.93,3.04,29622,EUR,FACE,spain
2014-07-21,2.9,2.9,2.9,2.9,17276,EUR,FACE,spain
2014-07-22,2.9,2.9,2.77,2.77,23809,EUR,FACE,spain
2014-07-23,2.65,2.65,2.58,2.58,32636,EUR,FACE,spain
2014-07-24,2.46,2.46,2.35,2.35,35521,EUR,FACE,spain
2014-07-25,2.24,2.24,2.13,2.13,23997,EUR,FACE,spain
2014-07-28,2.03,2.03,1.93,1.93,7100,EUR,FACE,spain
2014-07-29,1.84,1.84,1.75,1.75,8740,EUR,FACE,spain
2014-07-30,1.67,1.67,1.59,1.59,22562,EUR,FACE,spain
2014-07-31,1.52,1.52,1.45,1.45,9481,EUR,FACE,spain
2014-08-01,1.38,1.44,1.38,1.44,349038,EUR,FACE,spain
2014-08-04,1.37,1.43,1.37,1.43,65315,EUR,FACE,spain
2014-08-05,1.49,1.56,1.49,1.56,83393,EUR,FACE,spain
2014-08-06,1.63,1.67,1.63,1.67,70617,EUR,FACE,spain
2014-08-07,1.71,1.75,1.71,1.75,23068,EUR,FACE,spain
2014-08-08,1.79,1.79,1.75,1.75,35155,EUR,FACE,spain
2014-08-11,1.79,1.82,1.79,1.82,10071,EUR,FACE,spain
2014-08-12,1.87,1.96,1.87,1.96,25504,EUR,FACE,spain
2014-08-13,2.04,2.09,2.04,2.09,13445,EUR,FACE,spain
2014-08-14,1.99,2.07,1.99,2.07,14801,EUR,FACE,spain
2014-08-15,2.15,2.2,2.15,2.2,3816,EUR,FACE,spain
2014-08-18,2.3,2.41,2.3,2.41,11950,EUR,FACE,spain
2014-08-19,2.4,2.4,2.4,2.4,16608,EUR,FACE,spain
2014-08-20,2.4,2.4,2.28,2.28,4824,EUR,FACE,spain
2014-08-21,2.28,2.28,2.17,2.17,14400,EUR,FACE,spain
2014-08-22,2.07,2.07,1.98,1.98,9527,EUR,FACE,spain
2014-08-25,1.9,1.9,1.9,1.9,20838,EUR,FACE,spain
2014-08-26,1.81,1.81,1.72,1.72,18000,EUR,FACE,spain
2014-08-27,1.8,1.88,1.8,1.88,16214,EUR,FACE,spain
2014-08-28,1.97,2.06,1.97,2.06,16520,EUR,FACE,spain
2014-08-29,2.13,2.22,2.13,2.22,16680,EUR,FACE,spain
2014-09-01,2.22,2.32,2.22,2.32,19105,EUR,FACE,spain
2014-09-02,2.32,2.42,2.32,2.42,17822,EUR,FACE,spain
2014-09-03,2.49,2.5,2.49,2.5,15740,EUR,FACE,spain
2014-09-04,2.42,2.42,2.39,2.39,23420,EUR,FACE,spain
2014-09-05,2.5,2.6,2.5,2.6,37250,EUR,FACE,spain
2014-09-08,2.72,2.72,2.72,2.72,23508,EUR,FACE,spain
