Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2007-01-02,12.9,12.94,12.71,12.85,3078082,EUR,FER,spain
2007-01-03,12.85,12.86,12.6,12.66,2735555,EUR,FER,spain
2007-01-04,12.59,12.72,12.38,12.45,2325638,EUR,FER,spain
2007-01-05,12.36,12.36,12.07,12.2,3702050,EUR,FER,spain
2007-01-08,12.17,12.28,12.15,12.19,1925375,EUR,FER,spain
2007-01-09,12.22,12.5,12.22,12.45,1968175,EUR,FER,spain
2007-01-10,12.39,12.48,12.26,12.28,2555187,EUR,FER,spain
2007-01-11,12.4,12.49,12.2,12.35,2488646,EUR,FER,spain
2007-01-12,12.31,12.53,12.31,12.5,1756832,EUR,FER,spain
2007-01-15,12.59,12.76,12.59,12.65,1596389,EUR,FER,spain
2007-01-16,12.64,12.74,12.36,12.43,1305793,EUR,FER,spain
2007-01-17,12.56,12.63,12.45,12.52,1252527,EUR,FER,spain
2007-01-18,12.55,12.61,12.44,12.53,1417373,EUR,FER,spain
2007-01-19,12.47,12.71,12.44,12.66,1510174,EUR,FER,spain
2007-01-22,12.69,12.79,12.55,12.59,1417120,EUR,FER,spain
2007-01-23,12.62,12.68,12.48,12.51,1311081,EUR,FER,spain
2007-01-24,12.52,12.68,12.52,12.65,1373263,EUR,FER,spain
2007-01-25,12.7,12.7,12.5,12.57,1196983,EUR,FER,spain
2007-01-26,12.51,12.53,12.28,12.37,2264571,EUR,FER,spain
2007-01-29,12.39,12.5,12.31,12.49,1079246,EUR,FER,spain
2007-01-30,12.5,12.59,12.36,12.5,1073237,EUR,FER,spain
2007-01-31,12.47,12.6,12.4,12.58,1647108,EUR,FER,spain
2007-02-01,12.64,12.79,12.62,12.77,1612160,EUR,FER,spain
2007-02-02,12.83,12.9,12.74,12.77,1281685,EUR,FER,spain
2007-02-05,12.74,12.94,12.71,12.89,1650961,EUR,FER,spain
2007-02-06,12.95,13.39,12.91,13.34,3398272,EUR,FER,spain
2007-02-07,13.31,13.4,13.19,13.34,1376387,EUR,FER,spain
2007-02-08,13.35,13.5,13.32,13.44,1931020,EUR,FER,spain
2007-02-09,13.5,13.86,13.45,13.84,3992621,EUR,FER,spain
2007-02-12,13.76,13.76,13.65,13.7,2755466,EUR,FER,spain
2007-02-13,13.71,13.77,13.45,13.53,2120479,EUR,FER,spain
2007-02-14,13.62,13.73,13.57,13.69,1462982,EUR,FER,spain
2007-02-15,13.69,13.69,13.45,13.59,1919825,EUR,FER,spain
2007-02-16,13.68,13.73,13.48,13.54,2346171,EUR,FER,spain
2007-02-19,13.52,13.55,13.36,13.46,2092309,EUR,FER,spain
2007-02-20,13.36,13.39,13.14,13.39,2217501,EUR,FER,spain
2007-02-21,13.47,13.67,13.32,13.45,2153787,EUR,FER,spain
2007-02-22,13.69,13.75,13.48,13.57,2415175,EUR,FER,spain
2007-02-23,13.7,13.71,13.5,13.53,2042685,EUR,FER,spain
2007-02-26,13.63,13.79,13.55,13.68,1553098,EUR,FER,spain
2007-02-27,13.56,13.65,13.03,13.17,4063582,EUR,FER,spain
2007-02-28,13.08,13.42,12.6,13.3,5465018,EUR,FER,spain
2007-03-01,13.33,13.38,12.55,13.14,5878723,EUR,FER,spain
2007-03-02,13.14,13.25,12.85,12.95,2315530,EUR,FER,spain
2007-03-05,12.67,13.04,12.56,12.89,2187271,EUR,FER,spain
2007-03-06,13.0,13.0,12.77,12.9,2468385,EUR,FER,spain
2007-03-07,13.3,13.3,13.05,13.23,2706651,EUR,FER,spain
2007-03-08,13.3,13.58,13.25,13.55,2362282,EUR,FER,spain
2007-03-09,13.59,13.63,13.25,13.42,2462142,EUR,FER,spain
2007-03-12,13.51,13.59,13.2,13.26,1966604,EUR,FER,spain
2007-03-13,13.26,13.42,13.22,13.27,1287915,EUR,FER,spain
2007-03-14,13.06,13.14,12.8,12.87,2400758,EUR,FER,spain
2007-03-15,13.02,13.19,12.96,13.1,3084549,EUR,FER,spain
2007-03-16,13.0,13.16,12.95,13.1,1760621,EUR,FER,spain
2007-03-19,13.23,13.44,13.12,13.41,1788890,EUR,FER,spain
2007-03-20,13.46,13.54,13.23,13.47,2384534,EUR,FER,spain
2007-03-21,13.53,13.54,13.45,13.52,848797,EUR,FER,spain
2007-03-22,13.59,13.83,13.59,13.73,2174741,EUR,FER,spain
2007-03-23,13.77,13.89,13.71,13.8,1990688,EUR,FER,spain
2007-03-26,13.85,13.9,13.7,13.77,1408301,EUR,FER,spain
2007-03-27,13.88,13.95,13.55,13.75,1293396,EUR,FER,spain
2007-03-28,13.76,13.83,13.6,13.64,1383026,EUR,FER,spain
2007-03-29,13.74,13.98,13.67,13.92,1759094,EUR,FER,spain
2007-03-30,13.99,14.11,13.83,14.02,2786629,EUR,FER,spain
2007-04-02,13.99,14.1,13.9,14.01,1038794,EUR,FER,spain
2007-04-03,14.1,14.23,13.94,14.18,2366569,EUR,FER,spain
2007-04-04,14.16,14.19,14.01,14.09,1025882,EUR,FER,spain
2007-04-05,14.06,14.28,14.06,14.28,753534,EUR,FER,spain
2007-04-10,14.26,14.3,14.15,14.29,1136808,EUR,FER,spain
2007-04-11,14.28,14.29,14.17,14.19,824176,EUR,FER,spain
2007-04-12,14.21,14.23,13.91,14.04,1974316,EUR,FER,spain
2007-04-13,14.09,14.17,14.0,14.12,1363479,EUR,FER,spain
2007-04-16,14.1,14.14,13.95,14.0,1731291,EUR,FER,spain
2007-04-17,14.08,14.08,13.92,13.98,2075735,EUR,FER,spain
2007-04-18,13.98,14.07,13.6,13.81,3073354,EUR,FER,spain
2007-04-19,13.7,13.75,13.45,13.61,1899600,EUR,FER,spain
2007-04-20,13.61,13.96,13.61,13.9,1722520,EUR,FER,spain
2007-04-23,13.96,13.97,13.68,13.74,1731723,EUR,FER,spain
2007-04-24,13.67,13.83,13.28,13.4,3165350,EUR,FER,spain
2007-04-25,13.33,13.49,13.0,13.23,1492280,EUR,FER,spain
2007-04-26,13.4,13.5,13.26,13.4,1763734,EUR,FER,spain
2007-04-27,13.46,13.46,12.92,13.07,2333591,EUR,FER,spain
2007-04-30,13.22,13.34,13.1,13.19,1608200,EUR,FER,spain
2007-05-02,13.39,13.41,13.07,13.1,2181125,EUR,FER,spain
2007-05-03,13.13,13.21,12.65,12.76,4491072,EUR,FER,spain
2007-05-04,12.75,12.89,12.63,12.72,5882492,EUR,FER,spain
2007-05-07,12.76,13.09,12.68,13.0,2696977,EUR,FER,spain
2007-05-08,13.17,13.25,12.83,12.86,3395056,EUR,FER,spain
2007-05-09,12.92,12.98,12.76,12.94,2565328,EUR,FER,spain
2007-05-10,12.86,12.92,12.67,12.78,2907221,EUR,FER,spain
2007-05-11,12.67,12.98,12.55,12.94,4249071,EUR,FER,spain
2007-05-14,12.96,13.07,12.75,12.82,1755809,EUR,FER,spain
2007-05-15,12.87,12.95,12.78,12.87,1855972,EUR,FER,spain
2007-05-16,12.88,12.96,12.75,12.92,1930226,EUR,FER,spain
2007-05-17,12.9,13.03,12.8,12.91,2648844,EUR,FER,spain
2007-05-18,12.83,12.94,12.77,12.79,2700794,EUR,FER,spain
2007-05-21,12.81,12.98,12.67,12.85,1907045,EUR,FER,spain
2007-05-22,12.91,12.94,12.8,12.85,1378022,EUR,FER,spain
2007-05-23,12.9,13.03,12.8,13.03,4049574,EUR,FER,spain
2007-05-24,13.1,13.1,12.9,12.92,1968231,EUR,FER,spain
2007-05-25,12.95,12.97,12.81,12.92,2423528,EUR,FER,spain
2007-05-28,12.98,12.99,12.81,12.81,1333473,EUR,FER,spain
2007-05-29,12.87,12.87,12.71,12.75,1811193,EUR,FER,spain
2007-05-30,12.68,12.84,12.62,12.82,1265796,EUR,FER,spain
2007-05-31,12.9,12.95,12.86,12.93,2658533,EUR,FER,spain
2007-06-01,12.93,12.93,12.93,12.93,3064407,EUR,FER,spain
2007-06-04,13.1,13.13,12.9,12.96,2075683,EUR,FER,spain
2007-06-05,12.95,13.04,12.78,12.83,1715600,EUR,FER,spain
2007-06-06,12.85,12.86,12.46,12.47,3584835,EUR,FER,spain
2007-06-07,12.52,12.62,12.03,12.13,5228379,EUR,FER,spain
2007-06-08,12.0,12.16,11.86,12.05,4656193,EUR,FER,spain
2007-06-11,12.19,12.29,12.11,12.25,2048987,EUR,FER,spain
2007-06-12,12.28,12.28,11.93,11.99,2823010,EUR,FER,spain
2007-06-13,11.9,11.92,11.52,11.82,5451735,EUR,FER,spain
2007-06-14,12.0,12.03,11.8,11.89,3140682,EUR,FER,spain
2007-06-15,11.87,12.14,11.76,12.08,3103128,EUR,FER,spain
2007-06-18,12.11,12.11,11.76,11.89,2559331,EUR,FER,spain
2007-06-19,11.89,11.95,11.72,11.84,3186512,EUR,FER,spain
2007-06-20,11.9,12.04,11.8,11.86,4745199,EUR,FER,spain
2007-06-21,11.75,11.89,11.56,11.83,3961502,EUR,FER,spain
2007-06-22,11.79,11.86,11.64,11.67,1895997,EUR,FER,spain
2007-06-25,11.55,11.58,11.34,11.55,3525719,EUR,FER,spain
2007-06-26,11.65,11.78,11.51,11.59,3417994,EUR,FER,spain
2007-06-27,11.69,11.87,11.56,11.78,3832922,EUR,FER,spain
2007-06-28,12.14,12.14,11.8,11.87,2515418,EUR,FER,spain
2007-06-29,11.9,11.95,11.68,11.8,3228174,EUR,FER,spain
2007-07-02,11.77,11.81,11.63,11.71,2584846,EUR,FER,spain
2007-07-03,11.76,12.01,11.75,11.98,2373186,EUR,FER,spain
2007-07-04,12.02,12.12,11.94,12.09,5003897,EUR,FER,spain
2007-07-05,12.15,12.22,11.95,11.97,1941836,EUR,FER,spain
2007-07-06,12.15,12.22,11.86,12.22,6089412,EUR,FER,spain
2007-07-09,12.24,12.29,12.04,12.08,1902196,EUR,FER,spain
2007-07-10,12.1,12.16,11.76,11.81,3298195,EUR,FER,spain
2007-07-11,11.74,11.97,11.62,11.97,2866547,EUR,FER,spain
2007-07-12,11.8,11.94,11.65,11.73,3030016,EUR,FER,spain
2007-07-13,11.85,11.91,11.76,11.88,2117914,EUR,FER,spain
2007-07-16,11.88,12.11,11.81,12.08,2204115,EUR,FER,spain
2007-07-17,12.09,12.09,11.91,12.02,2790031,EUR,FER,spain
2007-07-18,11.97,12.22,11.95,12.21,3508217,EUR,FER,spain
2007-07-19,12.22,12.47,12.17,12.35,2838813,EUR,FER,spain
2007-07-20,12.36,12.42,12.11,12.17,4047535,EUR,FER,spain
2007-07-23,12.2,12.48,12.1,12.48,1999901,EUR,FER,spain
2007-07-24,12.48,12.5,12.29,12.29,3769353,EUR,FER,spain
2007-07-25,12.19,12.37,12.0,12.05,1846644,EUR,FER,spain
2007-07-26,12.1,12.19,11.4,11.51,3286116,EUR,FER,spain
2007-07-27,11.26,11.5,11.18,11.28,3368605,EUR,FER,spain
2007-07-30,11.28,11.36,11.09,11.13,2200149,EUR,FER,spain
2007-07-31,11.2,11.29,11.07,11.23,2388993,EUR,FER,spain
2007-08-01,11.05,11.05,10.8,10.92,3694698,EUR,FER,spain
2007-08-02,11.0,11.23,10.88,10.93,8468787,EUR,FER,spain
2007-08-03,11.04,11.15,10.89,10.93,1918780,EUR,FER,spain
2007-08-06,10.82,10.94,10.73,10.76,1774851,EUR,FER,spain
2007-08-07,10.85,10.93,10.59,10.71,2749880,EUR,FER,spain
2007-08-08,10.84,11.65,10.8,11.56,6494559,EUR,FER,spain
2007-08-09,11.67,12.12,11.63,12.08,8405307,EUR,FER,spain
2007-08-10,11.65,12.07,11.65,11.78,4949690,EUR,FER,spain
2007-08-13,11.62,12.05,11.34,11.91,3697014,EUR,FER,spain
2007-08-14,11.78,11.85,11.51,11.58,3239506,EUR,FER,spain
2007-08-15,11.47,11.5,11.16,11.33,2011808,EUR,FER,spain
2007-08-16,11.08,11.3,10.72,10.76,3217569,EUR,FER,spain
2007-08-17,10.91,11.23,10.51,11.15,4621643,EUR,FER,spain
2007-08-20,11.18,11.43,11.18,11.3,1930521,EUR,FER,spain
2007-08-21,11.28,11.39,11.11,11.24,1584488,EUR,FER,spain
2007-08-22,11.35,11.54,11.32,11.51,2677678,EUR,FER,spain
2007-08-23,11.6,11.66,11.35,11.35,2891168,EUR,FER,spain
2007-08-24,11.26,11.49,11.2,11.43,2619931,EUR,FER,spain
2007-08-27,11.47,11.5,11.3,11.39,587617,EUR,FER,spain
2007-08-28,11.33,11.37,11.17,11.25,1375469,EUR,FER,spain
2007-08-29,11.15,11.34,11.09,11.29,2122227,EUR,FER,spain
2007-08-30,11.33,11.53,11.28,11.43,1800784,EUR,FER,spain
2007-08-31,11.48,11.57,11.38,11.54,1382631,EUR,FER,spain
2007-09-03,11.57,11.67,11.49,11.57,791051,EUR,FER,spain
2007-09-04,11.62,11.63,11.5,11.59,1206017,EUR,FER,spain
2007-09-05,11.58,11.62,11.28,11.28,1325011,EUR,FER,spain
2007-09-06,11.31,11.41,11.08,11.19,1560436,EUR,FER,spain
2007-09-07,11.18,11.24,10.55,10.57,3285342,EUR,FER,spain
2007-09-10,10.59,10.8,10.49,10.57,2468100,EUR,FER,spain
2007-09-11,10.66,10.79,10.59,10.75,2870119,EUR,FER,spain
2007-09-12,10.77,10.84,10.61,10.71,2631008,EUR,FER,spain
2007-09-13,10.68,10.76,10.4,10.61,1760484,EUR,FER,spain
2007-09-14,10.58,10.67,10.31,10.44,2473532,EUR,FER,spain
2007-09-17,10.4,10.4,10.05,10.2,1827734,EUR,FER,spain
2007-09-18,10.14,10.43,10.1,10.4,2184965,EUR,FER,spain
2007-09-19,10.73,10.99,10.69,10.95,3498855,EUR,FER,spain
2007-09-20,10.93,10.93,10.61,10.75,1883128,EUR,FER,spain
2007-09-21,10.79,10.88,10.67,10.84,1288904,EUR,FER,spain
2007-09-24,10.81,11.0,10.72,10.91,1150888,EUR,FER,spain
2007-09-25,10.83,10.87,10.47,10.55,1455631,EUR,FER,spain
2007-09-26,10.64,10.71,10.55,10.67,1240386,EUR,FER,spain
2007-09-27,10.75,10.84,10.69,10.8,1500553,EUR,FER,spain
2007-09-28,10.78,10.8,10.61,10.68,1126491,EUR,FER,spain
2007-10-01,10.68,10.95,10.66,10.84,1611973,EUR,FER,spain
2007-10-02,10.97,11.49,10.95,11.49,5854466,EUR,FER,spain
2007-10-03,11.55,11.71,11.39,11.43,3284756,EUR,FER,spain
2007-10-04,11.44,11.54,11.31,11.52,1987900,EUR,FER,spain
2007-10-05,11.52,11.55,11.38,11.46,1692411,EUR,FER,spain
2007-10-08,11.46,11.53,11.45,11.47,744953,EUR,FER,spain
2007-10-09,11.46,11.67,11.45,11.55,3051739,EUR,FER,spain
2007-10-10,11.56,11.74,11.52,11.65,2755053,EUR,FER,spain
2007-10-11,11.65,11.75,11.55,11.68,3226218,EUR,FER,spain
2007-10-12,11.55,11.57,11.33,11.39,1446712,EUR,FER,spain
2007-10-15,11.34,11.37,11.1,11.23,2476065,EUR,FER,spain
2007-10-16,11.17,11.2,10.95,11.04,3397000,EUR,FER,spain
2007-10-17,11.01,11.22,11.0,11.12,2248400,EUR,FER,spain
2007-10-18,11.13,11.27,11.07,11.26,3278390,EUR,FER,spain
2007-10-19,11.23,11.42,11.17,11.26,3461424,EUR,FER,spain
2007-10-22,11.0,11.08,10.9,10.98,2035908,EUR,FER,spain
2007-10-23,11.06,11.15,10.94,11.0,2664038,EUR,FER,spain
2007-10-24,11.0,11.22,10.95,11.1,2365499,EUR,FER,spain
2007-10-25,11.35,11.43,11.25,11.41,1910880,EUR,FER,spain
2007-10-26,11.43,11.59,11.41,11.49,2119442,EUR,FER,spain
2007-10-29,11.56,11.66,11.54,11.62,1135130,EUR,FER,spain
2007-10-30,11.62,12.05,11.55,11.87,3769415,EUR,FER,spain
2007-10-31,11.89,12.06,11.83,12.06,2473999,EUR,FER,spain
2007-11-01,12.01,12.18,11.86,11.96,1624815,EUR,FER,spain
2007-11-02,11.96,12.0,11.76,11.82,2131904,EUR,FER,spain
2007-11-05,11.83,11.9,11.67,11.83,1971416,EUR,FER,spain
2007-11-06,11.48,11.57,11.36,11.57,4558900,EUR,FER,spain
2007-11-07,11.59,11.67,11.15,11.43,3159400,EUR,FER,spain
2007-11-08,11.43,11.59,11.32,11.57,2990862,EUR,FER,spain
2007-11-09,11.59,11.75,11.15,11.24,2235700,EUR,FER,spain
2007-11-12,11.16,11.49,11.15,11.45,1727300,EUR,FER,spain
2007-11-13,11.4,11.61,11.35,11.59,2818800,EUR,FER,spain
2007-11-14,11.67,11.72,11.55,11.59,4157400,EUR,FER,spain
2007-11-15,11.58,11.66,11.46,11.47,3849900,EUR,FER,spain
2007-11-16,11.41,11.52,11.26,11.49,2098600,EUR,FER,spain
2007-11-19,11.47,11.58,10.76,10.85,4258300,EUR,FER,spain
2007-11-20,10.9,11.14,10.75,11.07,3048100,EUR,FER,spain
2007-11-21,10.93,11.0,10.6,10.74,2659700,EUR,FER,spain
2007-11-22,10.78,10.89,10.63,10.75,1705500,EUR,FER,spain
2007-11-23,10.79,10.82,10.55,10.63,2014600,EUR,FER,spain
2007-11-26,10.73,10.85,10.58,10.6,2077100,EUR,FER,spain
2007-11-27,10.55,10.65,10.46,10.59,2087300,EUR,FER,spain
2007-11-28,10.73,10.96,10.46,10.89,2328686,EUR,FER,spain
2007-11-29,10.97,10.97,10.65,10.69,2332200,EUR,FER,spain
2007-11-30,10.72,10.94,10.71,10.91,1568100,EUR,FER,spain
2007-12-03,10.91,11.05,10.85,10.93,1646700,EUR,FER,spain
2007-12-04,10.96,11.03,10.75,10.86,1517800,EUR,FER,spain
2007-12-05,10.91,11.08,10.91,11.08,3257600,EUR,FER,spain
2007-12-06,11.17,11.24,10.93,10.97,2524600,EUR,FER,spain
2007-12-07,11.1,11.18,11.01,11.11,1078600,EUR,FER,spain
2007-12-10,11.1,11.25,11.06,11.21,2355500,EUR,FER,spain
2007-12-11,11.24,11.56,11.24,11.48,4217400,EUR,FER,spain
2007-12-12,11.34,11.65,11.34,11.53,2559000,EUR,FER,spain
