Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-29,2.58,2.65,2.58,2.64,26206,EUR,FLUI,spain
2010-09-30,2.58,2.67,2.58,2.63,12072,EUR,FLUI,spain
2010-10-01,2.61,2.7,2.61,2.7,14787,EUR,FLUI,spain
2010-10-04,2.7,2.75,2.48,2.48,131849,EUR,FLUI,spain
2010-10-05,2.56,2.58,2.48,2.53,63089,EUR,FLUI,spain
2010-10-06,2.4,2.56,2.4,2.56,37292,EUR,FLUI,spain
2010-10-07,2.56,2.56,2.48,2.56,30028,EUR,FLUI,spain
2010-10-08,2.5,2.55,2.5,2.55,4823,EUR,FLUI,spain
2010-10-11,2.55,2.55,2.4,2.54,38921,EUR,FLUI,spain
2010-10-12,2.46,2.46,2.46,2.54,269,EUR,FLUI,spain
2010-10-13,2.54,2.54,2.47,2.48,8928,EUR,FLUI,spain
2010-10-14,2.52,2.52,2.48,2.49,15185,EUR,FLUI,spain
2010-10-15,2.52,2.52,2.48,2.5,7889,EUR,FLUI,spain
2010-10-18,2.49,2.54,2.42,2.48,5459,EUR,FLUI,spain
2010-10-19,2.48,2.59,2.44,2.58,34075,EUR,FLUI,spain
2010-10-20,2.53,2.58,2.5,2.5,3719,EUR,FLUI,spain
2010-10-21,2.5,2.56,2.48,2.56,13676,EUR,FLUI,spain
2010-10-22,2.53,2.53,2.48,2.48,9305,EUR,FLUI,spain
2010-10-25,2.48,2.59,2.48,2.53,32444,EUR,FLUI,spain
2010-10-26,2.58,2.58,2.55,2.55,6861,EUR,FLUI,spain
2010-10-27,2.55,2.58,2.55,2.55,6188,EUR,FLUI,spain
2010-10-28,2.53,2.58,2.53,2.54,3781,EUR,FLUI,spain
2010-10-29,2.54,2.58,2.54,2.58,8335,EUR,FLUI,spain
2010-11-01,2.53,2.53,2.53,2.58,312,EUR,FLUI,spain
2010-11-02,2.56,2.58,2.53,2.58,6854,EUR,FLUI,spain
