Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-11-07,6.17,6.17,6.17,6.31,6000,EUR,GGBR4,spain
2011-11-08,6.4,6.4,6.4,6.14,6000,EUR,GGBR4,spain
2011-11-09,6.17,6.17,6.17,6.19,2000,EUR,GGBR4,spain
2011-11-10,6.48,6.48,6.48,6.19,2000,EUR,GGBR4,spain
2011-11-11,6.33,6.33,6.08,6.25,2218,EUR,GGBR4,spain
2011-11-14,6.23,6.23,6.23,6.16,3000,EUR,GGBR4,spain
2011-11-15,6.08,6.08,6.08,6.08,0,EUR,GGBR4,spain
2011-11-16,6.27,6.27,6.04,6.14,4000,EUR,GGBR4,spain
2011-11-17,5.95,5.95,5.95,6.11,2000,EUR,GGBR4,spain
2011-11-18,5.81,5.81,5.75,5.79,2260,EUR,GGBR4,spain
2011-11-21,5.87,5.87,5.58,5.54,4374,EUR,GGBR4,spain
2011-11-22,5.67,5.67,5.67,5.46,2500,EUR,GGBR4,spain
2011-11-23,5.64,5.64,5.64,5.45,2000,EUR,GGBR4,spain
2011-11-24,5.46,5.46,5.37,5.33,2095,EUR,GGBR4,spain
2011-11-25,5.52,5.52,5.52,5.16,2000,EUR,GGBR4,spain
2011-11-28,5.37,5.37,5.37,5.27,2250,EUR,GGBR4,spain
2011-11-29,5.52,5.52,5.52,5.34,2000,EUR,GGBR4,spain
2011-11-30,5.35,5.35,5.35,5.53,2000,EUR,GGBR4,spain
2011-12-01,5.58,5.58,5.58,5.5,2120,EUR,GGBR4,spain
2011-12-02,5.62,5.78,5.62,5.65,3000,EUR,GGBR4,spain
2011-12-05,5.72,5.72,5.72,5.7,1500,EUR,GGBR4,spain
2011-12-06,6.0,6.0,6.0,5.74,2000,EUR,GGBR4,spain
2011-12-07,5.97,5.97,5.97,5.84,1000,EUR,GGBR4,spain
2011-12-08,5.82,5.82,5.67,5.7,12676,EUR,GGBR4,spain
2011-12-09,5.53,5.53,5.53,5.71,3000,EUR,GGBR4,spain
2011-12-12,5.58,5.58,5.58,5.64,2000,EUR,GGBR4,spain
2011-12-13,5.43,5.51,5.43,5.63,3714,EUR,GGBR4,spain
2011-12-14,5.5,5.5,5.5,5.54,1000,EUR,GGBR4,spain
2011-12-15,5.45,5.45,5.45,5.6,500,EUR,GGBR4,spain
2011-12-16,5.48,5.48,5.46,5.53,1678,EUR,GGBR4,spain
2011-12-19,5.5,5.5,5.5,5.41,500,EUR,GGBR4,spain
2011-12-20,5.34,5.34,5.34,5.57,500,EUR,GGBR4,spain
2011-12-21,5.43,5.43,5.43,5.54,500,EUR,GGBR4,spain
2011-12-22,5.44,5.71,5.44,5.66,1080,EUR,GGBR4,spain
2011-12-23,5.7,5.7,5.7,5.75,500,EUR,GGBR4,spain
2011-12-27,5.88,5.88,5.82,5.83,1500,EUR,GGBR4,spain
2011-12-28,5.86,5.86,5.64,5.76,750,EUR,GGBR4,spain
2011-12-29,5.87,5.87,5.87,5.75,500,EUR,GGBR4,spain
2011-12-30,5.98,5.98,5.98,5.81,500,EUR,GGBR4,spain
2012-01-02,5.82,5.82,5.82,5.81,1500,EUR,GGBR4,spain
2012-01-03,5.82,5.82,5.82,5.98,2000,EUR,GGBR4,spain
2012-01-04,6.11,6.14,6.11,6.15,3000,EUR,GGBR4,spain
2012-01-05,6.18,6.31,6.18,6.42,2125,EUR,GGBR4,spain
2012-01-06,6.45,6.45,6.45,6.47,1500,EUR,GGBR4,spain
2012-01-09,6.64,6.64,6.64,6.64,1500,EUR,GGBR4,spain
2012-01-10,6.79,6.81,6.79,6.78,3790,EUR,GGBR4,spain
2012-01-11,6.73,6.87,6.73,7.03,1125,EUR,GGBR4,spain
2012-01-12,7.21,7.21,7.21,7.06,1000,EUR,GGBR4,spain
2012-01-13,7.24,7.24,6.98,6.93,2025,EUR,GGBR4,spain
2012-01-16,7.12,7.12,7.12,7.06,1000,EUR,GGBR4,spain
2012-01-17,7.18,7.18,7.18,7.16,1000,EUR,GGBR4,spain
2012-01-18,7.15,7.15,7.15,7.04,500,EUR,GGBR4,spain
2012-01-19,7.28,7.28,7.05,6.9,2000,EUR,GGBR4,spain
2012-01-20,7.28,7.28,7.13,7.06,2000,EUR,GGBR4,spain
2012-01-23,7.01,7.01,7.01,7.05,1000,EUR,GGBR4,spain
2012-01-24,7.17,7.17,7.17,6.96,1000,EUR,GGBR4,spain
2012-01-25,6.89,7.05,6.89,7.09,5267,EUR,GGBR4,spain
2012-01-26,7.04,7.04,7.02,7.17,4031,EUR,GGBR4,spain
2012-01-27,7.29,7.29,7.03,7.16,2076,EUR,GGBR4,spain
2012-01-30,7.02,7.02,7.02,7.14,1260,EUR,GGBR4,spain
2012-01-31,6.99,6.99,6.99,7.03,1000,EUR,GGBR4,spain
2012-02-01,7.23,7.23,7.23,7.25,2001,EUR,GGBR4,spain
2012-02-02,7.42,7.42,7.42,7.55,2525,EUR,GGBR4,spain
2012-02-03,7.51,7.59,7.51,7.82,1125,EUR,GGBR4,spain
2012-02-06,8.02,8.02,7.7,7.86,648,EUR,GGBR4,spain
2012-02-07,7.97,7.97,7.97,7.75,1000,EUR,GGBR4,spain
2012-02-08,7.599,7.599,7.599,7.705,1000,EUR,GGBR4,spain
2012-02-09,7.887,7.887,7.887,7.706,1000,EUR,GGBR4,spain
2012-02-10,7.606,7.606,7.606,7.623,1000,EUR,GGBR4,spain
2012-02-13,7.551,7.551,7.551,7.62,600,EUR,GGBR4,spain
2012-02-14,7.593,7.593,7.593,7.478,600,EUR,GGBR4,spain
