Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-11-04,3.25,3.25,3.24,3.24,12935,EUR,GIGAH,spain
2015-11-05,3.24,3.24,3.24,3.24,34309,EUR,GIGAH,spain
2015-11-06,3.24,3.24,3.24,3.24,3507,EUR,GIGAH,spain
2015-11-09,3.25,3.27,3.25,3.27,1611,EUR,GIGAH,spain
2015-11-10,3.29,3.32,3.29,3.32,1546,EUR,GIGAH,spain
2015-11-11,3.3,3.3,3.3,3.3,1209,EUR,GIGAH,spain
2015-11-12,3.29,3.29,3.29,3.29,1452,EUR,GIGAH,spain
2015-11-13,3.28,3.3,3.28,3.3,5623,EUR,GIGAH,spain
2015-11-18,3.3,3.3,3.3,3.3,121,EUR,GIGAH,spain
2015-11-20,3.24,3.24,3.24,3.3,153,EUR,GIGAH,spain
2015-11-23,3.24,3.24,3.24,3.24,1538,EUR,GIGAH,spain
2015-11-24,3.24,3.24,3.24,3.24,4125,EUR,GIGAH,spain
2015-11-25,3.24,3.24,3.24,3.24,3484,EUR,GIGAH,spain
2015-11-27,3.24,3.24,3.24,3.24,350,EUR,GIGAH,spain
2015-11-30,3.24,3.24,3.24,3.24,350,EUR,GIGAH,spain
2015-12-02,3.24,3.24,3.24,3.24,300,EUR,GIGAH,spain
2015-12-03,3.24,3.24,3.24,3.24,240,EUR,GIGAH,spain
2015-12-08,3.24,3.24,3.24,3.24,154,EUR,GIGAH,spain
2015-12-11,3.23,3.23,3.23,3.24,150,EUR,GIGAH,spain
2015-12-15,3.2,3.2,3.18,3.18,1469,EUR,GIGAH,spain
2015-12-17,3.15,3.15,3.15,3.15,307,EUR,GIGAH,spain
2015-12-18,3.15,3.15,3.15,3.15,150,EUR,GIGAH,spain
2015-12-21,3.12,3.12,3.12,3.12,400,EUR,GIGAH,spain
2015-12-23,3.14,3.14,3.14,3.12,100,EUR,GIGAH,spain
2015-12-24,3.1,3.1,3.1,3.12,153,EUR,GIGAH,spain
2015-12-28,3.08,3.08,3.05,3.05,1384,EUR,GIGAH,spain
2015-12-29,3.08,3.08,3.08,3.08,490,EUR,GIGAH,spain
2015-12-30,3.05,3.05,3.02,3.02,1768,EUR,GIGAH,spain
2016-01-07,3.0,3.0,3.0,3.0,2167,EUR,GIGAH,spain
2016-01-08,3.0,3.0,3.0,3.0,1670,EUR,GIGAH,spain
2016-01-12,2.99,2.99,2.98,2.98,1000,EUR,GIGAH,spain
2016-01-14,2.96,2.96,2.96,2.96,2183,EUR,GIGAH,spain
2016-01-15,2.94,2.94,2.94,2.94,400,EUR,GIGAH,spain
2016-01-19,2.94,2.94,2.91,2.91,2017,EUR,GIGAH,spain
2016-01-21,2.89,2.89,2.89,2.89,461,EUR,GIGAH,spain
2016-01-22,2.86,2.86,2.86,2.86,615,EUR,GIGAH,spain
2016-01-26,2.89,2.89,2.89,2.89,215,EUR,GIGAH,spain
2016-01-29,2.82,2.82,2.82,2.82,923,EUR,GIGAH,spain
2016-02-01,2.8,2.8,2.8,2.8,661,EUR,GIGAH,spain
2016-02-02,2.75,2.75,2.75,2.8,153,EUR,GIGAH,spain
2016-02-10,2.75,2.79,2.75,2.79,4543,EUR,GIGAH,spain
2016-02-22,2.92,2.92,2.92,2.92,3682,EUR,GIGAH,spain
2016-02-26,2.97,2.97,2.97,2.92,125,EUR,GIGAH,spain
2016-03-04,2.87,2.87,2.87,2.92,76,EUR,GIGAH,spain
2016-03-10,2.87,2.87,2.87,2.87,1000,EUR,GIGAH,spain
2016-03-21,2.92,2.92,2.92,2.92,200,EUR,GIGAH,spain
2016-03-23,2.95,2.95,2.9,2.9,9163,EUR,GIGAH,spain
2016-04-06,2.87,2.87,2.85,2.85,6153,EUR,GIGAH,spain
2016-04-07,2.85,2.85,2.85,2.85,597,EUR,GIGAH,spain
2016-04-08,2.9,2.9,2.9,2.85,87,EUR,GIGAH,spain
2016-04-20,2.9,2.9,2.9,2.9,350,EUR,GIGAH,spain
2016-04-21,2.9,2.9,2.9,2.9,7093,EUR,GIGAH,spain
2016-04-25,2.95,2.95,2.95,2.95,1700,EUR,GIGAH,spain
2016-04-27,3.0,3.0,3.0,3.0,1667,EUR,GIGAH,spain
2016-04-28,3.05,3.05,3.05,3.05,1650,EUR,GIGAH,spain
2016-04-29,3.05,3.05,3.05,3.05,1000,EUR,GIGAH,spain
2016-05-02,3.1,3.1,3.05,3.05,1000,EUR,GIGAH,spain
2016-05-03,3.05,3.05,3.05,3.05,1932,EUR,GIGAH,spain
2016-05-11,3.1,3.1,3.1,3.1,1620,EUR,GIGAH,spain
2016-05-17,3.15,3.15,3.15,3.15,1595,EUR,GIGAH,spain
2016-05-19,3.2,3.2,3.2,3.2,1000,EUR,GIGAH,spain
2016-05-20,3.15,3.15,3.1,3.1,375,EUR,GIGAH,spain
2016-05-24,3.15,3.15,3.15,3.15,1595,EUR,GIGAH,spain
2016-06-02,3.2,3.2,3.2,3.15,100,EUR,GIGAH,spain
2016-06-07,3.2,3.2,3.15,3.15,1900,EUR,GIGAH,spain
2016-06-08,3.1,3.1,3.1,3.1,1476,EUR,GIGAH,spain
2016-06-10,3.05,3.05,3.05,3.05,307,EUR,GIGAH,spain
2016-06-13,3.1,3.1,3.1,3.1,1548,EUR,GIGAH,spain
2016-06-17,3.05,3.05,3.05,3.1,175,EUR,GIGAH,spain
2016-06-20,3.05,3.05,3.05,3.05,300,EUR,GIGAH,spain
2016-06-30,3.0,3.0,3.0,3.0,276,EUR,GIGAH,spain
2016-07-05,3.0,3.0,3.0,3.0,125,EUR,GIGAH,spain
2016-07-11,2.95,2.95,2.95,2.95,307,EUR,GIGAH,spain
2016-07-14,2.9,2.9,2.85,2.85,3480,EUR,GIGAH,spain
2016-07-15,2.9,2.9,2.9,2.9,3245,EUR,GIGAH,spain
2016-07-19,2.85,2.85,2.8,2.8,3345,EUR,GIGAH,spain
2016-08-12,2.75,2.75,2.75,2.75,500,EUR,GIGAH,spain
2016-08-26,2.8,2.85,2.8,2.85,2010,EUR,GIGAH,spain
2016-08-30,2.8,2.8,2.8,2.8,255,EUR,GIGAH,spain
2016-08-31,2.85,2.85,2.85,2.85,439,EUR,GIGAH,spain
2016-09-14,2.8,2.8,2.8,2.8,1538,EUR,GIGAH,spain
2016-09-16,2.75,2.75,2.75,2.75,200,EUR,GIGAH,spain
2016-09-20,2.8,2.8,2.8,2.8,1790,EUR,GIGAH,spain
2016-09-23,2.75,2.8,2.75,2.8,3500,EUR,GIGAH,spain
2016-09-26,2.75,2.75,2.75,2.75,1755,EUR,GIGAH,spain
2016-09-29,2.75,2.75,2.75,2.75,1000,EUR,GIGAH,spain
2016-09-30,2.85,2.85,2.85,2.85,4047,EUR,GIGAH,spain
2016-10-12,2.8,2.8,2.8,2.8,250,EUR,GIGAH,spain
2016-10-18,2.75,2.75,2.75,2.75,375,EUR,GIGAH,spain
2016-10-21,2.75,2.75,2.75,2.75,1000,EUR,GIGAH,spain
2016-10-24,2.88,2.88,2.88,2.88,1790,EUR,GIGAH,spain
