Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-11-24,2.28,2.28,2.28,2.28,873,EUR,GRIE,spain
2011-12-01,2.25,2.25,2.25,2.25,873,EUR,GRIE,spain
2011-12-02,2.25,2.25,2.25,2.25,873,EUR,GRIE,spain
2011-12-13,2.25,2.25,2.25,2.25,2225,EUR,GRIE,spain
2012-02-08,2.26,2.26,2.26,2.26,2215,EUR,GRIE,spain
2012-02-15,2.26,2.26,2.26,2.26,8732,EUR,GRIE,spain
2012-02-24,2.2,2.2,2.2,2.2,44541,EUR,GRIE,spain
2012-03-16,2.12,2.12,2.12,2.12,873,EUR,GRIE,spain
2012-03-27,2.11,2.11,2.11,2.11,2500,EUR,GRIE,spain
2012-04-23,2.02,2.02,2.02,2.02,2500,EUR,GRIE,spain
2012-04-25,2.02,2.02,2.02,2.02,19334,EUR,GRIE,spain
2012-06-06,2.04,2.04,2.04,2.04,2455,EUR,GRIE,spain
2012-10-01,2.05,2.05,2.05,2.05,960,EUR,GRIE,spain
2012-10-30,2.05,2.05,2.05,2.05,1300,EUR,GRIE,spain
2012-11-22,2.01,2.01,2.01,2.01,2292,EUR,GRIE,spain
2012-12-28,2.01,2.01,2.01,2.01,2100,EUR,GRIE,spain
2013-02-12,1.82,1.82,1.82,1.82,4500,EUR,GRIE,spain
2013-02-13,1.9,1.9,1.9,1.82,137,EUR,GRIE,spain
2013-02-20,1.82,1.82,1.82,1.82,137,EUR,GRIE,spain
2013-06-03,1.82,1.82,1.82,1.82,2500,EUR,GRIE,spain
2013-07-11,1.91,1.91,1.91,1.91,4229,EUR,GRIE,spain
2013-08-15,1.9,1.9,1.9,1.9,274,EUR,GRIE,spain
2013-08-21,1.91,1.91,1.91,1.91,200,EUR,GRIE,spain
2013-08-22,1.91,1.91,1.91,1.91,200,EUR,GRIE,spain
2013-08-23,1.91,1.91,1.91,1.91,200,EUR,GRIE,spain
2013-08-26,1.82,1.91,1.82,1.82,220,EUR,GRIE,spain
2013-08-30,1.91,1.91,1.91,1.91,200,EUR,GRIE,spain
2013-09-12,1.91,1.91,1.91,1.91,137,EUR,GRIE,spain
2013-09-27,1.72,1.72,1.72,1.72,2000,EUR,GRIE,spain
2013-09-30,1.72,1.72,1.72,1.72,137,EUR,GRIE,spain
2013-10-23,1.55,1.55,1.55,1.55,2369,EUR,GRIE,spain
2013-10-24,1.55,1.55,1.55,1.55,137,EUR,GRIE,spain
2013-11-07,1.55,1.55,1.55,1.55,333,EUR,GRIE,spain
2013-11-08,1.55,1.55,1.55,1.55,200,EUR,GRIE,spain
2013-12-02,1.55,1.55,1.55,1.55,137,EUR,GRIE,spain
2014-01-10,1.55,1.55,1.55,1.55,600,EUR,GRIE,spain
2014-01-13,1.59,1.59,1.59,1.59,1000,EUR,GRIE,spain
2014-01-14,1.59,1.59,1.59,1.59,3100,EUR,GRIE,spain
2014-01-20,1.59,1.59,1.59,1.59,2500,EUR,GRIE,spain
2014-01-24,1.66,1.74,1.66,1.74,3400,EUR,GRIE,spain
2014-01-27,1.82,1.91,1.82,1.91,3948,EUR,GRIE,spain
2014-01-28,1.91,1.99,1.91,1.99,5519,EUR,GRIE,spain
2014-01-29,1.9,1.9,1.9,1.9,3200,EUR,GRIE,spain
2014-02-03,1.9,1.9,1.9,1.9,1575,EUR,GRIE,spain
2014-02-06,1.98,1.98,1.98,1.98,1450,EUR,GRIE,spain
2014-02-07,1.9,1.9,1.9,1.9,1600,EUR,GRIE,spain
2014-02-12,1.81,1.81,1.81,1.81,2000,EUR,GRIE,spain
2014-02-13,1.81,1.81,1.8,1.8,2515,EUR,GRIE,spain
2014-02-14,1.72,1.72,1.72,1.72,7030,EUR,GRIE,spain
2014-02-26,1.7,1.7,1.7,1.7,7107,EUR,GRIE,spain
2014-02-27,1.7,1.7,1.7,1.7,7000,EUR,GRIE,spain
2014-02-28,1.72,1.72,1.72,1.72,500,EUR,GRIE,spain
2014-03-03,1.76,1.76,1.76,1.76,666,EUR,GRIE,spain
2014-03-07,1.8,1.8,1.8,1.8,2400,EUR,GRIE,spain
2014-03-11,1.89,1.97,1.89,1.97,1650,EUR,GRIE,spain
2014-03-12,2.0,2.05,2.0,2.05,4803,EUR,GRIE,spain
2014-03-13,2.1,2.15,2.1,2.15,2870,EUR,GRIE,spain
2014-03-14,2.25,2.36,2.25,2.36,4020,EUR,GRIE,spain
2014-03-17,2.47,2.59,2.47,2.59,3387,EUR,GRIE,spain
2014-03-18,2.71,2.8,2.71,2.8,79040,EUR,GRIE,spain
2014-03-19,2.94,2.95,2.94,2.95,43505,EUR,GRIE,spain
2014-03-20,3.09,3.24,3.09,3.24,14668,EUR,GRIE,spain
2014-03-21,3.4,3.57,3.4,3.57,37522,EUR,GRIE,spain
2014-03-24,3.74,3.92,3.74,3.92,8903,EUR,GRIE,spain
2014-03-25,4.11,4.31,4.11,4.31,36787,EUR,GRIE,spain
2014-03-26,4.52,4.74,4.52,4.74,47928,EUR,GRIE,spain
2014-03-27,4.51,4.51,4.29,4.29,102913,EUR,GRIE,spain
2014-03-28,4.08,4.08,3.88,3.88,29500,EUR,GRIE,spain
2014-03-31,3.88,3.88,3.69,3.69,13804,EUR,GRIE,spain
2014-04-01,3.52,3.52,3.52,3.52,15777,EUR,GRIE,spain
2014-04-02,3.41,3.41,3.24,3.24,7002,EUR,GRIE,spain
2014-04-03,3.13,3.27,3.13,3.27,19310,EUR,GRIE,spain
2014-04-04,3.43,3.6,3.43,3.6,11120,EUR,GRIE,spain
2014-04-07,3.78,3.96,3.78,3.96,26480,EUR,GRIE,spain
2014-04-08,3.96,3.96,3.77,3.77,4685,EUR,GRIE,spain
2014-04-09,3.94,3.94,3.77,3.77,2371,EUR,GRIE,spain
2014-04-10,3.95,3.95,3.95,3.95,2803,EUR,GRIE,spain
2014-04-11,3.77,3.77,3.6,3.6,6492,EUR,GRIE,spain
2014-04-14,3.43,3.43,3.26,3.26,8200,EUR,GRIE,spain
2014-04-15,3.42,3.59,3.42,3.59,5000,EUR,GRIE,spain
2014-04-16,3.76,3.93,3.76,3.93,6362,EUR,GRIE,spain
2014-04-17,4.08,4.08,4.08,4.08,3748,EUR,GRIE,spain
2014-04-22,4.0,4.0,3.9,3.9,4682,EUR,GRIE,spain
2014-04-23,3.97,4.08,3.97,4.08,1492,EUR,GRIE,spain
2014-04-24,3.9,3.9,3.9,3.9,2990,EUR,GRIE,spain
2014-04-25,3.72,3.72,3.54,3.54,3680,EUR,GRIE,spain
2014-04-28,3.56,3.56,3.56,3.56,500,EUR,GRIE,spain
2014-04-29,3.54,3.54,3.38,3.38,4355,EUR,GRIE,spain
2014-04-30,3.22,3.22,3.06,3.06,6620,EUR,GRIE,spain
2014-05-02,3.21,3.21,3.21,3.21,1925,EUR,GRIE,spain
2014-05-05,3.36,3.36,3.21,3.21,2000,EUR,GRIE,spain
2014-05-06,3.05,3.05,2.92,2.92,1575,EUR,GRIE,spain
2014-05-07,2.91,2.91,2.9,2.9,5715,EUR,GRIE,spain
2014-05-08,3.04,3.04,3.04,2.9,175,EUR,GRIE,spain
2014-05-09,3.04,3.04,2.9,2.9,4046,EUR,GRIE,spain
2014-05-12,2.78,2.78,2.78,2.78,2372,EUR,GRIE,spain
2014-05-13,2.65,2.65,2.65,2.65,3468,EUR,GRIE,spain
2014-05-14,2.78,2.78,2.78,2.78,1543,EUR,GRIE,spain
2014-05-16,2.78,2.78,2.78,2.78,1250,EUR,GRIE,spain
