Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-03,5.5,5.73,5.4,5.4,12563,EUR,GSJ,spain
2010-11-04,5.72,5.72,5.4,5.7,787,EUR,GSJ,spain
2010-11-05,5.7,5.7,5.41,5.51,3275,EUR,GSJ,spain
2010-11-08,5.68,5.68,5.4,5.42,5852,EUR,GSJ,spain
2010-11-09,5.59,5.59,5.32,5.4,1142,EUR,GSJ,spain
2010-11-10,5.31,5.6,5.05,5.2,3830,EUR,GSJ,spain
2010-11-11,5.01,5.57,4.9,5.55,20914,EUR,GSJ,spain
2010-11-12,5.55,5.55,5.11,5.55,9,EUR,GSJ,spain
2010-11-15,5.15,5.33,5.01,5.07,11328,EUR,GSJ,spain
2010-11-16,5.28,5.44,5.1,5.12,5159,EUR,GSJ,spain
2010-11-17,5.12,5.26,5.1,5.26,1176,EUR,GSJ,spain
2010-11-18,5.01,5.35,4.93,5.22,4277,EUR,GSJ,spain
2010-11-19,5.2,5.2,5.0,5.18,1186,EUR,GSJ,spain
2010-11-22,5.01,5.18,4.91,5.16,3141,EUR,GSJ,spain
2010-11-23,4.9,5.03,4.9,5.03,7803,EUR,GSJ,spain
2010-11-24,5.0,5.0,4.92,5.03,458,EUR,GSJ,spain
2010-11-25,5.2,5.2,4.91,5.19,3218,EUR,GSJ,spain
2010-11-26,5.12,5.12,4.92,5.11,1057,EUR,GSJ,spain
2010-11-29,4.91,5.44,4.91,5.15,1324,EUR,GSJ,spain
2010-11-30,5.06,5.38,4.44,5.13,80878,EUR,GSJ,spain
2010-12-01,5.2,5.25,4.82,4.91,712,EUR,GSJ,spain
2010-12-02,4.92,5.25,4.8,5.01,3300,EUR,GSJ,spain
2010-12-03,5.25,5.25,5.25,5.25,675,EUR,GSJ,spain
2010-12-06,5.25,5.25,5.25,5.25,0,EUR,GSJ,spain
2010-12-07,5.0,5.24,4.93,5.24,949,EUR,GSJ,spain
2010-12-08,5.2,5.24,4.95,5.19,2935,EUR,GSJ,spain
2010-12-09,4.92,5.19,4.92,5.19,468,EUR,GSJ,spain
2010-12-10,4.97,5.17,4.97,5.17,3454,EUR,GSJ,spain
2010-12-13,4.93,5.5,4.87,5.39,13753,EUR,GSJ,spain
2010-12-14,4.97,5.41,4.97,5.03,17309,EUR,GSJ,spain
2010-12-15,5.06,5.36,5.06,5.07,923,EUR,GSJ,spain
2010-12-16,5.02,5.05,5.02,5.05,2090,EUR,GSJ,spain
2010-12-17,5.07,5.07,5.07,5.07,882,EUR,GSJ,spain
2010-12-20,5.02,5.2,5.02,5.19,2216,EUR,GSJ,spain
2010-12-21,5.02,5.02,4.94,4.94,5100,EUR,GSJ,spain
2010-12-22,5.15,5.2,4.94,5.2,4370,EUR,GSJ,spain
2010-12-23,4.95,4.95,4.95,5.2,123,EUR,GSJ,spain
2010-12-27,4.95,5.19,4.94,4.95,1139,EUR,GSJ,spain
2010-12-28,4.94,4.94,4.57,4.9,22332,EUR,GSJ,spain
2010-12-29,5.0,5.0,4.78,4.84,3754,EUR,GSJ,spain
2010-12-30,4.78,5.19,4.5,5.19,18011,EUR,GSJ,spain
2011-01-03,5.1,5.19,5.1,5.19,1089,EUR,GSJ,spain
2011-01-04,5.12,5.12,4.76,4.8,5370,EUR,GSJ,spain
2011-01-05,4.8,4.8,4.8,4.8,641,EUR,GSJ,spain
2011-01-06,4.8,4.8,4.8,4.8,0,EUR,GSJ,spain
2011-01-07,4.79,4.79,4.55,4.57,1009,EUR,GSJ,spain
