Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-03-30,17.0,17.4,16.46,16.46,1260298,EUR,HOME,spain
2017-03-31,16.46,16.7,16.46,16.65,1051267,EUR,HOME,spain
2017-04-03,16.46,17.2,16.46,16.85,2779912,EUR,HOME,spain
2017-04-04,17.0,17.2,16.75,17.0,457516,EUR,HOME,spain
2017-04-05,17.0,17.4,17.0,17.3,424318,EUR,HOME,spain
2017-04-06,17.34,17.5,17.14,17.4,1941303,EUR,HOME,spain
2017-04-07,17.29,17.5,17.21,17.23,1875944,EUR,HOME,spain
2017-04-10,17.5,17.5,16.89,17.0,67620,EUR,HOME,spain
2017-04-11,16.85,16.93,16.75,16.83,36725,EUR,HOME,spain
2017-04-12,16.95,17.15,16.85,16.85,883277,EUR,HOME,spain
2017-04-13,16.89,17.09,16.89,16.95,345621,EUR,HOME,spain
2017-04-18,17.24,17.27,16.77,16.8,81435,EUR,HOME,spain
2017-04-19,16.75,17.0,16.75,16.95,794832,EUR,HOME,spain
2017-04-20,16.82,17.05,16.82,17.0,376024,EUR,HOME,spain
2017-04-21,17.0,17.0,16.76,16.9,108305,EUR,HOME,spain
2017-04-24,17.0,17.25,16.86,17.25,148248,EUR,HOME,spain
2017-04-25,17.45,18.0,17.43,18.0,1183148,EUR,HOME,spain
2017-04-26,18.02,18.02,17.57,17.8,92991,EUR,HOME,spain
2017-04-27,17.75,18.25,17.7,18.0,189213,EUR,HOME,spain
2017-04-28,18.2,18.27,18.0,18.11,162726,EUR,HOME,spain
2017-05-02,18.18,18.4,18.18,18.35,76296,EUR,HOME,spain
2017-05-03,18.47,18.5,18.0,18.0,481453,EUR,HOME,spain
2017-05-04,18.3,18.3,17.8,18.02,13497,EUR,HOME,spain
2017-05-05,17.86,18.2,17.85,17.9,33071,EUR,HOME,spain
2017-05-08,18.25,18.25,18.03,18.2,54326,EUR,HOME,spain
2017-05-09,18.19,18.2,18.01,18.11,83181,EUR,HOME,spain
2017-05-10,18.2,18.3,18.1,18.1,357186,EUR,HOME,spain
2017-05-11,18.31,18.31,17.82,18.0,71565,EUR,HOME,spain
2017-05-12,18.12,18.12,17.8,17.9,2527779,EUR,HOME,spain
2017-05-15,17.89,18.0,17.77,17.85,88132,EUR,HOME,spain
2017-05-16,18.01,18.02,17.75,17.97,67250,EUR,HOME,spain
2017-05-17,18.0,18.0,17.64,17.85,44469,EUR,HOME,spain
2017-05-18,17.61,17.8,17.36,17.55,68838,EUR,HOME,spain
2017-05-19,17.36,17.77,17.36,17.61,711483,EUR,HOME,spain
2017-05-22,17.91,18.0,17.6,17.7,40582,EUR,HOME,spain
2017-05-23,17.94,17.94,17.7,17.7,16394,EUR,HOME,spain
2017-05-24,17.7,17.8,17.7,17.7,4671,EUR,HOME,spain
2017-05-25,17.9,17.94,17.75,17.93,12757,EUR,HOME,spain
2017-05-26,17.84,17.94,17.8,17.86,628777,EUR,HOME,spain
2017-05-29,17.9,18.0,17.9,17.9,30695,EUR,HOME,spain
2017-05-30,17.81,17.95,17.74,17.8,68586,EUR,HOME,spain
2017-05-31,17.8,17.8,17.7,17.8,163019,EUR,HOME,spain
2017-06-01,17.98,18.27,17.98,18.1,187006,EUR,HOME,spain
2017-06-02,18.1,18.59,18.1,18.5,98522,EUR,HOME,spain
2017-06-05,18.6,18.98,18.3,18.5,85170,EUR,HOME,spain
2017-06-06,18.8,18.9,18.38,18.5,28054,EUR,HOME,spain
2017-06-07,18.48,18.64,18.12,18.64,318377,EUR,HOME,spain
2017-06-08,18.9,18.9,18.5,18.8,264892,EUR,HOME,spain
2017-06-09,18.7,18.86,18.11,18.8,150379,EUR,HOME,spain
2017-06-12,18.96,18.96,18.6,18.75,438237,EUR,HOME,spain
2017-06-13,18.54,18.7,18.54,18.58,48768,EUR,HOME,spain
2017-06-14,18.73,18.79,18.37,18.37,232133,EUR,HOME,spain
2017-06-15,18.3,18.59,18.3,18.39,22100,EUR,HOME,spain
2017-06-16,18.3,18.34,18.0,18.0,89579,EUR,HOME,spain
2017-06-19,18.02,18.57,18.02,18.25,64231,EUR,HOME,spain
2017-06-20,18.71,18.73,18.0,18.0,80740,EUR,HOME,spain
2017-06-21,18.05,18.53,18.05,18.36,70407,EUR,HOME,spain
2017-06-22,18.32,18.69,18.25,18.5,24728,EUR,HOME,spain
2017-06-23,18.15,18.79,18.15,18.58,30517,EUR,HOME,spain
2017-06-26,18.6,18.77,18.55,18.61,42916,EUR,HOME,spain
2017-06-27,18.72,18.72,18.25,18.43,697666,EUR,HOME,spain
2017-06-28,18.18,18.52,18.11,18.25,193531,EUR,HOME,spain
2017-06-29,18.25,18.67,18.25,18.35,76704,EUR,HOME,spain
2017-06-30,18.11,18.6,18.11,18.54,813224,EUR,HOME,spain
2017-07-03,18.49,19.09,18.49,18.75,200957,EUR,HOME,spain
2017-07-04,18.8,18.8,18.61,18.67,75913,EUR,HOME,spain
2017-07-05,18.7,18.95,18.26,18.43,118957,EUR,HOME,spain
2017-07-06,18.74,18.93,18.62,18.68,152381,EUR,HOME,spain
2017-07-07,18.91,18.95,18.7,18.9,69219,EUR,HOME,spain
2017-07-10,18.95,18.95,18.75,18.9,101451,EUR,HOME,spain
2017-07-11,18.51,18.9,18.51,18.81,103997,EUR,HOME,spain
2017-07-12,18.7,18.95,18.7,18.9,199346,EUR,HOME,spain
2017-07-13,18.9,18.95,18.75,18.9,68025,EUR,HOME,spain
2017-07-14,18.77,18.98,18.56,18.95,52576,EUR,HOME,spain
2017-07-17,19.0,19.06,18.95,19.0,19025,EUR,HOME,spain
2017-07-18,19.05,19.1,18.85,19.1,164731,EUR,HOME,spain
2017-07-19,19.03,19.34,18.86,19.26,452276,EUR,HOME,spain
2017-07-20,19.01,19.9,19.01,19.5,478754,EUR,HOME,spain
2017-07-21,19.48,19.65,19.3,19.65,504241,EUR,HOME,spain
2017-07-24,19.85,19.89,19.65,19.7,769538,EUR,HOME,spain
2017-07-25,19.84,20.1,19.77,19.77,201960,EUR,HOME,spain
2017-07-26,20.44,20.44,19.89,19.93,236910,EUR,HOME,spain
2017-07-27,19.85,20.2,19.84,20.07,173935,EUR,HOME,spain
2017-07-28,20.0,20.13,19.75,19.75,47750,EUR,HOME,spain
2017-07-31,19.7,20.25,19.56,19.56,547730,EUR,HOME,spain
