Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,5.57,5.59,5.52,5.59,0,EUR,IBE,spain
2009-02-12,5.53,5.55,5.43,5.43,0,EUR,IBE,spain
2009-02-13,5.55,5.62,5.5,5.5,0,EUR,IBE,spain
2009-02-16,5.48,5.5,5.35,5.35,0,EUR,IBE,spain
2009-02-17,5.35,5.66,5.34,5.66,0,EUR,IBE,spain
2009-02-18,5.56,5.57,5.3,5.3,0,EUR,IBE,spain
2009-02-19,5.44,5.74,5.43,5.74,0,EUR,IBE,spain
2009-02-20,5.55,5.66,5.46,5.46,0,EUR,IBE,spain
2009-02-25,5.37,5.46,5.18,5.18,0,EUR,IBE,spain
2009-02-26,5.28,5.43,5.24,5.43,0,EUR,IBE,spain
2009-02-27,5.33,5.33,5.13,5.13,0,EUR,IBE,spain
2009-03-06,4.72,4.82,4.58,4.58,0,EUR,IBE,spain
2009-03-09,4.51,4.51,4.44,4.44,0,EUR,IBE,spain
2009-03-10,4.43,4.65,4.36,4.65,0,EUR,IBE,spain
2009-03-11,4.7,4.83,4.62,4.83,0,EUR,IBE,spain
2009-03-12,4.61,4.82,4.56,4.82,0,EUR,IBE,spain
2009-03-13,5.05,5.07,4.91,4.91,0,EUR,IBE,spain
2009-03-16,5.12,5.33,5.11,5.33,0,EUR,IBE,spain
2009-03-17,5.22,5.39,5.21,5.39,0,EUR,IBE,spain
2009-03-18,5.42,5.46,5.24,5.24,0,EUR,IBE,spain
2009-03-19,5.4,5.49,5.33,5.49,0,EUR,IBE,spain
2009-03-20,5.3,5.48,5.25,5.48,0,EUR,IBE,spain
2009-04-01,5.26,5.39,5.24,5.39,0,EUR,IBE,spain
2009-04-02,5.43,5.54,5.37,5.37,0,EUR,IBE,spain
2009-04-03,5.45,5.57,5.38,5.38,0,EUR,IBE,spain
2009-04-06,5.57,5.64,5.41,5.41,0,EUR,IBE,spain
2009-04-07,5.51,5.66,5.5,5.66,0,EUR,IBE,spain
2009-04-08,5.51,5.63,5.47,5.63,0,EUR,IBE,spain
2009-04-09,5.65,5.73,5.6,5.73,0,EUR,IBE,spain
2009-04-16,5.64,5.8,5.62,5.8,0,EUR,IBE,spain
2009-04-17,5.78,5.82,5.71,5.82,0,EUR,IBE,spain
2009-04-20,5.81,5.82,5.65,5.65,0,EUR,IBE,spain
2009-04-21,5.68,5.75,5.53,5.53,0,EUR,IBE,spain
2009-04-22,5.69,5.86,5.63,5.86,0,EUR,IBE,spain
2009-04-23,5.79,5.85,5.71,5.85,0,EUR,IBE,spain
2009-04-24,5.86,5.89,5.79,5.89,0,EUR,IBE,spain
2009-04-27,5.76,5.81,5.71,5.81,0,EUR,IBE,spain
2009-04-28,5.71,5.71,5.57,5.71,0,EUR,IBE,spain
2009-04-29,5.75,5.91,5.75,5.91,0,EUR,IBE,spain
2009-04-30,5.93,6.05,5.92,6.05,0,EUR,IBE,spain
2009-05-05,6.04,6.11,5.99,5.99,0,EUR,IBE,spain
2009-05-06,6.01,6.11,5.97,6.11,0,EUR,IBE,spain
2009-05-07,6.11,6.2,6.04,6.2,0,EUR,IBE,spain
2009-05-08,6.09,6.17,6.02,6.17,0,EUR,IBE,spain
2009-05-14,5.87,5.91,5.81,5.91,0,EUR,IBE,spain
2009-05-15,5.96,6.0,5.88,6.0,0,EUR,IBE,spain
2009-05-18,5.81,5.91,5.75,5.91,0,EUR,IBE,spain
2009-05-19,5.95,6.07,5.95,6.07,0,EUR,IBE,spain
2009-05-20,6.06,6.16,6.05,6.16,0,EUR,IBE,spain
2009-05-21,6.06,6.06,5.98,5.98,0,EUR,IBE,spain
2009-05-22,6.01,6.14,5.98,5.98,0,EUR,IBE,spain
2009-05-25,5.99,6.1,5.96,6.1,0,EUR,IBE,spain
2009-05-26,6.05,6.12,5.96,6.12,0,EUR,IBE,spain
2009-05-27,6.09,6.15,6.04,6.04,0,EUR,IBE,spain
2009-05-28,6.04,6.12,6.02,6.02,0,EUR,IBE,spain
2009-05-29,6.09,6.11,5.98,5.98,0,EUR,IBE,spain
2009-06-02,6.15,6.26,6.14,6.26,0,EUR,IBE,spain
2009-06-03,6.25,6.27,6.03,6.03,0,EUR,IBE,spain
2009-06-04,6.09,6.1,5.97,5.97,0,EUR,IBE,spain
2009-06-05,6.04,6.09,5.95,6.09,0,EUR,IBE,spain
2009-06-11,6.04,6.08,6.03,6.08,0,EUR,IBE,spain
