Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-07,1.96,1.99,1.9,1.91,483121,EUR,IBES,spain
2010-10-08,1.91,1.96,1.82,1.85,385037,EUR,IBES,spain
2010-10-11,1.8,1.84,1.74,1.75,586870,EUR,IBES,spain
2010-10-12,1.79,1.79,1.72,1.75,101521,EUR,IBES,spain
2010-10-13,1.74,1.85,1.74,1.8,415238,EUR,IBES,spain
2010-10-14,1.82,1.94,1.81,1.83,644245,EUR,IBES,spain
2010-10-15,1.83,1.88,1.8,1.83,278540,EUR,IBES,spain
2010-10-18,1.82,1.89,1.82,1.85,455634,EUR,IBES,spain
2010-10-19,1.85,1.87,1.8,1.84,435760,EUR,IBES,spain
2010-10-20,1.82,1.84,1.78,1.81,383531,EUR,IBES,spain
2010-10-21,1.81,1.84,1.8,1.81,336750,EUR,IBES,spain
2010-10-22,1.87,2.15,1.85,1.96,2633183,EUR,IBES,spain
2010-10-25,2.0,2.04,1.96,2.0,716351,EUR,IBES,spain
2010-10-26,2.0,2.05,1.97,2.02,582935,EUR,IBES,spain
2010-10-27,2.08,2.45,2.02,2.37,1808943,EUR,IBES,spain
2010-10-28,2.43,2.45,2.13,2.15,1463659,EUR,IBES,spain
2010-10-29,2.25,2.29,2.06,2.06,1063784,EUR,IBES,spain
2010-11-01,2.08,2.12,2.02,2.07,171446,EUR,IBES,spain
2010-11-02,2.09,2.19,1.99,2.15,375481,EUR,IBES,spain
2010-11-03,2.11,2.24,2.06,2.06,598487,EUR,IBES,spain
2010-11-04,2.05,2.12,2.02,2.04,576272,EUR,IBES,spain
2010-11-05,2.03,2.1,1.95,1.96,511140,EUR,IBES,spain
2010-11-08,1.96,2.04,1.9,1.96,355011,EUR,IBES,spain
2010-11-09,1.94,2.02,1.94,1.95,313926,EUR,IBES,spain
2010-11-10,1.95,1.99,1.94,1.98,162626,EUR,IBES,spain
2010-11-11,2.05,2.12,1.99,1.99,371293,EUR,IBES,spain
2010-11-12,2.01,2.05,1.87,1.89,635386,EUR,IBES,spain
2010-11-15,1.89,1.96,1.86,1.95,335734,EUR,IBES,spain
2010-11-16,1.91,1.95,1.85,1.85,262125,EUR,IBES,spain
2010-11-17,1.8,1.8,1.57,1.63,942947,EUR,IBES,spain
2010-11-18,1.67,1.89,1.64,1.79,1139162,EUR,IBES,spain
2010-11-19,1.75,1.77,1.7,1.75,237960,EUR,IBES,spain
2010-11-22,1.73,1.78,1.68,1.7,457166,EUR,IBES,spain
2010-11-23,1.68,1.7,1.53,1.53,395382,EUR,IBES,spain
2010-11-24,1.52,1.77,1.51,1.66,580373,EUR,IBES,spain
2010-11-25,1.63,1.66,1.55,1.64,268915,EUR,IBES,spain
2010-11-26,1.57,1.62,1.48,1.56,419764,EUR,IBES,spain
2010-11-29,1.53,1.6,1.5,1.53,239683,EUR,IBES,spain
2010-11-30,1.51,1.66,1.48,1.62,404276,EUR,IBES,spain
2010-12-01,1.65,1.69,1.6,1.64,333226,EUR,IBES,spain
2010-12-02,1.64,1.72,1.6,1.65,518710,EUR,IBES,spain
2010-12-03,1.65,1.72,1.64,1.66,485350,EUR,IBES,spain
2010-12-06,1.64,1.69,1.64,1.68,108294,EUR,IBES,spain
2010-12-07,1.68,1.71,1.59,1.6,310217,EUR,IBES,spain
2010-12-08,1.61,1.63,1.6,1.6,81007,EUR,IBES,spain
2010-12-09,1.6,1.6,1.5,1.59,233293,EUR,IBES,spain
2010-12-10,1.55,1.59,1.5,1.55,390659,EUR,IBES,spain
2010-12-13,1.58,1.72,1.58,1.66,813771,EUR,IBES,spain
2010-12-14,1.67,1.7,1.63,1.65,516638,EUR,IBES,spain
2010-12-15,1.62,1.68,1.6,1.64,545032,EUR,IBES,spain
2010-12-16,1.61,1.69,1.53,1.59,581880,EUR,IBES,spain
2010-12-17,1.62,1.68,1.57,1.64,455860,EUR,IBES,spain
2010-12-20,1.69,1.9,1.68,1.86,1591168,EUR,IBES,spain
2010-12-21,1.81,1.84,1.73,1.73,581173,EUR,IBES,spain
2010-12-22,1.73,1.84,1.73,1.76,408234,EUR,IBES,spain
2010-12-23,1.72,1.84,1.72,1.79,4366858,EUR,IBES,spain
2010-12-27,1.76,1.8,1.67,1.67,365258,EUR,IBES,spain
2010-12-28,1.67,1.71,1.63,1.63,447294,EUR,IBES,spain
2010-12-29,1.63,1.7,1.61,1.67,184950,EUR,IBES,spain
2010-12-30,1.64,1.67,1.6,1.61,471255,EUR,IBES,spain
2011-01-03,1.61,1.75,1.55,1.6,344773,EUR,IBES,spain
2011-01-04,1.6,1.65,1.57,1.57,212554,EUR,IBES,spain
2011-01-05,1.57,1.61,1.57,1.6,214465,EUR,IBES,spain
2011-01-06,1.61,1.61,1.55,1.55,103992,EUR,IBES,spain
2011-01-07,1.52,1.56,1.5,1.5,286844,EUR,IBES,spain
2011-01-10,1.51,1.6,1.46,1.5,394212,EUR,IBES,spain
2011-01-11,1.5,1.55,1.47,1.53,170762,EUR,IBES,spain
2011-01-12,1.53,1.62,1.52,1.6,470124,EUR,IBES,spain
2011-01-13,1.59,1.65,1.57,1.65,324440,EUR,IBES,spain
2011-01-14,1.63,1.78,1.58,1.75,1028659,EUR,IBES,spain
2011-01-17,1.76,1.76,1.65,1.73,521172,EUR,IBES,spain
2011-01-18,1.73,1.73,1.66,1.69,325435,EUR,IBES,spain
2011-01-19,1.64,1.68,1.6,1.63,492972,EUR,IBES,spain
2011-01-20,1.63,1.66,1.61,1.64,247843,EUR,IBES,spain
2011-01-21,1.64,1.69,1.63,1.63,480190,EUR,IBES,spain
2011-01-24,1.63,1.66,1.59,1.6,206392,EUR,IBES,spain
2011-01-25,1.6,1.62,1.58,1.6,260628,EUR,IBES,spain
2011-01-26,1.6,1.62,1.53,1.56,434493,EUR,IBES,spain
2011-01-27,1.54,1.62,1.52,1.6,483518,EUR,IBES,spain
2011-01-28,1.59,1.64,1.54,1.59,598153,EUR,IBES,spain
2011-01-31,1.56,1.57,1.52,1.54,307646,EUR,IBES,spain
2011-02-01,1.52,1.55,1.51,1.53,488026,EUR,IBES,spain
2011-02-02,1.53,1.59,1.53,1.57,650216,EUR,IBES,spain
2011-02-03,1.6,1.66,1.56,1.58,948141,EUR,IBES,spain
2011-02-04,1.62,1.68,1.56,1.58,937417,EUR,IBES,spain
2011-02-07,1.62,1.63,1.56,1.56,609766,EUR,IBES,spain
2011-02-08,1.56,1.57,1.5,1.53,585643,EUR,IBES,spain
2011-02-09,1.51,1.53,1.37,1.49,1242856,EUR,IBES,spain
2011-02-10,1.49,1.5,1.44,1.47,497382,EUR,IBES,spain
2011-02-11,1.46,1.47,1.43,1.47,311685,EUR,IBES,spain
2011-02-14,1.65,1.72,1.56,1.63,2031062,EUR,IBES,spain
2011-02-15,1.63,1.67,1.56,1.66,823245,EUR,IBES,spain
2011-02-16,1.66,1.67,1.61,1.63,700124,EUR,IBES,spain
2011-02-17,1.64,1.65,1.6,1.62,494292,EUR,IBES,spain
2011-02-18,1.61,1.62,1.57,1.58,457404,EUR,IBES,spain
2011-02-21,1.58,1.58,1.53,1.53,398948,EUR,IBES,spain
2011-02-22,1.51,1.56,1.49,1.53,452818,EUR,IBES,spain
2011-02-23,1.51,1.53,1.5,1.51,221818,EUR,IBES,spain
2011-02-24,1.5,1.5,1.44,1.47,421780,EUR,IBES,spain
2011-02-25,1.48,1.52,1.47,1.5,485703,EUR,IBES,spain
2011-02-28,1.52,1.52,1.48,1.49,232628,EUR,IBES,spain
2011-03-01,1.48,1.52,1.47,1.48,209583,EUR,IBES,spain
2011-03-02,1.46,1.46,1.37,1.39,503889,EUR,IBES,spain
2011-03-03,1.4,1.42,1.37,1.39,419987,EUR,IBES,spain
2011-03-04,1.38,1.4,1.35,1.38,166858,EUR,IBES,spain
2011-03-07,1.35,1.37,1.32,1.33,304715,EUR,IBES,spain
2011-03-08,1.33,1.38,1.3,1.31,328455,EUR,IBES,spain
2011-03-09,1.31,1.34,1.29,1.3,253297,EUR,IBES,spain
2011-03-10,1.29,1.31,1.28,1.28,206733,EUR,IBES,spain
2011-03-11,1.26,1.27,1.23,1.24,273477,EUR,IBES,spain
2011-03-14,1.24,1.34,1.22,1.25,363961,EUR,IBES,spain
2011-03-15,1.25,1.25,1.18,1.22,470676,EUR,IBES,spain
