Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-19,14.22,14.22,14.22,14.22,1996,EUR,IBG,spain
2010-11-22,14.37,14.37,14.12,14.12,521,EUR,IBG,spain
2010-11-23,14.07,14.07,13.29,13.7,2354,EUR,IBG,spain
2010-11-24,13.57,13.65,13.24,13.63,3180,EUR,IBG,spain
2010-11-25,13.65,13.65,13.08,13.45,713,EUR,IBG,spain
2010-11-26,13.39,13.51,13.19,13.51,2702,EUR,IBG,spain
2010-11-29,13.39,13.39,13.21,13.39,503,EUR,IBG,spain
2010-11-30,12.99,13.21,12.83,13.21,2746,EUR,IBG,spain
2010-12-01,13.45,14.16,13.45,13.76,2916,EUR,IBG,spain
2010-12-02,13.76,13.95,13.45,13.95,1089,EUR,IBG,spain
2010-12-03,13.78,13.96,13.43,13.96,736,EUR,IBG,spain
2010-12-06,14.07,14.72,13.49,13.96,2357,EUR,IBG,spain
2010-12-07,14.17,14.27,13.92,14.17,493,EUR,IBG,spain
2010-12-08,14.12,14.48,14.12,14.22,2697,EUR,IBG,spain
2010-12-09,14.97,14.97,13.98,14.48,3006,EUR,IBG,spain
2010-12-10,14.53,14.53,13.82,14.47,22293,EUR,IBG,spain
2010-12-13,14.07,14.54,14.07,14.53,2462,EUR,IBG,spain
2010-12-14,14.59,14.74,14.48,14.58,1872,EUR,IBG,spain
2010-12-15,14.74,14.74,14.62,14.74,531,EUR,IBG,spain
2010-12-16,14.74,14.79,14.74,14.74,1358,EUR,IBG,spain
2010-12-17,14.74,14.97,14.74,14.97,2361,EUR,IBG,spain
2010-12-20,14.74,15.0,14.74,14.97,490,EUR,IBG,spain
2010-12-21,15.05,15.16,15.0,15.16,2556,EUR,IBG,spain
2010-12-22,15.16,15.16,14.81,15.16,1288,EUR,IBG,spain
2010-12-23,14.88,15.08,14.88,15.08,861,EUR,IBG,spain
2010-12-27,15.16,15.16,14.75,15.14,378670,EUR,IBG,spain
2010-12-28,14.91,14.91,14.45,15.14,440,EUR,IBG,spain
2010-12-29,14.97,15.16,14.97,15.15,2058,EUR,IBG,spain
2010-12-30,15.14,15.14,14.97,14.97,2700,EUR,IBG,spain
2011-01-03,15.24,15.51,15.01,15.25,3522,EUR,IBG,spain
2011-01-04,15.1,15.26,14.97,14.97,1441,EUR,IBG,spain
2011-01-05,14.97,14.97,14.97,14.97,1187,EUR,IBG,spain
2011-01-06,15.0,15.0,14.86,14.97,387,EUR,IBG,spain
2011-01-07,14.86,14.99,14.86,14.86,580,EUR,IBG,spain
2011-01-10,14.76,14.76,14.37,14.68,4808,EUR,IBG,spain
2011-01-11,14.66,15.2,14.22,14.74,28575,EUR,IBG,spain
2011-01-12,14.88,15.2,14.24,14.88,21510,EUR,IBG,spain
2011-01-13,14.69,15.15,14.37,14.88,2349,EUR,IBG,spain
2011-01-14,15.11,15.15,14.28,14.6,15351,EUR,IBG,spain
2011-01-17,14.58,14.95,14.46,14.88,2240,EUR,IBG,spain
2011-01-18,14.84,14.84,14.48,14.64,11515,EUR,IBG,spain
2011-01-19,14.64,14.77,14.39,14.76,547,EUR,IBG,spain
2011-01-20,14.74,14.74,14.43,14.48,7366,EUR,IBG,spain
2011-01-21,14.48,14.73,14.39,14.73,11167,EUR,IBG,spain
2011-01-24,14.48,14.89,14.44,14.69,517,EUR,IBG,spain
2011-01-25,14.69,14.69,14.44,14.44,2376,EUR,IBG,spain
2011-01-26,14.45,14.48,14.45,14.48,607,EUR,IBG,spain
2011-01-27,14.55,14.55,14.48,14.48,1297,EUR,IBG,spain
2011-01-28,14.68,14.68,14.48,14.68,860,EUR,IBG,spain
2011-01-31,14.58,14.9,14.34,14.9,1282,EUR,IBG,spain
2011-02-01,14.98,14.98,14.35,14.89,3646,EUR,IBG,spain
2011-02-02,14.89,14.89,14.74,14.89,1599,EUR,IBG,spain
2011-02-03,14.84,14.89,14.74,14.88,588,EUR,IBG,spain
2011-02-04,14.89,15.1,14.89,15.1,7861,EUR,IBG,spain
2011-02-07,15.1,15.1,14.68,15.1,7473,EUR,IBG,spain
2011-02-08,15.1,15.82,15.1,15.11,10948,EUR,IBG,spain
2011-02-09,15.15,15.72,15.15,15.72,5869,EUR,IBG,spain
2011-02-10,15.75,15.75,15.46,15.61,1810,EUR,IBG,spain
2011-02-11,15.62,15.75,15.6,15.72,3937,EUR,IBG,spain
2011-02-14,16.03,16.33,15.33,15.71,9367,EUR,IBG,spain
2011-02-15,15.71,15.81,15.47,15.81,5370,EUR,IBG,spain
2011-02-16,15.54,16.02,15.47,15.81,1663,EUR,IBG,spain
2011-02-17,15.58,15.92,15.58,15.92,2420,EUR,IBG,spain
2011-02-18,15.92,15.93,15.58,15.82,4304,EUR,IBG,spain
2011-02-21,15.93,15.93,15.58,15.6,2411,EUR,IBG,spain
2011-02-22,15.59,15.92,15.44,15.51,2840,EUR,IBG,spain
2011-02-23,15.55,15.85,15.45,15.85,1073,EUR,IBG,spain
2011-02-24,15.77,15.93,15.77,15.9,501,EUR,IBG,spain
2011-02-25,15.58,15.93,15.58,15.92,927,EUR,IBG,spain
2011-02-28,15.91,15.92,15.91,15.91,2231,EUR,IBG,spain
2011-03-01,16.37,16.37,15.66,15.93,13789,EUR,IBG,spain
2011-03-02,15.93,16.19,15.58,15.98,33336,EUR,IBG,spain
2011-03-03,16.3,16.3,15.6,15.98,2082,EUR,IBG,spain
2011-03-04,15.62,16.27,15.62,15.98,4009,EUR,IBG,spain
2011-03-07,15.68,15.72,15.68,15.72,6032,EUR,IBG,spain
2011-03-08,15.74,16.03,15.74,16.02,4733,EUR,IBG,spain
2011-03-09,15.93,16.03,15.93,16.03,1257,EUR,IBG,spain
2011-03-10,16.02,16.02,15.58,15.96,3321,EUR,IBG,spain
2011-03-11,16.0,16.0,15.68,15.96,3991,EUR,IBG,spain
2011-03-14,15.97,15.97,15.44,15.93,1375,EUR,IBG,spain
2011-03-15,15.58,15.92,15.39,15.92,2860,EUR,IBG,spain
2011-03-16,15.77,15.77,15.41,15.61,5046,EUR,IBG,spain
2011-03-17,15.41,15.57,15.3,15.36,7796,EUR,IBG,spain
2011-03-18,15.36,15.51,15.31,15.51,3873,EUR,IBG,spain
2011-03-21,15.51,15.92,15.51,15.81,635,EUR,IBG,spain
2011-03-22,15.41,15.62,15.41,15.62,697,EUR,IBG,spain
2011-03-23,15.41,15.6,15.19,15.6,4373,EUR,IBG,spain
2011-03-24,15.6,15.6,15.38,15.59,511,EUR,IBG,spain
2011-03-25,15.62,15.62,15.38,15.6,2232,EUR,IBG,spain
2011-03-28,15.39,15.6,15.24,15.59,10345,EUR,IBG,spain
2011-03-29,15.24,15.88,15.24,15.86,2914,EUR,IBG,spain
2011-03-30,15.91,15.91,15.51,15.86,1474,EUR,IBG,spain
2011-03-31,15.77,15.92,15.34,15.9,1179,EUR,IBG,spain
2011-04-01,15.68,15.88,15.35,15.55,9723,EUR,IBG,spain
2011-04-04,15.51,15.55,15.51,15.54,5599,EUR,IBG,spain
2011-04-05,15.51,15.51,15.41,15.51,9713,EUR,IBG,spain
2011-04-06,15.51,15.51,15.41,15.51,2697,EUR,IBG,spain
2011-04-07,15.51,15.51,15.51,15.51,1755,EUR,IBG,spain
2011-04-08,15.41,15.51,15.41,15.51,1331,EUR,IBG,spain
2011-04-11,15.51,15.51,15.51,15.51,509,EUR,IBG,spain
2011-04-12,15.51,15.51,15.41,15.51,502,EUR,IBG,spain
2011-04-13,15.51,15.51,15.41,15.51,344,EUR,IBG,spain
2011-04-14,15.51,15.51,15.51,15.51,2349,EUR,IBG,spain
2011-04-15,15.51,15.51,15.1,15.51,2874,EUR,IBG,spain
2011-04-18,15.51,15.51,15.26,15.41,2733,EUR,IBG,spain
2011-04-19,15.41,15.41,15.41,15.41,12405,EUR,IBG,spain
2011-04-20,15.41,15.41,15.41,15.41,4960,EUR,IBG,spain
2011-04-21,15.31,15.38,14.9,15.31,7022,EUR,IBG,spain
2011-04-26,15.41,15.46,15.4,15.44,4970,EUR,IBG,spain
2011-04-27,15.44,15.46,15.31,15.44,454,EUR,IBG,spain
2011-04-28,15.46,15.51,15.31,15.51,985,EUR,IBG,spain
2011-04-29,15.51,15.51,15.32,15.51,524,EUR,IBG,spain
2011-05-02,15.51,15.51,15.47,15.47,1090,EUR,IBG,spain
2011-05-03,15.51,16.55,15.51,16.31,17882,EUR,IBG,spain
2011-05-04,16.04,16.08,15.64,15.93,1717,EUR,IBG,spain
2011-05-05,16.03,16.08,15.73,15.77,2461,EUR,IBG,spain
2011-05-06,15.73,16.29,15.73,16.08,6229,EUR,IBG,spain
2011-05-09,16.43,16.43,16.07,16.07,2765,EUR,IBG,spain
2011-05-10,15.84,16.41,15.74,16.24,4677,EUR,IBG,spain
2011-05-11,16.42,16.54,16.42,16.45,1228,EUR,IBG,spain
2011-05-12,16.04,16.54,16.04,16.41,926,EUR,IBG,spain
2011-05-13,16.55,16.56,16.45,16.55,2173,EUR,IBG,spain
2011-05-16,16.5,16.5,16.25,16.45,676,EUR,IBG,spain
2011-05-17,16.81,16.81,16.08,16.21,3582,EUR,IBG,spain
2011-05-18,16.45,16.45,16.03,16.45,2610,EUR,IBG,spain
