Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-01-25,3.35,3.38,3.19,3.21,8203618,EUR,ICAG,spain
2011-01-26,3.21,3.25,3.16,3.17,9991524,EUR,ICAG,spain
2011-01-27,3.2,3.24,3.13,3.13,9059611,EUR,ICAG,spain
2011-01-28,3.1,3.13,3.03,3.04,25346760,EUR,ICAG,spain
2011-01-31,3.0,3.03,2.91,3.0,4537786,EUR,ICAG,spain
2011-02-01,3.02,3.1,3.0,3.04,4058627,EUR,ICAG,spain
2011-02-02,3.15,3.15,2.93,3.03,12634905,EUR,ICAG,spain
2011-02-03,3.09,3.09,2.96,3.08,3140921,EUR,ICAG,spain
2011-02-04,3.08,3.11,3.02,3.06,18938528,EUR,ICAG,spain
2011-02-07,3.1,3.22,3.07,3.22,16986016,EUR,ICAG,spain
2011-02-08,3.18,3.21,3.13,3.15,10722544,EUR,ICAG,spain
2011-02-09,3.16,3.17,3.04,3.04,2403653,EUR,ICAG,spain
2011-02-10,3.0,3.0,2.86,2.96,5890002,EUR,ICAG,spain
2011-02-11,2.98,2.98,2.89,2.93,14059141,EUR,ICAG,spain
2011-02-14,2.99,2.99,2.88,2.91,3809094,EUR,ICAG,spain
2011-02-15,2.91,2.96,2.87,2.96,1762208,EUR,ICAG,spain
2011-02-16,2.98,3.03,2.96,3.03,2819883,EUR,ICAG,spain
2011-02-17,3.02,3.03,2.97,2.98,2015723,EUR,ICAG,spain
2011-02-18,2.97,3.01,2.94,2.94,1467370,EUR,ICAG,spain
2011-02-21,2.97,2.97,2.85,2.86,3186962,EUR,ICAG,spain
2011-02-22,2.81,2.83,2.72,2.81,3696711,EUR,ICAG,spain
2011-02-23,2.76,2.81,2.73,2.75,2574382,EUR,ICAG,spain
2011-02-24,2.71,2.71,2.62,2.65,4238500,EUR,ICAG,spain
2011-02-25,2.64,2.73,2.62,2.62,25822508,EUR,ICAG,spain
2011-02-28,2.67,2.67,2.61,2.64,4779245,EUR,ICAG,spain
2011-03-01,2.65,2.72,2.61,2.65,2710113,EUR,ICAG,spain
2011-03-02,2.63,2.7,2.58,2.66,2495108,EUR,ICAG,spain
2011-03-03,2.7,2.74,2.67,2.71,1844433,EUR,ICAG,spain
2011-03-04,2.68,2.75,2.62,2.62,1865337,EUR,ICAG,spain
2011-03-07,2.65,2.71,2.61,2.66,1538654,EUR,ICAG,spain
