Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,15.61,15.64,15.54,15.64,0,EUR,IDR,spain
2009-02-12,15.52,15.59,15.01,15.01,0,EUR,IDR,spain
2009-02-13,15.3,15.53,15.28,15.53,0,EUR,IDR,spain
2009-02-16,15.44,15.63,15.4,15.63,0,EUR,IDR,spain
2009-02-17,15.43,15.65,15.28,15.28,0,EUR,IDR,spain
2009-02-18,15.39,15.69,15.07,15.69,0,EUR,IDR,spain
2009-02-19,15.54,15.62,15.12,15.12,0,EUR,IDR,spain
2009-02-20,15.05,15.15,14.28,14.28,0,EUR,IDR,spain
2009-02-25,14.39,14.4,13.87,13.87,0,EUR,IDR,spain
2009-02-26,14.14,14.26,14.0,14.0,0,EUR,IDR,spain
2009-02-27,14.02,14.47,14.0,14.47,0,EUR,IDR,spain
2009-03-06,14.19,14.19,13.75,13.75,0,EUR,IDR,spain
2009-03-09,14.05,14.15,13.93,14.15,0,EUR,IDR,spain
2009-03-10,14.11,14.39,13.77,13.77,0,EUR,IDR,spain
2009-03-11,14.03,14.14,13.87,13.87,0,EUR,IDR,spain
2009-03-12,13.95,14.28,13.83,14.28,0,EUR,IDR,spain
2009-03-13,14.22,14.55,14.02,14.02,0,EUR,IDR,spain
2009-03-16,14.49,14.49,14.11,14.11,0,EUR,IDR,spain
2009-03-17,14.28,14.71,14.28,14.71,0,EUR,IDR,spain
2009-03-18,14.62,14.79,14.5,14.79,0,EUR,IDR,spain
2009-03-19,14.71,14.78,14.61,14.61,0,EUR,IDR,spain
2009-03-20,14.65,14.7,14.31,14.31,0,EUR,IDR,spain
2009-04-01,14.31,14.58,14.29,14.29,0,EUR,IDR,spain
2009-04-02,14.64,14.86,14.45,14.86,0,EUR,IDR,spain
2009-04-03,14.8,14.97,14.71,14.71,0,EUR,IDR,spain
2009-04-06,14.91,14.99,14.37,14.37,0,EUR,IDR,spain
2009-04-07,14.65,14.74,14.4,14.4,0,EUR,IDR,spain
2009-04-08,14.35,14.68,14.3,14.68,0,EUR,IDR,spain
2009-04-09,14.56,14.72,14.47,14.72,0,EUR,IDR,spain
2009-04-16,14.37,14.37,14.08,14.08,0,EUR,IDR,spain
2009-04-17,14.14,14.53,14.14,14.53,0,EUR,IDR,spain
2009-04-20,14.3,14.43,14.13,14.13,0,EUR,IDR,spain
2009-04-21,14.28,14.37,13.25,13.25,0,EUR,IDR,spain
2009-04-22,13.6,14.35,13.6,14.35,0,EUR,IDR,spain
2009-04-23,14.32,14.47,14.15,14.47,0,EUR,IDR,spain
2009-04-24,14.28,14.38,14.22,14.38,0,EUR,IDR,spain
2009-04-27,14.12,14.38,14.11,14.38,0,EUR,IDR,spain
2009-04-28,14.06,14.37,13.92,14.37,0,EUR,IDR,spain
2009-04-29,14.34,14.72,14.0,14.72,0,EUR,IDR,spain
2009-04-30,14.86,15.23,14.85,15.23,0,EUR,IDR,spain
2009-05-05,15.4,15.4,15.11,15.11,0,EUR,IDR,spain
