Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-07-12,0.84,0.84,0.84,0.84,6530,EUR,IFFE,spain
2019-02-06,0.84,0.84,0.84,0.84,4000,EUR,IFFE,spain
2019-03-06,1.67,2.0,1.67,2.0,638,EUR,IFFE,spain
2019-03-08,1.9,1.99,1.9,1.9,650,EUR,IFFE,spain
2019-03-12,1.95,2.0,1.95,2.0,12157,EUR,IFFE,spain
2019-03-13,1.9,1.9,1.9,1.9,1060,EUR,IFFE,spain
2019-03-20,1.84,1.84,1.84,1.9,7550,EUR,IFFE,spain
2019-03-25,1.86,1.86,1.86,1.86,20000,EUR,IFFE,spain
2019-04-02,1.83,1.83,1.83,1.86,50,EUR,IFFE,spain
2019-04-10,1.86,1.86,1.86,1.86,2500,EUR,IFFE,spain
2019-05-22,1.86,1.86,1.86,1.86,10,EUR,IFFE,spain
2019-07-25,1.94,1.94,1.94,1.94,1009,EUR,IFFE,spain
2019-07-26,1.95,1.95,1.95,1.94,57,EUR,IFFE,spain
2019-08-15,2.0,2.0,2.0,2.0,300,EUR,IFFE,spain
2019-08-22,1.95,1.99,1.95,1.99,2701,EUR,IFFE,spain
2019-08-26,1.98,1.98,1.98,1.99,14,EUR,IFFE,spain
2019-09-16,1.95,1.95,1.95,1.99,65,EUR,IFFE,spain
2020-01-16,1.85,1.85,1.85,1.85,200,EUR,IFFE,spain
2020-07-03,1.8,1.8,1.8,1.85,10,EUR,IFFE,spain
2020-07-06,1.8,1.8,1.8,1.85,10,EUR,IFFE,spain
2020-07-20,1.75,1.75,1.75,1.85,10,EUR,IFFE,spain
2020-07-27,1.75,1.75,1.75,1.85,60,EUR,IFFE,spain
2020-08-10,1.75,1.75,1.75,1.85,10,EUR,IFFE,spain
2020-09-03,1.75,1.75,1.75,1.85,25,EUR,IFFE,spain
2020-10-15,1.75,1.75,1.75,1.85,75,EUR,IFFE,spain
2020-10-27,1.75,1.75,1.75,1.85,10,EUR,IFFE,spain
2020-11-09,1.7,1.7,1.7,1.85,15,EUR,IFFE,spain
2020-11-30,1.7,1.7,1.7,1.85,25,EUR,IFFE,spain
2020-12-16,1.7,1.7,1.7,1.7,3650,EUR,IFFE,spain
2020-12-24,1.7,1.7,1.7,1.7,50,EUR,IFFE,spain
2021-01-07,1.6,1.6,1.6,1.7,25,EUR,IFFE,spain
2021-01-11,1.65,1.65,1.65,1.7,126,EUR,IFFE,spain
2021-02-04,1.62,1.62,1.62,1.62,250,EUR,IFFE,spain
2021-02-05,1.5,1.5,1.36,1.36,6000,EUR,IFFE,spain
2021-02-08,1.24,1.24,1.24,1.24,0,EUR,IFFE,spain
