Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-12-24,0.81,0.81,0.81,0.81,1036,EUR,IKM,spain
2012-12-27,0.81,0.81,0.81,0.81,43438,EUR,IKM,spain
2012-12-28,0.81,0.81,0.81,0.81,25856,EUR,IKM,spain
2013-01-02,0.81,0.81,0.81,0.81,7757,EUR,IKM,spain
2013-01-03,0.81,0.81,0.81,0.81,3620,EUR,IKM,spain
2013-01-08,0.81,0.81,0.81,0.81,45247,EUR,IKM,spain
2013-01-09,0.81,0.81,0.81,0.81,3620,EUR,IKM,spain
2013-01-11,0.81,0.81,0.81,0.81,9825,EUR,IKM,spain
2013-01-14,0.81,0.81,0.81,0.81,10859,EUR,IKM,spain
2013-01-15,0.81,0.81,0.81,0.81,25856,EUR,IKM,spain
2013-01-16,0.81,0.81,0.81,0.81,19288,EUR,IKM,spain
2013-01-17,0.81,0.81,0.81,0.81,20685,EUR,IKM,spain
2013-01-18,0.81,0.81,0.81,0.81,12928,EUR,IKM,spain
2013-01-21,0.81,0.81,0.81,0.81,22029,EUR,IKM,spain
2013-01-22,0.81,0.81,0.81,0.81,23270,EUR,IKM,spain
2013-01-23,0.81,0.81,0.81,0.81,20374,EUR,IKM,spain
2013-01-24,0.81,0.81,0.81,0.81,22029,EUR,IKM,spain
2013-01-25,0.81,0.81,0.81,0.81,19392,EUR,IKM,spain
2013-01-28,0.81,0.81,0.81,0.81,30613,EUR,IKM,spain
2013-01-29,0.81,0.81,0.81,0.81,21512,EUR,IKM,spain
2013-01-30,0.81,0.81,0.81,0.81,33302,EUR,IKM,spain
2013-01-31,0.81,0.81,0.81,0.81,25856,EUR,IKM,spain
2013-02-01,0.81,0.81,0.81,0.81,10368,EUR,IKM,spain
2013-02-04,0.81,0.81,0.81,0.81,21202,EUR,IKM,spain
2013-02-05,0.81,0.81,0.81,0.81,12928,EUR,IKM,spain
2013-02-06,0.81,0.81,0.81,0.81,25028,EUR,IKM,spain
2013-02-07,0.81,0.81,0.81,0.81,23270,EUR,IKM,spain
2013-02-08,0.81,0.81,0.81,0.81,24149,EUR,IKM,spain
2013-02-11,0.81,0.81,0.81,0.81,22494,EUR,IKM,spain
2013-02-12,0.81,0.81,0.81,0.81,28441,EUR,IKM,spain
2013-02-13,0.81,0.81,0.81,0.81,41886,EUR,IKM,spain
2013-02-14,0.81,0.81,0.81,0.81,38784,EUR,IKM,spain
2013-02-15,0.81,0.81,0.81,0.81,24563,EUR,IKM,spain
2013-02-18,0.81,0.81,0.81,0.81,22494,EUR,IKM,spain
2013-02-19,0.81,0.81,0.81,0.81,29734,EUR,IKM,spain
2013-02-20,0.81,0.81,0.81,0.81,36715,EUR,IKM,spain
2013-02-21,0.81,0.81,0.81,0.81,16031,EUR,IKM,spain
2013-02-22,0.81,0.81,0.81,0.81,24821,EUR,IKM,spain
2013-02-25,0.81,0.81,0.81,0.81,22494,EUR,IKM,spain
2013-02-27,0.81,0.83,0.81,0.83,41886,EUR,IKM,spain
2013-02-28,0.83,0.83,0.83,0.83,19392,EUR,IKM,spain
2013-03-01,0.83,0.83,0.83,0.83,27149,EUR,IKM,spain
2013-03-04,0.83,0.83,0.83,0.83,26890,EUR,IKM,spain
2013-03-05,0.83,0.83,0.83,0.83,23527,EUR,IKM,spain
2013-03-06,0.83,0.85,0.83,0.85,21202,EUR,IKM,spain
2013-03-07,0.83,0.83,0.83,0.83,24821,EUR,IKM,spain
2013-03-08,0.83,0.83,0.83,0.83,28958,EUR,IKM,spain
2013-03-11,0.83,0.83,0.83,0.83,3103,EUR,IKM,spain
2013-03-12,0.85,0.85,0.83,0.83,32165,EUR,IKM,spain
