Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,32.01,32.35,32.0,32.35,0,EUR,ITX,spain
2009-02-12,31.86,31.95,30.23,30.23,0,EUR,ITX,spain
2009-02-13,31.25,31.94,31.1,31.94,0,EUR,ITX,spain
2009-02-16,31.39,31.57,30.85,30.85,0,EUR,ITX,spain
2009-02-17,31.22,31.4,29.5,29.5,0,EUR,ITX,spain
2009-02-18,30.0,30.28,29.47,29.47,0,EUR,ITX,spain
2009-02-19,29.8,30.76,29.7,30.76,0,EUR,ITX,spain
2009-02-20,29.75,30.0,29.1,29.1,0,EUR,ITX,spain
2009-02-25,29.88,30.03,28.82,28.82,0,EUR,ITX,spain
2009-02-26,29.19,29.83,29.02,29.83,0,EUR,ITX,spain
2009-02-27,29.16,30.13,28.93,30.13,0,EUR,ITX,spain
2009-03-06,25.15,25.44,24.04,24.04,0,EUR,ITX,spain
2009-03-09,24.5,24.59,24.14,24.14,0,EUR,ITX,spain
2009-03-10,25.0,25.52,24.27,25.52,0,EUR,ITX,spain
2009-03-11,25.24,26.28,25.05,26.28,0,EUR,ITX,spain
2009-03-12,26.19,26.19,25.21,25.21,0,EUR,ITX,spain
2009-03-13,26.3,26.7,25.51,25.51,0,EUR,ITX,spain
2009-03-16,26.18,26.34,25.63,26.34,0,EUR,ITX,spain
2009-03-17,25.91,26.6,25.86,26.6,0,EUR,ITX,spain
2009-03-18,26.8,27.48,26.62,26.62,0,EUR,ITX,spain
2009-03-19,27.25,28.9,26.8,28.9,0,EUR,ITX,spain
2009-03-20,26.95,27.69,26.52,27.69,0,EUR,ITX,spain
2009-04-01,30.02,30.68,30.02,30.68,0,EUR,ITX,spain
2009-04-02,31.02,33.0,31.02,33.0,0,EUR,ITX,spain
2009-04-03,31.96,32.64,31.71,32.64,0,EUR,ITX,spain
2009-04-06,32.51,32.71,30.96,30.96,0,EUR,ITX,spain
2009-04-07,32.02,32.19,31.0,31.0,0,EUR,ITX,spain
2009-04-08,31.1,31.99,30.97,31.99,0,EUR,ITX,spain
2009-04-09,31.82,32.88,31.69,32.88,0,EUR,ITX,spain
2009-04-16,32.84,33.61,32.66,32.66,0,EUR,ITX,spain
2009-04-17,32.15,33.17,31.27,33.17,0,EUR,ITX,spain
2009-04-20,32.53,32.74,31.35,31.35,0,EUR,ITX,spain
2009-04-21,30.86,31.97,30.86,31.97,0,EUR,ITX,spain
2009-04-22,31.43,33.63,31.22,33.63,0,EUR,ITX,spain
2009-04-23,33.18,33.82,32.91,33.82,0,EUR,ITX,spain
2009-04-24,33.35,33.35,32.5,32.5,0,EUR,ITX,spain
2009-04-27,31.97,32.59,31.86,32.59,0,EUR,ITX,spain
2009-04-28,31.95,32.01,31.15,32.01,0,EUR,ITX,spain
2009-04-29,32.0,32.5,32.0,32.5,0,EUR,ITX,spain
2009-04-30,32.67,32.93,32.13,32.93,0,EUR,ITX,spain
2009-05-05,32.81,33.08,32.45,33.08,0,EUR,ITX,spain
2009-05-06,33.4,33.4,32.7,32.7,0,EUR,ITX,spain
2009-05-07,33.03,33.5,31.91,31.91,0,EUR,ITX,spain
2009-05-08,32.12,33.47,32.12,33.47,0,EUR,ITX,spain
2009-05-14,32.85,33.25,32.51,33.25,0,EUR,ITX,spain
2009-05-15,33.0,33.28,32.43,32.43,0,EUR,ITX,spain
2009-05-18,31.95,32.31,31.44,31.44,0,EUR,ITX,spain
2009-05-19,31.84,32.37,31.53,32.37,0,EUR,ITX,spain
2009-05-20,32.0,32.15,31.55,32.15,0,EUR,ITX,spain
2009-05-21,31.5,31.83,31.0,31.0,0,EUR,ITX,spain
2009-05-22,31.21,31.42,30.7,30.7,0,EUR,ITX,spain
2009-05-25,31.11,31.37,30.84,31.37,0,EUR,ITX,spain
2009-05-26,30.92,31.57,30.45,31.57,0,EUR,ITX,spain
2009-05-27,31.62,31.83,31.2,31.2,0,EUR,ITX,spain
2009-05-28,31.44,31.52,30.88,30.88,0,EUR,ITX,spain
2009-05-29,31.23,31.52,31.02,31.52,0,EUR,ITX,spain
2009-06-02,32.14,33.07,32.09,33.07,0,EUR,ITX,spain
2009-06-03,33.07,33.21,31.69,31.69,0,EUR,ITX,spain
2009-06-04,32.16,32.87,31.72,31.72,0,EUR,ITX,spain
2009-06-05,32.06,33.28,32.06,33.28,0,EUR,ITX,spain
2009-06-11,34.87,35.69,34.8,35.69,0,EUR,ITX,spain
2009-06-12,35.7,35.7,34.85,34.85,0,EUR,ITX,spain
2009-06-15,33.98,34.48,33.85,34.48,0,EUR,ITX,spain
2009-06-16,34.05,34.58,33.92,33.92,0,EUR,ITX,spain
2009-06-17,33.93,34.09,33.84,33.84,0,EUR,ITX,spain
2009-06-18,34.0,34.17,33.2,33.2,0,EUR,ITX,spain
2009-06-19,33.23,33.88,32.91,33.88,0,EUR,ITX,spain
2009-06-24,32.5,33.78,32.33,33.78,0,EUR,ITX,spain
2009-06-25,33.5,33.99,33.01,33.01,0,EUR,ITX,spain
2009-06-26,33.84,34.26,33.26,33.26,0,EUR,ITX,spain
2009-07-02,34.72,34.8,33.7,33.7,0,EUR,ITX,spain
2009-07-03,33.85,34.14,33.32,33.32,0,EUR,ITX,spain
2009-07-06,33.04,33.34,32.9,33.34,0,EUR,ITX,spain
2009-07-07,32.3,33.45,32.25,33.45,0,EUR,ITX,spain
2009-07-08,33.0,33.57,32.67,33.57,0,EUR,ITX,spain
2009-07-09,33.33,33.78,33.24,33.39,0,EUR,ITX,spain
2009-07-10,33.6,33.6,33.06,33.13,0,EUR,ITX,spain
2009-07-13,32.93,33.53,32.57,33.27,0,EUR,ITX,spain
2009-07-14,33.66,33.95,33.3,33.7,0,EUR,ITX,spain
2009-07-15,33.7,34.15,33.5,34.11,0,EUR,ITX,spain
2009-07-16,34.08,35.55,34.0,34.8,0,EUR,ITX,spain
2009-07-17,34.94,34.99,34.59,34.69,0,EUR,ITX,spain
2009-07-20,34.8,35.71,34.51,35.71,0,EUR,ITX,spain
2009-07-21,35.7,37.03,35.44,36.92,0,EUR,ITX,spain
2009-07-22,36.75,36.82,36.1,36.65,0,EUR,ITX,spain
2009-07-23,36.85,37.85,36.39,37.62,0,EUR,ITX,spain
2009-07-24,37.78,38.42,37.6,38.13,0,EUR,ITX,spain
2009-07-28,37.43,37.83,37.09,37.09,0,EUR,ITX,spain
2009-07-29,36.98,37.13,36.59,36.8,0,EUR,ITX,spain
2009-07-30,37.17,38.18,36.97,37.8,0,EUR,ITX,spain
2009-07-31,37.58,38.19,37.12,37.41,0,EUR,ITX,spain
2009-08-03,37.7,39.39,37.65,38.47,0,EUR,ITX,spain
2009-08-04,38.31,38.74,37.62,38.33,0,EUR,ITX,spain
2009-08-05,38.35,38.63,37.56,37.56,0,EUR,ITX,spain
2009-08-06,38.47,38.49,37.72,37.76,0,EUR,ITX,spain
