Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2013-05-17,0.458,0.481,0.417,0.417,8625060,EUR,LBK,spain
2013-05-20,0.425,0.437,0.374,0.393,1749770,EUR,LBK,spain
2013-05-21,0.398,0.404,0.378,0.403,4369150,EUR,LBK,spain
2013-05-22,0.403,0.416,0.387,0.416,1199200,EUR,LBK,spain
2013-05-23,0.415,0.416,0.398,0.416,1861200,EUR,LBK,spain
2013-05-24,0.413,0.441,0.413,0.416,936440,EUR,LBK,spain
2013-05-27,0.416,0.437,0.416,0.424,761710,EUR,LBK,spain
2013-05-28,0.419,0.424,0.412,0.416,466020,EUR,LBK,spain
2013-05-29,0.417,0.417,0.4,0.416,1024860,EUR,LBK,spain
2013-05-30,0.412,0.42,0.407,0.412,1004290,EUR,LBK,spain
2013-05-31,0.412,0.42,0.41,0.416,1225400,EUR,LBK,spain
2013-06-03,0.412,0.416,0.412,0.416,846960,EUR,LBK,spain
2013-06-04,0.413,0.424,0.413,0.422,600460,EUR,LBK,spain
2013-06-05,0.416,0.422,0.416,0.416,141070,EUR,LBK,spain
2013-06-06,0.416,0.422,0.416,0.416,481860,EUR,LBK,spain
2013-06-07,0.416,0.422,0.416,0.417,113950,EUR,LBK,spain
2013-06-10,0.416,0.421,0.416,0.416,360670,EUR,LBK,spain
2013-06-11,0.421,0.421,0.416,0.416,357640,EUR,LBK,spain
2013-06-12,0.42,0.42,0.416,0.416,327280,EUR,LBK,spain
2013-06-13,0.416,0.416,0.416,0.416,288210,EUR,LBK,spain
2013-06-14,0.416,0.416,0.416,0.416,397080,EUR,LBK,spain
2013-06-17,0.416,0.418,0.416,0.416,254560,EUR,LBK,spain
2013-06-18,0.416,0.417,0.416,0.417,633070,EUR,LBK,spain
2013-06-19,0.417,0.418,0.414,0.414,1025380,EUR,LBK,spain
2013-06-20,0.415,0.417,0.415,0.415,146230,EUR,LBK,spain
2013-06-21,0.416,0.417,0.4,0.404,1219430,EUR,LBK,spain
2013-06-24,0.403,0.412,0.395,0.395,757990,EUR,LBK,spain
2013-06-25,0.395,0.399,0.38,0.391,1038050,EUR,LBK,spain
2013-06-26,0.391,0.396,0.391,0.396,121450,EUR,LBK,spain
2013-06-27,0.391,0.396,0.391,0.396,40080,EUR,LBK,spain
2013-06-28,0.396,0.396,0.383,0.383,1453210,EUR,LBK,spain
2013-07-01,0.383,0.395,0.383,0.383,66260,EUR,LBK,spain
2013-07-02,0.383,0.383,0.383,0.383,12290,EUR,LBK,spain
2013-07-03,0.393,0.393,0.383,0.383,18240,EUR,LBK,spain
2013-07-04,0.391,0.393,0.383,0.383,782310,EUR,LBK,spain
2013-07-05,0.383,0.387,0.375,0.375,409880,EUR,LBK,spain
2013-07-08,0.383,0.383,0.375,0.379,908100,EUR,LBK,spain
2013-07-09,0.379,0.379,0.378,0.378,33070,EUR,LBK,spain
2013-07-10,0.378,0.378,0.375,0.375,233050,EUR,LBK,spain
2013-07-11,0.376,0.377,0.375,0.375,58910,EUR,LBK,spain
2013-07-12,0.381,0.381,0.368,0.374,613560,EUR,LBK,spain
2013-07-15,0.368,0.368,0.368,0.368,1680,EUR,LBK,spain
2013-07-16,0.374,0.374,0.373,0.373,99890,EUR,LBK,spain
2013-07-17,0.373,0.373,0.37,0.373,6710,EUR,LBK,spain
2013-07-18,0.373,0.374,0.366,0.374,101350,EUR,LBK,spain
2013-07-19,0.374,0.374,0.362,0.374,185370,EUR,LBK,spain
2013-07-22,0.374,0.374,0.362,0.366,118720,EUR,LBK,spain
2013-07-23,0.366,0.372,0.362,0.366,99110,EUR,LBK,spain
2013-07-24,0.366,0.366,0.362,0.362,58060,EUR,LBK,spain
2013-07-25,0.366,0.37,0.362,0.366,3194740,EUR,LBK,spain
2013-07-26,0.366,0.383,0.366,0.374,151440,EUR,LBK,spain
2013-07-29,0.374,0.378,0.368,0.368,1105760,EUR,LBK,spain
2013-07-30,0.362,0.374,0.362,0.374,220560,EUR,LBK,spain
2013-07-31,0.374,0.374,0.366,0.37,15010,EUR,LBK,spain
2013-08-01,0.374,0.374,0.365,0.37,196340,EUR,LBK,spain
2013-08-02,0.372,0.373,0.366,0.366,107010,EUR,LBK,spain
2013-08-05,0.37,0.374,0.366,0.374,164910,EUR,LBK,spain
2013-08-06,0.374,0.374,0.372,0.374,264020,EUR,LBK,spain
2013-08-07,0.373,0.373,0.366,0.373,56330,EUR,LBK,spain
2013-08-08,0.373,0.374,0.373,0.374,116780,EUR,LBK,spain
2013-08-09,0.374,0.377,0.373,0.374,866010,EUR,LBK,spain
2013-08-12,0.375,0.377,0.374,0.374,516570,EUR,LBK,spain
2013-08-13,0.377,0.377,0.373,0.374,493750,EUR,LBK,spain
2013-08-14,0.391,0.407,0.376,0.391,4220650,EUR,LBK,spain
2013-08-15,0.391,0.391,0.384,0.384,1009350,EUR,LBK,spain
2013-08-16,0.389,0.389,0.384,0.384,572120,EUR,LBK,spain
2013-08-19,0.395,0.395,0.38,0.382,366860,EUR,LBK,spain
2013-08-20,0.383,0.384,0.362,0.37,544720,EUR,LBK,spain
2013-08-21,0.371,0.371,0.362,0.366,351870,EUR,LBK,spain
2013-08-22,0.366,0.378,0.362,0.362,1112510,EUR,LBK,spain
2013-08-23,0.364,0.373,0.364,0.369,34390,EUR,LBK,spain
2013-08-26,0.374,0.374,0.367,0.37,457330,EUR,LBK,spain
2013-08-27,0.369,0.369,0.366,0.366,967200,EUR,LBK,spain
2013-08-28,0.369,0.37,0.362,0.37,296450,EUR,LBK,spain
2013-08-29,0.37,0.373,0.365,0.366,69970,EUR,LBK,spain
2013-08-30,0.366,0.37,0.366,0.369,7580,EUR,LBK,spain
2013-09-02,0.365,0.369,0.363,0.369,114130,EUR,LBK,spain
2013-09-03,0.369,0.374,0.363,0.37,281740,EUR,LBK,spain
2013-09-04,0.374,0.374,0.372,0.372,181810,EUR,LBK,spain
2013-09-05,0.372,0.378,0.372,0.372,977210,EUR,LBK,spain
2013-09-06,0.366,0.369,0.364,0.369,279900,EUR,LBK,spain
2013-09-09,0.367,0.37,0.366,0.366,34100,EUR,LBK,spain
2013-09-10,0.369,0.374,0.367,0.37,1872100,EUR,LBK,spain
2013-09-11,0.373,0.378,0.372,0.374,532300,EUR,LBK,spain
2013-09-12,0.378,0.406,0.374,0.391,4076800,EUR,LBK,spain
2013-09-13,0.395,0.395,0.387,0.39,815500,EUR,LBK,spain
2013-09-16,0.394,0.407,0.394,0.404,2423600,EUR,LBK,spain
2013-09-17,0.407,0.411,0.397,0.402,619700,EUR,LBK,spain
2013-09-18,0.403,0.403,0.393,0.393,786000,EUR,LBK,spain
2013-09-19,0.396,0.46,0.396,0.431,5823500,EUR,LBK,spain
2013-09-20,0.435,0.452,0.427,0.428,2415400,EUR,LBK,spain
2013-09-23,0.431,0.435,0.415,0.423,1020000,EUR,LBK,spain
2013-09-24,0.427,0.439,0.42,0.439,788700,EUR,LBK,spain
2013-09-25,0.436,0.436,0.423,0.427,621400,EUR,LBK,spain
