Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-10,3.36,3.44,3.36,3.37,1691,EUR,LGT,spain
2010-11-11,3.36,3.45,3.35,3.45,1149,EUR,LGT,spain
2010-11-12,3.4,3.4,3.3,3.3,9084,EUR,LGT,spain
2010-11-15,3.44,3.45,3.25,3.45,2998,EUR,LGT,spain
2010-11-16,3.31,3.45,3.31,3.45,602,EUR,LGT,spain
2010-11-17,3.3,3.45,3.3,3.44,3105,EUR,LGT,spain
2010-11-18,3.33,3.43,3.25,3.4,12274,EUR,LGT,spain
2010-11-19,3.42,3.42,3.3,3.41,2120,EUR,LGT,spain
2010-11-22,3.41,3.41,3.41,3.41,0,EUR,LGT,spain
2010-11-23,3.3,3.3,3.3,3.3,1000,EUR,LGT,spain
2010-11-24,3.2,3.2,3.15,3.2,501,EUR,LGT,spain
2010-11-25,3.21,3.4,3.21,3.38,4651,EUR,LGT,spain
2010-11-26,3.16,3.16,3.16,3.38,1,EUR,LGT,spain
2010-11-29,3.21,3.4,3.18,3.38,5432,EUR,LGT,spain
2010-11-30,3.2,3.2,3.2,3.38,24,EUR,LGT,spain
2010-12-01,3.23,3.37,3.15,3.24,4962,EUR,LGT,spain
2010-12-02,3.2,3.3,3.2,3.3,4853,EUR,LGT,spain
2010-12-03,3.17,3.3,3.17,3.3,4861,EUR,LGT,spain
2010-12-06,3.18,3.29,3.18,3.2,1630,EUR,LGT,spain
2010-12-07,3.29,3.29,3.18,3.18,806,EUR,LGT,spain
2010-12-08,3.18,3.18,3.18,3.18,0,EUR,LGT,spain
2010-12-09,3.3,3.3,3.3,3.3,1400,EUR,LGT,spain
2010-12-10,3.34,3.34,3.25,3.25,2920,EUR,LGT,spain
2010-12-13,3.3,3.3,3.18,3.25,6400,EUR,LGT,spain
2010-12-14,3.25,3.3,3.25,3.3,2100,EUR,LGT,spain
2010-12-15,3.3,3.43,3.3,3.3,8847,EUR,LGT,spain
2010-12-16,3.42,3.42,3.35,3.41,4340,EUR,LGT,spain
2010-12-17,3.41,3.41,3.41,3.41,0,EUR,LGT,spain
2010-12-20,3.39,3.39,3.24,3.39,1764,EUR,LGT,spain
2010-12-21,3.35,3.35,3.35,3.35,2000,EUR,LGT,spain
2010-12-22,3.35,3.35,3.35,3.35,0,EUR,LGT,spain
2010-12-23,3.4,3.4,3.4,3.35,80,EUR,LGT,spain
2010-12-27,3.27,3.3,3.27,3.27,3979,EUR,LGT,spain
2010-12-28,3.29,3.34,3.27,3.34,1551,EUR,LGT,spain
2010-12-29,3.3,3.3,3.27,3.27,1481,EUR,LGT,spain
2010-12-30,3.27,3.42,3.27,3.34,6398,EUR,LGT,spain
2011-01-03,3.33,3.33,3.33,3.34,328,EUR,LGT,spain
2011-01-04,3.33,3.4,3.3,3.3,1892,EUR,LGT,spain
2011-01-05,3.23,3.38,3.23,3.38,865,EUR,LGT,spain
2011-01-06,3.38,3.38,3.38,3.38,0,EUR,LGT,spain
2011-01-07,3.39,3.39,3.27,3.27,1882,EUR,LGT,spain
2011-01-10,3.23,3.35,3.03,3.33,5080,EUR,LGT,spain
2011-01-11,3.1,3.33,3.1,3.33,602,EUR,LGT,spain
2011-01-12,3.23,3.33,3.23,3.23,4839,EUR,LGT,spain
2011-01-13,3.33,3.33,3.24,3.24,2984,EUR,LGT,spain
2011-01-14,3.26,3.26,3.24,3.24,3075,EUR,LGT,spain
