Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-10-12,1.17,1.18,1.17,1.18,30616,EUR,LLN,spain
2015-10-13,1.17,1.17,1.14,1.14,40261,EUR,LLN,spain
2015-10-14,1.17,1.17,1.14,1.14,10146,EUR,LLN,spain
2015-10-15,1.14,1.17,1.14,1.17,8758,EUR,LLN,spain
2015-10-16,1.15,1.15,1.15,1.15,1792,EUR,LLN,spain
2015-10-20,1.14,1.14,1.14,1.14,2500,EUR,LLN,spain
2015-10-21,1.14,1.14,1.1,1.1,10567,EUR,LLN,spain
2015-10-22,1.1,1.1,1.07,1.07,8000,EUR,LLN,spain
2015-10-23,1.04,1.04,1.01,1.01,19718,EUR,LLN,spain
2015-10-26,1.04,1.04,1.04,1.04,13400,EUR,LLN,spain
2015-10-27,1.05,1.05,1.05,1.05,3000,EUR,LLN,spain
2015-10-28,1.05,1.05,1.05,1.05,1000,EUR,LLN,spain
2015-10-29,1.03,1.03,1.03,1.03,7000,EUR,LLN,spain
2015-10-30,1.04,1.04,1.04,1.04,1000,EUR,LLN,spain
2015-11-02,1.08,1.09,1.08,1.09,1000,EUR,LLN,spain
2015-11-03,1.09,1.09,1.09,1.09,362,EUR,LLN,spain
2015-11-04,1.09,1.09,1.09,1.09,6396,EUR,LLN,spain
2015-11-05,1.11,1.11,1.11,1.11,200,EUR,LLN,spain
2015-11-06,1.11,1.12,1.11,1.12,4250,EUR,LLN,spain
2015-11-09,1.12,1.12,1.12,1.12,1200,EUR,LLN,spain
2015-11-11,1.09,1.09,1.09,1.09,5593,EUR,LLN,spain
2015-11-12,1.09,1.09,1.09,1.09,21653,EUR,LLN,spain
2015-11-13,1.09,1.09,1.09,1.09,2458,EUR,LLN,spain
2015-11-16,1.08,1.08,1.08,1.08,2300,EUR,LLN,spain
2015-11-20,1.12,1.12,1.12,1.08,10,EUR,LLN,spain
2015-11-24,1.07,1.07,1.07,1.07,2360,EUR,LLN,spain
2015-11-25,1.05,1.05,1.01,1.01,12500,EUR,LLN,spain
2015-11-26,1.06,1.06,1.06,1.06,910,EUR,LLN,spain
2015-11-27,1.01,1.01,1.01,1.01,5000,EUR,LLN,spain
2015-11-30,1.01,1.01,1.01,1.01,1000,EUR,LLN,spain
2015-12-01,1.05,1.05,1.05,1.05,500,EUR,LLN,spain
2015-12-04,1.05,1.05,1.05,1.05,585,EUR,LLN,spain
2015-12-07,1.02,1.02,1.02,1.02,2500,EUR,LLN,spain
2015-12-08,1.02,1.02,1.02,1.02,1500,EUR,LLN,spain
2015-12-09,1.02,1.02,1.02,1.02,4000,EUR,LLN,spain
2015-12-10,1.05,1.05,1.05,1.05,500,EUR,LLN,spain
2015-12-11,1.02,1.02,1.02,1.02,2500,EUR,LLN,spain
2015-12-14,1.02,1.02,1.02,1.02,250,EUR,LLN,spain
2015-12-15,1.01,1.01,1.01,1.01,3300,EUR,LLN,spain
2015-12-16,1.01,1.01,1.01,1.01,4276,EUR,LLN,spain
2015-12-21,1.01,1.01,1.01,1.01,3724,EUR,LLN,spain
2015-12-22,0.96,1.0,0.96,1.0,9771,EUR,LLN,spain
2015-12-23,1.0,1.0,1.0,1.0,7500,EUR,LLN,spain
2015-12-24,0.99,0.99,0.99,0.99,500,EUR,LLN,spain
2015-12-28,0.99,0.99,0.99,0.99,2526,EUR,LLN,spain
2015-12-29,0.97,0.97,0.93,0.93,16082,EUR,LLN,spain
2015-12-31,0.97,0.97,0.97,0.97,500,EUR,LLN,spain
2016-01-04,0.94,0.94,0.9,0.9,6981,EUR,LLN,spain
2016-01-05,0.9,0.9,0.9,0.9,5560,EUR,LLN,spain
2016-01-06,0.9,0.9,0.9,0.9,5560,EUR,LLN,spain
2016-01-07,0.86,0.86,0.82,0.82,5895,EUR,LLN,spain
2016-01-08,0.86,0.86,0.86,0.86,5000,EUR,LLN,spain
2016-01-11,0.83,0.83,0.79,0.79,6180,EUR,LLN,spain
