Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-07-15,13.7,14.2,13.5,14.0,974112,EUR,LOG,spain
2014-07-16,14.0,14.05,13.73,14.0,383063,EUR,LOG,spain
2014-07-17,13.99,14.05,13.83,14.0,296034,EUR,LOG,spain
2014-07-18,13.94,14.29,13.64,14.29,183867,EUR,LOG,spain
2014-07-21,14.29,14.3,14.1,14.2,109614,EUR,LOG,spain
2014-07-22,14.29,14.29,13.95,14.15,70445,EUR,LOG,spain
2014-07-23,14.28,14.28,14.1,14.1,253449,EUR,LOG,spain
2014-07-24,14.05,14.25,14.05,14.15,21126,EUR,LOG,spain
2014-07-25,14.28,14.28,14.19,14.2,67875,EUR,LOG,spain
2014-07-28,14.29,14.29,14.01,14.15,66876,EUR,LOG,spain
2014-07-29,14.01,14.18,13.8,13.9,97060,EUR,LOG,spain
2014-07-30,14.2,14.2,12.82,13.9,170261,EUR,LOG,spain
2014-07-31,14.1,14.1,13.47,13.8,17964,EUR,LOG,spain
2014-08-01,13.7,14.0,13.51,14.0,60181,EUR,LOG,spain
2014-08-04,13.89,14.05,13.73,13.97,19969,EUR,LOG,spain
2014-08-05,13.97,14.09,13.65,13.65,40591,EUR,LOG,spain
2014-08-06,13.5,13.51,13.25,13.37,45711,EUR,LOG,spain
2014-08-07,13.49,13.49,13.16,13.16,28671,EUR,LOG,spain
2014-08-08,13.39,13.5,13.05,13.5,73462,EUR,LOG,spain
2014-08-11,13.4,13.4,13.11,13.4,3996,EUR,LOG,spain
2014-08-12,13.46,13.5,13.2,13.34,47739,EUR,LOG,spain
2014-08-13,13.49,13.6,13.12,13.3,64144,EUR,LOG,spain
2014-08-14,13.2,13.49,13.18,13.29,51928,EUR,LOG,spain
2014-08-15,13.21,13.39,13.21,13.3,25763,EUR,LOG,spain
2014-08-18,13.49,13.5,13.3,13.39,38316,EUR,LOG,spain
2014-08-19,13.49,13.77,13.06,13.06,59784,EUR,LOG,spain
2014-08-20,13.3,13.45,13.18,13.3,20913,EUR,LOG,spain
2014-08-21,13.27,13.45,13.25,13.39,23948,EUR,LOG,spain
2014-08-22,13.38,13.5,13.26,13.5,38175,EUR,LOG,spain
2014-08-25,13.5,13.64,13.3,13.64,22131,EUR,LOG,spain
2014-08-26,13.69,13.7,13.48,13.7,91408,EUR,LOG,spain
2014-08-27,13.7,13.7,13.39,13.5,182820,EUR,LOG,spain
2014-08-28,13.51,13.51,13.49,13.49,2589,EUR,LOG,spain
2014-08-29,13.58,13.59,13.51,13.51,14411,EUR,LOG,spain
2014-09-01,13.57,13.57,13.27,13.29,7677,EUR,LOG,spain
2014-09-02,13.38,13.8,13.37,13.41,15968,EUR,LOG,spain
2014-09-03,13.49,13.49,13.25,13.27,133350,EUR,LOG,spain
2014-09-04,13.22,13.8,13.22,13.51,604695,EUR,LOG,spain
2014-09-05,13.54,13.7,13.48,13.65,33847,EUR,LOG,spain
2014-09-08,13.64,14.12,13.54,14.11,214065,EUR,LOG,spain
2014-09-09,14.09,14.11,13.9,14.05,67732,EUR,LOG,spain
2014-09-10,14.12,14.2,13.89,14.2,118376,EUR,LOG,spain
2014-09-11,14.2,14.26,14.07,14.26,59987,EUR,LOG,spain
2014-09-12,14.29,14.29,14.2,14.2,70780,EUR,LOG,spain
2014-09-15,14.15,14.24,13.87,13.94,61832,EUR,LOG,spain
2014-09-16,14.18,14.18,13.68,13.8,123174,EUR,LOG,spain
2014-09-17,14.21,14.21,13.81,13.86,50774,EUR,LOG,spain
2014-09-18,13.94,13.94,13.83,13.89,23166,EUR,LOG,spain
2014-09-19,14.08,14.08,13.89,13.93,96963,EUR,LOG,spain
2014-09-22,13.9,13.91,13.8,13.9,36615,EUR,LOG,spain
2014-09-23,14.14,14.14,13.79,13.9,29630,EUR,LOG,spain
2014-09-24,13.72,14.01,13.72,14.0,84121,EUR,LOG,spain
2014-09-25,14.03,14.03,13.89,13.9,21371,EUR,LOG,spain
2014-09-26,13.89,14.15,13.72,14.1,64360,EUR,LOG,spain
2014-09-29,13.91,14.09,13.72,13.95,95586,EUR,LOG,spain
2014-09-30,13.81,14.54,13.81,14.4,91534,EUR,LOG,spain
2014-10-01,14.46,14.75,14.25,14.45,251477,EUR,LOG,spain
2014-10-02,14.4,14.4,13.97,14.14,85378,EUR,LOG,spain
2014-10-03,14.29,14.39,14.05,14.2,84043,EUR,LOG,spain
2014-10-06,14.47,14.47,13.96,14.06,112903,EUR,LOG,spain
2014-10-07,14.15,14.23,14.0,14.0,25429,EUR,LOG,spain
2014-10-08,14.15,14.15,13.88,13.95,31893,EUR,LOG,spain
2014-10-09,14.18,14.18,13.63,13.85,50398,EUR,LOG,spain
2014-10-10,14.42,14.42,13.7,13.74,21115,EUR,LOG,spain
2014-10-13,13.61,13.66,13.3,13.38,78208,EUR,LOG,spain
2014-10-14,13.4,13.49,12.89,13.26,118000,EUR,LOG,spain
2014-10-15,13.13,13.19,12.97,13.0,41864,EUR,LOG,spain
2014-10-16,12.95,12.97,12.59,12.86,111638,EUR,LOG,spain
2014-10-17,12.97,13.25,12.8,13.24,97820,EUR,LOG,spain
2014-10-20,13.58,13.58,13.12,13.4,41081,EUR,LOG,spain
2014-10-21,13.6,13.6,13.22,13.4,55794,EUR,LOG,spain
2014-10-22,13.16,13.52,13.16,13.24,128963,EUR,LOG,spain
2014-10-23,13.21,13.4,13.21,13.4,41806,EUR,LOG,spain
2014-10-24,13.5,13.9,13.29,13.53,90963,EUR,LOG,spain
2014-10-27,13.53,13.71,13.3,13.56,77087,EUR,LOG,spain
2014-10-28,13.39,13.7,13.31,13.7,61610,EUR,LOG,spain
2014-10-29,13.67,14.0,13.45,13.89,112549,EUR,LOG,spain
2014-10-30,13.98,14.0,13.62,13.79,92315,EUR,LOG,spain
2014-10-31,13.97,15.15,13.59,14.41,180480,EUR,LOG,spain
2014-11-03,14.4,14.4,13.81,13.96,126905,EUR,LOG,spain
2014-11-04,14.05,14.36,13.97,14.0,166244,EUR,LOG,spain
2014-11-05,14.21,14.7,14.1,14.1,151063,EUR,LOG,spain
2014-11-06,14.12,14.37,13.92,14.06,76839,EUR,LOG,spain
2014-11-07,14.26,14.5,14.15,14.16,100555,EUR,LOG,spain
2014-11-10,14.15,14.15,13.79,13.88,49273,EUR,LOG,spain
2014-11-11,13.9,14.14,13.9,14.08,79757,EUR,LOG,spain
2014-11-12,14.15,14.19,14.09,14.19,83151,EUR,LOG,spain
2014-11-13,14.37,14.37,14.16,14.2,62474,EUR,LOG,spain
2014-11-14,14.22,14.3,14.14,14.3,275093,EUR,LOG,spain
2014-11-17,14.21,14.4,14.06,14.4,87925,EUR,LOG,spain
2014-11-18,14.3,14.63,13.86,14.5,90110,EUR,LOG,spain
2014-11-19,14.35,14.94,14.24,14.53,122875,EUR,LOG,spain
2014-11-20,14.68,15.04,14.6,14.9,75446,EUR,LOG,spain
2014-11-21,14.95,14.95,14.63,14.7,110781,EUR,LOG,spain
2014-11-24,14.79,15.18,14.79,14.89,122193,EUR,LOG,spain
2014-11-25,14.95,14.95,14.61,14.61,618910,EUR,LOG,spain
2014-11-26,14.69,14.86,14.36,14.49,97246,EUR,LOG,spain
2014-11-27,14.5,14.6,14.17,14.57,77277,EUR,LOG,spain
2014-11-28,14.57,14.83,14.44,14.7,115781,EUR,LOG,spain
2014-12-01,14.61,14.79,14.57,14.7,104350,EUR,LOG,spain
2014-12-02,14.82,14.82,14.66,14.81,115082,EUR,LOG,spain
2014-12-03,14.76,14.83,14.55,14.75,68021,EUR,LOG,spain
2014-12-04,14.76,15.88,14.75,15.43,177928,EUR,LOG,spain
2014-12-05,15.49,15.54,15.18,15.45,67348,EUR,LOG,spain
2014-12-08,15.43,15.95,15.23,15.88,57238,EUR,LOG,spain
2014-12-09,15.87,17.2,15.55,16.43,138111,EUR,LOG,spain
