Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-03-06,9.16,9.16,9.03,9.11,744420,EUR,LRES,spain
2014-03-07,9.11,9.25,8.51,9.07,123819,EUR,LRES,spain
2014-03-10,9.03,9.2,8.95,9.07,469610,EUR,LRES,spain
2014-03-11,9.05,9.25,9.03,9.11,311665,EUR,LRES,spain
2014-03-12,9.11,9.29,9.11,9.16,208159,EUR,LRES,spain
2014-03-13,9.2,9.71,9.2,9.47,661038,EUR,LRES,spain
2014-03-14,9.81,9.83,9.36,9.43,445090,EUR,LRES,spain
2014-03-17,9.51,9.74,9.28,9.61,113686,EUR,LRES,spain
2014-03-18,9.78,9.99,9.61,9.65,273636,EUR,LRES,spain
2014-03-19,9.7,9.78,9.52,9.56,347068,EUR,LRES,spain
2014-03-20,9.49,9.57,9.49,9.56,122404,EUR,LRES,spain
2014-03-21,9.56,9.56,9.47,9.48,73356,EUR,LRES,spain
2014-03-24,9.51,9.55,9.38,9.42,120150,EUR,LRES,spain
2014-03-25,9.4,9.51,9.31,9.32,83399,EUR,LRES,spain
2014-03-26,9.46,9.46,9.28,9.28,142195,EUR,LRES,spain
2014-03-27,9.36,9.4,9.29,9.3,173807,EUR,LRES,spain
2014-03-28,9.3,9.39,9.28,9.34,80188,EUR,LRES,spain
2014-03-31,9.44,9.44,9.28,9.28,51332,EUR,LRES,spain
2014-04-01,9.29,9.35,9.25,9.27,100132,EUR,LRES,spain
2014-04-02,9.34,9.38,9.29,9.29,321715,EUR,LRES,spain
2014-04-03,9.36,9.36,9.26,9.27,47936,EUR,LRES,spain
2014-04-04,9.27,9.28,9.25,9.25,152028,EUR,LRES,spain
2014-04-07,9.34,9.34,9.24,9.24,10553,EUR,LRES,spain
2014-04-08,9.29,9.29,9.11,9.27,57265,EUR,LRES,spain
2014-04-09,9.25,9.25,9.11,9.11,109704,EUR,LRES,spain
2014-04-10,9.2,9.2,9.11,9.11,146093,EUR,LRES,spain
2014-04-11,9.1,9.29,9.04,9.04,60255,EUR,LRES,spain
2014-04-14,9.03,9.15,8.94,9.03,30882,EUR,LRES,spain
2014-04-15,9.07,9.11,9.01,9.09,27231,EUR,LRES,spain
2014-04-16,9.2,9.28,9.07,9.15,111435,EUR,LRES,spain
2014-04-17,9.24,9.24,9.06,9.16,25683,EUR,LRES,spain
2014-04-22,9.29,9.29,9.06,9.11,157890,EUR,LRES,spain
2014-04-23,9.11,9.15,9.06,9.08,43903,EUR,LRES,spain
2014-04-24,9.11,9.19,9.05,9.11,8102,EUR,LRES,spain
2014-04-25,9.11,9.11,9.03,9.03,99090,EUR,LRES,spain
2014-04-28,9.03,9.1,9.03,9.1,96936,EUR,LRES,spain
2014-04-29,9.1,9.24,8.98,9.2,43679,EUR,LRES,spain
2014-04-30,9.2,9.29,9.2,9.2,9135,EUR,LRES,spain
2014-05-02,9.28,9.28,9.12,9.13,12066,EUR,LRES,spain
2014-05-05,9.32,9.32,9.04,9.11,11948,EUR,LRES,spain
2014-05-06,9.04,9.22,9.04,9.11,31921,EUR,LRES,spain
2014-05-07,9.24,9.29,9.13,9.21,11418,EUR,LRES,spain
2014-05-08,9.24,9.29,9.2,9.21,40877,EUR,LRES,spain
2014-05-09,9.29,9.31,9.12,9.12,43201,EUR,LRES,spain
2014-05-12,9.3,9.3,9.08,9.08,63007,EUR,LRES,spain
2014-05-13,9.22,9.24,9.08,9.1,22350,EUR,LRES,spain
2014-05-14,9.1,9.11,9.08,9.11,67473,EUR,LRES,spain
2014-05-15,9.07,9.11,9.03,9.03,11887,EUR,LRES,spain
2014-05-16,9.03,9.11,9.02,9.11,54267,EUR,LRES,spain
2014-05-19,9.1,9.1,8.77,8.94,88362,EUR,LRES,spain
2014-05-20,8.94,8.97,8.85,8.94,37373,EUR,LRES,spain
2014-05-21,8.94,9.07,8.93,8.96,51553,EUR,LRES,spain
2014-05-22,8.93,9.29,8.93,8.94,57296,EUR,LRES,spain
2014-05-23,8.94,8.94,8.78,8.78,43748,EUR,LRES,spain
2014-05-26,8.92,8.94,8.81,8.85,26686,EUR,LRES,spain
2014-05-27,8.92,8.92,8.78,8.86,17092,EUR,LRES,spain
2014-05-28,8.9,8.9,8.86,8.89,15174,EUR,LRES,spain
2014-05-29,8.94,8.94,8.86,8.86,34151,EUR,LRES,spain
2014-05-30,8.89,8.92,8.85,8.92,159927,EUR,LRES,spain
2014-06-02,8.94,8.96,8.82,8.95,73476,EUR,LRES,spain
2014-06-03,8.92,8.98,8.92,8.92,23609,EUR,LRES,spain
2014-06-04,8.94,8.95,8.92,8.92,29918,EUR,LRES,spain
2014-06-05,8.98,9.0,8.92,8.92,70432,EUR,LRES,spain
2014-06-06,8.99,8.99,8.88,8.88,69822,EUR,LRES,spain
2014-06-09,8.94,9.03,8.93,8.98,224861,EUR,LRES,spain
2014-06-10,8.94,9.02,8.92,8.92,57398,EUR,LRES,spain
2014-06-11,8.92,8.98,8.83,8.83,42638,EUR,LRES,spain
2014-06-12,8.94,9.03,8.93,8.94,123537,EUR,LRES,spain
2014-06-13,9.0,9.03,8.9,8.91,46016,EUR,LRES,spain
2014-06-16,8.94,9.03,8.92,8.92,7690,EUR,LRES,spain
2014-06-17,9.03,9.03,8.9,8.93,71704,EUR,LRES,spain
2014-06-18,8.98,8.98,8.89,8.89,112713,EUR,LRES,spain
2014-06-19,8.94,8.96,8.93,8.94,13849,EUR,LRES,spain
2014-06-20,8.85,8.94,8.82,8.93,40676,EUR,LRES,spain
2014-06-23,8.94,8.94,8.86,8.94,96628,EUR,LRES,spain
2014-06-24,8.98,8.98,8.85,8.89,120021,EUR,LRES,spain
